"GeneID","geneSymbol","n_selection_events","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000013523","Bcas1",2,"Regular (>50bp); Small (30-50bp)","chr2:170198167-170198233; chr2:170212369-170212411",0.145
"ENSMUSG00000020300","Cpeb4",2,"Microexon (0-30bp)","chr11:31868800-31868824; chr11:31868800-31868824",0.134
"ENSMUSG00000020385","Clk4",2,"Regular (>50bp)","chr11:51158991-51159058; chr11:51158991-51159058",-0.218
"ENSMUSG00000021068","Nin",2,"Regular (>50bp)","chr12:70069054-70069115; chr12:70069054-70069115",0.294
"ENSMUSG00000021071","Trim9",2,"Regular (>50bp); Small (30-50bp)","chr12:70301811-70302000; chr12:70314007-70314040",0.162
"ENSMUSG00000021103","Mnat1",2,"Regular (>50bp)","chr12:73217367-73217441; chr12:73225978-73226082",0.171
"ENSMUSG00000021268","Meg3",2,"Regular (>50bp)","chr12:109515913-109515987; chr12:109515913-109516014",0.41
"ENSMUSG00000022139","Mbnl2",2,"Small (30-50bp)","chr14:120640747-120640783; chr14:120640747-120640783",0.129
"ENSMUSG00000022607","Ptk2",2,"Regular (>50bp)","chr15:73236889-73237044; chr15:73236889-73237044",-0.219
"ENSMUSG00000022708","Zbtb20",2,"Regular (>50bp)","chr16:43013827-43013901; chr16:43397392-43397556",0.252
"ENSMUSG00000022770","Dlg1",2,"Microexon (0-30bp); Small (30-50bp)","chr16:31673470-31673506; chr16:31673485-31673506",0.018
"ENSMUSG00000022838","Eaf2",2,"Regular (>50bp)","chr16:36630833-36630970; chr16:36645019-36645114",-0.22
"ENSMUSG00000022948","Setd4",2,"Regular (>50bp)","chr16:93387143-93388191; chr16:93387761-93388191",0.011
"ENSMUSG00000022973","Synj1",2,"Small (30-50bp)","chr16:90743902-90743941; chr16:90746586-90746625",0.211
"ENSMUSG00000024293","Esco1",2,"Regular (>50bp)","chr18:10593745-10595875; chr18:10595675-10595875",-0.115
"ENSMUSG00000024381","Bin1",2,"Microexon (0-30bp)","chr18:32562752-32562776; chr18:32562752-32562776",0.149
"ENSMUSG00000024726","Carnmt1",2,"Regular (>50bp)","chr19:18667593-18667734; chr19:18671012-18671126",0.016
"ENSMUSG00000024887","Asah2",2,"Regular (>50bp)","chr19:31969401-31969490; chr19:31972741-31972801",-0.18
"ENSMUSG00000025816","Sec61a2",2,"Regular (>50bp)","chr2:5881651-5881812; chr2:5887391-5887501",-0.019
"ENSMUSG00000028184","Adgrl2",2,"Microexon (0-30bp); Regular (>50bp)","chr3:148526915-148527044; chr3:148532847-148532874",0.018
"ENSMUSG00000028524","Sgip1",2,"Microexon (0-30bp)","chr4:102757722-102757734; chr4:102762761-102762773",0.314
"ENSMUSG00000029095","Ablim2",2,"Regular (>50bp)","chr5:36000511-36000610; chr5:36024048-36024110",0.202
"ENSMUSG00000029462","Vps29",2,"Microexon (0-30bp)","chr5:122494856-122494868; chr5:122494856-122494868",0.138
"ENSMUSG00000030172","Erc1",2,"Microexon (0-30bp); Regular (>50bp)","chr6:119595806-119595873; chr6:119711041-119711053",0.146
"ENSMUSG00000031256","Cstf2",2,"Regular (>50bp)","chrX:132973163-132973223; chrX:132973163-132973223",0.155
"ENSMUSG00000031561","Tenm3",2,"Microexon (0-30bp)","chr8:48740167-48740188; chr8:48766272-48766299",0.198
"ENSMUSG00000031865","Dctn1",2,"Microexon (0-30bp)","chr6:83160917-83160938; chr6:83164745-83164766",0.062
"ENSMUSG00000032076","Cadm1",2,"Small (30-50bp)","chr9:47740674-47740707; chr9:47740674-47740707",0.124
"ENSMUSG00000032413","Rasa2",2,"Regular (>50bp)","chr9:96448068-96448175; chr9:96450416-96450540",-0.168
"ENSMUSG00000032534","Cep63",2,"Small (30-50bp)","chr9:102498894-102498927; chr9:102500754-102500792",0.092
"ENSMUSG00000032826","Ank2",2,"Microexon (0-30bp); Regular (>50bp)","chr3:126757031-126757130; chr3:126772904-126772916",0.165
"ENSMUSG00000033102","Cdc14b",2,"Regular (>50bp)","chr13:64353084-64353231; chr13:64373385-64373462",0.066
"ENSMUSG00000033419","Snap91",2,"Microexon (0-30bp); Regular (>50bp)","chr9:86672108-86672192; chr9:86680882-86680897",0.202
"ENSMUSG00000034842","Art3",2,"Small (30-50bp)","chr5:92553801-92553838; chr5:92553802-92553838",-0.124
"ENSMUSG00000034908","Sidt2",2,"Microexon (0-30bp); Regular (>50bp)","chr9:45858838-45858850; chr9:45858926-45858995",0.136
"ENSMUSG00000035133","Arhgap5",2,"Regular (>50bp)","chr12:52562889-52566750; chr12:52562889-52566750",-0.136
"ENSMUSG00000035227","Spcs2",2,"Regular (>50bp)","chr7:99498363-99498459; chr7:99498363-99498459",-0.009
"ENSMUSG00000035284","Vps13c",2,"Regular (>50bp)","chr9:67773461-67773524; chr9:67778134-67778200",0.195
"ENSMUSG00000036644","Tbc1d9b",2,"Regular (>50bp)","chr11:50054988-50055039; chr11:50058995-50059052",0.196
"ENSMUSG00000037426","Depdc5",2,"Regular (>50bp)","chr5:33021353-33021656; chr5:33021501-33021656",0.132
"ENSMUSG00000037533","Rapgef6",2,"Microexon (0-30bp); Regular (>50bp)","chr11:54452150-54452220; chr11:54542574-54542589",0.014
"ENSMUSG00000038485","Socs7",2,"Regular (>50bp)","chr11:97267262-97267367; chr11:97267822-97267924",0.146
"ENSMUSG00000038618","Rassf7",2,"Regular (>50bp)","chr7:140796941-140797625; chr7:140797500-140797625",-0.116
"ENSMUSG00000038831","Ralgps1",2,"Regular (>50bp)","chr2:33045299-33045351; chr2:33047783-33047941",0.162
"ENSMUSG00000039844","Rapgef1",2,"Regular (>50bp)","chr2:29609604-29609862; chr2:29609604-29609862",0.145
"ENSMUSG00000041757","Plekha6",2,"Regular (>50bp)","chr1:133203549-133203603; chr1:133213984-133214134",0.227
"ENSMUSG00000041936","Agrn",2,"Microexon (0-30bp); Small (30-50bp)","chr4:156252233-156252266; chr4:156253002-156253026",0.226
"ENSMUSG00000043019","Edem3",2,"Microexon (0-30bp); Small (30-50bp)","chr1:151688504-151688519; chr1:151688504-151688552",0.11
"ENSMUSG00000043323","Fbrsl1",2,"Regular (>50bp); Small (30-50bp)","chr5:110563895-110563931; chr5:110565708-110565813",-0.136
"ENSMUSG00000045349","Sh2d5",2,"Regular (>50bp)","chr4:137980922-137981000; chr4:137981141-137981269",0.2
"ENSMUSG00000045411","2410002F23Rik",2,"Regular (>50bp)","chr7:43896661-43896840; chr7:43896674-43896840",0.161
"ENSMUSG00000045482","Trrap",2,"Microexon (0-30bp); Regular (>50bp)","chr5:144746960-144747014; chr5:144747141-144747162",0.287
"ENSMUSG00000048078","Tenm4",2,"Microexon (0-30bp); Regular (>50bp)","chr7:96378555-96378732; chr7:96454311-96454338",0.148
"ENSMUSG00000048652","Samd13",2,"Regular (>50bp)","chr3:146390687-146390884; chr3:146390687-146390895",0.137
"ENSMUSG00000051048","P4ha3",2,"Regular (>50bp)","chr7:99962412-99962572; chr7:99963814-99963877",0.236
"ENSMUSG00000053046","Brsk2",2,"Small (30-50bp)","chr7:141554578-141554626; chr7:141554578-141554626",0.158
"ENSMUSG00000053617","Sh3pxd2a",2,"Regular (>50bp); Small (30-50bp)","chr19:47271459-47271543; chr19:47308714-47308759",0.145
"ENSMUSG00000055762","Eef1d",2,"Regular (>50bp)","chr15:75774527-75775667; chr15:75774527-75775667",0.143
"ENSMUSG00000055923","Aasdh",2,"Regular (>50bp)","chr5:77052055-77052227; chr5:77052805-77052859",0.197
"ENSMUSG00000056917","Sipa1",2,"Microexon (0-30bp); Regular (>50bp)","chr19:5711623-5711651; chr19:5711623-5711686",0.28
"ENSMUSG00000061306","Slc38a10",2,"Microexon (0-30bp); Regular (>50bp)","chr11:119999292-119999316; chr11:119999292-119999379",0.25
"ENSMUSG00000062604","Srpk2",2,"Regular (>50bp)","chr5:23829050-23829124; chr5:23834329-23834475",-0.05
"ENSMUSG00000064302","Clasp1",2,"Regular (>50bp)","chr1:118459707-118459815; chr1:118463864-118463927",0.178
"ENSMUSG00000067367","Lyar",2,"Regular (>50bp)","chr5:38380477-38380571; chr5:38380477-38380575",-0.171
"ENSMUSG00000069631","Strada",2,"Microexon (0-30bp); Regular (>50bp)","chr11:106071780-106071809; chr11:106075387-106075445",0.13
"ENSMUSG00000073779","Lrp8os2",2,"Regular (>50bp)","chr4:107667959-107668143; chr4:107673123-107673264",0.55
"ENSMUSG00000074513","Arfip1",2,"Regular (>50bp)","chr3:84426788-84427010; chr3:84426788-84427010",-0.199
"ENSMUSG00000086035","Gm12610",2,"Regular (>50bp)","chr4:89255914-89256050; chr4:89274945-89274997",0.226
"ENSMUSG00000087177","E130307A14Rik",2,"Regular (>50bp)","chr10:39516271-39516507; chr10:39521551-39521804",-0.226
"ENSMUSG00000092165","Gm5624",2,"Regular (>50bp)","chr14:44798155-44798244; chr14:44798155-44798287",0.115
"ENSMUSG00000097080","1700086O06Rik",2,"Regular (>50bp)","chr18:38373891-38374006; chr18:38373891-38374006",0.244
"ENSMUSG00000097755","2010110K18Rik",2,"Regular (>50bp)","chr18:34889051-34889204; chr18:34889051-34889234",-0.176
"ENSMUSG00000119993","Gm32085",2,"Regular (>50bp)","chr3:152413486-152413934; chr3:152413486-152413934",0.248
"ENSMUSG00000000827","Tpd52l2",1,"Microexon (0-30bp)","chr2:181152296-181152323",0.106
"ENSMUSG00000001036","Epn2",1,"Small (30-50bp)","chr11:61425403-61425439",0.122
"ENSMUSG00000001143","Lman2l",1,"Small (30-50bp)","chr1:36468503-36468536",0.204
"ENSMUSG00000001248","Gramd1a",1,"Microexon (0-30bp)","chr7:30832644-30832656",0.183
"ENSMUSG00000001419","Mef2d",1,"Regular (>50bp)","chr3:88065527-88065662",-0.326
"ENSMUSG00000002031","Ift46",1,"Small (30-50bp)","chr9:44685479-44685528",0.103
"ENSMUSG00000002265","Peg3",1,"Regular (>50bp)","chr7:6715948-6716011",0.146
"ENSMUSG00000002428","Hltf",1,"Regular (>50bp)","chr3:20152243-20152379",-0.134
"ENSMUSG00000002608","Ccdc97",1,"Regular (>50bp)","chr7:25417569-25417704",-0.394
"ENSMUSG00000002845","Tmem39a",1,"Regular (>50bp)","chr16:38405980-38406042",0.13
"ENSMUSG00000003119","Cdk12",1,"Regular (>50bp)","chr11:98140535-98140926",0.185
"ENSMUSG00000003810","Mast2",1,"Microexon (0-30bp)","chr4:116190609-116190630",0.248
"ENSMUSG00000003813","Rad23a",1,"Regular (>50bp)","chr8:85564635-85564763",-0.209
"ENSMUSG00000003863","Ppfia3",1,"Microexon (0-30bp)","chr7:44992976-44993003",0.239
"ENSMUSG00000004631","Sgce",1,"Regular (>50bp)","chr6:4711307-4711380",-0.315
"ENSMUSG00000004698","Hdac9",1,"Regular (>50bp)","chr12:34423876-34424137",-0.113
"ENSMUSG00000004771","Rab11a",1,"Regular (>50bp)","chr9:64633905-64634099",-0.167
"ENSMUSG00000005501","Usp40",1,"Regular (>50bp)","chr1:87895231-87895320",-0.197
"ENSMUSG00000005881","Ergic3",1,"Microexon (0-30bp)","chr2:155857296-155857311",0.169
"ENSMUSG00000005899","Smpd4",1,"Regular (>50bp)","chr16:17453345-17453432",0.13
"ENSMUSG00000006315","Tmem147",1,"Regular (>50bp)","chr7:30428081-30428166",0.195
"ENSMUSG00000006362","Cbfa2t3",1,"Regular (>50bp)","chr8:123377068-123377215",-0.124
"ENSMUSG00000006476","Nsmf",1,"Regular (>50bp)","chr2:24948264-24948333",-0.121
"ENSMUSG00000007570","Fance",1,"Regular (>50bp)","chr17:28542544-28542639",-0.124
"ENSMUSG00000008855","Hdac5",1,"Regular (>50bp)","chr11:102112593-102112677",0.131
"ENSMUSG00000009073","Nf2",1,"Small (30-50bp)","chr11:4730577-4730622",0.174
"ENSMUSG00000009079","Ewsr1",1,"Microexon (0-30bp)","chr11:5041459-5041477",0.222
"ENSMUSG00000009621","Vav2",1,"Regular (>50bp)","chr2:27158162-27158249",0.112
"ENSMUSG00000013033","Adgrl1",1,"Regular (>50bp)","chr8:84650834-84650984",0.109
"ENSMUSG00000013973","Dedd",1,"Small (30-50bp)","chr1:171158820-171158853",0.109
"ENSMUSG00000014355","Anapc1",1,"Regular (>50bp)","chr2:128520130-128520204",-0.16
"ENSMUSG00000014418","Hps5",1,"Regular (>50bp)","chr7:46424577-46424708",0.156
"ENSMUSG00000015659","Serac1",1,"Regular (>50bp)","chr17:6119573-6119663",0.163
"ENSMUSG00000015942","Gtf2ird2",1,"Regular (>50bp)","chr5:134235611-134235668",-0.133
"ENSMUSG00000016200","Syt14",1,"Regular (>50bp)","chr1:192581158-192581215",0.138
"ENSMUSG00000017210","Med24",1,"Regular (>50bp)","chr11:98608534-98608591",0.179
"ENSMUSG00000017307","Acot8",1,"Regular (>50bp)","chr2:164644916-164645053",-0.168
"ENSMUSG00000018334","Ksr1",1,"Small (30-50bp)","chr11:78921906-78921948",0.203
"ENSMUSG00000018411","Mapt",1,"Regular (>50bp)","chr11:104196037-104196235",0.109
"ENSMUSG00000018428","Akap1",1,"Regular (>50bp)","chr11:88734415-88734522",-0.427
"ENSMUSG00000018537","Pcgf2",1,"Regular (>50bp)","chr11:97590031-97590126",-0.328
"ENSMUSG00000018820","Zfyve27",1,"Microexon (0-30bp)","chr19:42174058-42174079",0.131
"ENSMUSG00000020131","Pcsk4",1,"Regular (>50bp)","chr10:80159316-80159434",-0.313
"ENSMUSG00000020151","Ptprr",1,"Regular (>50bp)","chr10:116013622-116013733",0.427
"ENSMUSG00000020220","Vps13d",1,"Regular (>50bp)","chr4:144830183-144830258",0.21
"ENSMUSG00000020231","Dip2a",1,"Microexon (0-30bp)","chr10:76107209-76107239",0.168
"ENSMUSG00000020250","Txnrd1",1,"Regular (>50bp)","chr10:82708771-82709109",-0.218
"ENSMUSG00000020284","Cfap410",1,"Regular (>50bp)","chr10:77815586-77815885",-0.317
"ENSMUSG00000020451","Limk2",1,"Small (30-50bp)","chr11:3311782-3311825",-0.127
"ENSMUSG00000020454","Eif4enif1",1,"Regular (>50bp)","chr11:3183987-3184059",0.102
"ENSMUSG00000020646","Mboat2",1,"Regular (>50bp)","chr12:24974197-24974293",-0.22
"ENSMUSG00000020680","Taf15",1,"Regular (>50bp)","chr11:83379750-83379871",-0.286
"ENSMUSG00000020717","Pecam1",1,"Regular (>50bp)","chr11:106571857-106571911",0.118
"ENSMUSG00000020792","Exoc7",1,"Small (30-50bp)","chr11:116184100-116184139",0.169
"ENSMUSG00000020859","Spag9",1,"Microexon (0-30bp)","chr11:93970024-93970036",0.196
"ENSMUSG00000021276","Cinp",1,"Regular (>50bp)","chr12:110843656-110843806",-0.331
"ENSMUSG00000021427","Ssr1",1,"Microexon (0-30bp)","chr13:38167070-38167085",0.156
"ENSMUSG00000021432","Slc35b3",1,"Regular (>50bp)","chr13:39128475-39128630",-0.124
"ENSMUSG00000021461","Fancc",1,"Regular (>50bp)","chr13:63508009-63508074",-0.193
"ENSMUSG00000021548","Ccnh",1,"Regular (>50bp)","chr13:85345469-85345680",-0.285
"ENSMUSG00000021686","Ap3b1",1,"Small (30-50bp)","chr13:94680491-94680530",0.15
"ENSMUSG00000021820","Camk2g",1,"Regular (>50bp)","chr14:20791445-20791559",0.135
"ENSMUSG00000021832","Psmc6",1,"Regular (>50bp)","chr14:45567822-45567978",-0.2
"ENSMUSG00000021838","Samd4",1,"Regular (>50bp)","chr14:47290306-47290570",-0.15
"ENSMUSG00000021895","Arhgef3",1,"Regular (>50bp)","chr14:26865949-26866087",-0.238
"ENSMUSG00000021903","Galnt15",1,"Regular (>50bp)","chr14:31765045-31765250",-0.171
"ENSMUSG00000021969","Zdhhc20",1,"Small (30-50bp)","chr14:58087601-58087637",0.196
"ENSMUSG00000021972","Hmbox1",1,"Regular (>50bp)","chr14:65062747-65062819",-0.127
"ENSMUSG00000022307","Oxr1",1,"Regular (>50bp)","chr15:41712065-41712146",0.246
"ENSMUSG00000022329","Stk3",1,"Microexon (0-30bp)","chr15:35115083-35115104",0.135
"ENSMUSG00000022359","Wdyhv1",1,"Regular (>50bp)","chr15:58015992-58016141",0.11
"ENSMUSG00000022386","Trmu",1,"Regular (>50bp)","chr15:85778378-85778484",-0.163
"ENSMUSG00000022420","Dnal4",1,"Regular (>50bp)","chr15:79649987-79650054",0.119
"ENSMUSG00000022487","Gtsf1",1,"Regular (>50bp)","chr15:103338603-103338684",-0.166
"ENSMUSG00000022498","Txndc11",1,"Regular (>50bp)","chr16:10911679-10911792",0.108
"ENSMUSG00000022517","Mgrn1",1,"Small (30-50bp)","chr16:4752058-4752103",0.14
"ENSMUSG00000022565","Plec",1,"Small (30-50bp)","chr15:76078165-76078201",0.101
"ENSMUSG00000022574","Naprt",1,"Regular (>50bp)","chr15:75763811-75763896",-0.293
"ENSMUSG00000022604","Cep97",1,"Regular (>50bp)","chr16:55742433-55742600",0.111
"ENSMUSG00000022623","Shank3",1,"Microexon (0-30bp)","chr15:89422217-89422241",0.129
"ENSMUSG00000022635","Zcrb1",1,"Microexon (0-30bp)","chr15:93293467-93293496",-0.163
"ENSMUSG00000022701","Ccdc191",1,"Small (30-50bp)","chr16:43712515-43712554",0.186
"ENSMUSG00000022801","Lrch3",1,"Regular (>50bp)","chr16:32829558-32829806",0.182
"ENSMUSG00000022837","Iqcb1",1,"Regular (>50bp)","chr16:36649365-36649435",-0.139
"ENSMUSG00000022890","Atp5j",1,"Regular (>50bp)","chr16:84630707-84630762",-0.108
"ENSMUSG00000022992","Kansl2",1,"Regular (>50bp)","chr15:98429203-98429318",-0.107
"ENSMUSG00000024044","Epb41l3",1,"Regular (>50bp)","chr17:69581095-69581161",0.159
"ENSMUSG00000024050","Wiz",1,"Regular (>50bp)","chr17:32581766-32581937",-0.17
"ENSMUSG00000024150","Mcfd2",1,"Regular (>50bp)","chr17:87571568-87571793",-0.284
"ENSMUSG00000024163","Mapk8ip3",1,"Microexon (0-30bp)","chr17:25127384-25127402",0.149
"ENSMUSG00000024273","2700062C07Rik",1,"Microexon (0-30bp)","chr18:24604118-24604141",-0.102
"ENSMUSG00000024301","Kifc5b",1,"Regular (>50bp)","chr17:27140780-27140834",0.121
"ENSMUSG00000024357","Sil1",1,"Regular (>50bp)","chr18:35626197-35626286",-0.151
"ENSMUSG00000024480","Ap3s1",1,"Small (30-50bp)","chr18:46916825-46916866",-0.757
"ENSMUSG00000024485","Slc4a9",1,"Small (30-50bp)","chr18:36662739-36662789",0.264
"ENSMUSG00000024603","Dctn4",1,"Microexon (0-30bp)","chr18:60678428-60678449",0.164
"ENSMUSG00000024663","Rab3il1",1,"Regular (>50bp)","chr19:10005648-10005867",0.181
"ENSMUSG00000024908","Ppp6r3",1,"Microexon (0-30bp)","chr19:3509746-3509764",0.211
"ENSMUSG00000024983","Vti1a",1,"Microexon (0-30bp)","chr19:55375620-55375641",0.293
"ENSMUSG00000025019","Lcor",1,"Regular (>50bp)","chr19:41534313-41534446",-0.29
"ENSMUSG00000025261","Huwe1",1,"Regular (>50bp)","chrX:150587441-150587536",-0.208
"ENSMUSG00000025404","R3hdm2",1,"Regular (>50bp)","chr10:127317561-127317624",0.107
"ENSMUSG00000025420","Katnal2",1,"Regular (>50bp)","chr18:77099685-77099800",0.151
"ENSMUSG00000025485","Ric8a",1,"Regular (>50bp)","chr7:140437894-140438185",-0.42
"ENSMUSG00000025762","Larp1b",1,"Regular (>50bp)","chr3:40916603-40916663",0.113
"ENSMUSG00000025950","Idh1",1,"Regular (>50bp)","chr1:65220786-65220857",-0.307
"ENSMUSG00000026029","Casp8",1,"Regular (>50bp)","chr1:58843157-58843273",0.101
"ENSMUSG00000026074","Map4k4",1,"Regular (>50bp)","chr1:40042922-40043147",0.111
"ENSMUSG00000026082","Rev1",1,"Regular (>50bp)","chr1:38147484-38147548",-0.111
"ENSMUSG00000026113","Inpp4a",1,"Microexon (0-30bp)","chr1:37413355-37413370",0.181
"ENSMUSG00000026179","Pnkd",1,"Regular (>50bp)","chr1:74326250-74326367",0.117
"ENSMUSG00000026313","Hdac4",1,"Regular (>50bp)","chr1:92019453-92019540",-0.211
"ENSMUSG00000026490","Cdc42bpa",1,"Small (30-50bp)","chr1:179946300-179946348",0.18
"ENSMUSG00000026527","Rgs7",1,"Regular (>50bp)","chr1:174903582-174903663",-0.187
"ENSMUSG00000026672","Optn",1,"Regular (>50bp)","chr2:5059350-5059527",-0.105
"ENSMUSG00000026737","Pip4k2a",1,"Small (30-50bp)","chr2:18870922-18870961",-0.154
"ENSMUSG00000026767","Mindy3",1,"Regular (>50bp)","chr2:12400989-12401069",-0.136
"ENSMUSG00000026773","Pfkfb3",1,"Regular (>50bp)","chr2:11480564-11480617",0.127
"ENSMUSG00000026781","Acbd5",1,"Small (30-50bp)","chr2:22970679-22970712",0.171
"ENSMUSG00000026825","Dnm1",1,"Small (30-50bp)","chr2:32200462-32200499",-0.104
"ENSMUSG00000026853","Crat",1,"Regular (>50bp)","chr2:30303871-30304008",0.102
"ENSMUSG00000026860","Sh3glb2",1,"Microexon (0-30bp)","chr2:30239237-30239249",0.228
"ENSMUSG00000026867","Gapvd1",1,"Regular (>50bp)","chr2:34612949-34613030",0.177
"ENSMUSG00000026873","Phf19",1,"Regular (>50bp)","chr2:34788935-34789023",-0.179
"ENSMUSG00000026946","Nmi",1,"Small (30-50bp)","chr2:51862599-51862639",0.198
"ENSMUSG00000026977","Marchf7",1,"Microexon (0-30bp)","chr2:60077831-60077856",0.187
"ENSMUSG00000026999","Nup35",1,"Small (30-50bp)","chr2:80454669-80454704",-0.356
"ENSMUSG00000027001","Dusp19",1,"Regular (>50bp)","chr2:80451537-80452144",0.124
"ENSMUSG00000027071","P2rx3",1,"Regular (>50bp)","chr2:84854459-84854517",-0.104
"ENSMUSG00000027130","Slc12a6",1,"Small (30-50bp)","chr2:112146585-112146630",0.131
"ENSMUSG00000027207","Galk2",1,"Regular (>50bp)","chr2:125712245-125712381",0.194
"ENSMUSG00000027273","Snap25",1,"Regular (>50bp)","chr2:136611662-136611780",-0.111
"ENSMUSG00000027281","Slx4ip",1,"Regular (>50bp)","chr2:136846853-136846974",-0.22
"ENSMUSG00000027478","Dnmt3b",1,"Regular (>50bp)","chr2:153526278-153526397",-0.127
"ENSMUSG00000027506","Tpd52",1,"Microexon (0-30bp)","chr3:9008610-9008637",0.314
"ENSMUSG00000027523","Gnas",1,"Microexon (0-30bp)","chr2:174169900-174169924",0.15
"ENSMUSG00000027550","Lrrcc1",1,"Regular (>50bp)","chr3:14619363-14619565",0.119
"ENSMUSG00000027575","Arfgap1",1,"Regular (>50bp)","chr2:180620963-180621020",-0.183
"ENSMUSG00000027630","Tbl1xr1",1,"Regular (>50bp)","chr3:22143576-22143686",-0.127
"ENSMUSG00000027634","Ndrg3",1,"Small (30-50bp)","chr2:156771851-156771890",0.113
"ENSMUSG00000027646","Src",1,"Microexon (0-30bp)","chr2:157300762-157300780",0.119
"ENSMUSG00000027677","Ttc14",1,"Regular (>50bp)","chr3:33857598-33857754",-0.105
"ENSMUSG00000027708","Dcun1d1",1,"Regular (>50bp)","chr3:35973149-35973318",-0.117
"ENSMUSG00000027763","Mbnl1",1,"Regular (>50bp)","chr3:60522103-60522157",0.146
"ENSMUSG00000027799","Nbea",1,"Microexon (0-30bp)","chr3:55901468-55901477",0.201
"ENSMUSG00000028013","Ppa2",1,"Regular (>50bp)","chr3:133045023-133045110",-0.221
"ENSMUSG00000028033","Kcnq5",1,"Microexon (0-30bp)","chr1:21536606-21536633",0.353
"ENSMUSG00000028207","Asph",1,"Small (30-50bp)","chr4:9637658-9637703",0.119
"ENSMUSG00000028256","Odf2l",1,"Regular (>50bp)","chr3:144832783-144832912",0.141
"ENSMUSG00000028312","Smc2",1,"Regular (>50bp)","chr4:52440200-52440423",0.107
"ENSMUSG00000028433","Ubap2",1,"Small (30-50bp)","chr4:41245455-41245492",0.109
"ENSMUSG00000028550","Atg4c",1,"Regular (>50bp)","chr4:99116792-99116871",0.143
"ENSMUSG00000028565","Nfia",1,"Regular (>50bp)","chr4:97969961-97970053",0.238
"ENSMUSG00000028744","Slc66a1",1,"Regular (>50bp)","chr4:139023084-139023244",-0.155
"ENSMUSG00000028796","Phc2",1,"Regular (>50bp)","chr4:128635708-128635877",-0.202
"ENSMUSG00000028886","Eya3",1,"Small (30-50bp)","chr4:132384888-132384927",0.204
"ENSMUSG00000028919","Arhgef19",1,"Regular (>50bp)","chr4:140973256-140973363",-0.18
"ENSMUSG00000028931","Kcnab2",1,"Small (30-50bp)","chr4:152519238-152519280",0.133
"ENSMUSG00000029055","Plch2",1,"Microexon (0-30bp)","chr4:155069822-155069849",0.144
"ENSMUSG00000029148","Nrbp1",1,"Microexon (0-30bp)","chr5:31403665-31403689",0.114
"ENSMUSG00000029152","Ociad1",1,"Small (30-50bp)","chr5:73451308-73451353",-0.116
