"GeneID","geneSymbol","n_events_pos","n_sig_pos","n_event_types","event_types","n_microexon","mean_abs_dPSI","n_selection_events","selection_mean_dPSI"
"ENSMUSG00000037426","Depdc5",35,1,3,"A3SS,MXE,SE",0,0.025,2,0.132
"ENSMUSG00000037533","Rapgef6",14,0,2,"MXE,SE",2,0.019,2,0.014
"ENSMUSG00000038485","Socs7",6,0,2,"MXE,SE",0,0.011,2,0.146
"ENSMUSG00000038618","Rassf7",7,0,3,"A3SS,RI,SE",0,0.054,2,-0.116
"ENSMUSG00000038831","Ralgps1",35,0,3,"A3SS,MXE,SE",0,0.037,2,0.162
"ENSMUSG00000039844","Rapgef1",24,1,3,"A3SS,MXE,SE",0,0.049,2,0.145
"ENSMUSG00000041757","Plekha6",34,9,3,"A3SS,MXE,SE",0,0.083,2,0.227
"ENSMUSG00000041936","Agrn",33,1,5,"A3SS,A5SS,MXE,RI,SE",4,0.024,2,0.226
"ENSMUSG00000043019","Edem3",6,0,3,"A3SS,A5SS,SE",1,0.015,2,0.11
"ENSMUSG00000043323","Fbrsl1",29,2,2,"MXE,SE",5,0.039,2,-0.136
"ENSMUSG00000045349","Sh2d5",26,2,2,"MXE,SE",0,0.068,2,0.2
"ENSMUSG00000045411","2410002F23Rik",26,7,5,"A3SS,A5SS,MXE,RI,SE",0,0.067,2,0.161
"ENSMUSG00000045482","Trrap",28,0,5,"A3SS,A5SS,MXE,RI,SE",2,0.009,2,0.287
"ENSMUSG00000048078","Tenm4",16,0,3,"A3SS,MXE,SE",2,0.073,2,0.148
"ENSMUSG00000048652","Samd13",4,0,2,"MXE,SE",0,0.063,2,0.137
"ENSMUSG00000051048","P4ha3",8,0,3,"A5SS,MXE,SE",0,0.041,2,0.236
"ENSMUSG00000053046","Brsk2",18,3,3,"A5SS,MXE,SE",0,0.052,2,0.158
"ENSMUSG00000053617","Sh3pxd2a",12,0,2,"MXE,SE",1,0.027,2,0.145
"ENSMUSG00000055762","Eef1d",22,0,4,"A3SS,MXE,RI,SE",5,0.012,2,0.143
"ENSMUSG00000055923","Aasdh",17,0,4,"A5SS,MXE,RI,SE",0,0.038,2,0.197
"ENSMUSG00000056917","Sipa1",20,0,2,"A3SS,SE",2,0.045,2,0.28
"ENSMUSG00000061306","Slc38a10",35,0,3,"A3SS,MXE,SE",1,0.023,2,0.25
"ENSMUSG00000062604","Srpk2",25,0,2,"MXE,SE",1,0.018,2,-0.05
"ENSMUSG00000064302","Clasp1",27,2,4,"A3SS,A5SS,MXE,SE",6,0.047,2,0.178
"ENSMUSG00000067367","Lyar",14,0,3,"A3SS,A5SS,SE",0,0.015,2,-0.171
"ENSMUSG00000069631","Strada",17,3,3,"A5SS,MXE,SE",3,0.051,2,0.13
"ENSMUSG00000073779","Lrp8os2",3,0,1,"SE",0,0.191,2,0.55
"ENSMUSG00000074513","Arfip1",43,0,3,"A5SS,MXE,SE",0,0.016,2,-0.199
"ENSMUSG00000086035","Gm12610",41,12,3,"A5SS,MXE,SE",0,0.101,2,0.226
"ENSMUSG00000087177","E130307A14Rik",48,6,3,"A5SS,MXE,SE",0,0.084,2,-0.226
"ENSMUSG00000092165","Gm5624",14,0,3,"A3SS,MXE,SE",0,0.084,2,0.115
"ENSMUSG00000097080","1700086O06Rik",17,3,2,"A3SS,SE",0,0.089,2,0.244
"ENSMUSG00000097755","2010110K18Rik",11,0,5,"A3SS,A5SS,MXE,RI,SE",0,0.049,2,-0.176
"ENSMUSG00000119993","Gm32085",10,0,3,"A3SS,A5SS,SE",0,0.069,2,0.248
"ENSMUSG00000000827","Tpd52l2",7,0,1,"SE",1,0.024,1,0.106
"ENSMUSG00000001036","Epn2",35,1,2,"MXE,SE",0,0.046,1,0.122
"ENSMUSG00000001143","Lman2l",21,1,3,"A5SS,MXE,SE",0,0.02,1,0.204
"ENSMUSG00000001248","Gramd1a",26,0,5,"A3SS,A5SS,MXE,RI,SE",2,0.018,1,0.183
"ENSMUSG00000001419","Mef2d",12,0,2,"MXE,SE",1,0.041,1,-0.326
"ENSMUSG00000002031","Ift46",26,3,3,"A3SS,MXE,SE",0,0.071,1,0.103
"ENSMUSG00000002265","Peg3",12,0,3,"A3SS,MXE,SE",0,0.015,1,0.146
"ENSMUSG00000002428","Hltf",3,0,1,"SE",0,0.005,1,-0.134
"ENSMUSG00000002608","Ccdc97",5,0,1,"SE",0,0.034,1,-0.394
"ENSMUSG00000002845","Tmem39a",10,0,3,"A3SS,MXE,SE",0,0.013,1,0.13
"ENSMUSG00000003119","Cdk12",5,0,2,"MXE,SE",0,0.021,1,0.185
"ENSMUSG00000003810","Mast2",24,0,3,"A3SS,MXE,SE",2,0.021,1,0.248
"ENSMUSG00000003813","Rad23a",9,0,2,"A3SS,SE",0,0.013,1,-0.209
"ENSMUSG00000003863","Ppfia3",4,0,3,"A5SS,RI,SE",1,0.027,1,0.239
"ENSMUSG00000004631","Sgce",17,2,2,"A3SS,SE",1,0.08,1,-0.315
"ENSMUSG00000004698","Hdac9",3,1,2,"A3SS,SE",0,0.057,1,-0.113
"ENSMUSG00000004771","Rab11a",4,0,1,"SE",0,0.011,1,-0.167
"ENSMUSG00000005501","Usp40",11,3,2,"MXE,SE",0,0.109,1,-0.197
"ENSMUSG00000005881","Ergic3",12,0,4,"A3SS,MXE,RI,SE",1,0.013,1,0.169
"ENSMUSG00000005899","Smpd4",13,2,4,"A3SS,MXE,RI,SE",0,0.058,1,0.13
"ENSMUSG00000006315","Tmem147",38,0,4,"A3SS,A5SS,MXE,SE",0,0.019,1,0.195
"ENSMUSG00000006362","Cbfa2t3",3,0,1,"SE",0,0.023,1,-0.124
"ENSMUSG00000006476","Nsmf",16,1,2,"MXE,SE",2,0.028,1,-0.121
"ENSMUSG00000007570","Fance",8,1,3,"A3SS,RI,SE",0,0.068,1,-0.124
"ENSMUSG00000008855","Hdac5",41,1,5,"A3SS,A5SS,MXE,RI,SE",0,0.025,1,0.131
"ENSMUSG00000009073","Nf2",17,0,2,"MXE,SE",0,0.021,1,0.174
"ENSMUSG00000009079","Ewsr1",22,0,4,"A3SS,A5SS,MXE,SE",1,0.01,1,0.222
"ENSMUSG00000009621","Vav2",11,2,1,"SE",2,0.032,1,0.112
"ENSMUSG00000013033","Adgrl1",8,1,2,"RI,SE",3,0.037,1,0.109
"ENSMUSG00000013973","Dedd",5,2,1,"SE",0,0.081,1,0.109
"ENSMUSG00000014355","Anapc1",15,0,2,"MXE,SE",0,0.01,1,-0.16
"ENSMUSG00000014418","Hps5",14,0,5,"A3SS,A5SS,MXE,RI,SE",0,0.029,1,0.156
"ENSMUSG00000015659","Serac1",10,0,2,"MXE,SE",0,0.044,1,0.163
"ENSMUSG00000015942","Gtf2ird2",2,0,2,"A5SS,SE",0,0.031,1,-0.133
"ENSMUSG00000016200","Syt14",8,1,2,"MXE,SE",0,0.05,1,0.138
"ENSMUSG00000017210","Med24",10,1,4,"A5SS,MXE,RI,SE",0,0.021,1,0.179
"ENSMUSG00000017307","Acot8",6,0,2,"A5SS,SE",0,0.023,1,-0.168
"ENSMUSG00000018334","Ksr1",4,0,1,"SE",0,0.059,1,0.203
"ENSMUSG00000018411","Mapt",30,8,3,"A3SS,MXE,SE",0,0.06,1,0.109
"ENSMUSG00000018428","Akap1",10,0,2,"MXE,SE",1,0.015,1,-0.427
"ENSMUSG00000018537","Pcgf2",10,0,2,"A3SS,SE",0,0.031,1,-0.328
"ENSMUSG00000018820","Zfyve27",9,0,2,"MXE,SE",1,0.021,1,0.131
"ENSMUSG00000020131","Pcsk4",6,2,3,"A3SS,MXE,SE",0,0.127,1,-0.313
"ENSMUSG00000020220","Vps13d",17,0,3,"A3SS,MXE,SE",0,0.024,1,0.21
"ENSMUSG00000020231","Dip2a",13,0,4,"A3SS,MXE,RI,SE",1,0.009,1,0.168
"ENSMUSG00000020250","Txnrd1",14,0,3,"MXE,RI,SE",0,0.003,1,-0.218
"ENSMUSG00000020284","Cfap410",9,0,3,"A5SS,RI,SE",1,0.033,1,-0.317
"ENSMUSG00000020451","Limk2",19,3,3,"A5SS,MXE,SE",1,0.061,1,-0.127
"ENSMUSG00000020454","Eif4enif1",21,0,4,"A3SS,A5SS,MXE,SE",0,0.017,1,0.102
"ENSMUSG00000020646","Mboat2",4,0,1,"SE",0,0.057,1,-0.22
"ENSMUSG00000020680","Taf15",25,1,3,"MXE,RI,SE",0,0.043,1,-0.286
"ENSMUSG00000020717","Pecam1",10,0,2,"MXE,SE",2,0.051,1,0.118
"ENSMUSG00000020792","Exoc7",10,3,2,"MXE,SE",0,0.072,1,0.169
"ENSMUSG00000020859","Spag9",16,1,4,"A3SS,MXE,RI,SE",4,0.034,1,0.196
"ENSMUSG00000021276","Cinp",8,2,2,"RI,SE",0,0.074,1,-0.331
"ENSMUSG00000021427","Ssr1",1,0,1,"SE",1,0.058,1,0.156
"ENSMUSG00000021432","Slc35b3",18,0,4,"A3SS,A5SS,MXE,SE",0,0.04,1,-0.124
"ENSMUSG00000021461","Fancc",9,0,2,"RI,SE",0,0.025,1,-0.193
"ENSMUSG00000021548","Ccnh",18,0,3,"A3SS,MXE,SE",0,0.014,1,-0.285
"ENSMUSG00000021686","Ap3b1",38,0,3,"A5SS,MXE,SE",0,0.009,1,0.15
"ENSMUSG00000021820","Camk2g",23,1,4,"A5SS,MXE,RI,SE",0,0.031,1,0.135
"ENSMUSG00000021832","Psmc6",18,0,4,"A5SS,MXE,RI,SE",0,0.023,1,-0.2
"ENSMUSG00000021838","Samd4",5,0,2,"MXE,SE",0,0.04,1,-0.15
"ENSMUSG00000021895","Arhgef3",2,0,1,"SE",0,0.077,1,-0.238
"ENSMUSG00000021969","Zdhhc20",12,0,2,"MXE,SE",2,0.016,1,0.196
"ENSMUSG00000021972","Hmbox1",13,0,3,"A3SS,MXE,SE",0,0.019,1,-0.127
"ENSMUSG00000022307","Oxr1",17,0,1,"SE",5,0.028,1,0.246
"ENSMUSG00000022329","Stk3",4,0,1,"SE",1,0.015,1,0.135
"ENSMUSG00000022359","Wdyhv1",13,0,3,"A5SS,MXE,SE",0,0.025,1,0.11
"ENSMUSG00000022386","Trmu",9,1,3,"A3SS,RI,SE",0,0.035,1,-0.163
"ENSMUSG00000022420","Dnal4",3,0,2,"RI,SE",0,0.019,1,0.119
"ENSMUSG00000022487","Gtsf1",3,0,1,"SE",0,0.096,1,-0.166
"ENSMUSG00000022498","Txndc11",31,0,2,"MXE,SE",0,0.017,1,0.108
"ENSMUSG00000022517","Mgrn1",12,0,1,"SE",0,0.009,1,0.14
"ENSMUSG00000022565","Plec",5,1,2,"A5SS,SE",1,0.039,1,0.101
"ENSMUSG00000022574","Naprt",1,0,1,"SE",0,0.119,1,-0.293
"ENSMUSG00000022604","Cep97",4,0,1,"SE",0,0.016,1,0.111
"ENSMUSG00000022623","Shank3",1,0,1,"SE",0,0.081,1,0.129
"ENSMUSG00000022635","Zcrb1",16,0,2,"MXE,SE",3,0.017,1,-0.163
"ENSMUSG00000022701","Ccdc191",11,0,2,"A3SS,SE",0,0.025,1,0.186
"ENSMUSG00000022801","Lrch3",22,0,3,"A5SS,MXE,SE",0,0.021,1,0.182
"ENSMUSG00000022837","Iqcb1",16,0,3,"A3SS,MXE,SE",0,0.01,1,-0.139
"ENSMUSG00000022890","Atp5j",4,0,1,"SE",0,0.014,1,-0.108
"ENSMUSG00000022992","Kansl2",8,1,3,"A5SS,MXE,SE",0,0.033,1,-0.107
"ENSMUSG00000024044","Epb41l3",31,3,3,"A3SS,MXE,SE",0,0.03,1,0.159
"ENSMUSG00000024050","Wiz",24,1,4,"A3SS,A5SS,MXE,SE",0,0.039,1,-0.17
"ENSMUSG00000024150","Mcfd2",5,1,1,"SE",0,0.043,1,-0.284
"ENSMUSG00000024163","Mapk8ip3",30,0,4,"A3SS,A5SS,MXE,SE",6,0.017,1,0.149
"ENSMUSG00000024273","2700062C07Rik",7,0,3,"A5SS,MXE,SE",2,0.057,1,-0.102
"ENSMUSG00000024301","Kifc5b",5,0,2,"RI,SE",0,0.037,1,0.121
"ENSMUSG00000024357","Sil1",21,1,3,"A5SS,MXE,SE",0,0.029,1,-0.151
"ENSMUSG00000024480","Ap3s1",12,0,2,"MXE,SE",0,0.015,1,-0.757
"ENSMUSG00000024485","Slc4a9",1,0,1,"RI",0,0.315,1,0.264
"ENSMUSG00000024603","Dctn4",9,0,2,"MXE,SE",1,0.01,1,0.164
"ENSMUSG00000024663","Rab3il1",1,0,1,"SE",0,0.095,1,0.181
"ENSMUSG00000024908","Ppp6r3",34,0,4,"A3SS,MXE,RI,SE",1,0.015,1,0.211
"ENSMUSG00000024983","Vti1a",11,1,2,"MXE,SE",3,0.049,1,0.293
"ENSMUSG00000025019","Lcor",32,1,2,"MXE,SE",0,0.055,1,-0.29
"ENSMUSG00000025261","Huwe1",56,3,3,"A3SS,MXE,SE",0,0.027,1,-0.208
"ENSMUSG00000025404","R3hdm2",36,2,3,"A3SS,MXE,SE",0,0.033,1,0.107
"ENSMUSG00000025420","Katnal2",13,0,4,"A3SS,A5SS,MXE,SE",0,0.019,1,0.151
"ENSMUSG00000025485","Ric8a",8,0,4,"A3SS,MXE,RI,SE",0,0.005,1,-0.42
"ENSMUSG00000025762","Larp1b",25,2,3,"A5SS,MXE,SE",0,0.034,1,0.113
"ENSMUSG00000025950","Idh1",7,0,1,"SE",0,0.069,1,-0.307
"ENSMUSG00000026029","Casp8",4,0,1,"SE",0,0.008,1,0.101
"ENSMUSG00000026074","Map4k4",38,2,4,"A3SS,A5SS,MXE,SE",1,0.044,1,0.111
"ENSMUSG00000026082","Rev1",16,2,3,"A3SS,RI,SE",0,0.036,1,-0.111
"ENSMUSG00000026113","Inpp4a",12,3,4,"A3SS,A5SS,MXE,SE",2,0.058,1,0.181
"ENSMUSG00000026179","Pnkd",1,0,1,"SE",0,0.09,1,0.117
"ENSMUSG00000026313","Hdac4",9,0,2,"A5SS,SE",0,0.018,1,-0.211
"ENSMUSG00000026490","Cdc42bpa",27,1,2,"MXE,SE",0,0.026,1,0.18
"ENSMUSG00000026527","Rgs7",19,2,2,"MXE,SE",0,0.053,1,-0.187
"ENSMUSG00000026672","Optn",8,1,3,"MXE,RI,SE",0,0.039,1,-0.105
"ENSMUSG00000026737","Pip4k2a",11,0,2,"MXE,SE",0,0.015,1,-0.154
"ENSMUSG00000026767","Mindy3",63,1,3,"A3SS,MXE,SE",0,0.029,1,-0.136
"ENSMUSG00000026773","Pfkfb3",12,0,2,"MXE,SE",1,0.013,1,0.127
"ENSMUSG00000026781","Acbd5",14,0,3,"A3SS,MXE,SE",0,0.013,1,0.171
"ENSMUSG00000026825","Dnm1",24,0,5,"A3SS,A5SS,MXE,RI,SE",1,0.021,1,-0.104
"ENSMUSG00000026853","Crat",9,0,3,"A3SS,MXE,SE",0,0.014,1,0.102
"ENSMUSG00000026860","Sh3glb2",22,3,5,"A3SS,A5SS,MXE,RI,SE",5,0.036,1,0.228
"ENSMUSG00000026867","Gapvd1",27,1,3,"A5SS,MXE,SE",1,0.016,1,0.177
"ENSMUSG00000026873","Phf19",4,1,2,"RI,SE",0,0.069,1,-0.179
"ENSMUSG00000026946","Nmi",4,0,1,"SE",0,0.036,1,0.198
"ENSMUSG00000026977","Marchf7",15,0,4,"A3SS,A5SS,MXE,SE",1,0.014,1,0.187
"ENSMUSG00000026999","Nup35",10,0,4,"A3SS,MXE,RI,SE",0,0.042,1,-0.356
"ENSMUSG00000027001","Dusp19",9,0,3,"A3SS,MXE,SE",0,0.032,1,0.124
"ENSMUSG00000027071","P2rx3",7,0,2,"MXE,SE",2,0.047,1,-0.104
"ENSMUSG00000027130","Slc12a6",2,0,1,"SE",0,0.109,1,0.131
"ENSMUSG00000027207","Galk2",13,0,4,"A3SS,A5SS,MXE,SE",0,0.016,1,0.194
"ENSMUSG00000027273","Snap25",23,0,2,"MXE,SE",0,0.017,1,-0.111
"ENSMUSG00000027281","Slx4ip",5,1,1,"SE",0,0.094,1,-0.22
"ENSMUSG00000027478","Dnmt3b",8,0,2,"A3SS,SE",0,0.034,1,-0.127
"ENSMUSG00000027506","Tpd52",15,1,3,"A5SS,MXE,SE",2,0.025,1,0.314
"ENSMUSG00000027523","Gnas",48,0,4,"A3SS,A5SS,MXE,SE",3,0.015,1,0.15
"ENSMUSG00000027550","Lrrcc1",9,1,4,"A3SS,A5SS,MXE,SE",0,0.058,1,0.119
"ENSMUSG00000027575","Arfgap1",14,2,3,"A3SS,MXE,SE",1,0.052,1,-0.183
"ENSMUSG00000027630","Tbl1xr1",13,0,2,"A3SS,SE",0,0.047,1,-0.127
"ENSMUSG00000027634","Ndrg3",18,0,2,"MXE,SE",0,0.015,1,0.113
"ENSMUSG00000027646","Src",5,0,1,"SE",1,0.015,1,0.119
"ENSMUSG00000027677","Ttc14",23,1,5,"A3SS,A5SS,MXE,RI,SE",0,0.03,1,-0.105
"ENSMUSG00000027708","Dcun1d1",5,0,2,"A5SS,SE",0,0.015,1,-0.117
"ENSMUSG00000027763","Mbnl1",17,1,3,"A3SS,MXE,SE",0,0.027,1,0.146
"ENSMUSG00000027799","Nbea",16,0,2,"MXE,SE",1,0.012,1,0.201
"ENSMUSG00000028013","Ppa2",23,0,2,"MXE,SE",0,0.021,1,-0.221
"ENSMUSG00000028033","Kcnq5",2,0,1,"SE",1,0.151,1,0.353
"ENSMUSG00000028207","Asph",21,2,2,"MXE,SE",0,0.033,1,0.119
"ENSMUSG00000028256","Odf2l",14,1,5,"A3SS,A5SS,MXE,RI,SE",0,0.079,1,0.141
"ENSMUSG00000028312","Smc2",6,0,2,"A5SS,SE",0,0.033,1,0.107
"ENSMUSG00000028433","Ubap2",12,0,2,"MXE,SE",0,0.012,1,0.109
"ENSMUSG00000028550","Atg4c",4,1,1,"SE",0,0.046,1,0.143
"ENSMUSG00000028565","Nfia",2,0,1,"SE",0,0.058,1,0.238
"ENSMUSG00000028744","Slc66a1",3,0,3,"A5SS,RI,SE",0,0.084,1,-0.155
"ENSMUSG00000028796","Phc2",8,1,3,"A3SS,A5SS,SE",0,0.033,1,-0.202
"ENSMUSG00000028886","Eya3",18,0,3,"A5SS,MXE,SE",0,0.016,1,0.204
"ENSMUSG00000028919","Arhgef19",6,1,1,"SE",0,0.08,1,-0.18
"ENSMUSG00000028931","Kcnab2",15,0,2,"MXE,SE",0,0.021,1,0.133
"ENSMUSG00000029055","Plch2",5,4,3,"A5SS,RI,SE",1,0.208,1,0.144
"ENSMUSG00000029148","Nrbp1",13,0,4,"A5SS,MXE,RI,SE",1,0.01,1,0.114
"ENSMUSG00000029152","Ociad1",10,0,2,"A5SS,SE",0,0.005,1,-0.116
"ENSMUSG00000029206","Nsun7",5,0,2,"MXE,SE",0,0.127,1,-0.508
"ENSMUSG00000029208","Guf1",10,0,3,"MXE,RI,SE",0,0.016,1,0.123
"ENSMUSG00000029221","Slc30a9",13,0,4,"A3SS,MXE,RI,SE",0,0.012,1,0.167
"ENSMUSG00000029405","G3bp2",5,0,1,"SE",0,0.023,1,0.121
"ENSMUSG00000029422","Rsrc2",16,0,2,"A3SS,SE",0,0.029,1,-0.133
"ENSMUSG00000029528","Pxn",4,0,2,"RI,SE",0,0.036,1,0.501
"ENSMUSG00000029534","St7",31,0,5,"A3SS,A5SS,MXE,RI,SE",0,0.021,1,0.107
"ENSMUSG00000029538","Srsf9",7,0,2,"MXE,SE",0,0.009,1,0.109
"ENSMUSG00000029635","Cdk8",29,2,3,"A3SS,MXE,SE",0,0.033,1,0.127
"ENSMUSG00000029712","Actl6b",17,0,3,"A3SS,MXE,SE",0,0.04,1,0.179
"ENSMUSG00000029780","Nt5c3",12,0,1,"SE",0,0.048,1,0.166
"ENSMUSG00000029823","Luc7l2",39,4,3,"A5SS,MXE,SE",1,0.07,1,0.18
"ENSMUSG00000029863","Casp2",2,0,1,"SE",0,0.041,1,0.378
"ENSMUSG00000029924","Slc37a3",18,0,2,"MXE,SE",0,0.034,1,0.136
"ENSMUSG00000030060","Hmces",4,0,1,"SE",0,0.003,1,-0.17
"ENSMUSG00000030089","Slc41a3",2,1,1,"SE",0,0.148,1,0.27
"ENSMUSG00000030231","Plekha5",29,2,4,"A3SS,MXE,RI,SE",1,0.04,1,0.13
"ENSMUSG00000030254","Rad18",9,0,2,"MXE,SE",0,0.005,1,0.107
"ENSMUSG00000030263","Irag2",9,1,3,"A5SS,RI,SE",0,0.057,1,0.4
"ENSMUSG00000030279","C2cd5",22,0,2,"MXE,SE",0,0.016,1,0.132
"ENSMUSG00000030281","Il17rc",17,0,4,"A3SS,MXE,RI,SE",0,0.022,1,0.114
"ENSMUSG00000030304","Ergic2",20,0,4,"A3SS,A5SS,MXE,SE",0,0.009,1,-0.109
"ENSMUSG00000030409","Dmpk",20,3,4,"A3SS,A5SS,RI,SE",0,0.051,1,-0.109
"ENSMUSG00000030498","Gas2",6,0,1,"SE",0,0.042,1,0.143
"ENSMUSG00000030660","Pik3c2a",13,0,2,"MXE,SE",0,0.026,1,0.115
"ENSMUSG00000030691","Fchsd2",9,0,3,"A5SS,MXE,SE",0,0.017,1,0.12
"ENSMUSG00000030852","Tacc2",19,1,5,"A3SS,A5SS,MXE,RI,SE",0,0.028,1,0.125
"ENSMUSG00000030924","Rexo5",24,2,3,"A5SS,MXE,SE",0,0.063,1,0.105
"ENSMUSG00000030987","Stim1",6,0,2,"MXE,SE",0,0.025,1,0.188
"ENSMUSG00000030990","Pgap2",22,0,3,"A5SS,MXE,SE",2,0.038,1,0.105
"ENSMUSG00000031012","Cask",13,2,3,"A5SS,MXE,SE",2,0.033,1,0.169
"ENSMUSG00000031078","Cttn",39,1,2,"MXE,SE",0,0.031,1,-0.138
"ENSMUSG00000031105","Slc25a14",25,2,3,"A5SS,MXE,SE",0,0.069,1,0.299
"ENSMUSG00000031314","Taf1",9,0,3,"A3SS,MXE,SE",1,0.024,1,0.201
"ENSMUSG00000031488","Rab11fip1",3,0,1,"SE",0,0.049,1,0.102
"ENSMUSG00000031508","Ankrd10",8,0,3,"MXE,RI,SE",0,0.026,1,0.12
