"GeneID","geneSymbol","max_abs_dPSI","best_dPSI","min_FDR","n_events","event_types"
"ENSMUSG00000021156","Zmynd11",0.158,-0.158,6.6677676343313e-09,1,"A5SS"
"ENSMUSG00000026767","Mindy3",0.343,-0.343,6.6738543372281e-09,2,"SE,MXE"
"ENSMUSG00000032624","Eml4",0.239,0.239,7.77367782715381e-09,3,"SE"
"ENSMUSG00000086035","Gm12610",0.324,0.324,8.27328736591769e-09,5,"SE,MXE"
"ENSMUSG00000037805","Rpl10a",0.127,0.127,1.0811549529383e-08,1,"RI"
"ENSMUSG00000015222","Map2",0.2,-0.2,1.27542796908975e-08,1,"SE"
"ENSMUSG00000074758","Gm5535",0.316,0.316,1.36834780664256e-08,4,"SE"
"ENSMUSG00000016664","Pacsin2",0.132,0.132,1.47590581058568e-08,1,"SE"
"ENSMUSG00000037697","Ddhd1",0.208,0.208,1.51614692199789e-08,3,"SE"
"ENSMUSG00000009741","Ubp1",0.218,-0.218,1.78181472998122e-08,3,"SE,MXE,RI"
"ENSMUSG00000030409","Dmpk",0.201,-0.201,2.02220019005814e-08,2,"SE,RI"
"ENSMUSG00000087380","2210408F21Rik",0.599,-0.599,2.54995459858457e-08,5,"SE,A3SS,MXE,RI"
"ENSMUSG00000021709","Erbin",0.455,-0.455,3.67696787739001e-08,4,"SE,MXE"
"ENSMUSG00000001120","Pcbp3",0.179,0.179,3.76564719817768e-08,1,"SE"
"ENSMUSG00000027692","Tnik",0.176,0.176,3.79978041575934e-08,1,"SE"
"ENSMUSG00000025006","Sorbs1",0.28,0.28,3.82068214758142e-08,7,"SE,A3SS,MXE"
"ENSMUSG00000029267","Mtf2",0.145,-0.145,4.51218165962589e-08,3,"SE"
"ENSMUSG00000021843","Ktn1",0.143,-0.143,7.46915729597831e-08,1,"SE"
"ENSMUSG00000032826","Ank2",0.192,0.192,7.50203677072801e-08,2,"SE"
"ENSMUSG00000029022","Miip",0.108,-0.108,1.03483326864201e-07,1,"SE"
"ENSMUSG00000028184","Adgrl2",0.519,-0.519,1.10144643457812e-07,4,"SE,A5SS"
"ENSMUSG00000002524","Puf60",0.103,0.103,1.15926029246631e-07,1,"SE"
"ENSMUSG00000033392","Clasp2",0.252,0.252,1.26060491336164e-07,1,"SE"
"ENSMUSG00000030924","Rexo5",0.252,-0.252,1.38617606886038e-07,3,"SE,A5SS,MXE"
"ENSMUSG00000021493","Pdlim7",0.179,-0.179,1.3914298788929e-07,1,"RI"
"ENSMUSG00000024287","Thoc1",0.157,-0.157,1.82899828776282e-07,2,"A5SS,RI"
"ENSMUSG00000022568","Scrib",0.132,-0.132,2.11757429750358e-07,1,"SE"
"ENSMUSG00000034616","Ssh3",0.277,-0.277,3.20985041451668e-07,2,"RI"
"ENSMUSG00000022973","Synj1",0.254,0.254,3.69833523303806e-07,3,"SE"
"ENSMUSG00000022791","Tnk2",0.106,-0.106,4.2247188603458e-07,1,"SE"
"ENSMUSG00000027506","Tpd52",0.314,0.314,4.42357879944787e-07,1,"SE"
"ENSMUSG00000021281","Tnfaip2",0.184,-0.184,5.51753155598114e-07,1,"RI"
"ENSMUSG00000029916","Agk",0.371,-0.371,5.81956058883445e-07,1,"SE"
"ENSMUSG00000035640","Cbarp",0.193,-0.193,6.82236601168504e-07,2,"SE"
"ENSMUSG00000028995","Hycc1",0.161,-0.161,7.39491230381861e-07,1,"SE"
"ENSMUSG00000063894","Zkscan8",0.165,-0.165,8.21525010499406e-07,1,"SE"
"ENSMUSG00000022770","Dlg1",0.139,0.139,8.81268485011539e-07,2,"SE"
"ENSMUSG00000032594","Ip6k1",0.151,-0.151,9.288652796606e-07,2,"SE,RI"
"ENSMUSG00000037058","Paip2",0.442,-0.442,1.06160668563504e-06,5,"SE"
"ENSMUSG00000026490","Cdc42bpa",0.18,0.18,1.18301469469446e-06,2,"SE,MXE"
"ENSMUSG00000029767","Calu",0.112,-0.112,1.19231983726232e-06,2,"SE,MXE"
"ENSMUSG00000028546","Elavl4",0.208,-0.208,1.34079673279972e-06,1,"SE"
"ENSMUSG00000017652","Cd40",0.152,-0.152,1.82714629193345e-06,1,"SE"
"ENSMUSG00000020385","Clk4",0.322,-0.322,1.96680001714449e-06,3,"SE"
"ENSMUSG00000060206","Zfp462",0.114,0.114,2.05697629589022e-06,1,"A3SS"
"ENSMUSG00000026074","Map4k4",0.111,0.111,2.47459982056176e-06,1,"SE"
"ENSMUSG00000022558","Mroh1",0.247,0.247,2.71802851945387e-06,4,"SE,RI"
"ENSMUSG00000043411","Usp48",0.126,-0.126,2.87392006700783e-06,1,"SE"
"ENSMUSG00000047767","Atg16l2",0.18,-0.18,3.01052403882072e-06,2,"A5SS,RI"
"ENSMUSG00000021693","Kif2a",0.145,-0.145,3.44348512967576e-06,1,"SE"
"ENSMUSG00000040860","Crocc",0.219,-0.219,3.45198987400359e-06,1,"RI"
"ENSMUSG00000050944","Efcab5",0.541,0.541,3.71457112083881e-06,1,"SE"
"ENSMUSG00000045031","Cetn4",0.341,-0.341,3.76735372788883e-06,2,"SE"
"ENSMUSG00000021288","Klc1",0.126,0.126,4.04143840633022e-06,2,"SE"
"ENSMUSG00000031736","Crnde",0.175,0.175,4.77952982853209e-06,5,"A5SS,MXE"
"ENSMUSG00000060450","Rnf14",0.266,-0.266,4.81587800938116e-06,2,"SE"
"ENSMUSG00000021557","Agtpbp1",0.119,0.119,5.21793667820254e-06,1,"SE"
"ENSMUSG00000038174","Hycc2",0.543,-0.543,5.2424516665807e-06,2,"SE,A5SS"
"ENSMUSG00000021820","Camk2g",0.148,0.148,5.2875225611611e-06,3,"SE,MXE"
"ENSMUSG00000000538","Tom1l2",0.151,-0.151,6.10806624409645e-06,1,"SE"
"ENSMUSG00000029359","Tesc",0.127,0.127,6.36766601400259e-06,1,"RI"
"ENSMUSG00000036817","Sun1",0.156,0.156,6.63382162493851e-06,3,"SE"
"ENSMUSG00000029290","Zfp326",0.127,-0.127,6.76631137863942e-06,1,"RI"
"ENSMUSG00000079036","Alkbh1",0.119,-0.119,6.78896725792226e-06,1,"A3SS"
"ENSMUSG00000025217","Btrc",0.275,-0.275,6.97195304985411e-06,2,"SE"
"ENSMUSG00000027247","Arhgap1",0.17,0.17,7.37127930058624e-06,2,"SE,RI"
"ENSMUSG00000019823","Mical1",0.137,0.137,7.77315408646622e-06,2,"A5SS,A3SS"
"ENSMUSG00000005501","Usp40",0.264,0.264,7.82608919974478e-06,2,"SE"
"ENSMUSG00000022488","Nckap1l",0.155,-0.155,8.99666148170899e-06,1,"RI"
"ENSMUSG00000001576","Ergic1",0.156,-0.156,9.56667335520824e-06,1,"SE"
"ENSMUSG00000063179","Pstk",0.194,-0.194,9.64503146274737e-06,1,"SE"
"ENSMUSG00000086968","4933431E20Rik",0.32,-0.32,1.16904750422473e-05,5,"SE,A3SS,RI"
"ENSMUSG00000039844","Rapgef1",0.176,0.176,1.26096191121668e-05,5,"SE,A3SS,MXE"
"ENSMUSG00000023977","Ubr2",0.15,-0.15,1.30441165076963e-05,1,"SE"
"ENSMUSG00000046822","Slc39a3",0.195,0.195,1.39934540556634e-05,2,"SE,A3SS"
"ENSMUSG00000048899","Rimkla",0.227,0.227,1.48762805021752e-05,1,"SE"
"ENSMUSG00000020527","Myo19",0.162,-0.162,1.50386396388747e-05,1,"SE"
"ENSMUSG00000028256","Odf2l",0.141,0.141,1.59770158945174e-05,1,"SE"
"ENSMUSG00000025982","Sf3b1",0.129,-0.129,1.67354590081309e-05,1,"RI"
"ENSMUSG00000062785","Kcnc3",0.326,0.326,1.7021590643803e-05,2,"SE"
"ENSMUSG00000055692","Tmem191",0.146,0.146,1.7376908758604e-05,2,"RI"
"ENSMUSG00000062991","Nrg1",0.3,-0.3,1.79724354088349e-05,3,"SE,MXE"
"ENSMUSG00000022607","Ptk2",0.277,-0.277,1.82144288951477e-05,2,"SE"
"ENSMUSG00000058886","Deaf1",0.207,-0.207,1.8567258562636e-05,1,"SE"
"ENSMUSG00000042099","Kank3",0.217,-0.217,1.92870257431643e-05,1,"RI"
"ENSMUSG00000031819","Emc8",0.243,-0.243,2.37073992252985e-05,1,"SE"
"ENSMUSG00000013033","Adgrl1",0.109,0.109,2.50717601519826e-05,1,"SE"
"ENSMUSG00000036977","Anapc10",0.152,-0.152,2.52281380735468e-05,2,"A3SS"
"ENSMUSG00000038371","Sbf2",0.239,0.239,2.67972427983008e-05,1,"SE"
"ENSMUSG00000065954","Tacc1",0.109,0.109,2.91585154059633e-05,1,"SE"
"ENSMUSG00000051586","Mical3",0.203,0.203,3.09343976434161e-05,4,"SE"
"ENSMUSG00000121504","Ppp4r1l-ps",0.364,-0.364,3.21565627657686e-05,13,"SE,A5SS,A3SS,MXE"
"ENSMUSG00000025165","Sectm1a",0.276,0.276,3.3470602441056e-05,1,"SE"
"ENSMUSG00000097068","Gm26760",0.168,-0.168,3.3470602441056e-05,2,"SE"
"ENSMUSG00000016921","Srsf6",0.118,-0.118,3.49662058711641e-05,1,"RI"
"ENSMUSG00000071454","Dtnb",0.187,-0.187,3.98457234897981e-05,1,"SE"
"ENSMUSG00000028232","Tmem68",0.133,0.133,4.37655541718684e-05,1,"SE"
"ENSMUSG00000024969","Mark2",0.155,0.155,4.91683066458666e-05,1,"SE"
"ENSMUSG00000014554","Dguok",0.111,-0.111,5.21162027294763e-05,1,"SE"
"ENSMUSG00000039477","Tnrc18",0.125,-0.125,5.6780257952858e-05,1,"SE"
"ENSMUSG00000021198","Unc79",0.285,0.285,5.84596770543621e-05,1,"SE"
"ENSMUSG00000085385","Snhg17",0.113,-0.113,5.87915123489566e-05,1,"RI"
"ENSMUSG00000034570","Inpp5j",0.311,-0.311,6.36685296645726e-05,1,"RI"
"ENSMUSG00000026082","Rev1",0.111,-0.111,6.57950000471446e-05,1,"SE"
"ENSMUSG00000014856","Tmem208",0.145,-0.145,6.72179682503101e-05,1,"RI"
"ENSMUSG00000072769","Gm10419",0.289,-0.289,7.7199473006156e-05,1,"A3SS"
"ENSMUSG00000036281","Snapc4",0.164,-0.164,7.76640955183628e-05,2,"SE,RI"
"ENSMUSG00000072501","Phf20l1",0.173,0.173,8.70202360366435e-05,3,"SE,A3SS,RI"
"ENSMUSG00000121449","Pdxk-ps",0.243,-0.243,9.5615601370151e-05,1,"SE"
"ENSMUSG00000063849","Ppcdc",0.133,-0.133,9.80843684335103e-05,1,"A3SS"
"ENSMUSG00000020400","Tnip1",0.105,-0.105,9.86385485281311e-05,1,"SE"
"ENSMUSG00000029001","Fbxo44",0.149,-0.149,9.97834579262941e-05,1,"SE"
"ENSMUSG00000026672","Optn",0.128,-0.128,0.000104051389815665,2,"SE"
"ENSMUSG00000092569","Gm20544",0.647,-0.647,0.000104406995184422,2,"RI"
"ENSMUSG00000031885","Cbfb",0.106,0.106,0.000125441534807171,1,"MXE"
"ENSMUSG00000035642","Aamdc",0.156,-0.156,0.000130386073197813,2,"SE,MXE"
"ENSMUSG00000029810","Tmem176b",0.225,0.225,0.00013436132024623,1,"SE"
"ENSMUSG00000015377","Dennd6b",0.142,-0.142,0.000145518640025306,1,"RI"
"ENSMUSG00000027263","Tubgcp4",0.173,-0.173,0.000147351464131598,2,"RI"
"ENSMUSG00000022674","Ube2v2",0.129,0.129,0.000152305644525748,1,"SE"
"ENSMUSG00000030231","Plekha5",0.13,0.13,0.000154721940580891,2,"SE"
"ENSMUSG00000097571","Jpx",0.242,-0.242,0.000157722686902773,1,"SE"
"ENSMUSG00000107271","BC028471",0.161,-0.161,0.000157722686902773,1,"SE"
"ENSMUSG00000020863","Luc7l3",0.274,-0.274,0.000160819830638747,2,"SE"
"ENSMUSG00000038564","Ift172",0.146,-0.146,0.000164390394169034,1,"RI"
"ENSMUSG00000043384","Gprasp1",0.116,-0.116,0.000170361482754721,2,"SE,MXE"
"ENSMUSG00000069601","Ank3",0.251,0.251,0.000174189054449646,5,"SE,A3SS"
"ENSMUSG00000017421","Zfp207",0.118,-0.118,0.000179183588215677,1,"SE"
"ENSMUSG00000031774","Psme3ip1",0.36,0.36,0.000184545359371775,1,"SE"
"ENSMUSG00000032525","Nktr",0.179,-0.179,0.000195011690381948,2,"A5SS,RI"
"ENSMUSG00000032127","Vps11",0.143,-0.143,0.00019987150027412,1,"RI"
"ENSMUSG00000085396","Firre",0.547,-0.547,0.000206097439282431,1,"SE"
"ENSMUSG00000063659","Zbtb18",0.198,-0.198,0.000214420445889129,2,"SE"
"ENSMUSG00000043923","Ccdc84",0.158,-0.158,0.000225336265830074,1,"A5SS"
"ENSMUSG00000010086","Rnf112",0.368,-0.368,0.000243901099516242,2,"SE"
"ENSMUSG00000029625","Cpsf4",0.114,-0.114,0.000253680060378327,2,"RI"
"ENSMUSG00000113585","Gm19605",0.349,0.349,0.000271108393066682,1,"SE"
"ENSMUSG00000029328","Hnrnpdl",0.135,-0.135,0.000274731490298617,1,"SE"
"ENSMUSG00000031671","Setd6",0.278,-0.278,0.00028535479141325,2,"SE"
"ENSMUSG00000040687","Madd",0.143,0.143,0.000297928868703475,1,"SE"
"ENSMUSG00000020131","Pcsk4",0.313,-0.313,0.000305532660300201,3,"SE,MXE"
"ENSMUSG00000044229","Nxpe4",0.198,0.198,0.000314714118745779,4,"SE"
"ENSMUSG00000100510","Hand2os1",0.308,0.308,0.00031990563030739,1,"SE"
"ENSMUSG00000023764","Sfi1",0.143,-0.143,0.00032334952964401,1,"RI"
"ENSMUSG00000023206","Il15ra",0.26,0.26,0.000323814026939444,3,"SE"
"ENSMUSG00000039275","Foxk2",0.253,-0.253,0.000327331485137548,1,"SE"
"ENSMUSG00000117679","Apbb3",0.156,-0.156,0.000361866174391692,1,"RI"
"ENSMUSG00000040123","Zmym5",0.114,0.114,0.000377227763422474,1,"SE"
"ENSMUSG00000087177","E130307A14Rik",0.324,-0.324,0.000392061214348815,6,"SE"
"ENSMUSG00000038696","Mapkap1",0.263,0.263,0.000395077248497826,1,"SE"
"ENSMUSG00000031389","Arhgap4",0.147,-0.147,0.00041926708729702,1,"RI"
"ENSMUSG00000035597","Prpf39",0.126,-0.126,0.000428683462664967,1,"SE"
"ENSMUSG00000025813","Homer2",0.122,-0.122,0.000432365836941914,1,"A5SS"
"ENSMUSG00000028487","Bnc2",0.136,0.136,0.000444651982563322,1,"SE"
"ENSMUSG00000047021","Cfap65",0.196,-0.196,0.000453410528513037,3,"SE,MXE"
"ENSMUSG00000097039","Pvt1",0.211,-0.211,0.000453410528513037,7,"SE,A5SS,MXE"
"ENSMUSG00000029478","Ncor2",0.145,-0.145,0.000460919086951993,1,"SE"
"ENSMUSG00000068699","Flnc",0.118,0.118,0.000460919086951993,1,"SE"
"ENSMUSG00000024180","Pgap6",0.138,0.138,0.000501507535248474,2,"RI"
"ENSMUSG00000069631","Strada",0.157,0.157,0.000602301753398828,3,"SE,A5SS"
"ENSMUSG00000053332","Gas5",0.203,-0.203,0.000629098103955743,3,"A5SS,A3SS"
"ENSMUSG00000006649","Nphs1",0.291,-0.291,0.000682847500035188,1,"SE"
"ENSMUSG00000039159","Ube2h",0.13,0.13,0.000683516245056237,1,"SE"
"ENSMUSG00000045761","Togaram2",0.161,0.161,0.000722167580853768,1,"SE"
"ENSMUSG00000070047","Fat1",0.288,0.288,0.000723374244043817,4,"SE,MXE"
"ENSMUSG00000099481","Xndc1",0.157,-0.157,0.000794349425605419,1,"SE"
"ENSMUSG00000074887","EU599041",0.139,-0.139,0.000806405267909375,1,"SE"
"ENSMUSG00000022871","Fetub",0.102,-0.102,0.000884537230798935,1,"SE"
"ENSMUSG00000027655","Dhx35",0.108,-0.108,0.00089285336180952,1,"RI"
"ENSMUSG00000045679","Pqlc3",0.234,-0.234,0.000894816080795114,3,"SE,A3SS"
"ENSMUSG00000022228","Zscan26",0.195,-0.195,0.00098798154981665,1,"SE"
"ENSMUSG00000024238","Zeb1",0.273,0.273,0.000989570895247771,1,"SE"
"ENSMUSG00000030166","Rad52",0.104,-0.104,0.000990952536673053,1,"A3SS"
"ENSMUSG00000102976","Zc3h11a",0.11,-0.11,0.00107132927014679,1,"SE"
"ENSMUSG00000061882","Ccdc62",0.112,0.112,0.00109373295113084,1,"SE"
"ENSMUSG00000032217","Rnf111",0.112,-0.112,0.00113188630079665,1,"A3SS"
"ENSMUSG00000042138","Msantd2",0.217,-0.217,0.00118993185014624,2,"SE"
"ENSMUSG00000052373","Mpp3",0.232,-0.232,0.00131625223293979,1,"A3SS"
"ENSMUSG00000046774","8030474K03Rik",0.198,-0.198,0.0013335449593757,1,"A5SS"
"ENSMUSG00000051331","Cacna1c",0.194,0.194,0.00134609347915179,4,"SE"
"ENSMUSG00000004562","Arhgef40",0.176,-0.176,0.00145124279726143,2,"SE,A3SS"
"ENSMUSG00000002885","Adgre5",0.212,0.212,0.00158421278587421,2,"SE,MXE"
"ENSMUSG00000000386","Mx1",0.222,-0.222,0.00170232807648526,2,"SE"
"ENSMUSG00000113204","Gm46430",0.433,-0.433,0.00187609735255649,2,"SE"
"ENSMUSG00000022324","Matn2",0.316,-0.316,0.00196738291378422,1,"A3SS"
"ENSMUSG00000040455","Usp45",0.102,-0.102,0.00213734272654972,1,"SE"
"ENSMUSG00000024381","Bin1",0.158,0.158,0.00216435526037455,2,"SE"
"ENSMUSG00000049606","Zfp644",0.149,-0.149,0.00216620824758303,1,"RI"
"ENSMUSG00000025019","Lcor",0.29,-0.29,0.00218961741970944,2,"SE"
"ENSMUSG00000073016","Uprt",0.206,-0.206,0.00221702495990371,2,"SE"
"ENSMUSG00000030177","Ccdc77",0.167,-0.167,0.00242918155085673,1,"A3SS"
"ENSMUSG00000004631","Sgce",0.315,-0.315,0.00242929849777765,1,"SE"
"ENSMUSG00000044712","Slc38a6",0.319,0.319,0.0025309142595526,1,"SE"
"ENSMUSG00000040557","Mettl27",0.186,0.186,0.00254301092529718,1,"SE"
"ENSMUSG00000056938","Acbd4",0.163,-0.163,0.00261137723073095,1,"RI"
"ENSMUSG00000023008","Fmnl3",0.157,-0.157,0.00281721077343178,1,"SE"
"ENSMUSG00000030089","Slc41a3",0.274,-0.274,0.00296515827413826,3,"SE,MXE"
"ENSMUSG00000090086","AI480526",0.206,-0.206,0.00300320827830704,1,"A5SS"
"ENSMUSG00000032534","Cep63",0.548,0.548,0.0030228753200067,2,"SE"
"ENSMUSG00000020262","Adarb1",0.145,-0.145,0.00318131650478157,1,"A5SS"
"ENSMUSG00000002031","Ift46",0.103,0.103,0.00318488327296499,1,"SE"
"ENSMUSG00000003847","Nfat5",0.165,0.165,0.00319255376954588,1,"SE"
"ENSMUSG00000041769","Ppp2r2d",0.426,-0.426,0.00326530360508196,1,"SE"
"ENSMUSG00000024050","Wiz",0.17,-0.17,0.00333909935749162,1,"SE"
"ENSMUSG00000036009","Mettl25",0.144,0.144,0.00340828093232473,1,"SE"
"ENSMUSG00000030314","Atg7",0.246,0.246,0.00355749151789364,1,"SE"
"ENSMUSG00000033306","Lpp",0.164,0.164,0.00380042718687976,1,"SE"
"ENSMUSG00000037270","Bltp1",0.105,0.105,0.00384229255135705,1,"SE"
"ENSMUSG00000059439","Bcas3",0.293,0.293,0.00387829859243398,1,"SE"
"ENSMUSG00000054708","Ankrd24",0.251,-0.251,0.00399090106339603,2,"SE,RI"
"ENSMUSG00000059022","Kcp",0.2,-0.2,0.00429459981290267,1,"A3SS"
"ENSMUSG00000046613","Vwa5b2",0.117,-0.117,0.00430703572166353,1,"SE"
"ENSMUSG00000029761","Cald1",0.107,-0.107,0.00460643952545561,2,"SE"
"ENSMUSG00000019261","Map1s",0.154,-0.154,0.00484527900708301,1,"RI"
"ENSMUSG00000071176","Arhgef10",0.118,-0.118,0.00486650585162723,1,"SE"
"ENSMUSG00000053714","4732471J01Rik",0.369,0.369,0.00488064614046515,1,"A5SS"
"ENSMUSG00000034602","Mon2",0.104,0.104,0.00513475016025838,1,"SE"
"ENSMUSG00000023044","Csad",0.112,-0.112,0.00536438412659678,1,"SE"
"ENSMUSG00000042156","Dzip1",0.149,-0.149,0.00537855963073971,1,"SE"
"ENSMUSG00000037017","Zscan21",0.12,0.12,0.00539636299205165,1,"A5SS"
"ENSMUSG00000070871","Ccnyl1",0.132,0.132,0.00547777341587247,1,"MXE"
"ENSMUSG00000006720","Zfp184",0.166,0.166,0.0056367518302154,2,"A5SS,A3SS"
"ENSMUSG00000039126","Prune2",0.118,0.118,0.00583089718009933,3,"SE"
"ENSMUSG00000007035","Msh5",0.169,0.169,0.00587754934047666,2,"SE,MXE"
"ENSMUSG00000063142","Kcnma1",0.101,-0.101,0.00630521314346458,2,"SE"
"ENSMUSG00000034757","Tmub2",0.101,0.101,0.00667402540408593,1,"SE"
"ENSMUSG00000030016","Zfp638",0.133,0.133,0.00746068119617837,1,"SE"
"ENSMUSG00000052760","A630001G21Rik",0.126,-0.126,0.00748317045305636,1,"A3SS"
"ENSMUSG00000097910","Hdnr",0.236,0.236,0.00767469527043458,2,"SE"
"ENSMUSG00000054517","Trim65",0.14,-0.14,0.0078899116968365,1,"RI"
"ENSMUSG00000035476","Tab3",0.181,0.181,0.00789784768877363,2,"SE,MXE"
"ENSMUSG00000058486","Wdr91",0.261,-0.261,0.0082031896890259,1,"SE"
"ENSMUSG00000021901","Bap1",0.12,-0.12,0.00820424603608535,1,"RI"
"ENSMUSG00000049676","Catsperg1",0.112,0.112,0.00821908621830262,1,"A3SS"
"ENSMUSG00000024357","Sil1",0.151,-0.151,0.00834411818933639,1,"SE"
"ENSMUSG00000030727","Rabep2",0.146,-0.146,0.00856730665994191,1,"RI"
"ENSMUSG00000090173","Fbxw10",0.187,0.187,0.0086626989299094,1,"SE"
"ENSMUSG00000021782","Dlg5",0.159,0.159,0.00869172600910798,1,"SE"
"ENSMUSG00000033486","Catsper2",0.133,0.133,0.0090493144473826,2,"SE"
"ENSMUSG00000058966","Tlcd3b",0.153,-0.153,0.00957196931605333,1,"SE"
"ENSMUSG00000024985","Tcf7l2",0.123,0.123,0.0103281024486097,1,"A3SS"
"ENSMUSG00000031105","Slc25a14",0.299,0.299,0.0103892994683788,1,"SE"
"ENSMUSG00000068329","Htra2",0.203,-0.203,0.0108028360111472,1,"A5SS"
"ENSMUSG00000029716","Tfr2",0.13,0.13,0.0109212511159536,1,"SE"
"ENSMUSG00000024983","Vti1a",0.293,0.293,0.0119092933064956,2,"SE"
