"GeneID","geneSymbol","max_abs_dPSI","best_dPSI","min_FDR","n_events","event_types"
"ENSMUSG00000030846","Tial1",0.183,-0.183,0,2,"SE,RI"
"ENSMUSG00000030979","Uros",0.206,-0.206,0,1,"RI"
"ENSMUSG00000031153","Gripap1",0.161,-0.161,0,2,"SE"
"ENSMUSG00000031297","Slc7a3",0.122,0.122,0,1,"RI"
"ENSMUSG00000031310","Zmym3",0.201,-0.201,0,3,"SE"
"ENSMUSG00000031391","L1cam",0.179,-0.179,0,1,"SE"
"ENSMUSG00000031671","Setd6",0.285,-0.285,0,4,"SE"
"ENSMUSG00000031708","Tecr",0.129,-0.129,0,3,"SE,MXE"
"ENSMUSG00000031822","Gse1",0.126,0.126,0,1,"SE"
"ENSMUSG00000032594","Ip6k1",0.199,-0.199,0,2,"SE,RI"
"ENSMUSG00000032624","Eml4",0.302,0.302,0,3,"SE"
"ENSMUSG00000032633","Flcn",0.197,-0.197,0,1,"A3SS"
"ENSMUSG00000033295","Ptprf",0.109,-0.109,0,1,"SE"
"ENSMUSG00000034274","Thoc5",0.162,0.162,0,1,"SE"
"ENSMUSG00000034518","Hmgxb4",0.254,0.254,0,2,"SE"
"ENSMUSG00000034729","Mrps10",0.122,-0.122,0,1,"A3SS"
"ENSMUSG00000034799","Unc13a",0.354,-0.354,0,2,"A3SS,RI"
"ENSMUSG00000035640","Cbarp",0.34,-0.34,0,3,"SE"
"ENSMUSG00000035851","Ythdc1",0.168,-0.168,0,1,"A5SS"
"ENSMUSG00000036053","Fmnl2",0.194,-0.194,0,2,"SE,A5SS"
"ENSMUSG00000036180","Gatad2a",0.265,0.265,0,2,"SE,MXE"
"ENSMUSG00000036281","Snapc4",0.405,-0.405,0,3,"SE,A5SS,RI"
"ENSMUSG00000036501","Fam13b",0.116,0.116,0,2,"SE,MXE"
"ENSMUSG00000037032","Apbb1",0.171,-0.171,0,2,"SE,A3SS"
"ENSMUSG00000037062","Sh3glb1",0.301,-0.301,0,6,"SE,MXE"
"ENSMUSG00000037266","Rsrp1",0.261,-0.261,0,3,"A3SS,RI"
"ENSMUSG00000037805","Rpl10a",0.252,0.252,0,1,"RI"
"ENSMUSG00000037816","Fbxw17",0.238,-0.238,0,3,"A5SS,A3SS"
"ENSMUSG00000038225","Primpol",0.268,-0.268,0,1,"RI"
"ENSMUSG00000038696","Mapkap1",0.152,0.152,0,2,"SE"
"ENSMUSG00000039178","Tbc1d19",0.184,-0.184,0,1,"SE"
"ENSMUSG00000039671","Zmynd8",0.158,-0.158,0,2,"SE,A5SS"
"ENSMUSG00000040097","Flywch1",0.289,0.289,0,2,"SE,MXE"
"ENSMUSG00000040354","Mars1",0.22,-0.22,0,2,"SE,RI"
"ENSMUSG00000040459","Arglu1",0.167,-0.167,0,1,"RI"
"ENSMUSG00000040596","Pogk",0.179,-0.179,0,1,"SE"
"ENSMUSG00000040860","Crocc",0.303,-0.303,0,3,"SE,RI"
"ENSMUSG00000041757","Plekha6",0.432,0.432,0,9,"SE,MXE"
"ENSMUSG00000041890","Git2",0.165,-0.165,0,2,"SE"
"ENSMUSG00000045411","2410002F23Rik",0.31,-0.31,0,7,"SE,MXE,RI"
"ENSMUSG00000048440","Cyp4f16",0.133,-0.133,0,1,"SE"
"ENSMUSG00000052632","Asap2",0.196,-0.196,0,1,"SE"
"ENSMUSG00000053332","Gas5",0.352,-0.352,0,9,"SE,A5SS,A3SS,MXE,RI"
"ENSMUSG00000053768","Chchd3",0.403,0.403,0,2,"MXE"
"ENSMUSG00000057335","Cep170",0.163,-0.163,0,5,"SE,A5SS,MXE,RI"
"ENSMUSG00000057738","Sptan1",0.216,-0.216,0,1,"SE"
"ENSMUSG00000057789","Bak1",0.298,-0.298,0,1,"SE"
"ENSMUSG00000057858","Fam204a",0.222,-0.222,0,6,"SE,MXE"
"ENSMUSG00000058886","Deaf1",0.378,-0.378,0,1,"SE"
"ENSMUSG00000060227","Golm2",0.168,-0.168,0,1,"SE"
"ENSMUSG00000063077","Kif1b",0.198,-0.198,0,3,"SE,A3SS"
"ENSMUSG00000068329","Htra2",0.306,-0.306,0,4,"SE,A5SS"
"ENSMUSG00000069601","Ank3",0.283,-0.283,0,3,"SE,A3SS"
"ENSMUSG00000069631","Strada",0.173,0.173,0,3,"SE,MXE"
"ENSMUSG00000071337","Tia1",0.149,-0.149,0,4,"SE,A5SS,RI"
"ENSMUSG00000078517","Emc1",0.106,-0.106,0,1,"A3SS"
"ENSMUSG00000079036","Alkbh1",0.238,-0.238,0,1,"A3SS"
"ENSMUSG00000090841","Myl6",0.382,-0.382,0,4,"SE,A3SS,RI"
"ENSMUSG00000027655","Dhx35",0.209,-0.209,8.437694987188e-15,1,"RI"
"ENSMUSG00000029165","Agbl5",0.21,-0.21,8.437694987188e-15,2,"SE,RI"
"ENSMUSG00000053841","Txlna",0.133,-0.133,1.61865985467776e-14,1,"RI"
"ENSMUSG00000024118","Tedc2",0.149,-0.149,2.695279896705e-14,1,"A5SS"
"ENSMUSG00000002279","Lmf1",0.237,0.237,3.13897056497055e-14,1,"SE"
"ENSMUSG00000028546","Elavl4",0.258,-0.258,3.13897056497055e-14,3,"SE"
"ENSMUSG00000032254","Kif23",0.243,-0.243,3.13897056497055e-14,1,"SE"
"ENSMUSG00000034211","Mrps17",0.151,-0.151,3.13897056497055e-14,6,"SE,RI"
"ENSMUSG00000036185","Sapcd1",0.192,-0.192,3.13897056497055e-14,2,"SE"
"ENSMUSG00000038143","Stox2",0.168,0.168,3.13897056497055e-14,1,"SE"
"ENSMUSG00000039678","Tbc1d13",0.155,-0.155,3.13897056497055e-14,2,"SE"
"ENSMUSG00000061186","Sfmbt2",0.203,-0.203,3.13897056497055e-14,2,"SE,MXE"
"ENSMUSG00000074238","Ap1ar",0.125,0.125,3.13897056497055e-14,3,"SE,MXE"
"ENSMUSG00000087380","2210408F21Rik",0.499,-0.499,3.13897056497055e-14,17,"SE,A5SS,A3SS,MXE,RI"
"ENSMUSG00000015536","Mocs2",0.173,-0.173,5.19090943069111e-14,1,"A5SS"
"ENSMUSG00000029767","Calu",0.166,-0.166,5.9934513492789e-14,3,"SE,MXE"
"ENSMUSG00000002031","Ift46",0.809,0.809,6.10355387630414e-14,3,"SE"
"ENSMUSG00000021693","Kif2a",0.183,-0.183,6.10355387630414e-14,2,"SE,A5SS"
"ENSMUSG00000031502","Col4a1",0.264,-0.264,6.10355387630414e-14,1,"SE"
"ENSMUSG00000021012","Zc3h14",0.198,-0.198,8.94819663314711e-14,2,"SE"
"ENSMUSG00000034883","Lrr1",0.117,-0.117,8.94819663314711e-14,1,"SE"
"ENSMUSG00000073702","Rpl31",0.172,0.172,9.151653793755e-14,1,"RI"
"ENSMUSG00000031858","Mau2",0.117,-0.117,1.12237263508485e-13,2,"A5SS,RI"
"ENSMUSG00000004631","Sgce",0.253,-0.253,1.46485293031431e-13,2,"SE"
"ENSMUSG00000026189","Pecr",0.11,-0.11,1.46485293031431e-13,1,"SE"
"ENSMUSG00000022228","Zscan26",0.256,-0.256,1.74233608451325e-13,4,"SE,MXE"
"ENSMUSG00000003573","Homer3",0.101,-0.101,2.53532237938914e-13,1,"SE"
"ENSMUSG00000032422","Snx14",0.115,-0.115,2.53532237938914e-13,1,"SE"
"ENSMUSG00000019916","P4ha1",0.164,-0.164,3.07246695129838e-13,3,"SE,MXE"
"ENSMUSG00000021709","Erbin",0.493,-0.493,3.30970954966116e-13,4,"SE,MXE"
"ENSMUSG00000063659","Zbtb18",0.341,-0.341,3.30970954966116e-13,3,"SE"
"ENSMUSG00000022558","Mroh1",0.247,0.247,3.79776685637924e-13,5,"SE,RI"
"ENSMUSG00000014786","Slc9a5",0.209,-0.209,4.01941352830388e-13,3,"SE"
"ENSMUSG00000040811","Eml2",0.105,-0.105,4.01941352830388e-13,1,"SE"
"ENSMUSG00000059436","Max",0.18,0.18,4.27001663896905e-13,2,"SE"
"ENSMUSG00000024392","Bag6",0.147,-0.147,5.77770677694356e-13,3,"SE,A3SS,MXE"
"ENSMUSG00000040481","Bptf",0.144,-0.144,7.43826098854854e-13,4,"SE"
"ENSMUSG00000031644","Nek1",0.304,-0.304,8.62009608993019e-13,2,"SE"
"ENSMUSG00000022453","Naga",0.193,-0.193,9.98763361577042e-13,1,"SE"
"ENSMUSG00000023044","Csad",0.304,-0.304,9.98763361577042e-13,3,"SE"
"ENSMUSG00000025165","Sectm1a",0.657,-0.657,1.24374305404046e-12,2,"SE,MXE"
"ENSMUSG00000073422","Hsd17b8",0.162,0.162,1.30595151550882e-12,2,"MXE,RI"
"ENSMUSG00000025894","Aasdhppt",0.132,-0.132,1.54957390202941e-12,2,"SE"
"ENSMUSG00000037174","Elf2",0.19,-0.19,1.61996731818523e-12,1,"A3SS"
"ENSMUSG00000052949","Rnf157",0.231,0.231,1.79336774189163e-12,1,"SE"
"ENSMUSG00000068917","Clk2",0.174,-0.174,1.96963926649889e-12,1,"RI"
"ENSMUSG00000025728","Pigq",0.276,-0.276,2.52250847565998e-12,4,"SE"
"ENSMUSG00000006301","Tmbim1",0.438,-0.438,2.54673365729408e-12,1,"RI"
"ENSMUSG00000035478","Mbd3",0.15,0.15,2.54673365729408e-12,1,"RI"
"ENSMUSG00000018865","Sult4a1",0.167,0.167,2.69343925895728e-12,1,"SE"
"ENSMUSG00000018411","Mapt",0.205,-0.205,2.74854030387874e-12,8,"SE,A3SS,MXE"
"ENSMUSG00000029782","Tmem209",0.103,-0.103,2.99629008472593e-12,1,"SE"
"ENSMUSG00000022377","Asap1",0.223,-0.223,3.36458407431524e-12,3,"SE,A5SS"
"ENSMUSG00000020918","Kat2a",0.117,-0.117,3.51481344030056e-12,1,"A5SS"
"ENSMUSG00000053754","Chd8",0.146,-0.146,3.5459543347679e-12,1,"SE"
"ENSMUSG00000020527","Myo19",0.197,-0.197,3.55642128957178e-12,1,"SE"
"ENSMUSG00000019951","Uhrf1bp1l",0.169,-0.169,4.61680445118056e-12,1,"RI"
"ENSMUSG00000024940","Ltbp3",0.104,-0.104,4.9326680306559e-12,1,"SE"
"ENSMUSG00000032745","Gpbp1",0.152,0.152,5.0053279788322e-12,1,"SE"
"ENSMUSG00000028048","Gba",0.158,-0.158,5.52649060073379e-12,1,"SE"
"ENSMUSG00000014554","Dguok",0.178,-0.178,5.57430611737552e-12,1,"SE"
"ENSMUSG00000032479","Map4",0.226,0.226,5.8447631919439e-12,3,"SE,MXE"
"ENSMUSG00000026004","Kansl1l",0.296,-0.296,5.92292398700691e-12,1,"A3SS"
"ENSMUSG00000013973","Dedd",0.182,0.182,7.9739978061321e-12,2,"SE"
"ENSMUSG00000040225","Prrc2c",0.214,-0.214,8.16031415359964e-12,2,"SE"
"ENSMUSG00000020070","Rufy2",0.137,-0.137,8.47857895002914e-12,1,"A3SS"
"ENSMUSG00000057880","Abat",0.129,-0.129,9.54026421227571e-12,1,"SE"
"ENSMUSG00000045095","Magi1",0.193,0.193,1.04092634652486e-11,2,"SE,MXE"
"ENSMUSG00000050565","Tor1aip2",0.213,0.213,1.32454748558169e-11,5,"SE"
"ENSMUSG00000015222","Map2",0.227,-0.227,1.48265020890512e-11,1,"SE"
"ENSMUSG00000006575","Rundc3a",0.455,-0.455,1.72969587371019e-11,1,"A3SS"
"ENSMUSG00000026153","Fam135a",0.249,-0.249,1.72969587371019e-11,2,"SE,A3SS"
"ENSMUSG00000039361","Picalm",0.188,-0.188,1.78979631253235e-11,1,"SE"
"ENSMUSG00000068699","Flnc",0.204,0.204,1.82543211316018e-11,1,"SE"
"ENSMUSG00000042626","Shc1",0.106,0.106,1.91690552320368e-11,1,"MXE"
"ENSMUSG00000024044","Epb41l3",0.172,-0.172,1.95935312963809e-11,3,"SE"
"ENSMUSG00000030309","Caprin2",0.302,-0.302,2.35907906004115e-11,1,"SE"
"ENSMUSG00000032621","Srek1",0.131,0.131,2.96533741839348e-11,1,"SE"
"ENSMUSG00000066036","Ubr4",0.186,-0.186,3.12276035875552e-11,2,"SE"
"ENSMUSG00000031078","Cttn",0.12,-0.12,3.46609414431529e-11,1,"SE"
"ENSMUSG00000039262","Prrc2b",0.132,0.132,3.47729215573605e-11,1,"SE"
"ENSMUSG00000048065","Cyb5r2",0.146,-0.146,3.56037041867952e-11,1,"SE"
"ENSMUSG00000031948","Kars",0.133,-0.133,3.78061307750116e-11,2,"SE"
"ENSMUSG00000022362","Gm29394",0.125,0.125,3.79658950090483e-11,1,"SE"
"ENSMUSG00000027247","Arhgap1",0.414,-0.414,4.26272202721361e-11,2,"SE,RI"
"ENSMUSG00000023953","Polh",0.177,-0.177,4.42377117596674e-11,1,"SE"
"ENSMUSG00000023008","Fmnl3",0.3,-0.3,4.57640260297101e-11,1,"SE"
"ENSMUSG00000004207","Psap",0.129,-0.129,6.82779603057641e-11,1,"SE"
"ENSMUSG00000085385","Snhg17",0.148,-0.148,6.97285932696653e-11,6,"A3SS,RI"
"ENSMUSG00000066456","Hmgn3",0.193,-0.193,7.31191096829507e-11,2,"RI"
"ENSMUSG00000025217","Btrc",0.432,-0.432,1.08455768614005e-10,3,"SE"
"ENSMUSG00000121399","ENSMUSG00000121399",0.139,0.139,1.21025351902252e-10,2,"SE,A5SS"
"ENSMUSG00000027722","Spata5",0.169,0.169,1.31800644066821e-10,1,"SE"
"ENSMUSG00000027829","Ccnl1",0.209,-0.209,1.33565770465604e-10,4,"SE,A5SS,RI"
"ENSMUSG00000005374","Tbl2",0.417,-0.417,1.36762729764178e-10,1,"SE"
"ENSMUSG00000015149","Sirt2",0.119,0.119,1.55769933639511e-10,1,"SE"
"ENSMUSG00000030727","Rabep2",0.252,-0.252,1.67735817392475e-10,1,"RI"
"ENSMUSG00000023994","Nfya",0.13,-0.13,1.70256753586161e-10,1,"SE"
"ENSMUSG00000034771","Tle2",0.284,-0.284,1.75630523044827e-10,1,"RI"
"ENSMUSG00000022770","Dlg1",0.153,0.153,1.82865756724972e-10,1,"A5SS"
"ENSMUSG00000042035","Igsf3",0.108,0.108,1.90426985055603e-10,1,"SE"
"ENSMUSG00000063849","Ppcdc",0.205,-0.205,2.11759921425795e-10,1,"A3SS"
"ENSMUSG00000047090","Tmem198b",0.101,-0.101,2.22053396893553e-10,1,"RI"
"ENSMUSG00000028248","Pnisr",0.14,-0.14,2.22846837279681e-10,1,"RI"
"ENSMUSG00000039720","Got1l1",0.154,-0.154,2.22908212355693e-10,1,"SE"
"ENSMUSG00000022884","Eif4a2",0.111,0.111,2.25506611343497e-10,1,"SE"
"ENSMUSG00000046822","Slc39a3",0.242,0.242,2.49402715466312e-10,3,"SE,A3SS"
"ENSMUSG00000037270","Bltp1",0.198,-0.198,2.60266317588179e-10,2,"SE"
"ENSMUSG00000024969","Mark2",0.229,0.229,2.76720938440938e-10,1,"SE"
"ENSMUSG00000025702","Marchf8",0.192,-0.192,3.04326020538484e-10,1,"SE"
"ENSMUSG00000001576","Ergic1",0.2,-0.2,3.3578016557687e-10,1,"SE"
"ENSMUSG00000041199","Rpusd1",0.223,-0.223,3.46465673228312e-10,3,"SE"
"ENSMUSG00000003352","Cacnb3",0.19,-0.19,3.466711362421e-10,3,"SE,RI"
"ENSMUSG00000025650","Col7a1",0.16,-0.16,3.47158990782136e-10,1,"SE"
"ENSMUSG00000029461","Fam168a",0.253,-0.253,3.86870988106723e-10,2,"SE,MXE"
"ENSMUSG00000039205","Ciz1",0.111,-0.111,4.45639145957263e-10,2,"RI"
"ENSMUSG00000037151","Lrrc20",0.137,0.137,5.83337387088028e-10,1,"SE"
"ENSMUSG00000079179","Rab10os",0.121,-0.121,6.73394999766936e-10,1,"SE"
"ENSMUSG00000036073","Galt",0.196,-0.196,8.22285456446966e-10,1,"RI"
"ENSMUSG00000020964","Sel1l",0.109,-0.109,8.48513600465609e-10,1,"A5SS"
"ENSMUSG00000074212","Dnajb14",0.111,-0.111,9.04177933962217e-10,1,"SE"
"ENSMUSG00000022475","Hdac7",0.378,-0.378,9.60064946502414e-10,1,"SE"
"ENSMUSG00000025747","Tyms",0.216,-0.216,9.99099529036427e-10,2,"A5SS,RI"
"ENSMUSG00000022488","Nckap1l",0.179,-0.179,1.28503709382973e-09,1,"RI"
"ENSMUSG00000008855","Hdac5",0.218,-0.218,1.36703490456324e-09,1,"RI"
"ENSMUSG00000052142","Rasal3",0.17,0.17,1.57362941196184e-09,1,"RI"
"ENSMUSG00000041653","Pnpla3",0.295,0.295,1.67971617245897e-09,1,"SE"
"ENSMUSG00000029022","Miip",0.509,-0.509,1.68367397776619e-09,3,"SE,MXE"
"ENSMUSG00000060098","Prmt7",0.131,0.131,1.81973169865910e-09,2,"MXE"
"ENSMUSG00000029439","Sfswap",0.104,-0.104,1.83223751064776e-09,1,"A5SS"
"ENSMUSG00000056228","Cars2",0.149,-0.149,1.88909134169477e-09,4,"SE,A3SS"
"ENSMUSG00000059146","Ntrk3",0.216,0.216,1.91818086877725e-09,2,"SE"
"ENSMUSG00000040687","Madd",0.181,0.181,1.99055966154638e-09,2,"A5SS"
"ENSMUSG00000032525","Nktr",0.37,-0.37,2.01290237575617e-09,4,"SE,A5SS,MXE,RI"
"ENSMUSG00000033434","Gtpbp6",0.159,-0.159,2.01290237575617e-09,1,"SE"
"ENSMUSG00000033788","Dysf",0.143,-0.143,2.01956169178647e-09,2,"SE"
"ENSMUSG00000004980","Hnrnpa2b1",0.165,-0.165,2.02694668392243e-09,2,"SE"
"ENSMUSG00000029687","Ezh2",0.101,-0.101,2.10443277349578e-09,1,"RI"
"ENSMUSG00000003341","Atp8b3",0.335,-0.335,2.23933541925972e-09,2,"SE"
"ENSMUSG00000057836","Xlr3a",0.206,-0.206,2.24560669959038e-09,1,"RI"
"ENSMUSG00000035762","Tmem161b",0.161,0.161,2.24586947678491e-09,1,"A5SS"
"ENSMUSG00000062822","4833420G17Rik",0.154,0.154,2.3949052893392e-09,3,"SE,MXE"
"ENSMUSG00000020696","Rffl",0.346,-0.346,2.50913612110461e-09,2,"SE"
"ENSMUSG00000038564","Ift172",0.187,-0.187,2.65390320142831e-09,1,"RI"
"ENSMUSG00000002105","Slc39a13",0.118,-0.118,2.70313564030006e-09,1,"SE"
"ENSMUSG00000031256","Cstf2",0.291,-0.291,3.0090896213522e-09,4,"SE,A3SS,RI"
"ENSMUSG00000016940","Kctd2",0.357,-0.357,3.07728044322999e-09,1,"SE"
"ENSMUSG00000039176","Polg",0.183,-0.183,3.15292798758189e-09,1,"SE"
"ENSMUSG00000039463","Slc9a8",0.252,0.252,3.57859690213184e-09,1,"MXE"
"ENSMUSG00000032295","Man2c1",0.118,-0.118,3.6239117168899e-09,1,"SE"
"ENSMUSG00000037364","Srrt",0.212,-0.212,3.77183236643791e-09,2,"SE,A5SS"
"ENSMUSG00000027615","Hps3",0.2,-0.2,3.84121412755355e-09,2,"SE,A3SS"
"ENSMUSG00000040669","Phc1",0.11,-0.11,3.92587670972508e-09,1,"RI"
"ENSMUSG00000015305","Sash1",0.148,-0.148,4.32529322162416e-09,1,"A5SS"
"ENSMUSG00000061028","Clasrp",0.238,-0.238,4.55324440222128e-09,2,"A5SS,RI"
"ENSMUSG00000019978","Epb41l2",0.266,0.266,4.58506109105964e-09,5,"SE"
"ENSMUSG00000004994","Ccdc130",0.116,-0.116,4.73830590099076e-09,1,"SE"
"ENSMUSG00000031328","Flna",0.203,-0.203,4.98511163244091e-09,1,"MXE"
"ENSMUSG00000006589","Aprt",0.192,-0.192,5.29516722208174e-09,2,"A3SS,RI"
"ENSMUSG00000019850","Tnfaip3",0.284,0.284,5.4349213495647e-09,1,"RI"
"ENSMUSG00000039804","Ncoa5",0.172,0.172,6.1620449883123e-09,2,"SE"
"ENSMUSG00000026927","Entr1",0.141,-0.141,6.41465069040177e-09,2,"SE,RI"
"ENSMUSG00000029359","Tesc",0.157,0.157,6.41465069040177e-09,2,"MXE,RI"
"ENSMUSG00000029860","Zyx",0.104,0.104,6.41465069040177e-09,1,"RI"
"ENSMUSG00000041264","Uspl1",0.168,-0.168,6.57461435114618e-09,2,"SE"
"ENSMUSG00000028423","Nfx1",0.199,-0.199,6.57646944071416e-09,1,"RI"
"ENSMUSG00000059119","Nap1l4",0.133,0.133,6.90174686690001e-09,1,"SE"
"ENSMUSG00000001120","Pcbp3",0.163,0.163,7.57467863377302e-09,2,"SE"
"ENSMUSG00000031570","Plpp5",0.145,0.145,7.69130755885773e-09,1,"RI"
"ENSMUSG00000000881","Dlg3",0.134,0.134,7.81094895861366e-09,1,"SE"
"ENSMUSG00000034647","Ankrd12",0.138,0.138,9.80650514915959e-09,1,"SE"
"ENSMUSG00000091568","Gm8206",0.492,-0.492,1.01396963091344e-08,1,"SE"
"ENSMUSG00000037475","Thoc2",0.231,-0.231,1.02045275123047e-08,4,"SE,A5SS,A3SS,RI"
"ENSMUSG00000029068","Ccnl2",0.143,-0.143,1.05621804181134e-08,2,"SE,RI"
"ENSMUSG00000049550","Clip1",0.345,0.345,1.06372300818821e-08,2,"SE,A5SS"
"ENSMUSG00000057649","Brd9",0.251,-0.251,1.11800873516305e-08,5,"A3SS,RI"
"ENSMUSG00000027012","Dync1i2",0.335,-0.335,1.12744552548825e-08,2,"SE,A3SS"
