"paper_EVENT","paper_GENE","paper_LENGTH","paper_TIER","match_type","Comparison","EventType","GeneSymbol","exon_length","DeltaPSI","FDR","Chromosome","Strand","exonStart_0base","exonEnd","n_candidates","multi_locus"
"HsaEX1041860","TRAPPC8",21,"LS","gene+length","Neg_vs_Parental","SE","Trappc8",18,0.11,7.28534664518961e-06,"chr18","-",20988877,20988895,1,FALSE
"HsaEX0024131","FAM168A",27,"NonResponding","gene+length","Neg_vs_Parental","SE","Fam168a",27,-0.191,1.19363993167714e-06,"chr7","+",100467942,100467969,1,FALSE
"HsaEX0024131","FAM168A",27,"NonResponding","gene+length","Pos_vs_Parental","SE","Fam168a",27,-0.253,3.86870988106723e-10,"chr7","+",100467942,100467969,1,FALSE
"HsaEX0066667","TPD52L2",27,"LS","gene+length","Neg_vs_Parental","SE","Tpd52l2",27,0.106,0.000429899112835956,"chr2","+",181152296,181152323,1,FALSE
"HsaEX0011689","TMEM245",24,"NonResponding","gene+length","KO_vs_Parental","SE","Tmem245",24,-0.118,0.00522775807558244,"chr4","-",56922386,56922410,1,FALSE
"HsaEX0011689","TMEM245",24,"NonResponding","gene+length","Pos_vs_Parental","SE","Tmem245",24,-0.112,0.0214078981053374,"chr4","-",56922386,56922410,1,FALSE
"HsaEX0015276","CHPT1",27,"LS","gene+length","KO_vs_Parental","SE","Chpt1",27,-0.182,0.0171960729853986,"chr10","-",88317214,88317241,1,FALSE
"HsaEX0015276","CHPT1",27,"LS","gene+length","Pos_vs_Parental","SE","Chpt1",27,-0.272,0.000679456720161651,"chr10","-",88317214,88317241,1,FALSE
"HsaEX1012909","EIF4G1",21,"LS","gene+length","Neg_vs_Parental","SE","Eif4g1",21,0.166,1.83302648422216e-13,"chr16","+",20493535,20493556,1,FALSE
"HsaEX0064198","TCF7L2",25,"LS","gene+length","KO_vs_Parental","SE","Tcf7l2",25,-0.261,8.31582603574912e-05,"chr19","+",55916161,55916186,2,FALSE
"HsaEX0064198","TCF7L2",25,"LS","gene+length","Pos_vs_Parental","SE","Tcf7l2",25,-0.197,0.00635973075347412,"chr19","+",55916161,55916186,1,FALSE
"HsaEX0015498","CLASP2",24,"HS","gene+length","Neg_vs_Parental","SE","Clasp2",24,0.252,1.26060491336164e-07,"chr9","+",113687648,113687672,1,TRUE
"HsaEX0015498","CLASP2",24,"HS","gene+length","KO_vs_Parental","SE","Clasp2",24,-0.116,1.23075016092454e-05,"chr9","+",113707817,113707841,1,TRUE
"HsaEX0015498","CLASP2",24,"HS","gene+length","Pos_vs_Parental","SE","Clasp2",24,-0.131,5.85942704572475e-07,"chr9","+",113707817,113707841,1,TRUE
"HsaEX0015457","CKAP5",24,"LS","gene+length","KO_vs_Parental","SE","Ckap5",24,-0.11,0.00403930666762491,"chr2","+",91429948,91429972,1,FALSE
"HsaEX0003154","AGRN",12,"LS","gene+length","KO_vs_Parental","SE","Agrn",12,-0.114,2.71957764949863e-11,"chr4","-",156254002,156254014,1,FALSE
"HsaEX0067471","TRRAP",21,"LS","gene+length","Neg_vs_Parental","SE","Trrap",21,0.291,2.55299855330539e-11,"chr5","+",144747141,144747162,1,FALSE
"HsaEX0037213","MADD",9,"LS","gene+length","Neg_vs_Parental","SE","Madd",9,0.143,0.000297928868703475,"chr2","-",90971153,90971162,1,FALSE
"HsaEX0037213","MADD",9,"LS","gene+length","KO_vs_Parental","SE","Madd",9,-0.119,0.00165392342550515,"chr2","-",90971153,90971162,1,FALSE
"HsaEX0063412","TAF1",6,"LS","gene+length","Neg_vs_Parental","SE","Taf1",6,0.201,5.80152882256624e-11,"chrX","+",100634339,100634345,1,FALSE
"HsaEX0003019","AGAP1",12,"LS","gene+length","KO_vs_Parental","SE","Agap1",12,-0.128,1.35832390990953e-05,"chr1","+",89538005,89538017,1,FALSE
"HsaEX0046416","PDLIM5",13,"NonResponding","gene+length","Pos_vs_Parental","SE","Pdlim5",15,-0.337,0.00250359733477747,"chr3","-",142012044,142012059,1,FALSE
"HsaEX0066655","TPD52",27,"LS","gene+length","Neg_vs_Parental","SE","Tpd52",27,0.314,4.42357879944787e-07,"chr3","-",9008610,9008637,1,FALSE
"HsaEX0066655","TPD52",27,"LS","gene+length","KO_vs_Parental","SE","Tpd52",27,-0.167,4.35077212331642e-07,"chr3","-",9008610,9008637,1,FALSE
"HsaEX0066655","TPD52",27,"LS","gene+length","Pos_vs_Parental","SE","Tpd52",27,0.115,0,"chr3","-",9008610,9008637,1,FALSE
"HsaEX7010863","TMEM184B",21,"LS","gene+length","KO_vs_Parental","SE","Tmem184b",21,-0.142,5.23319635343233e-06,"chr15","-",79247857,79247878,1,FALSE
"HsaEX1046522","ABI2",18,"LS","gene+length","KO_vs_Parental","SE","Abi2",18,-0.192,0,"chr1","+",60478100,60478118,1,FALSE
