"GENE","EVENT","COORD","LENGTH","TIER"
"CASK","HsaEX0012542","chrX:41522999-41523025",27,"LS"
"CEP78","HsaEX1008364","chr9:78250246-78250263",18,"LS"
"PTPRD","HsaEX0051111","chr9:8523513-8523524",12,"NonResponding"
"NBEAL2","HsaEX0041847","chr3:47003438-47003457",20,"LS"
"PDLIM7","HsaEX0046423","chr5:177491404-177491420",17,"NonResponding"
"MRPL42","HsaEX0040137","chr12:93470486-93470505",20,"NonResponding"
"CTNND1","HsaEX0017872","chr11:57806461-57806478",18,"LS"
"CLEC16A","HsaEX0015596","chr16:10972554-10972559",6,"LS"
"AMPH","HsaEX1003606","chr7:38464089-38464097",9,"NonResponding"
"CYLD","HsaEX0018232","chr16:50775166-50775174",9,"LS"
"MICU1","HsaEX0039245","chr10:72509398-72509403",6,"NonResponding"
"GLRB","HsaEX0027672","chr4:157091371-157091382",12,"LS"
"MYO1B","HsaEX0041101","chr2:191379267-191379272",6,"NonResponding"
"MTSS1L","HsaEX0040737","chr16:70679315-70679323",9,"LS"
"TACC2","HsaEX0063374","chr10:122245065-122245073",9,"HS"
"EXOC6","HsaEX0023471","chr10:93057906-93057917",12,"NonResponding"
"PRKACB","HsaEX0050092","chr1:84175799-84175807",9,"LS"
"GMPPA","HsaEX0027793","chr2:219504854-219504868",15,"NonResponding"
"FAM49B","HsaEX1014075","chr8:129878716-129878723",8,"LS"
"MED14","HsaEX0038584","chrX:40710413-40710421",9,"LS"
"COL4A5","HsaEX0016570","chrX:108618814-108618822",9,"LS"
"MYO6","HsaEX0041235","chr6:75846968-75846976",9,"NonResponding"
"UNC13B","HsaEX0069336","chr9:35371934-35371939",6,"LS"
"ITSN1","HsaEX0032608","chr21:33802437-33802444",8,"LS"
"PHACTR4","HsaEX0046893","chr1:28457832-28457855",24,"NonResponding"
"ACSL4","HsaEX1045708","chrX:109685427-109685444",18,"CR"
"ITGB4","HsaEX0032460","chr17:75737207-75737221",15,"CR"
"GALK2","HsaEX1015153","chr15:49282301-49282312",12,"CR"
"SCAF8","HsaEX1036102","chr6:154734235-154734244",10,"CR"
