"Comparison","EventType","GeneSymbol","Chromosome","Strand","FDR","DeltaPSI"
"KO_vs_Neg","SE","Dkc1","chrX","+",0.00559147937263962,0.468
"KO_vs_Neg","SE","Ccnt2","chr1","+",0.0465370922166992,0.468
"KO_vs_Neg","RI","Ninl","chr2","-",0.0192326841221959,0.467
"KO_vs_Neg","SE","Slc22a17","chr14","-",0.0123732361753652,-0.467
"KO_vs_Neg","SE","Gmppa","chr1","+",0.000440457356697659,0.466
"KO_vs_Neg","RI","Kcnip2","chr19","-",0.000120063291878913,0.465
"KO_vs_Neg","MXE","Hdac5","chr11","-",5.34092347866344e-08,-0.464
"KO_vs_Neg","MXE","Gm19744","chr8","+",0.03803235511593,0.464
"KO_vs_Neg","SE","Gm26947","chr10","+",0.0467840309881919,-0.464
"KO_vs_Neg","RI","Gm36199","chr17","+",0.000408611455977148,0.46
"KO_vs_Neg","SE","Nr2c2","chr6","+",9.69486595612326e-05,0.459
"KO_vs_Neg","SE","Sucla2","chr14","+",0.00187962157845569,0.459
"KO_vs_Neg","A3SS","Slc22a21","chr11","-",0.0177144941114458,0.458
"KO_vs_Neg","RI","Agrn","chr4","-",0,0.456
"KO_vs_Neg","SE","Dnm3","chr1","-",0.000758495725036617,-0.456
"KO_vs_Neg","SE","Phf14","chr6","+",0.00368991755092543,0.456
"KO_vs_Neg","SE","Gm19744","chr8","+",0.0136195174175076,0.455
"KO_vs_Neg","SE","Scai","chr2","-",0.0238309352470509,-0.454
"KO_vs_Neg","MXE","Firre","chrX","-",0.0162366162751591,0.453
"KO_vs_Neg","SE","Psd","chr19","-",0.00461104151394269,0.452
"KO_vs_Neg","SE","Elavl2","chr4","-",2.15822838058167e-06,0.45
"KO_vs_Neg","SE","Bvht","chr18","+",0.014992007086396,0.45
"KO_vs_Neg","SE","Plekha6","chr1","+",8.53021303421917e-07,-0.449
"KO_vs_Neg","SE","Rsrc1","chr3","+",0.00117943099596661,-0.448
"KO_vs_Neg","SE","Zfp467","chr6","-",0.00723953508609704,-0.448
"KO_vs_Neg","SE","Exoc6b","chr6","-",0.00225091000763259,-0.447
"KO_vs_Neg","MXE","Gm11639","chr11","+",0.00355547428265684,0.446
"KO_vs_Neg","SE","Gnl3","chr14","-",1.23042099184268e-06,0.446
"KO_vs_Neg","SE","Gm15408","chr5","+",0.00881632589639568,-0.445
"KO_vs_Neg","SE","Mkln1","chr6","+",0.0164101036223026,0.445
"KO_vs_Neg","SE","Card14","chr11","+",0.00355653018117877,-0.441
"KO_vs_Neg","SE","Tuft1","chr3","-",0.0143229752467305,0.44
"KO_vs_Neg","RI","Fermt3","chr19","-",0.0202721066888724,-0.437
"KO_vs_Neg","SE","Epb41l1","chr2","+",4.52438670776283e-05,0.437
"KO_vs_Neg","SE","Firre","chrX","-",0.00564529502139107,0.437
"KO_vs_Neg","SE","Pcsk4","chr10","-",0.00573109689889415,0.436
"KO_vs_Neg","SE","Jpx","chrX","+",1.69496479558512e-06,-0.435
"KO_vs_Neg","SE","Tmem38b","chr4","+",0.000600643802644099,-0.432
"KO_vs_Neg","SE","Srcin1","chr11","-",0.0314791935231021,0.432
"KO_vs_Neg","SE","Firre","chrX","-",0.0426477357375252,0.431
"KO_vs_Neg","SE","Eif3h","chr15","-",3.57449319323772e-05,0.429
"KO_vs_Neg","SE","Eps15","chr4","+",0.00787787610661503,0.429
"KO_vs_Neg","SE","Tmem147","chr7","-",0.00106163246431348,-0.428
"KO_vs_Neg","SE","Gtf2a2","chr9","+",6.7420731410003e-09,0.427
"KO_vs_Neg","SE","Akap1","chr11","-",6.35562267157223e-06,0.427
"KO_vs_Neg","SE","Gm9888","chr9","+",0.0426544879145927,-0.426
"KO_vs_Neg","SE","1600020E01Rik","chr6","+",0.00348884908581646,-0.422
"KO_vs_Neg","SE","Rhbdl1","chr17","-",0.0112654275485543,-0.422
"KO_vs_Neg","SE","Col11a2","chr17","+",0.000660163944790229,-0.421
"KO_vs_Neg","SE","Rps6kb1","chr11","-",0.0111017238442171,0.421
"KO_vs_Neg","SE","Kcnt1","chr2","+",0.014276385328449,-0.421
"KO_vs_Neg","SE","Iqce","chr5","-",0.048417799797889,0.421
"KO_vs_Neg","SE","Socs2","chr10","-",0.0484348351935035,0.421
"KO_vs_Neg","SE","Zfp532","chr18","+",0.00810094938712399,0.418
"KO_vs_Neg","A5SS","Serpinb6a","chr13","-",0.00037655001124539,0.417
"KO_vs_Neg","SE","AI480526","chr5","-",0.0154633436588318,0.416
"KO_vs_Neg","MXE","Exoc3l","chr8","-",0.0181387260098684,0.415
"KO_vs_Neg","SE","Camsap1","chr2","-",1.60960793409055e-05,0.415
"KO_vs_Neg","MXE","Firre","chrX","-",0.00312852184813817,0.414
"KO_vs_Neg","A5SS","2810429I04Rik","chr13","+",4.28147591932889e-06,0.413
"KO_vs_Neg","MXE","4930578M01Rik","chr15","+",0.00583417674983948,0.413
"KO_vs_Neg","SE","Mocs2","chr13","+",4.84610702150202e-07,-0.412
"KO_vs_Neg","SE","Shank1","chr7","+",0.0113484540203796,-0.412
"KO_vs_Neg","SE","4933405D12Rik","chr3","-",0.00168007246174204,-0.411
"KO_vs_Neg","SE","Gm19744","chr8","+",0.0249366977383245,-0.411
"KO_vs_Neg","SE","AI480526","chr5","-",0.0149079780698938,0.41
"KO_vs_Neg","MXE","Fat1","chr8","+",2.15377531365018e-08,-0.409
"KO_vs_Neg","SE","Bzw2","chr12","-",0.0083025266346024,0.409
"KO_vs_Neg","A5SS","Mapkapk3","chr9","-",0.000926543249050145,0.408
"KO_vs_Neg","SE","Fat1","chr8","+",1.59702350703367e-05,-0.408
"KO_vs_Neg","SE","Bin1","chr18","+",0.00627865279539854,-0.408
"KO_vs_Neg","SE","Crtc2","chr3","+",0.00194638009139083,-0.407
"KO_vs_Neg","SE","Mrps18b","chr17","-",0.020914424415628,0.407
"KO_vs_Neg","A3SS","Slc4a9","chr18","+",0.00403152635757315,0.405
"KO_vs_Neg","SE","Micu1","chr10","+",0.000167108766753156,-0.404
"KO_vs_Neg","SE","Gphn","chr12","+",0.000233059709810538,-0.404
"KO_vs_Neg","SE","Gm12610","chr4","+",0.00158102200979344,0.404
"KO_vs_Neg","A3SS","Homer2","chr7","-",0.0410574463527112,-0.403
"KO_vs_Neg","SE","Src","chr2","+",0.00154762750917085,0.403
"KO_vs_Neg","A3SS","Pprc1","chr19","+",0.0251145050861889,-0.402
"KO_vs_Neg","MXE","Firre","chrX","-",0.00278047394030694,-0.402
"KO_vs_Neg","SE","Cdiptos","chr7","-",0.00100357767229579,0.402
"KO_vs_Neg","RI","Irf7","chr7","-",0.0172944249403009,0.4
"KO_vs_Neg","SE","Ceacam1","chr7","-",0.0293853702350357,-0.399
"KO_vs_Neg","SE","Ap1s2","chrX","+",0.0308856329165366,-0.396
"KO_vs_Neg","MXE","Firre","chrX","-",0.00130522067800805,0.395
"KO_vs_Neg","RI","Dok3","chr13","-",0.00278036698375802,-0.395
"KO_vs_Neg","SE","Eed","chr7","-",0.00205526127870151,0.393
"KO_vs_Neg","A3SS","Zfp37","chr4","-",0.0449397000862063,-0.392
"KO_vs_Neg","SE","Exoc3l4","chr12","+",1.60627551575743e-05,-0.391
"KO_vs_Neg","SE","Dync1li2","chr8","-",0.000109496219382196,0.391
"KO_vs_Neg","SE","Eno4","chr19","+",0.000545958976046291,0.39
"KO_vs_Neg","SE","Lrch3","chr16","+",0,-0.389
"KO_vs_Neg","SE","Tbc1d4","chr14","-",9.92512581055156e-07,-0.389
"KO_vs_Neg","SE","Ccz1","chr5","-",0.00180420624393698,-0.389
"KO_vs_Neg","RI","Cyp2d22","chr15","-",0.00137973274199757,0.388
"KO_vs_Neg","SE","Bin1","chr18","+",0.00012130085239439,-0.387
"KO_vs_Neg","SE","Zfr2","chr10","+",0.00847206023471595,0.386
"KO_vs_Neg","SE","Mtf2","chr5","+",0.0213611197277697,-0.385
"KO_vs_Neg","SE","Meaf6","chr4","+",3.29604882823061e-09,-0.383
"KO_vs_Neg","SE","Gm12610","chr4","+",0.000383736868123937,0.383
"KO_vs_Neg","SE","Pum1","chr4","+",0.00212387908698107,0.383
"KO_vs_Neg","SE","Hyal3","chr9","+",0.0050103250587459,0.383
"KO_vs_Neg","SE","1700087I21Rik","chr14","+",0.0330057439096413,-0.383
"KO_vs_Neg","SE","Zbtb20","chr16","+",0.0106599801419478,-0.382
"KO_vs_Neg","SE","Plch2","chr4","-",0.0012671135913368,-0.381
"KO_vs_Neg","SE","Gnb1l","chr16","+",0.0057532488078487,0.381
"KO_vs_Neg","SE","Dusp12","chr1","-",0.0322542676415599,-0.381
"KO_vs_Neg","SE","Meg3","chr12","+",0.0245505013853272,-0.378
"KO_vs_Neg","A3SS","Srpk2","chr5","-",3.00164594680645e-07,-0.377
"KO_vs_Neg","RI","Slc4a9","chr18","+",0.00337654755135974,0.377
"KO_vs_Neg","SE","Lrrfip2","chr9","+",0.00348032763031643,0.377
"KO_vs_Neg","SE","Col13a1","chr10","-",7.6578913184955e-05,-0.376
"KO_vs_Neg","MXE","Gphn","chr12","+",0.0414682952285161,0.375
"KO_vs_Neg","RI","Gm10505","chr17","+",1.07260846281576e-06,0.373
"KO_vs_Neg","A5SS","Psd2","chr18","+",0.00508583610705923,-0.372
"KO_vs_Neg","SE","Park7","chr4","-",6.38016828831e-05,-0.372
"KO_vs_Neg","SE","Aste1","chr9","+",0.0128837148088727,0.372
"KO_vs_Neg","A3SS","Gm20544","chr18","-",0.0112761429301421,-0.371
"KO_vs_Neg","SE","Gm26947","chr10","+",0.0329327220681135,-0.371
"KO_vs_Neg","SE","Taf15","chr11","+",5.75279673686192e-07,0.37
"KO_vs_Neg","SE","Jpx","chrX","+",4.845732433669e-05,0.369
"KO_vs_Neg","SE","Skp1","chr11","+",0.00697518245558962,-0.369
"KO_vs_Neg","SE","AI480526","chr5","-",0.000858312253400101,-0.367
"KO_vs_Neg","SE","1700112D23Rik","chr3","-",0.00241908326695224,0.367
"KO_vs_Neg","RI","Clcf1","chr19","+",0.00551944537566446,-0.365
"KO_vs_Neg","SE","Abraxas1","chr5","-",0.00654077143016338,-0.365
"KO_vs_Neg","SE","Ltbp4","chr7","-",0.00821643605827426,0.365
"KO_vs_Neg","SE","Gm38708","chr6","-",0.000746917657211759,-0.364
"KO_vs_Neg","A5SS","4732471J01Rik","chr7","+",0.00200745015586984,-0.363
"KO_vs_Neg","SE","Tulp4","chr17","+",0.000815624613297359,-0.363
"KO_vs_Neg","SE","Wnk1","chr6","-",0.015461084253138,-0.363
"KO_vs_Neg","SE","Sh2d5","chr4","+",0.00019795709091357,-0.362
"KO_vs_Neg","SE","Gm10419","chr5","+",0.0046714278811463,-0.362
"KO_vs_Neg","SE","Aste1","chr9","+",0.0209895596447984,0.362
"KO_vs_Neg","SE","Psd4","chr2","+",0.0471749663517584,0.362
"KO_vs_Neg","A5SS","Zdhhc3","chr9","-",0.0030919309007022,-0.361
"KO_vs_Neg","SE","Tnfsf13os","chr11","+",0.0429805506119817,0.36
"KO_vs_Neg","A3SS","Tlcd3b","chr7","+",7.6289301974759e-05,0.357
"KO_vs_Neg","RI","Kiss1r","chr10","+",9.88819095990988e-07,0.356
"KO_vs_Neg","RI","Cyp27a1","chr1","+",0.0488064470303522,0.356
"KO_vs_Neg","SE","Crem","chr18","-",0.0341714936574854,0.355
"KO_vs_Neg","MXE","Dennd1a","chr2","-",3.7552183584916e-12,0.353
"KO_vs_Neg","SE","Gtpbp2","chr17","+",0.00978946451836416,-0.353
"KO_vs_Neg","MXE","2310030G06Rik","chr9","-",0.000530134583466153,-0.352
"KO_vs_Neg","SE","Cep128","chr12","-",5.44742156697302e-06,-0.352
"KO_vs_Neg","RI","Pak6","chr2","+",0.010130957366864,-0.351
"KO_vs_Neg","SE","Pus7","chr5","-",0,-0.351
"KO_vs_Neg","SE","Nol10","chr12","+",0.00391966517617098,0.351
"KO_vs_Neg","RI","Cdiptos","chr7","-",0.0235183649242812,0.349
"KO_vs_Neg","SE","Slit2","chr5","+",6.85919487393402e-06,-0.349
"KO_vs_Neg","SE","Zeb1","chr18","+",0.000204389595463741,0.349
"KO_vs_Neg","SE","Tkt","chr14","+",0.00328985572136806,0.349
"KO_vs_Neg","MXE","Skp1","chr11","+",0.00558553885389761,-0.348
"KO_vs_Neg","SE","Kcnma1","chr14","-",0.0018482764322582,-0.348
"KO_vs_Neg","SE","Med24","chr11","-",0,-0.347
"KO_vs_Neg","SE","D330050G23Rik","chr2","+",0.00580014955399526,-0.347
"KO_vs_Neg","SE","Ttc8","chr12","+",0.0183540393936566,-0.347
"KO_vs_Neg","SE","Sgip1","chr4","+",4.56587375021618e-07,-0.345
"KO_vs_Neg","SE","Camk2d","chr3","+",0.00188208593475365,-0.345
"KO_vs_Neg","SE","Dnajc1","chr2","-",0.00708830234178277,-0.345
"KO_vs_Neg","SE","Qrsl1","chr10","-",0.0368912023919205,-0.344
"KO_vs_Neg","SE","Adgrl2","chr3","-",0,-0.342
"KO_vs_Neg","SE","Dop1a","chr9","+",3.06577304894883e-09,-0.342
"KO_vs_Neg","A3SS","Syt17","chr7","-",0.000108060234005639,0.341
"KO_vs_Neg","SE","Setd4","chr16","-",9.44616990639987e-05,-0.34
"KO_vs_Neg","SE","Agrn","chr4","-",0.0119276200088191,-0.34
"KO_vs_Neg","SE","Vps13d","chr4","-",0.00128282485398387,-0.339
"KO_vs_Neg","SE","D630024D03Rik","chr11","-",0.0251959865556165,0.339
"KO_vs_Neg","MXE","Ppp4r1l-ps","chr2","-",0.00514771365261182,0.338
"KO_vs_Neg","SE","Nipal2","chr15","-",1.52520155590884e-07,-0.338
"KO_vs_Neg","SE","Shank3","chr15","+",0.00614709743156387,-0.338
"KO_vs_Neg","SE","Nrg1","chr8","-",0.00787523325658319,0.338
"KO_vs_Neg","MXE","Ceacam20","chr7","+",4.42789816771023e-05,-0.337
"KO_vs_Neg","SE","Clasp2","chr9","+",0,-0.337
"KO_vs_Neg","SE","Car14","chr3","-",0.0106988618569431,-0.337
"KO_vs_Neg","SE","Gon4l","chr3","+",0.0123739468608614,-0.337
"KO_vs_Neg","SE","Trim9","chr12","-",0.00594334939400748,-0.336
"KO_vs_Neg","SE","Platr25","chr13","-",0.0396616491413606,-0.336
"KO_vs_Neg","SE","Slc38a10","chr11","-",0,-0.335
"KO_vs_Neg","SE","Hdac5","chr11","-",0.0001288502032411,0.335
"KO_vs_Neg","SE","Zfp346","chr13","+",0.000622483740454815,-0.335
"KO_vs_Neg","SE","2610035D17Rik","chr11","-",0.0201041645637185,0.335
"KO_vs_Neg","MXE","Ankrd29","chr18","-",0.0489338049453689,-0.334
"KO_vs_Neg","SE","Gm10419","chr5","+",0.00808838879503285,-0.334
"KO_vs_Neg","A5SS","Slc17a9","chr2","+",0.00427267691251244,0.333
"KO_vs_Neg","SE","Sh3glb1","chr3","-",0,-0.333
"KO_vs_Neg","SE","Jak3","chr8","+",5.55548232860267e-06,-0.333
"KO_vs_Neg","SE","Ccdc33","chr9","-",0.014874043905604,-0.333
"KO_vs_Neg","SE","Gm3752","chr14","+",0.0422431751670601,-0.333
"KO_vs_Neg","SE","Lmbr1","chr5","-",4.17453369978869e-08,0.332
"KO_vs_Neg","SE","Zfp7","chr15","+",0.000316686197150351,-0.332
"KO_vs_Neg","SE","Trrap","chr5","+",0,-0.331
"KO_vs_Neg","SE","Itga8","chr2","-",5.24177501285652e-06,-0.331
"KO_vs_Neg","SE","Sh3glb2","chr2","-",0,-0.33
"KO_vs_Neg","SE","Surf1","chr2","-",0.00214102017218933,0.33
"KO_vs_Neg","SE","Iqcb1","chr16","+",0.0270372770047719,0.33
"KO_vs_Neg","MXE","Sorbs1","chr19","-",0.00272740541855131,0.329
"KO_vs_Neg","RI","Zfp330","chr8","-",1.28673559258324e-05,-0.327
"KO_vs_Neg","SE","Cstf2","chrX","+",2.64048349077221e-11,-0.327
"KO_vs_Neg","SE","Creb1","chr1","+",4.92678185180304e-05,-0.327
"KO_vs_Neg","SE","Lpin1","chr12","-",0.00876922814712451,0.327
"KO_vs_Neg","SE","Ptk2","chr15","-",0.0311390213518957,0.327
"KO_vs_Neg","A3SS","4933431E20Rik","chr3","-",0.00921789901456677,0.326
"KO_vs_Neg","SE","E130307A14Rik","chr10","-",0.0041700348190475,0.326
"KO_vs_Neg","SE","Sh3glb1","chr3","-",0,-0.325
"KO_vs_Neg","SE","Gm33023","chr8","+",0.00377631557742432,0.324
"KO_vs_Neg","SE","Rpl7a","chr2","+",0.0011179254597746,0.323
"KO_vs_Neg","SE","Tmbim4","chr10","+",0.00337449877377513,-0.323
"KO_vs_Neg","SE","Tm7sf2","chr19","-",0.0136805901260935,0.323
"KO_vs_Neg","A3SS","Kcnc3","chr7","+",0.0166960888866027,-0.322
"KO_vs_Neg","A5SS","Ccdc33","chr9","-",0.00963026707365477,0.322
"KO_vs_Neg","SE","Ank2","chr3","-",0,-0.322
"KO_vs_Neg","SE","D330050G23Rik","chr2","+",0.0063706946175172,-0.322
"KO_vs_Neg","A3SS","Iffo1","chr6","+",0,0.321
"KO_vs_Neg","SE","Gm12610","chr4","+",0.0389495408969778,-0.321
"KO_vs_Neg","SE","Csnk1g1","chr9","+",0.00059592322574083,-0.32
"KO_vs_Neg","SE","Tmem80","chr7","+",0.00192020009697441,-0.32
"KO_vs_Neg","SE","Firre","chrX","-",0.00458933005833043,-0.32
"KO_vs_Neg","A5SS","Wnt11","chr7","+",0.00113748113698895,-0.319
"KO_vs_Neg","SE","ENSMUSG00000121319","chr12","-",0.0031307509831218,0.319
"KO_vs_Neg","SE","Ppfia1","chr7","-",0.00949241351047431,-0.319
