Gene	Comparison	EventType	dPSI	FDR	Chromosome	Start	End	ExonLength	IGV_coordinate	IGV_narrow
Tmtc4	Pos_vs_Neg	A3SS	0.787	8.66e-08	chr14	123187900	123188004	NA	chr14:123187400-123188504	chr14:123187800-123188104
Npc1l1	KO_vs_Neg	SE	0.782	4.91e-07	chr11	6168233	6168361	128	chr11:6167733-6168861	chr11:6168133-6168461
Ift46	KO_vs_Parental	SE	0.777	3.88e-10	chr9	44685479	44685528	49	chr9:44684979-44686028	chr9:44685379-44685628
Mroh7	KO_vs_Neg	SE	-0.775	1.68e-07	chr4	106552187	106552325	138	chr4:106551687-106552825	chr4:106552087-106552425
Gcgr	Pos_vs_Neg	RI	0.772	1.86e-07	chr11	120427482	120427880	NA	chr11:120426982-120428380	chr11:120427382-120427980
Arhgap1	Pos_vs_Parental	SE	0.772	7.74e-10	chr2	91484780	91484876	96	chr2:91484280-91485376	chr2:91484680-91484976
Acly	Pos_vs_Neg	SE	-0.77	3.61e-07	chr11	100410440	100410631	191	chr11:100409940-100411131	chr11:100410340-100410731
Ap3s1	Neg_vs_Parental	SE	-0.757	0.000578	chr18	46916825	46916866	41	chr18:46916325-46917366	chr18:46916725-46916966
Catsper2	Pos_vs_Parental	SE	0.756	6.04e-07	chr2	121236809	121236934	125	chr2:121236309-121237434	chr2:121236709-121237034
Ap1s2	Pos_vs_Parental	SE	-0.755	8.08e-05	chrX	162703901	162703996	95	chrX:162703401-162704496	chrX:162703801-162704096
Bco2	KO_vs_Neg	SE	0.751	9.56e-07	chr9	50456646	50456762	116	chr9:50456146-50457262	chr9:50456546-50456862
B3gnt8	KO_vs_Parental	SE	0.75	7.98e-07	chr7	25327539	25332954	5415	chr7:25327039-25333454	chr7:25327439-25333054
Rfx5	Pos_vs_Neg	SE	-0.746	3.41e-06	chr3	94862073	94862188	115	chr3:94861573-94862688	chr3:94861973-94862288
Paqr7	KO_vs_Parental	SE	0.741	5.49e-10	chr4	134227910	134227994	84	chr4:134227410-134228494	chr4:134227810-134228094
Lhx1os	Neg_vs_Parental	SE	-0.733	0.00337	chr11	84417274	84418412	1138	chr11:84416774-84418912	chr11:84417174-84418512
1700086O06Rik	Neg_vs_Parental	SE	0.731	1.78e-10	chr18	38372625	38372804	179	chr18:38372125-38373304	chr18:38372525-38372904
Cttn	KO_vs_Neg	SE	-0.729	6.83e-09	chr7	144003673	144003758	85	chr7:144003173-144004258	chr7:144003573-144003858
Tmem219	Neg_vs_Parental	A3SS	-0.726	5.15e-08	chr7	126496197	126496399	NA	chr7:126495697-126496899	chr7:126496097-126496499
Gm10785	Pos_vs_Neg	SE	0.725	1.16e-10	chr16	91506722	91506786	64	chr16:91506222-91507286	chr16:91506622-91506886
Gm973	Pos_vs_Neg	SE	-0.724	0.0077	chr1	59636097	59636235	138	chr1:59635597-59636735	chr1:59635997-59636335
Map4k4	KO_vs_Parental	A5SS	-0.723	4.12e-05	chr1	40046592	40046699	NA	chr1:40046092-40047199	chr1:40046492-40046799
Cyp2d22	KO_vs_Pos	RI	0.722	0.0193	chr15	82257311	82258034	NA	chr15:82256811-82258534	chr15:82257211-82258134
Gm15564	KO_vs_Pos	SE	0.72	2.88e-08	chr16	35799843	35799937	94	chr16:35799343-35800437	chr16:35799743-35800037
Gtf3c5	Neg_vs_Parental	MXE	-0.717	0.00168	chr2	28471142	28471456	NA	chr2:28470642-28471956	chr2:28471042-28471556
4833420G17Rik	Pos_vs_Neg	SE	-0.717	3.03e-05	chr13	119601815	119602840	1025	chr13:119601315-119603340	chr13:119601715-119602940
Rian	KO_vs_Pos	A3SS	0.716	4.69e-05	chr12	109600627	109600788	NA	chr12:109600127-109601288	chr12:109600527-109600888
Gtf3c5	Pos_vs_Parental	MXE	-0.716	0.000209	chr2	28471142	28471456	NA	chr2:28470642-28471956	chr2:28471042-28471556
Adam22	KO_vs_Neg	SE	0.714	1.6e-05	chr5	8137981	8138068	87	chr5:8137481-8138568	chr5:8137881-8138168
Tm9sf4	KO_vs_Pos	SE	-0.709	1.5e-08	chr2	153042562	153042738	176	chr2:153042062-153043238	chr2:153042462-153042838
Gm28578	KO_vs_Pos	SE	-0.707	0.00117	chr19	45298355	45298442	87	chr19:45297855-45298942	chr19:45298255-45298542
Meg3	Neg_vs_Parental	SE	0.706	1.16e-08	chr12	109515953	109515987	34	chr12:109515453-109516487	chr12:109515853-109516087
Gm15564	KO_vs_Parental	SE	0.705	5.57e-09	chr16	35799843	35799937	94	chr16:35799343-35800437	chr16:35799743-35800037
Cep192	Pos_vs_Parental	SE	-0.703	1.44e-05	chr18	67987121	67987298	177	chr18:67986621-67987798	chr18:67987021-67987398
Npc1l1	KO_vs_Neg	SE	0.702	4.4e-06	chr11	6167706	6167833	127	chr11:6167206-6168333	chr11:6167606-6167933
Zfp239	KO_vs_Parental	SE	0.702	2.05e-07	chr6	117844096	117844285	189	chr6:117843596-117844785	chr6:117843996-117844385
Mospd2	KO_vs_Parental	SE	0.701	0.0127	chrX	163745047	163745202	155	chrX:163744547-163745702	chrX:163744947-163745302
Snapc3	Pos_vs_Neg	SE	-0.701	3.87e-06	chr4	83373251	83373288	37	chr4:83372751-83373788	chr4:83373151-83373388
Tmem219	KO_vs_Neg	A3SS	0.7	8.65e-07	chr7	126496197	126496399	NA	chr7:126495697-126496899	chr7:126496097-126496499
Cttn	Pos_vs_Neg	SE	-0.7	4.36e-08	chr7	144003673	144003758	85	chr7:144003173-144004258	chr7:144003573-144003858
9630028I04Rik	Pos_vs_Neg	SE	0.699	0.000272	chr17	27458358	27458522	164	chr17:27457858-27459022	chr17:27458258-27458622
Eci1	Pos_vs_Parental	SE	0.695	0.000364	chr17	24655151	24655298	147	chr17:24654651-24655798	chr17:24655051-24655398
Sh2d5	KO_vs_Parental	SE	0.694	3.15e-08	chr4	137981583	137981664	81	chr4:137981083-137982164	chr4:137981483-137981764
Camk2d	KO_vs_Pos	SE	0.692	7.85e-10	chr3	126565422	126565495	73	chr3:126564922-126565995	chr3:126565322-126565595
Sipa1	Pos_vs_Neg	A3SS	0.692	1.74e-09	chr19	5711623	5711686	NA	chr19:5711123-5712186	chr19:5711523-5711786
Camk2d	Pos_vs_Neg	SE	-0.692	6.27e-10	chr3	126565422	126565495	73	chr3:126564922-126565995	chr3:126565322-126565595
Camk2d	Pos_vs_Parental	SE	-0.692	4.11e-09	chr3	126565422	126565495	73	chr3:126564922-126565995	chr3:126565322-126565595
Tfdp2	KO_vs_Neg	SE	0.69	9.01e-08	chr9	96129102	96129141	39	chr9:96128602-96129641	chr9:96129002-96129241
Efhc1	KO_vs_Pos	SE	-0.69	1.24e-07	chr1	21031376	21031526	150	chr1:21030876-21032026	chr1:21031276-21031626
Vat1l	KO_vs_Parental	SE	-0.688	8.56e-06	chr8	114955025	114955062	37	chr8:114954525-114955562	chr8:114954925-114955162
Lat2	Pos_vs_Neg	SE	-0.685	1.59e-07	chr5	134634899	134634947	48	chr5:134634399-134635447	chr5:134634799-134635047
Gm12610	KO_vs_Neg	SE	-0.684	4.35e-08	chr4	89273540	89273584	44	chr4:89273040-89274084	chr4:89273440-89273684
Rfx5	KO_vs_Pos	SE	0.684	6.19e-05	chr3	94862073	94862188	115	chr3:94861573-94862688	chr3:94861973-94862288
Gm13563	KO_vs_Neg	SE	0.682	1.5e-07	chr2	26278253	26278404	151	chr2:26277753-26278904	chr2:26278153-26278504
Gm10125	Pos_vs_Neg	SE	0.682	1.66e-07	chr18	5583712	5583796	84	chr18:5583212-5584296	chr18:5583612-5583896
Actr5	Neg_vs_Parental	SE	-0.681	0.0326	chr2	158476764	158476835	71	chr2:158476264-158477335	chr2:158476664-158476935
Ap3s1	Pos_vs_Parental	SE	-0.681	0.0109	chr18	46916825	46916866	41	chr18:46916325-46917366	chr18:46916725-46916966
Plec	Neg_vs_Parental	A3SS	0.678	0.00146	chr15	76069510	76069689	NA	chr15:76069010-76070189	chr15:76069410-76069789
Snapc3	Neg_vs_Parental	SE	0.678	2.92e-05	chr4	83373251	83373288	37	chr4:83372751-83373788	chr4:83373151-83373388
Fbln1	Pos_vs_Parental	SE	0.678	3.22e-08	chr15	85123494	85123620	126	chr15:85122994-85124120	chr15:85123394-85123720
Gm20544	Pos_vs_Parental	A5SS	-0.677	1.06e-07	chr18	75498858	75498933	NA	chr18:75498358-75499433	chr18:75498758-75499033
Vps29	KO_vs_Pos	SE	-0.676	1.18e-05	chr5	122494856	122494868	12	chr5:122494356-122495368	chr5:122494756-122494968
Sgms1	KO_vs_Parental	SE	-0.675	0.000103	chr19	32134865	32135077	212	chr19:32134365-32135577	chr19:32134765-32135177
Lmntd1	Pos_vs_Parental	SE	0.675	1e-07	chr6	145363125	145363245	120	chr6:145362625-145363745	chr6:145363025-145363345
Lmntd1	KO_vs_Neg	SE	0.673	8.34e-09	chr6	145363125	145363245	120	chr6:145362625-145363745	chr6:145363025-145363345
Gm15246	Neg_vs_Parental	SE	-0.673	1.88e-05	chrX	168104750	168104829	79	chrX:168104250-168105329	chrX:168104650-168104929
Mapk10	KO_vs_Neg	SE	-0.67	8.33e-06	chr5	103124220	103124292	72	chr5:103123720-103124792	chr5:103124120-103124392
Ikzf4	Neg_vs_Parental	SE	0.669	8.07e-06	chr10	128479562	128479634	72	chr10:128479062-128480134	chr10:128479462-128479734
Clip4	KO_vs_Neg	A5SS	0.667	0.000377	chr17	72135501	72135700	NA	chr17:72135001-72136200	chr17:72135401-72135800
Timm44	KO_vs_Neg	SE	0.667	2.91e-07	chr8	4317863	4318013	150	chr8:4317363-4318513	chr8:4317763-4318113
1700112D23Rik	KO_vs_Neg	SE	0.667	3.62e-06	chr3	28815012	28815095	83	chr3:28814512-28815595	chr3:28814912-28815195
Pts	KO_vs_Neg	SE	-0.667	1.64e-05	chr9	50436452	50436584	132	chr9:50435952-50437084	chr9:50436352-50436684
Mthfs	KO_vs_Neg	SE	-0.667	2.05e-05	chr9	89108223	89108440	217	chr9:89107723-89108940	chr9:89108123-89108540
Sh2d5	KO_vs_Neg	SE	0.667	0.00147	chr4	137981583	137981664	81	chr4:137981083-137982164	chr4:137981483-137981764
A330102I10Rik	KO_vs_Parental	MXE	-0.667	2.34e-05	chr13	29207613	29212592	NA	chr13:29207113-29213092	chr13:29207513-29212692
Gm1976	KO_vs_Parental	SE	-0.667	9.21e-05	chr17	95071910	95071967	57	chr17:95071410-95072467	chr17:95071810-95072067
Eif2s3x	KO_vs_Parental	SE	-0.667	0.000257	chrX	93247555	93247714	159	chrX:93247055-93248214	chrX:93247455-93247814
Gm30938	KO_vs_Parental	SE	-0.667	0.00108	chr17	87779124	87779219	95	chr17:87778624-87779719	chr17:87779024-87779319
Kcnn1	KO_vs_Parental	SE	0.667	0.00236	chr8	71307644	71308121	477	chr8:71307144-71308621	chr8:71307544-71308221
Prss41	KO_vs_Parental	SE	0.667	0.0195	chr17	24062930	24062957	27	chr17:24062430-24063457	chr17:24062830-24063057
Clip4	KO_vs_Pos	A5SS	0.667	0.000298	chr17	72135501	72135700	NA	chr17:72135001-72136200	chr17:72135401-72135800
Ccz1	KO_vs_Pos	SE	0.667	9.31e-07	chr5	143935361	143935423	62	chr5:143934861-143935923	chr5:143935261-143935523
Tbcel	KO_vs_Pos	SE	-0.667	1.78e-05	chr9	42354114	42354371	257	chr9:42353614-42354871	chr9:42354014-42354471
Mir9-3hg	KO_vs_Pos	SE	0.667	5.89e-05	chr7	79174293	79174424	131	chr7:79173793-79174924	chr7:79174193-79174524
ENSMUSG00000121471	KO_vs_Pos	SE	-0.667	0.00139	chr7	7374809	7374848	39	chr7:7374309-7375348	chr7:7374709-7374948
Npepps	KO_vs_Pos	SE	-0.667	0.00277	chr11	97128919	97129084	165	chr11:97128419-97129584	chr11:97128819-97129184
Mospd2	KO_vs_Pos	SE	0.667	0.0035	chrX	163745047	163745202	155	chrX:163744547-163745702	chrX:163744947-163745302
Pygm	Neg_vs_Parental	SE	-0.667	7.39e-07	chr19	6436053	6436157	104	chr19:6435553-6436657	chr19:6435953-6436257
Gm1976	Neg_vs_Parental	SE	-0.667	9.2e-05	chr17	95071910	95071967	57	chr17:95071410-95072467	chr17:95071810-95072067
Poteg	Neg_vs_Parental	SE	-0.667	0.0167	chr8	27971649	27971717	68	chr8:27971149-27972217	chr8:27971549-27971817
Ppargc1a	Pos_vs_Neg	A3SS	-0.667	0.000152	chr5	51647358	51647463	NA	chr5:51646858-51647963	chr5:51647258-51647563
Ceacam1	Pos_vs_Neg	MXE	-0.667	0.000173	chr7	25164892	25165862	NA	chr7:25164392-25166362	chr7:25164792-25165962
Rft1	Pos_vs_Neg	SE	-0.667	9.14e-05	chr14	30382153	30382270	117	chr14:30381653-30382770	chr14:30382053-30382370
Zbtb4	Pos_vs_Neg	SE	0.667	0.000121	chr11	69662066	69662113	47	chr11:69661566-69662613	chr11:69661966-69662213
Pxylp1	Pos_vs_Neg	SE	-0.667	0.000166	chr9	96741950	96742019	69	chr9:96741450-96742519	chr9:96741850-96742119
Cdiptos	Pos_vs_Neg	SE	0.667	0.000316	chr7	126573850	126573884	34	chr7:126573350-126574384	chr7:126573750-126573984
Psmd14	Pos_vs_Neg	SE	0.667	0.000814	chr2	61594180	61594251	71	chr2:61593680-61594751	chr2:61594080-61594351
Psme3ip1	Pos_vs_Neg	SE	-0.667	0.00195	chr8	95323678	95323736	58	chr8:95323178-95324236	chr8:95323578-95323836
Map2	Pos_vs_Neg	SE	-0.667	0.00803	chr1	66446744	66446981	237	chr1:66446244-66447481	chr1:66446644-66447081
Uimc1	Pos_vs_Neg	SE	-0.667	0.013	chr13	55233422	55233507	85	chr13:55232922-55234007	chr13:55233322-55233607
Clcn7	Pos_vs_Parental	SE	0.667	0.000563	chr17	25366683	25366734	51	chr17:25366183-25367234	chr17:25366583-25366834
Yars	Pos_vs_Parental	SE	0.667	0.000839	chr4	129090905	129091081	176	chr4:129090405-129091581	chr4:129090805-129091181
Slc26a8	Pos_vs_Parental	SE	0.667	0.00549	chr17	28903680	28903867	187	chr17:28903180-28904367	chr17:28903580-28903967
Cage1	Pos_vs_Parental	SE	0.667	0.00805	chr13	38199655	38199763	108	chr13:38199155-38200263	chr13:38199555-38199863
Psmd13	KO_vs_Pos	RI	0.665	6.68e-11	chr7	140466300	140466758	NA	chr7:140465800-140467258	chr7:140466200-140466858
Qtrt1	KO_vs_Pos	SE	0.665	9.27e-05	chr9	21326210	21326315	105	chr9:21325710-21326815	chr9:21326110-21326415
Rhox3c	KO_vs_Pos	SE	0.665	0.000467	chrX	36654190	36654236	46	chrX:36653690-36654736	chrX:36654090-36654336
Cnot2	KO_vs_Neg	SE	0.664	5.57e-10	chr10	116384937	116385010	73	chr10:116384437-116385510	chr10:116384837-116385110
Ankrd24	KO_vs_Parental	SE	-0.663	7.64e-07	chr10	81464573	81464759	186	chr10:81464073-81465259	chr10:81464473-81464859
Itga7	KO_vs_Neg	SE	0.662	6.54e-07	chr10	128777313	128777445	132	chr10:128776813-128777945	chr10:128777213-128777545
Gsap	Pos_vs_Neg	SE	0.662	0.00407	chr5	21486505	21486600	95	chr5:21486005-21487100	chr5:21486405-21486700
Sh2d5	Pos_vs_Parental	SE	-0.662	0.000531	chr4	137984023	137984275	252	chr4:137983523-137984775	chr4:137983923-137984375
Nphs1	KO_vs_Parental	SE	0.66	2.11e-06	chr7	30181889	30182005	116	chr7:30181389-30182505	chr7:30181789-30182105
Sfmbt1	KO_vs_Parental	SE	0.659	5.57e-09	chr14	30460495	30460587	92	chr14:30459995-30461087	chr14:30460395-30460687
Tnfsf13b	Pos_vs_Neg	SE	-0.659	2.55e-08	chr8	10071372	10071487	115	chr8:10070872-10071987	chr8:10071272-10071587
Gstm6	KO_vs_Neg	SE	-0.658	1.05e-05	chr3	107849648	107849730	82	chr3:107849148-107850230	chr3:107849548-107849830
Serpinb6a	Neg_vs_Parental	A5SS	-0.657	1.1e-07	chr13	34119551	34119777	NA	chr13:34119051-34120277	chr13:34119451-34119877
Mnat1	Neg_vs_Parental	SE	0.657	2.36e-06	chr12	73217367	73217441	74	chr12:73216867-73217941	chr12:73217267-73217541
Sectm1a	Pos_vs_Parental	MXE	-0.657	1.1e-08	chr11	120959860	120960722	NA	chr11:120959360-120961222	chr11:120959760-120960822
Rcbtb1	Pos_vs_Parental	A3SS	0.656	7.39e-05	chr14	59444212	59444379	NA	chr14:59443712-59444879	chr14:59444112-59444479
Rian	Pos_vs_Parental	A3SS	-0.656	0.000394	chr12	109600627	109600788	NA	chr12:109600127-109601288	chr12:109600527-109600888
B3gnt8	Pos_vs_Parental	SE	0.655	0.000177	chr7	25327539	25332954	5415	chr7:25327039-25333454	chr7:25327439-25333054
Tstd2	Pos_vs_Neg	SE	-0.654	0.0024	chr4	46137320	46137428	108	chr4:46136820-46137928	chr4:46137220-46137528
Cd300lg	KO_vs_Parental	SE	-0.653	4.77e-06	chr11	101936892	101937024	132	chr11:101936392-101937524	chr11:101936792-101937124
Sltm	KO_vs_Neg	SE	-0.652	9.48e-08	chr9	70466318	70466383	65	chr9:70465818-70466883	chr9:70466218-70466483
Tulp4	KO_vs_Neg	SE	-0.652	2.99e-05	chr17	6172102	6172619	517	chr17:6171602-6173119	chr17:6172002-6172719
Sltm	KO_vs_Parental	SE	-0.652	2.01e-07	chr9	70466318	70466383	65	chr9:70465818-70466883	chr9:70466218-70466483
Wdr4	Pos_vs_Parental	SE	-0.65	0.0409	chr17	31721744	31721857	113	chr17:31721244-31722357	chr17:31721644-31721957
Actr5	KO_vs_Parental	SE	-0.649	0.0372	chr2	158476764	158476835	71	chr2:158476264-158477335	chr2:158476664-158476935
Ap1s2	Pos_vs_Neg	SE	-0.649	0.000308	chrX	162703901	162703996	95	chrX:162703401-162704496	chrX:162703801-162704096
Ccdc170	KO_vs_Neg	MXE	0.648	0.0202	chr10	4483958	4491882	NA	chr10:4483458-4492382	chr10:4483858-4491982
Gm20544	Neg_vs_Parental	RI	-0.647	0.000104	chr18	75497781	75498933	NA	chr18:75497281-75499433	chr18:75497681-75499033
Txnrd2	Neg_vs_Parental	SE	-0.646	2.92e-05	chr16	18256251	18256396	145	chr16:18255751-18256896	chr16:18256151-18256496
Miip	KO_vs_Parental	SE	0.644	0.0416	chr4	147952525	147952640	115	chr4:147952025-147953140	chr4:147952425-147952740
Fnbp1	Neg_vs_Parental	SE	0.644	1.06e-08	chr2	30986038	30986186	148	chr2:30985538-30986686	chr2:30985938-30986286
Zfp239	Neg_vs_Parental	SE	-0.644	0.00139	chr6	117843355	117843535	180	chr6:117842855-117844035	chr6:117843255-117843635
1700057G04Rik	Pos_vs_Parental	SE	-0.644	0.0118	chr9	92234587	92234749	162	chr9:92234087-92235249	chr9:92234487-92234849
Mettl16	KO_vs_Parental	SE	0.642	0.00134	chr11	74691151	74691281	130	chr11:74690651-74691781	chr11:74691051-74691381
Rnf10	KO_vs_Parental	SE	-0.642	0.00422	chr5	115386973	115387232	259	chr5:115386473-115387732	chr5:115386873-115387332
Carnmt1	KO_vs_Neg	SE	0.641	1.56e-05	chr19	18671012	18671126	114	chr19:18670512-18671626	chr19:18670912-18671226
Esco1	KO_vs_Pos	SE	0.641	0.00532	chr18	10593745	10595875	2130	chr18:10593245-10596375	chr18:10593645-10595975
Hnrnpdl	Pos_vs_Parental	SE	-0.641	2.28e-07	chr5	100185426	100185588	162	chr5:100184926-100186088	chr5:100185326-100185688
Pdia5	KO_vs_Parental	SE	0.639	7.87e-05	chr16	35300512	35300587	75	chr16:35300012-35301087	chr16:35300412-35300687
Adgrl2	KO_vs_Parental	SE	-0.639	0.000234	chr3	148526915	148527044	129	chr3:148526415-148527544	chr3:148526815-148527144
Tnfrsf25	Pos_vs_Neg	SE	-0.639	2.15e-05	chr4	152202703	152202759	56	chr4:152202203-152203259	chr4:152202603-152202859
Lrp8os2	Neg_vs_Parental	SE	0.637	0.00489	chr4	107673123	107673264	141	chr4:107672623-107673764	chr4:107673023-107673364
Adam22	KO_vs_Neg	MXE	0.635	0.000739	chr5	8136593	8138068	NA	chr5:8136093-8138568	chr5:8136493-8138168
2610307P16Rik	Pos_vs_Parental	SE	0.635	8.44e-07	chr13	28895092	28895191	99	chr13:28894592-28895691	chr13:28894992-28895291
Zfp704	Pos_vs_Parental	SE	-0.634	0.000431	chr3	9509218	9509402	184	chr3:9508718-9509902	chr3:9509118-9509502
Bvht	KO_vs_Pos	A5SS	-0.633	8.37e-09	chr18	61772026	61772206	NA	chr18:61771526-61772706	chr18:61771926-61772306
Firre	Neg_vs_Parental	SE	-0.633	1.03e-05	chrX	49697347	49697481	134	chrX:49696847-49697981	chrX:49697247-49697581
Sod2	Neg_vs_Parental	SE	-0.633	0.00442	chr17	13253766	13253878	112	chr17:13253266-13254378	chr17:13253666-13253978
C230035I16Rik	KO_vs_Pos	A5SS	-0.632	0.00714	chr13	23614305	23614522	NA	chr13:23613805-23615022	chr13:23614205-23614622
Cdc123	KO_vs_Neg	SE	-0.631	0.0051	chr2	5815606	5815655	49	chr2:5815106-5816155	chr2:5815506-5815755
AI480526	KO_vs_Parental	A5SS	-0.631	0.00305	chr5	123276013	123276129	NA	chr5:123275513-123276629	chr5:123275913-123276229
AI480526	Neg_vs_Parental	A5SS	-0.631	0.00257	chr5	123276013	123276129	NA	chr5:123275513-123276629	chr5:123275913-123276229
4930503L19Rik	Pos_vs_Parental	SE	-0.631	1.8e-05	chr18	70591387	70591519	132	chr18:70590887-70592019	chr18:70591287-70591619
Garin1b	KO_vs_Neg	A3SS	0.63	0.00544	chr6	29330641	29330685	NA	chr6:29330141-29331185	chr6:29330541-29330785
Zfp644	Pos_vs_Parental	SE	0.629	9.08e-05	chr5	106829769	106829879	110	chr5:106829269-106830379	chr5:106829669-106829979
Psme3ip1	KO_vs_Neg	SE	-0.628	0.00188	chr8	95323678	95323736	58	chr8:95323178-95324236	chr8:95323578-95323836
Psd	KO_vs_Pos	SE	0.627	4.39e-06	chr19	46315336	46315446	110	chr19:46314836-46315946	chr19:46315236-46315546
