Gene	Comparison	EventType	dPSI	FDR	Chromosome	Start	End	ExonLength	IGV_coordinate	IGV_narrow
Srebf2	KO_vs_Neg	SE	-0.611	0.00136	chr15	82054139	82054355	216	chr15:82053639-82054855	chr15:82054039-82054455
Snapc3	KO_vs_Neg	SE	-0.61	0.000123	chr4	83373251	83373288	37	chr4:83372751-83373788	chr4:83373151-83373388
Malt1	KO_vs_Neg	SE	-0.606	4.21e-08	chr18	65589827	65589906	79	chr18:65589327-65590406	chr18:65589727-65590006
Tbc1d10c	KO_vs_Neg	MXE	-0.602	0.0159	chr19	4237940	4238310	NA	chr19:4237440-4238810	chr19:4237840-4238410
Col11a2	KO_vs_Neg	SE	-0.601	5.42e-05	chr17	34266071	34266251	180	chr17:34265571-34266751	chr17:34265971-34266351
Nphs1	KO_vs_Neg	SE	0.599	2.2e-06	chr7	30181889	30182005	116	chr7:30181389-30182505	chr7:30181789-30182105
Gm20544	KO_vs_Neg	RI	0.596	0.0456	chr18	75497781	75498933	NA	chr18:75497281-75499433	chr18:75497681-75499033
Gpr179	KO_vs_Neg	SE	-0.596	4.03e-06	chr11	97234434	97234673	239	chr11:97233934-97235173	chr11:97234334-97234773
Alg6	KO_vs_Neg	SE	-0.595	0.000533	chr4	99636922	99637007	85	chr4:99636422-99637507	chr4:99636822-99637107
AI480526	KO_vs_Neg	A3SS	0.594	0.003	chr5	123272394	123272493	NA	chr5:123271894-123272993	chr5:123272294-123272593
Exoc3l4	KO_vs_Neg	SE	-0.594	2.64e-07	chr12	111385193	111385298	105	chr12:111384693-111385798	chr12:111385093-111385398
Entr1	KO_vs_Neg	SE	0.594	3e-06	chr2	26276001	26276075	74	chr2:26275501-26276575	chr2:26275901-26276175
Ccdc17	KO_vs_Neg	SE	0.582	0.000963	chr4	116455370	116455484	114	chr4:116454870-116455984	chr4:116455270-116455584
Eci1	KO_vs_Neg	SE	0.577	1.85e-06	chr17	24652115	24652234	119	chr17:24651615-24652734	chr17:24652015-24652334
Gnmt	KO_vs_Neg	SE	0.576	9.44e-05	chr17	47037194	47037337	143	chr17:47036694-47037837	chr17:47037094-47037437
Fastkd3	KO_vs_Neg	SE	-0.574	0.0495	chr13	68732254	68732475	221	chr13:68731754-68732975	chr13:68732154-68732575
Mrps18b	KO_vs_Neg	SE	-0.572	0.0466	chr17	36223229	36223296	67	chr17:36222729-36223796	chr17:36223129-36223396
Tacc1	KO_vs_Neg	SE	0.571	0.00392	chr8	25669286	25669322	36	chr8:25668786-25669822	chr8:25669186-25669422
Sgip1	KO_vs_Neg	SE	-0.567	8.74e-06	chr4	102757722	102757734	12	chr4:102757222-102758234	chr4:102757622-102757834
Serpinb6a	KO_vs_Neg	A5SS	0.565	6.24e-05	chr13	34119551	34119777	NA	chr13:34119051-34120277	chr13:34119451-34119877
Dlg1	KO_vs_Neg	SE	-0.565	0.0252	chr16	31673485	31673506	21	chr16:31672985-31674006	chr16:31673385-31673606
Odf2l	KO_vs_Neg	SE	-0.563	1.97e-05	chr3	144852523	144852682	159	chr3:144852023-144853182	chr3:144852423-144852782
B230216N24Rik	KO_vs_Neg	A3SS	0.56	0.0232	chr1	97958840	97959893	NA	chr1:97958340-97960393	chr1:97958740-97959993
Zic4	KO_vs_Neg	SE	-0.553	1.13e-07	chr9	91253868	91254102	234	chr9:91253368-91254602	chr9:91253768-91254202
Sipa1	KO_vs_Neg	A3SS	0.55	0.0018	chr19	5711623	5711686	NA	chr19:5711123-5712186	chr19:5711523-5711786
Gm26947	KO_vs_Neg	SE	-0.545	0.000453	chr10	60773611	60773741	130	chr10:60773111-60774241	chr10:60773511-60773841
Ppp4r1l-ps	KO_vs_Neg	MXE	0.539	0.0269	chr2	173442558	173446390	NA	chr2:173442058-173446890	chr2:173442458-173446490
Gsap	KO_vs_Neg	SE	0.539	0.0199	chr5	21486505	21486600	95	chr5:21486005-21487100	chr5:21486405-21486700
Jakmip3	KO_vs_Neg	SE	-0.533	6.95e-05	chr7	138619252	138619468	216	chr7:138618752-138619968	chr7:138619152-138619568
Tlcd3b	KO_vs_Neg	MXE	-0.532	4.4e-06	chr7	126416360	126417565	NA	chr7:126415860-126418065	chr7:126416260-126417665
Pxylp1	KO_vs_Neg	SE	-0.531	0.00086	chr9	96741950	96742019	69	chr9:96741450-96742519	chr9:96741850-96742119
A730017L22Rik	KO_vs_Neg	SE	-0.524	0.00095	chr2	130725230	130725348	118	chr2:130724730-130725848	chr2:130725130-130725448
Gm10516	KO_vs_Neg	SE	0.524	0.00883	chr1	191828733	191828836	103	chr1:191828233-191829336	chr1:191828633-191828936
Idh1	KO_vs_Neg	SE	0.522	2.51e-05	chr1	65220786	65220857	71	chr1:65220286-65221357	chr1:65220686-65220957
Sar1a	KO_vs_Neg	SE	-0.522	0.000164	chr10	61525390	61525466	76	chr10:61524890-61525966	chr10:61525290-61525566
1700087I21Rik	KO_vs_Neg	SE	0.521	0.000253	chr14	103662577	103662677	100	chr14:103662077-103663177	chr14:103662477-103662777
Iqce	KO_vs_Neg	SE	0.518	1.47e-07	chr5	140672082	140672155	73	chr5:140671582-140672655	chr5:140671982-140672255
Cnot2	KO_vs_Neg	SE	0.514	1.58e-07	chr10	116363731	116363854	123	chr10:116363231-116364354	chr10:116363631-116363954
Ankib1	KO_vs_Neg	SE	0.513	0.00984	chr5	3805593	3805776	183	chr5:3805093-3806276	chr5:3805493-3805876
Clasp1	KO_vs_Neg	SE	-0.511	4.53e-05	chr1	118440434	118440458	24	chr1:118439934-118440958	chr1:118440334-118440558
Tulp4	KO_vs_Neg	SE	-0.508	0.0164	chr17	6168570	6168641	71	chr17:6168070-6169141	chr17:6168470-6168741
Mapk1	KO_vs_Neg	SE	0.508	0.0399	chr16	16836149	16836339	190	chr16:16835649-16836839	chr16:16836049-16836439
Snhg7os	KO_vs_Neg	RI	-0.506	0.0106	chr2	26535513	26535956	NA	chr2:26535013-26536456	chr2:26535413-26536056
Fat1	KO_vs_Neg	SE	-0.506	4.73e-09	chr8	45500686	45500746	60	chr8:45500186-45501246	chr8:45500586-45500846
Paip2	KO_vs_Neg	SE	0.506	0.000496	chr18	35741790	35741872	82	chr18:35741290-35742372	chr18:35741690-35741972
Ctnnal1	KO_vs_Neg	SE	-0.504	3.92e-06	chr4	56838004	56838047	43	chr4:56837504-56838547	chr4:56837904-56838147
Gm12610	KO_vs_Neg	SE	-0.503	0.00154	chr4	89255914	89256050	136	chr4:89255414-89256550	chr4:89255814-89256150
Gm26760	KO_vs_Neg	SE	0.501	0.00376	chr15	92258919	92259050	131	chr15:92258419-92259550	chr15:92258819-92259150
Arel1	KO_vs_Neg	SE	0.501	0.00606	chr12	84998964	84999190	226	chr12:84998464-84999690	chr12:84998864-84999290
Tpcn2	KO_vs_Neg	SE	0.5	0.0175	chr7	144832473	144832651	178	chr7:144831973-144833151	chr7:144832373-144832751
Mast2	KO_vs_Neg	A3SS	0.499	0.00685	chr4	116225932	116226127	NA	chr4:116225432-116226627	chr4:116225832-116226227
Ppp4r1l-ps	KO_vs_Neg	MXE	-0.498	0.0101	chr2	173446298	173449122	NA	chr2:173445798-173449622	chr2:173446198-173449222
Gm10785	KO_vs_Neg	SE	0.498	0.00455	chr16	91506722	91506786	64	chr16:91506222-91507286	chr16:91506622-91506886
Map4k4	KO_vs_Neg	A5SS	-0.497	0.0156	chr1	40046592	40046699	NA	chr1:40046092-40047199	chr1:40046492-40046799
Firre	KO_vs_Neg	MXE	0.495	0.00831	chrX	49694952	49697481	NA	chrX:49694452-49697981	chrX:49694852-49697581
A330102I10Rik	KO_vs_Neg	RI	-0.494	0.0465	chr13	29198301	29200862	NA	chr13:29197801-29201362	chr13:29198201-29200962
Cacna1b	KO_vs_Neg	SE	0.494	0.000203	chr2	24516834	24516931	97	chr2:24516334-24517431	chr2:24516734-24517031
4930517G24Rik	KO_vs_Neg	A3SS	0.493	0.0103	chr8	107944106	107944344	NA	chr8:107943606-107944844	chr8:107944006-107944444
Sh3bp1	KO_vs_Neg	A5SS	0.493	0.000785	chr15	78794207	78794299	NA	chr15:78793707-78794799	chr15:78794107-78794399
Mir9-3hg	KO_vs_Neg	A3SS	-0.492	0.0109	chr7	79180750	79182339	NA	chr7:79180250-79182839	chr7:79180650-79182439
Mcu	KO_vs_Neg	SE	-0.49	0.000226	chr10	59441954	59441999	45	chr10:59441454-59442499	chr10:59441854-59442099
Scn9a	KO_vs_Neg	SE	-0.49	0.00029	chr2	66393679	66393771	92	chr2:66393179-66394271	chr2:66393579-66393871
Sspo	KO_vs_Neg	SE	-0.489	0.0225	chr6	48444531	48444682	151	chr6:48444031-48445182	chr6:48444431-48444782
1700028K03Rik	KO_vs_Neg	MXE	0.487	2.54e-08	chr5	107693553	107694145	NA	chr5:107693053-107694645	chr5:107693453-107694245
Pnldc1	KO_vs_Neg	A3SS	-0.486	0.00696	chr17	13113246	13113498	NA	chr17:13112746-13113998	chr17:13113146-13113598
Zfp219	KO_vs_Neg	SE	-0.485	0.0158	chr14	52252404	52252509	105	chr14:52251904-52253009	chr14:52252304-52252609
5830428M24Rik	KO_vs_Neg	SE	-0.481	0.00244	chr12	69514960	69515134	174	chr12:69514460-69515634	chr12:69514860-69515234
Tpd52	KO_vs_Neg	SE	-0.48	0	chr3	9008610	9008637	27	chr3:9008110-9009137	chr3:9008510-9008737
Firre	KO_vs_Neg	SE	0.479	0.0202	chrX	49697347	49697481	134	chrX:49696847-49697981	chrX:49697247-49697581
Pik3cd	KO_vs_Neg	SE	0.478	0.00328	chr4	149781505	149781680	175	chr4:149781005-149782180	chr4:149781405-149781780
Psat1	KO_vs_Neg	A5SS	-0.477	0.000927	chr19	15894426	15894613	NA	chr19:15893926-15895113	chr19:15894326-15894713
Agpat1	KO_vs_Neg	SE	0.477	0.0175	chr17	34829933	34829979	46	chr17:34829433-34830479	chr17:34829833-34830079
Garin1b	KO_vs_Neg	A3SS	0.476	0.0104	chr6	29330641	29330685	NA	chr6:29330141-29331185	chr6:29330541-29330785
Sfmbt1	KO_vs_Neg	SE	0.476	5.35e-07	chr14	30460495	30460587	92	chr14:30459995-30461087	chr14:30460395-30460687
Sema3b	KO_vs_Neg	SE	-0.474	1.32e-07	chr9	107483748	107484133	385	chr9:107483248-107484633	chr9:107483648-107484233
Gm9801	KO_vs_Neg	SE	-0.474	7.01e-05	chr7	61767470	61767650	180	chr7:61766970-61768150	chr7:61767370-61767750
Gm15564	KO_vs_Neg	SE	0.472	2.52e-06	chr16	35799843	35799937	94	chr16:35799343-35800437	chr16:35799743-35800037
Tspan13	KO_vs_Neg	SE	0.471	0.0149	chr12	36071799	36071913	114	chr12:36071299-36072413	chr12:36071699-36072013
Prss41	KO_vs_Neg	SE	0.469	0.000143	chr17	24062930	24062957	27	chr17:24062430-24063457	chr17:24062830-24063057
Dkc1	KO_vs_Neg	SE	0.468	0.00559	chrX	74140238	74140320	82	chrX:74139738-74140820	chrX:74140138-74140420
Ccnt2	KO_vs_Neg	SE	0.468	0.0465	chr1	127721094	127721155	61	chr1:127720594-127721655	chr1:127720994-127721255
Ninl	KO_vs_Neg	RI	0.467	0.0192	chr2	150807997	150808284	NA	chr2:150807497-150808784	chr2:150807897-150808384
Slc22a17	KO_vs_Neg	SE	-0.467	0.0124	chr14	55145342	55145560	218	chr14:55144842-55146060	chr14:55145242-55145660
Gmppa	KO_vs_Neg	SE	0.466	0.00044	chr1	75413427	75413482	55	chr1:75412927-75413982	chr1:75413327-75413582
Kcnip2	KO_vs_Neg	RI	0.465	0.00012	chr19	45784717	45785625	NA	chr19:45784217-45786125	chr19:45784617-45785725
Hdac5	KO_vs_Neg	MXE	-0.464	5.34e-08	chr11	102104750	102112677	NA	chr11:102104250-102113177	chr11:102104650-102112777
Gm19744	KO_vs_Neg	MXE	0.464	0.038	chr8	49300374	49306829	NA	chr8:49299874-49307329	chr8:49300274-49306929
Gm26947	KO_vs_Neg	SE	-0.464	0.0468	chr10	60770849	60771194	345	chr10:60770349-60771694	chr10:60770749-60771294
Gm36199	KO_vs_Neg	RI	0.46	0.000409	chr17	29684249	29684514	NA	chr17:29683749-29685014	chr17:29684149-29684614
Nr2c2	KO_vs_Neg	SE	0.459	9.69e-05	chr6	92082262	92082346	84	chr6:92081762-92082846	chr6:92082162-92082446
Sucla2	KO_vs_Neg	SE	0.459	0.00188	chr14	73816795	73816924	129	chr14:73816295-73817424	chr14:73816695-73817024
Slc22a21	KO_vs_Neg	A3SS	0.458	0.0177	chr11	53851108	53851447	NA	chr11:53850608-53851947	chr11:53851008-53851547
Agrn	KO_vs_Neg	RI	0.456	0	chr4	156252233	156253026	NA	chr4:156251733-156253526	chr4:156252133-156253126
Dnm3	KO_vs_Neg	SE	-0.456	0.000758	chr1	161872954	161872966	12	chr1:161872454-161873466	chr1:161872854-161873066
Phf14	KO_vs_Neg	SE	0.456	0.00369	chr6	12047123	12047153	30	chr6:12046623-12047653	chr6:12047023-12047253
Gm19744	KO_vs_Neg	SE	0.455	0.0136	chr8	49300374	49300529	155	chr8:49299874-49301029	chr8:49300274-49300629
Scai	KO_vs_Neg	SE	-0.454	0.0238	chr2	39040325	39040426	101	chr2:39039825-39040926	chr2:39040225-39040526
Firre	KO_vs_Neg	MXE	0.453	0.0162	chrX	49694952	49697481	NA	chrX:49694452-49697981	chrX:49694852-49697581
Psd	KO_vs_Neg	SE	0.452	0.00461	chr19	46315336	46315446	110	chr19:46314836-46315946	chr19:46315236-46315546
Elavl2	KO_vs_Neg	SE	0.45	2.16e-06	chr4	91199809	91199900	91	chr4:91199309-91200400	chr4:91199709-91200000
Bvht	KO_vs_Neg	SE	0.45	0.015	chr18	61777285	61777801	516	chr18:61776785-61778301	chr18:61777185-61777901
Plekha6	KO_vs_Neg	SE	-0.449	8.53e-07	chr1	133203549	133203603	54	chr1:133203049-133204103	chr1:133203449-133203703
Rsrc1	KO_vs_Neg	SE	-0.448	0.00118	chr3	66896366	66896494	128	chr3:66895866-66896994	chr3:66896266-66896594
Zfp467	KO_vs_Neg	SE	-0.448	0.00724	chr6	48419769	48419836	67	chr6:48419269-48420336	chr6:48419669-48419936
Exoc6b	KO_vs_Neg	SE	-0.447	0.00225	chr6	84981970	84982018	48	chr6:84981470-84982518	chr6:84981870-84982118
Gm11639	KO_vs_Neg	MXE	0.446	0.00356	chr11	104928664	104929243	NA	chr11:104928164-104929743	chr11:104928564-104929343
Gnl3	KO_vs_Neg	SE	0.446	1.23e-06	chr14	30735385	30735522	137	chr14:30734885-30736022	chr14:30735285-30735622
Gm15408	KO_vs_Neg	SE	-0.445	0.00882	chr5	148948383	148948517	134	chr5:148947883-148949017	chr5:148948283-148948617
Mkln1	KO_vs_Neg	SE	0.445	0.0164	chr6	31428453	31428519	66	chr6:31427953-31429019	chr6:31428353-31428619
Card14	KO_vs_Neg	SE	-0.441	0.00356	chr11	119233968	119234090	122	chr11:119233468-119234590	chr11:119233868-119234190
Tuft1	KO_vs_Neg	SE	0.44	0.0143	chr3	94546693	94546776	83	chr3:94546193-94547276	chr3:94546593-94546876
Fermt3	KO_vs_Neg	RI	-0.437	0.0203	chr19	6979124	6979820	NA	chr19:6978624-6980320	chr19:6979024-6979920
Epb41l1	KO_vs_Neg	SE	0.437	4.52e-05	chr2	156363157	156365080	1923	chr2:156362657-156365580	chr2:156363057-156365180
Firre	KO_vs_Neg	SE	0.437	0.00565	chrX	49697347	49697484	137	chrX:49696847-49697984	chrX:49697247-49697584
Pcsk4	KO_vs_Neg	SE	0.436	0.00573	chr10	80159316	80159434	118	chr10:80158816-80159934	chr10:80159216-80159534
Jpx	KO_vs_Neg	SE	-0.435	1.69e-06	chrX	102561916	102561963	47	chrX:102561416-102562463	chrX:102561816-102562063
Tmem38b	KO_vs_Neg	SE	-0.432	0.000601	chr4	53850473	53850561	88	chr4:53849973-53851061	chr4:53850373-53850661
Srcin1	KO_vs_Neg	SE	0.432	0.0315	chr11	97457536	97457599	63	chr11:97457036-97458099	chr11:97457436-97457699
Firre	KO_vs_Neg	SE	0.431	0.0426	chrX	49697354	49697481	127	chrX:49696854-49697981	chrX:49697254-49697581
Eif3h	KO_vs_Neg	SE	0.429	3.57e-05	chr15	51661008	51661108	100	chr15:51660508-51661608	chr15:51660908-51661208
Eps15	KO_vs_Neg	SE	0.429	0.00788	chr4	109162873	109162921	48	chr4:109162373-109163421	chr4:109162773-109163021
Tmem147	KO_vs_Neg	SE	-0.428	0.00106	chr7	30428081	30428141	60	chr7:30427581-30428641	chr7:30427981-30428241
Gtf2a2	KO_vs_Neg	SE	0.427	6.74e-09	chr9	69924354	69924473	119	chr9:69923854-69924973	chr9:69924254-69924573
Akap1	KO_vs_Neg	SE	0.427	6.36e-06	chr11	88734415	88734522	107	chr11:88733915-88735022	chr11:88734315-88734622
Gm9888	KO_vs_Neg	SE	-0.426	0.0427	chr9	114610365	114610549	184	chr9:114609865-114611049	chr9:114610265-114610649
1600020E01Rik	KO_vs_Neg	SE	-0.422	0.00349	chr6	86527898	86528096	198	chr6:86527398-86528596	chr6:86527798-86528196
Rhbdl1	KO_vs_Neg	SE	-0.422	0.0113	chr17	26055372	26055546	174	chr17:26054872-26056046	chr17:26055272-26055646
Col11a2	KO_vs_Neg	SE	-0.421	0.00066	chr17	34266071	34266251	180	chr17:34265571-34266751	chr17:34265971-34266351
Rps6kb1	KO_vs_Neg	SE	0.421	0.0111	chr11	86408175	86408218	43	chr11:86407675-86408718	chr11:86408075-86408318
Kcnt1	KO_vs_Neg	SE	-0.421	0.0143	chr2	25802666	25802729	63	chr2:25802166-25803229	chr2:25802566-25802829
Iqce	KO_vs_Neg	SE	0.421	0.0484	chr5	140654776	140654860	84	chr5:140654276-140655360	chr5:140654676-140654960
Socs2	KO_vs_Neg	SE	0.421	0.0484	chr10	95228275	95228798	523	chr10:95227775-95229298	chr10:95228175-95228898
Zfp532	KO_vs_Neg	SE	0.418	0.0081	chr18	65777263	65777440	177	chr18:65776763-65777940	chr18:65777163-65777540
Serpinb6a	KO_vs_Neg	A5SS	0.417	0.000377	chr13	34119555	34119777	NA	chr13:34119055-34120277	chr13:34119455-34119877
AI480526	KO_vs_Neg	SE	0.416	0.0155	chr5	123272676	123272780	104	chr5:123272176-123273280	chr5:123272576-123272880
Exoc3l	KO_vs_Neg	MXE	0.415	0.0181	chr8	106019483	106019811	NA	chr8:106018983-106020311	chr8:106019383-106019911
Camsap1	KO_vs_Neg	SE	0.415	1.61e-05	chr2	25845271	25845304	33	chr2:25844771-25845804	chr2:25845171-25845404
Firre	KO_vs_Neg	MXE	0.414	0.00313	chrX	49694952	49697484	NA	chrX:49694452-49697984	chrX:49694852-49697584
2810429I04Rik	KO_vs_Neg	A5SS	0.413	4.28e-06	chr13	3544480	3544721	NA	chr13:3543980-3545221	chr13:3544380-3544821
4930578M01Rik	KO_vs_Neg	MXE	0.413	0.00583	chr15	98885637	98886026	NA	chr15:98885137-98886526	chr15:98885537-98886126
Mocs2	KO_vs_Neg	SE	-0.412	4.85e-07	chr13	114961746	114961770	24	chr13:114961246-114962270	chr13:114961646-114961870
Shank1	KO_vs_Neg	SE	-0.412	0.0113	chr7	43993721	43993745	24	chr7:43993221-43994245	chr7:43993621-43993845
4933405D12Rik	KO_vs_Neg	SE	-0.411	0.00168	chr3	122713327	122713454	127	chr3:122712827-122713954	chr3:122713227-122713554
Gm19744	KO_vs_Neg	SE	-0.411	0.0249	chr8	49311532	49311627	95	chr8:49311032-49312127	chr8:49311432-49311727
AI480526	KO_vs_Neg	SE	0.41	0.0149	chr5	123272686	123272780	94	chr5:123272186-123273280	chr5:123272586-123272880
Fat1	KO_vs_Neg	MXE	-0.409	2.15e-08	chr8	45500686	45502914	NA	chr8:45500186-45503414	chr8:45500586-45503014
Bzw2	KO_vs_Neg	SE	0.409	0.0083	chr12	36190693	36190841	148	chr12:36190193-36191341	chr12:36190593-36190941
Mapkapk3	KO_vs_Neg	A5SS	0.408	0.000927	chr9	107139621	107140963	NA	chr9:107139121-107141463	chr9:107139521-107141063
Fat1	KO_vs_Neg	SE	-0.408	1.6e-05	chr8	45500686	45500746	60	chr8:45500186-45501246	chr8:45500586-45500846
Bin1	KO_vs_Neg	SE	-0.408	0.00628	chr18	32562752	32562776	24	chr18:32562252-32563276	chr18:32562652-32562876
Crtc2	KO_vs_Neg	SE	-0.407	0.00195	chr3	90168003	90168410	407	chr3:90167503-90168910	chr3:90167903-90168510
Mrps18b	KO_vs_Neg	SE	0.407	0.0209	chr17	36223229	36223296	67	chr17:36222729-36223796	chr17:36223129-36223396
Slc4a9	KO_vs_Neg	A3SS	0.405	0.00403	chr18	36664404	36664579	NA	chr18:36663904-36665079	chr18:36664304-36664679
Micu1	KO_vs_Neg	SE	-0.404	0.000167	chr10	59602905	59602911	6	chr10:59602405-59603411	chr10:59602805-59603011
Gphn	KO_vs_Neg	SE	-0.404	0.000233	chr12	78579430	78579472	42	chr12:78578930-78579972	chr12:78579330-78579572
Gm12610	KO_vs_Neg	SE	0.404	0.00158	chr4	89275354	89275446	92	chr4:89274854-89275946	chr4:89275254-89275546
Homer2	KO_vs_Neg	A3SS	-0.403	0.0411	chr7	81268323	81268463	NA	chr7:81267823-81268963	chr7:81268223-81268563
Src	KO_vs_Neg	SE	0.403	0.00155	chr2	157266747	157266855	108	chr2:157266247-157267355	chr2:157266647-157266955
Pprc1	KO_vs_Neg	A3SS	-0.402	0.0251	chr19	46056456	46056527	NA	chr19:46055956-46057027	chr19:46056356-46056627
Firre	KO_vs_Neg	MXE	-0.402	0.00278	chrX	49692247	49695039	NA	chrX:49691747-49695539	chrX:49692147-49695139
