Gene	Comparison	EventType	dPSI	FDR	Chromosome	Start	End	ExonLength	IGV_coordinate	IGV_narrow
Ank2	KO_vs_Neg	SE	-0.322	0	chr3	126772904	126772916	12	chr3:126772404-126773416	chr3:126772804-126773016
Ppfia1	KO_vs_Neg	SE	-0.319	0.00949	chr7	144042427	144042454	27	chr7:144041927-144042954	chr7:144042327-144042554
Bin1	KO_vs_Neg	SE	-0.317	9.68e-11	chr18	32562752	32562776	24	chr18:32562252-32563276	chr18:32562652-32562876
Ank3	KO_vs_Neg	SE	-0.316	5.78e-13	chr10	69816653	69816680	27	chr10:69816153-69817180	chr10:69816553-69816780
Upp1	KO_vs_Neg	SE	0.313	0.00119	chr11	9068630	9068660	30	chr11:9068130-9069160	chr11:9068530-9068760
Zmynd8	KO_vs_Neg	SE	-0.309	0	chr2	165694787	165694799	12	chr2:165694287-165695299	chr2:165694687-165694899
Tcf7l2	KO_vs_Neg	SE	-0.307	1.69e-06	chr19	55916161	55916186	25	chr19:55915661-55916686	chr19:55916061-55916286
Sting1	KO_vs_Neg	SE	-0.298	0.00011	chr18	35872977	35873001	24	chr18:35872477-35873501	chr18:35872877-35873101
Dip2a	KO_vs_Neg	SE	-0.293	0	chr10	76107209	76107239	30	chr10:76106709-76107739	chr10:76107109-76107339
Ergic3	KO_vs_Neg	SE	-0.292	0	chr2	155857296	155857311	15	chr2:155856796-155857811	chr2:155857196-155857411
Ppfia1	KO_vs_Neg	SE	-0.289	0	chr7	144056603	144056633	30	chr7:144056103-144057133	chr7:144056503-144056733
Rab3gap1	KO_vs_Neg	SE	-0.286	0	chr1	127869330	127869351	21	chr1:127868830-127869851	chr1:127869230-127869451
Nbea	KO_vs_Neg	SE	-0.284	0	chr3	55901468	55901477	9	chr3:55900968-55901977	chr3:55901368-55901577
Abi2	KO_vs_Neg	SE	-0.283	0	chr1	60478100	60478118	18	chr1:60477600-60478618	chr1:60478000-60478218
Mast2	KO_vs_Neg	SE	-0.282	0	chr4	116190609	116190630	21	chr4:116190109-116191130	chr4:116190509-116190730
Ank3	KO_vs_Neg	SE	-0.282	3.59e-05	chr10	69765276	69765288	12	chr10:69764776-69765788	chr10:69765176-69765388
Pcgf6	KO_vs_Neg	SE	-0.279	7.62e-10	chr19	47030560	47030578	18	chr19:47030060-47031078	chr19:47030460-47030678
Arhgap23	KO_vs_Neg	SE	-0.278	0	chr11	97382469	97382492	23	chr11:97381969-97382992	chr11:97382369-97382592
Exoc1	KO_vs_Neg	SE	-0.278	2.86e-10	chr5	76688593	76688614	21	chr5:76688093-76689114	chr5:76688493-76688714
Clasp2	KO_vs_Neg	SE	0.276	1.11e-10	chr9	113689187	113689205	18	chr9:113688687-113689705	chr9:113689087-113689305
Ssr1	KO_vs_Neg	SE	-0.264	0	chr13	38167070	38167085	15	chr13:38166570-38167585	chr13:38166970-38167185
Rapgef6	KO_vs_Neg	SE	-0.263	7.49e-07	chr11	54542574	54542589	15	chr11:54542074-54543089	chr11:54542474-54542689
Madd	KO_vs_Neg	SE	-0.262	0	chr2	90971153	90971162	9	chr2:90970653-90971662	chr2:90971053-90971262
Ddhd1	KO_vs_Neg	SE	-0.262	1.86e-06	chr14	45866310	45866331	21	chr14:45865810-45866831	chr14:45866210-45866431
Pacsin2	KO_vs_Neg	SE	-0.259	0	chr15	83267823	83267829	6	chr15:83267323-83268329	chr15:83267723-83267929
Arvcf	KO_vs_Neg	SE	-0.258	0	chr16	18219530	18219548	18	chr16:18219030-18220048	chr16:18219430-18219648
Snap91	KO_vs_Neg	SE	-0.258	1.36e-11	chr9	86680882	86680897	15	chr9:86680382-86681397	chr9:86680782-86680997
Tcf7l2	KO_vs_Neg	SE	-0.256	9.5e-05	chr19	55916161	55916186	25	chr19:55915661-55916686	chr19:55916061-55916286
Mapk8ip3	KO_vs_Neg	SE	-0.255	0	chr17	25127384	25127402	18	chr17:25126884-25127902	chr17:25127284-25127502
Dctn1	KO_vs_Neg	SE	-0.255	0	chr6	83160917	83160938	21	chr6:83160417-83161438	chr6:83160817-83161038
Ewsr1	KO_vs_Neg	SE	-0.255	0	chr11	5041459	5041477	18	chr11:5040959-5041977	chr11:5041359-5041577
Tex30	KO_vs_Neg	SE	-0.253	2.67e-06	chr1	44130342	44130372	30	chr1:44129842-44130872	chr1:44130242-44130472
Tcf7l2	KO_vs_Neg	SE	-0.253	7.39e-05	chr19	55916161	55916186	25	chr19:55915661-55916686	chr19:55916061-55916286
Tenm3	KO_vs_Neg	SE	-0.247	0	chr8	48740167	48740188	21	chr8:48739667-48740688	chr8:48740067-48740288
Pecam1	KO_vs_Neg	SE	-0.246	0.00154	chr11	106552827	106552850	23	chr11:106552327-106553350	chr11:106552727-106552950
Psap	KO_vs_Neg	SE	-0.238	0	chr10	60133316	60133325	9	chr10:60132816-60133825	chr10:60133216-60133425
Iffo1	KO_vs_Neg	SE	0.234	8.53e-12	chr6	125128757	125128766	9	chr6:125128257-125129266	chr6:125128657-125128866
Ppp6r3	KO_vs_Neg	SE	-0.23	0	chr19	3509746	3509764	18	chr19:3509246-3510264	chr19:3509646-3509864
Mon2	KO_vs_Neg	SE	-0.228	0	chr10	122858990	122858993	3	chr10:122858490-122859493	chr10:122858890-122859093
Atp2c1	KO_vs_Neg	SE	-0.228	5.45e-12	chr9	105370741	105370753	12	chr9:105370241-105371253	chr9:105370641-105370853
Sorbs1	KO_vs_Neg	SE	-0.227	5.51e-05	chr19	40371199	40371226	27	chr19:40370699-40371726	chr19:40371099-40371326
Fam168a	KO_vs_Neg	SE	0.226	2.29e-07	chr7	100467942	100467969	27	chr7:100467442-100468469	chr7:100467842-100468069
Kcnq5	KO_vs_Neg	SE	-0.225	0.0352	chr1	21536606	21536633	27	chr1:21536106-21537133	chr1:21536506-21536733
Eif4g1	KO_vs_Neg	SE	-0.224	0	chr16	20493535	20493556	21	chr16:20493035-20494056	chr16:20493435-20493656
Agap1	KO_vs_Neg	SE	-0.223	0	chr1	89538005	89538017	12	chr1:89537505-89538517	chr1:89537905-89538117
6430548M08Rik	KO_vs_Neg	SE	-0.223	3.79e-07	chr8	120884206	120884236	30	chr8:120883706-120884736	chr8:120884106-120884336
Src	KO_vs_Neg	SE	-0.218	3.17e-07	chr2	157300762	157300780	18	chr2:157300262-157301280	chr2:157300662-157300880
Adgrl2	KO_vs_Neg	SE	-0.217	4.15e-05	chr3	148532847	148532874	27	chr3:148532347-148533374	chr3:148532747-148532974
Tmem184b	KO_vs_Neg	SE	-0.216	0	chr15	79247857	79247878	21	chr15:79247357-79248378	chr15:79247757-79247978
Ppfia1	KO_vs_Neg	SE	-0.212	0.00467	chr7	144042427	144042454	27	chr7:144041927-144042954	chr7:144042327-144042554
Gramd1a	KO_vs_Neg	SE	-0.209	0	chr7	30832644	30832656	12	chr7:30832144-30833156	chr7:30832544-30832756
Cask	KO_vs_Neg	SE	-0.208	0	chrX	13462924	13462942	18	chrX:13462424-13463442	chrX:13462824-13463042
Ckap5	KO_vs_Neg	SE	-0.208	7.31e-12	chr2	91429948	91429972	24	chr2:91429448-91430472	chr2:91429848-91430072
Slc38a10	KO_vs_Neg	SE	-0.207	0	chr11	119999292	119999316	24	chr11:119998792-119999816	chr11:119999192-119999416
Marchf7	KO_vs_Neg	SE	-0.207	3.3e-09	chr2	60077831	60077856	25	chr2:60077331-60078356	chr2:60077731-60077956
Gpc6	KO_vs_Neg	SE	-0.207	0.00199	chr14	118129753	118129783	30	chr14:118129253-118130283	chr14:118129653-118129883
Meaf6	KO_vs_Neg	SE	-0.202	0	chr4	125001309	125001339	30	chr4:125000809-125001839	chr4:125001209-125001439
Tnik	KO_vs_Neg	SE	-0.201	1.23e-11	chr3	28679347	28679371	24	chr3:28678847-28679871	chr3:28679247-28679471
Fbxo25	KO_vs_Neg	SE	-0.2	0	chr8	13988921	13988948	27	chr8:13988421-13989448	chr8:13988821-13989048
Spag9	KO_vs_Neg	SE	-0.2	0.0246	chr11	93970024	93970036	12	chr11:93969524-93970536	chr11:93969924-93970136
Arfgap1	KO_vs_Neg	SE	-0.199	0	chr2	180620204	180620234	30	chr2:180619704-180620734	chr2:180620104-180620334
Dctn1	KO_vs_Neg	SE	-0.196	0	chr6	83174300	83174315	15	chr6:83173800-83174815	chr6:83174200-83174415
Vps29	KO_vs_Neg	SE	-0.196	0	chr5	122494856	122494868	12	chr5:122494356-122495368	chr5:122494756-122494968
Gnas	KO_vs_Neg	SE	-0.192	0	chr2	174169900	174169924	24	chr2:174169400-174170424	chr2:174169800-174170024
Picalm	KO_vs_Neg	SE	-0.187	0	chr7	89843480	89843504	24	chr7:89842980-89844004	chr7:89843380-89843604
Col4a1	KO_vs_Neg	SE	-0.187	4.93e-08	chr8	11254535	11254552	17	chr8:11254035-11255052	chr8:11254435-11254652
Incenp	KO_vs_Neg	SE	-0.187	6.47e-08	chr19	9860555	9860567	12	chr19:9860055-9861067	chr19:9860455-9860667
Chpt1	KO_vs_Neg	SE	-0.187	0.036	chr10	88317214	88317241	27	chr10:88316714-88317741	chr10:88317114-88317341
Inpp4a	KO_vs_Neg	SE	-0.183	0.00163	chr1	37413355	37413370	15	chr1:37412855-37413870	chr1:37413255-37413470
Parl	KO_vs_Neg	SE	-0.183	0.00202	chr16	20101673	20101681	8	chr16:20101173-20102181	chr16:20101573-20101781
Dync2h1	KO_vs_Neg	SE	-0.182	0.000141	chr9	7045348	7045369	21	chr9:7044848-7045869	chr9:7045248-7045469
Sh3glb1	KO_vs_Neg	SE	-0.181	0	chr3	144405614	144405638	24	chr3:144405114-144406138	chr3:144405514-144405738
Dock9	KO_vs_Neg	SE	-0.18	4.4e-05	chr14	121797806	121797812	6	chr14:121797306-121798312	chr14:121797706-121797912
Adgrl1	KO_vs_Neg	SE	-0.176	1.53e-06	chr8	84652890	84652905	15	chr8:84652390-84653405	chr8:84652790-84653005
Clasp2	KO_vs_Neg	SE	-0.174	0	chr9	113707817	113707841	24	chr9:113707317-113708341	chr9:113707717-113707941
Dctn4	KO_vs_Neg	SE	-0.174	1.79e-08	chr18	60678428	60678449	21	chr18:60677928-60678949	chr18:60678328-60678549
Napg	KO_vs_Neg	SE	0.174	0.00514	chr18	63116444	63116462	18	chr18:63115944-63116962	chr18:63116344-63116562
Mfsd6	KO_vs_Neg	SE	-0.173	0.000199	chr1	52697857	52697882	25	chr1:52697357-52698382	chr1:52697757-52697982
Tpd52l2	KO_vs_Neg	SE	-0.172	1.4e-10	chr2	181152296	181152323	27	chr2:181151796-181152823	chr2:181152196-181152423
Eef1d	KO_vs_Neg	SE	-0.172	0.00417	chr15	75777734	75777749	15	chr15:75777234-75778249	chr15:75777634-75777849
Wnk1	KO_vs_Neg	SE	-0.167	2.45e-10	chr6	119905083	119905110	27	chr6:119904583-119905610	chr6:119904983-119905210
Vps29	KO_vs_Neg	SE	-0.167	0.00112	chr5	122494856	122494868	12	chr5:122494356-122495368	chr5:122494756-122494968
Dctn1	KO_vs_Neg	SE	-0.167	0.013	chr6	83160917	83160938	21	chr6:83160417-83161438	chr6:83160817-83161038
Psd	KO_vs_Neg	SE	0.167	0.0157	chr19	46314605	46314621	16	chr19:46314105-46315121	chr19:46314505-46314721
Ryr2	KO_vs_Neg	SE	-0.165	0.0162	chr13	11905719	11905734	15	chr13:11905219-11906234	chr13:11905619-11905834
Srrm3	KO_vs_Neg	SE	-0.164	2.51e-09	chr5	135895980	135896000	20	chr5:135895480-135896500	chr5:135895880-135896100
Zfyve27	KO_vs_Neg	SE	-0.163	1.15e-06	chr19	42174058	42174079	21	chr19:42173558-42174579	chr19:42173958-42174179
Ryr1	KO_vs_Neg	SE	-0.163	0.00247	chr7	28744343	28744361	18	chr7:28743843-28744861	chr7:28744243-28744461
Erc1	KO_vs_Neg	SE	-0.162	4.57e-06	chr6	119711041	119711053	12	chr6:119710541-119711553	chr6:119710941-119711153
Stk3	KO_vs_Neg	SE	-0.16	0	chr15	35115083	35115104	21	chr15:35114583-35115604	chr15:35114983-35115204
Myh10	KO_vs_Neg	SE	-0.16	0	chr11	68636760	68636790	30	chr11:68636260-68637290	chr11:68636660-68636890
Edem3	KO_vs_Neg	SE	-0.16	5.75e-09	chr1	151688504	151688519	15	chr1:151688004-151689019	chr1:151688404-151688619
Taf1	KO_vs_Neg	SE	-0.158	2.16e-06	chrX	100634339	100634345	6	chrX:100633839-100634845	chrX:100634239-100634445
Adam22	KO_vs_Neg	SE	-0.157	9.66e-07	chr5	8136593	8136623	30	chr5:8136093-8137123	chr5:8136493-8136723
Bin1	KO_vs_Neg	SE	-0.156	0.000825	chr18	32562752	32562776	24	chr18:32562252-32563276	chr18:32562652-32562876
Dock4	KO_vs_Neg	SE	-0.155	0	chr12	40844595	40844622	27	chr12:40844095-40845122	chr12:40844495-40844722
Nrbp1	KO_vs_Neg	SE	-0.154	6.19e-13	chr5	31403665	31403689	24	chr5:31403165-31404189	chr5:31403565-31403789
Lysmd4	KO_vs_Neg	SE	-0.154	0.00214	chr7	66874123	66874149	26	chr7:66873623-66874649	chr7:66874023-66874249
Asap1	KO_vs_Neg	SE	-0.153	3.38e-11	chr15	64025692	64025701	9	chr15:64025192-64026201	chr15:64025592-64025801
Arl6	KO_vs_Neg	SE	-0.152	3.74e-07	chr16	59439028	59439041	13	chr16:59438528-59439541	chr16:59438928-59439141
Unc13a	KO_vs_Neg	SE	0.151	3.27e-07	chr8	72119284	72119314	30	chr8:72118784-72119814	chr8:72119184-72119414
Ppfia3	KO_vs_Neg	SE	-0.151	0.00488	chr7	44992976	44993003	27	chr7:44992476-44993503	chr7:44992876-44993103
Zfp62	KO_vs_Neg	SE	-0.15	0.0135	chr11	49095277	49095302	25	chr11:49094777-49095802	chr11:49095177-49095402
L1cam	KO_vs_Neg	SE	-0.148	0	chrX	72899257	72899269	12	chrX:72898757-72899769	chrX:72899157-72899369
Cibar1	KO_vs_Neg	SE	-0.147	0	chr4	12169957	12169978	21	chr4:12169457-12170478	chr4:12169857-12170078
Dhx30	KO_vs_Neg	SE	0.147	0.0268	chr9	109937008	109937037	29	chr9:109936508-109937537	chr9:109936908-109937137
Myo18a	KO_vs_Neg	SE	-0.144	0	chr11	77712355	77712376	21	chr11:77711855-77712876	chr11:77712255-77712476
Tenm3	KO_vs_Neg	SE	-0.142	1.84e-05	chr8	48766272	48766299	27	chr8:48765772-48766799	chr8:48766172-48766399
Srrm4	KO_vs_Neg	SE	-0.142	0.000285	chr5	116592731	116592747	16	chr5:116592231-116593247	chr5:116592631-116592847
Ppfia1	KO_vs_Neg	SE	-0.142	0.0126	chr7	144042427	144042454	27	chr7:144041927-144042954	chr7:144042327-144042554
Clasp1	KO_vs_Neg	SE	-0.141	0.0126	chr1	118451050	118451077	27	chr1:118450550-118451577	chr1:118450950-118451177
Sidt2	KO_vs_Neg	SE	-0.139	6.72e-05	chr9	45858838	45858850	12	chr9:45858338-45859350	chr9:45858738-45858950
Kcnc3	KO_vs_Neg	SE	-0.139	0.000907	chr7	44247013	44247043	30	chr7:44246513-44247543	chr7:44246913-44247143
Clasp1	KO_vs_Neg	SE	-0.137	3.52e-07	chr1	118469404	118469428	24	chr1:118468904-118469928	chr1:118469304-118469528
Spag9	KO_vs_Neg	SE	-0.135	4.34e-10	chr11	93970024	93970036	12	chr11:93969524-93970536	chr11:93969924-93970136
Mapkbp1	KO_vs_Neg	SE	-0.135	9.07e-05	chr2	119843781	119843799	18	chr2:119843281-119844299	chr2:119843681-119843899
Trappc8	KO_vs_Neg	SE	-0.134	1.16e-10	chr18	20988877	20988895	18	chr18:20988377-20989395	chr18:20988777-20988995
Vav2	KO_vs_Neg	SE	-0.13	1.57e-12	chr2	27174850	27174865	15	chr2:27174350-27175365	chr2:27174750-27174965
Fnbp1	KO_vs_Neg	SE	-0.13	0.0034	chr2	30934893	30934908	15	chr2:30934393-30935408	chr2:30934793-30935008
Gramd1b	KO_vs_Neg	SE	-0.129	4.38e-05	chr9	40211735	40211747	12	chr9:40211235-40212247	chr9:40211635-40211847
Phf14	KO_vs_Neg	SE	0.129	0.00569	chr6	12047123	12047153	30	chr6:12046623-12047653	chr6:12047023-12047253
Gpatch8	KO_vs_Neg	SE	-0.128	0.000238	chr11	102422138	102422156	18	chr11:102421638-102422656	chr11:102422038-102422256
Vav2	KO_vs_Neg	SE	-0.127	1.18e-12	chr2	27190441	27190456	15	chr2:27189941-27190956	chr2:27190341-27190556
Meaf6	KO_vs_Neg	SE	-0.124	0	chr4	125001309	125001339	30	chr4:125000809-125001839	chr4:125001209-125001439
Sbf1	KO_vs_Neg	SE	-0.124	8.53e-12	chr15	89191374	89191398	24	chr15:89190874-89191898	chr15:89191274-89191498
Trim9	KO_vs_Neg	SE	-0.124	0.02	chr12	70314007	70314037	30	chr12:70313507-70314537	chr12:70313907-70314137
Ddhd1	KO_vs_Neg	SE	-0.121	0.00208	chr14	45866310	45866331	21	chr14:45865810-45866831	chr14:45866210-45866431
Dlg1	KO_vs_Neg	SE	-0.12	1.14e-12	chr16	31673485	31673506	21	chr16:31672985-31674006	chr16:31673385-31673606
Arhgef10l	KO_vs_Neg	SE	0.12	5.85e-10	chr4	140296066	140296081	15	chr4:140295566-140296581	chr4:140295966-140296181
Clip1	KO_vs_Neg	SE	-0.12	1.88e-05	chr5	123719654	123719660	6	chr5:123719154-123720160	chr5:123719554-123719760
Slc12a5	KO_vs_Neg	SE	-0.116	0.00535	chr2	164838783	164838798	15	chr2:164838283-164839298	chr2:164838683-164838898
Fryl	KO_vs_Neg	SE	-0.115	1.05e-11	chr5	73182113	73182131	18	chr5:73181613-73182631	chr5:73182013-73182231
Daam1	KO_vs_Neg	SE	-0.115	0.00355	chr12	72005520	72005547	27	chr12:72005020-72006047	chr12:72005420-72005647
Eef1d	KO_vs_Neg	SE	-0.114	9.2e-08	chr15	75777734	75777749	15	chr15:75777234-75778249	chr15:75777634-75777849
Ptk2	KO_vs_Neg	SE	-0.114	0.00156	chr15	73154066	73154084	18	chr15:73153566-73154584	chr15:73153966-73154184
Dtnbp1	KO_vs_Neg	SE	-0.114	0.016	chr13	45106647	45106670	23	chr13:45106147-45107170	chr13:45106547-45106770
Dclk2	KO_vs_Neg	SE	-0.113	1.45e-07	chr3	86695928	86695941	13	chr3:86695428-86696441	chr3:86695828-86696041
P2rx3	KO_vs_Neg	SE	0.112	0.0317	chr2	84862864	84862891	27	chr2:84862364-84863391	chr2:84862764-84862991
Tenm4	KO_vs_Neg	SE	-0.109	9.18e-05	chr7	96503923	96503944	21	chr7:96503423-96504444	chr7:96503823-96504044
Eef1d	KO_vs_Neg	SE	-0.109	0.000413	chr15	75777734	75777749	15	chr15:75777234-75778249	chr15:75777634-75777849
Wnk1	KO_vs_Neg	SE	-0.108	0	chr6	119905083	119905110	27	chr6:119904583-119905610	chr6:119904983-119905210
Eif4g1	KO_vs_Neg	SE	-0.108	1.85e-13	chr16	20493535	20493556	21	chr16:20493035-20494056	chr16:20493435-20493656
Impdh1	KO_vs_Neg	SE	-0.106	1.15e-11	chr6	29201886	29201903	17	chr6:29201386-29202403	chr6:29201786-29202003
L1cam	KO_vs_Neg	SE	-0.105	0	chrX	72910627	72910642	15	chrX:72910127-72911142	chrX:72910527-72910742
Bak1	KO_vs_Neg	SE	-0.105	1.45e-05	chr17	27240636	27240656	20	chr17:27240136-27241156	chr17:27240536-27240756
Mylpf	KO_vs_Neg	SE	-0.104	0.0115	chr7	126810920	126810935	15	chr7:126810420-126811435	chr7:126810820-126811035
Arhgef1	KO_vs_Neg	SE	-0.104	0.0137	chr7	24617944	24617956	12	chr7:24617444-24618456	chr7:24617844-24618056
Dlg1	KO_vs_Neg	SE	0.104	0.0245	chr16	31673485	31673506	21	chr16:31672985-31674006	chr16:31673385-31673606
Ppfia1	KO_vs_Neg	SE	-0.103	5.19e-05	chr7	144042427	144042454	27	chr7:144041927-144042954	chr7:144042327-144042554
Nrcam	KO_vs_Neg	SE	-0.103	0.00486	chr12	44581839	44581857	18	chr12:44581339-44582357	chr12:44581739-44581957
Phf21b	KO_vs_Neg	SE	-0.102	2.33e-05	chr15	84678096	84678119	23	chr15:84677596-84678619	chr15:84677996-84678219
Dctn1	KO_vs_Neg	SE	-0.102	0.00251	chr6	83160917	83160938	21	chr6:83160417-83161438	chr6:83160817-83161038
Inpp4a	KO_vs_Neg	SE	-0.101	0.0409	chr1	37413352	37413370	18	chr1:37412852-37413870	chr1:37413252-37413470
Kcnq2	KO_vs_Neg	SE	-0.1	0.000269	chr2	180745434	180745464	30	chr2:180744934-180745964	chr2:180745334-180745564
Prss41	KO_vs_Parental	SE	0.667	0.0195	chr17	24062930	24062957	27	chr17:24062430-24063457	chr17:24062830-24063057
Ncam1	KO_vs_Parental	SE	-0.445	0.000288	chr9	49453187	49453202	15	chr9:49452687-49453702	chr9:49453087-49453302
Ttc8	KO_vs_Parental	SE	-0.444	0.000465	chr12	98903378	98903408	30	chr12:98902878-98903908	chr12:98903278-98903508
Kcnc3	KO_vs_Parental	SE	0.435	0.00217	chr7	44247013	44247043	30	chr7:44246513-44247543	chr7:44246913-44247143
Zcrb1	KO_vs_Parental	SE	-0.371	8.5e-06	chr15	93293467	93293496	29	chr15:93292967-93293996	chr15:93293367-93293596
Sting1	KO_vs_Parental	SE	-0.354	9.86e-06	chr18	35872977	35873001	24	chr18:35872477-35873501	chr18:35872877-35873101
Ppfia1	KO_vs_Parental	SE	-0.354	0.000103	chr7	144042427	144042454	27	chr7:144041927-144042954	chr7:144042327-144042554
Cacnb1	KO_vs_Parental	SE	-0.341	0.0496	chr11	97901452	97901472	20	chr11:97900952-97901972	chr11:97901352-97901572
P2rx3	KO_vs_Parental	SE	-0.331	0.00356	chr2	84862864	84862891	27	chr2:84862364-84863391	chr2:84862764-84862991
Psd	KO_vs_Parental	SE	0.306	0.000581	chr19	46314605	46314621	16	chr19:46314105-46315121	chr19:46314505-46314721
Tbc1d4	KO_vs_Parental	SE	-0.29	8.5e-06	chr14	101698134	101698137	3	chr14:101697634-101698637	chr14:101698034-101698237
Tcf7l2	KO_vs_Parental	SE	-0.261	8.32e-05	chr19	55916161	55916186	25	chr19:55915661-55916686	chr19:55916061-55916286
Nrxn2	KO_vs_Parental	SE	0.25	0.01	chr19	6498284	6498314	30	chr19:6497784-6498814	chr19:6498184-6498414
Dpy19l1	KO_vs_Parental	SE	0.247	0.0479	chr9	24397000	24397025	25	chr9:24396500-24397525	chr9:24396900-24397125
Ppfia1	KO_vs_Parental	SE	-0.242	0.000197	chr7	144042427	144042454	27	chr7:144041927-144042954	chr7:144042327-144042554
Pus7	KO_vs_Parental	SE	-0.241	1.19e-12	chr5	23968331	23968349	18	chr5:23967831-23968849	chr5:23968231-23968449
Pcgf6	KO_vs_Parental	SE	-0.239	8.02e-05	chr19	47030560	47030578	18	chr19:47030060-47031078	chr19:47030460-47030678
Dclk2	KO_vs_Parental	SE	0.237	0.00139	chr3	86695928	86695941	13	chr3:86695428-86696441	chr3:86695828-86696041
Ryr1	KO_vs_Parental	SE	-0.234	0.0418	chr7	28816632	28816653	21	chr7:28816132-28817153	chr7:28816532-28816753
Tcf7l2	KO_vs_Parental	SE	-0.23	0.000145	chr19	55916161	55916186	25	chr19:55915661-55916686	chr19:55916061-55916286
Slit2	KO_vs_Parental	SE	-0.22	0.0011	chr5	48378308	48378332	24	chr5:48377808-48378832	chr5:48378208-48378432
Iffo1	KO_vs_Parental	SE	0.212	4.15e-11	chr6	125128757	125128766	9	chr6:125128257-125129266	chr6:125128657-125128866
Unc79	KO_vs_Parental	SE	0.207	0.0296	chr12	103016153	103016182	29	chr12:103015653-103016682	chr12:103016053-103016282
