"comparison","GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","IncLevelDifference","FDR"
"KO_vs_Neg","ENSMUSG00000055013","Agap1","chr1",89538005,89538017,12,-0.223,0
"KO_vs_Neg","ENSMUSG00000031561","Tenm3","chr8",48740167,48740188,21,-0.247,0
"KO_vs_Neg","ENSMUSG00000118669","Arvcf","chr16",18219530,18219548,18,-0.258,0
"KO_vs_Neg","ENSMUSG00000034602","Mon2","chr10",122858990,122858993,3,-0.228,0
"KO_vs_Neg","ENSMUSG00000009079","Ewsr1","chr11",5041459,5041477,18,-0.255,0
"KO_vs_Neg","ENSMUSG00000026860","Sh3glb2","chr2",30239237,30239249,12,-0.33,0
"KO_vs_Neg","ENSMUSG00000020900","Myh10","chr11",68636760,68636790,30,-0.16,0
"KO_vs_Neg","ENSMUSG00000000631","Myo18a","chr11",77712355,77712376,21,-0.144,0
"KO_vs_Neg","ENSMUSG00000045983","Eif4g1","chr16",20493535,20493556,21,-0.108,1.84746841480953e-13
"KO_vs_Neg","ENSMUSG00000069601","Ank3","chr10",69816653,69816680,27,-0.316,5.78051064570614e-13
"KO_vs_Neg","ENSMUSG00000029148","Nrbp1","chr5",31403665,31403689,24,-0.154,6.18673836442836e-13
"KO_vs_Neg","ENSMUSG00000022770","Dlg1","chr16",31673485,31673506,21,-0.12,1.14373599348881e-12
"KO_vs_Neg","ENSMUSG00000009621","Vav2","chr2",27190441,27190456,15,-0.127,1.17911954709902e-12
"KO_vs_Neg","ENSMUSG00000009621","Vav2","chr2",27174850,27174865,15,-0.13,1.57248395422558e-12
"KO_vs_Neg","ENSMUSG00000032570","Atp2c1","chr9",105370741,105370753,12,-0.228,5.45443055800909e-12
"KO_vs_Neg","ENSMUSG00000040549","Ckap5","chr2",91429948,91429972,24,-0.208,7.30654711991868e-12
"KO_vs_Neg","ENSMUSG00000036529","Sbf1","chr15",89191374,89191398,24,-0.124,8.5328781078108e-12
"KO_vs_Neg","ENSMUSG00000038271","Iffo1","chr6",125128757,125128766,9,0.234,8.5328781078108e-12
"KO_vs_Neg","ENSMUSG00000070733","Fryl","chr5",73182113,73182131,18,-0.115,1.05069021476454e-11
"KO_vs_Neg","ENSMUSG00000003500","Impdh1","chr6",29201886,29201903,17,-0.106,1.14613573147781e-11
"KO_vs_Neg","ENSMUSG00000027692","Tnik","chr3",28679347,28679371,24,-0.201,1.23175881259333e-11
"KO_vs_Neg","ENSMUSG00000033419","Snap91","chr9",86680882,86680897,15,-0.258,1.3584525374501e-11
"KO_vs_Neg","ENSMUSG00000022377","Asap1","chr15",64025692,64025701,9,-0.153,3.38243500485521e-11
"KO_vs_Neg","ENSMUSG00000024381","Bin1","chr18",32562752,32562776,24,-0.317,9.67551075647787e-11
"KO_vs_Neg","ENSMUSG00000033392","Clasp2","chr9",113689187,113689205,18,0.276,1.10948209132054e-10
"KO_vs_Neg","ENSMUSG00000033382","Trappc8","chr18",20988877,20988895,18,-0.134,1.16157611189352e-10
"KO_vs_Neg","ENSMUSG00000000827","Tpd52l2","chr2",181152296,181152323,27,-0.172,1.40448697869395e-10
"KO_vs_Neg","ENSMUSG00000045962","Wnk1","chr6",119905083,119905110,27,-0.167,2.44679240431569e-10
"KO_vs_Neg","ENSMUSG00000036435","Exoc1","chr5",76688593,76688614,21,-0.278,2.85784889087982e-10
"KO_vs_Neg","ENSMUSG00000020859","Spag9","chr11",93970024,93970036,12,-0.135,4.33747547683961e-10
"KO_vs_Neg","ENSMUSG00000040964","Arhgef10l","chr4",140296066,140296081,15,0.12,5.84811348771669e-10
"KO_vs_Neg","ENSMUSG00000025050","Pcgf6","chr19",47030560,47030578,18,-0.279,7.61624122451094e-10
"KO_vs_Neg","ENSMUSG00000039860","Srrm3","chr5",135895980,135896000,20,-0.164,2.51495810936769e-09
"KO_vs_Neg","ENSMUSG00000034973","Dop1a","chr9",86388923,86388953,30,-0.342,3.06577304894883e-09
"KO_vs_Neg","ENSMUSG00000028863","Meaf6","chr4",125001309,125001339,30,-0.383,3.29604882823061e-09
"KO_vs_Neg","ENSMUSG00000026977","Marchf7","chr2",60077831,60077856,25,-0.207,3.30201275331523e-09
"KO_vs_Neg","ENSMUSG00000043019","Edem3","chr1",151688504,151688519,15,-0.16,5.75443665566205e-09
"KO_vs_Neg","ENSMUSG00000024603","Dctn4","chr18",60678428,60678449,21,-0.174,1.78902369267057e-08
"KO_vs_Neg","ENSMUSG00000010721","Lmbr1","chr5",29528799,29528822,23,0.332,4.17453369978869e-08
"KO_vs_Neg","ENSMUSG00000031502","Col4a1","chr8",11254535,11254552,17,-0.187,4.92938987635925e-08
"KO_vs_Neg","ENSMUSG00000024660","Incenp","chr19",9860555,9860567,12,-0.187,6.47168808224398e-08
"KO_vs_Neg","ENSMUSG00000055762","Eef1d","chr15",75777734,75777749,15,-0.114,9.19560273220305e-08
"KO_vs_Neg","ENSMUSG00000028078","Dclk2","chr3",86695928,86695941,13,-0.113,1.4489641181007e-07
"KO_vs_Neg","ENSMUSG00000029461","Fam168a","chr7",100467942,100467969,27,0.226,2.28717167978114e-07
"KO_vs_Neg","ENSMUSG00000027646","Src","chr2",157300762,157300780,18,-0.218,3.17014036092595e-07
"KO_vs_Neg","ENSMUSG00000034799","Unc13a","chr8",72119284,72119314,30,0.151,3.26822828186032e-07
"KO_vs_Neg","ENSMUSG00000064302","Clasp1","chr1",118469404,118469428,24,-0.137,3.52256422834034e-07
"KO_vs_Neg","ENSMUSG00000022722","Arl6","chr16",59439028,59439041,13,-0.152,3.74033361234717e-07
"KO_vs_Neg","ENSMUSG00000031824","6430548M08Rik","chr8",120884206,120884236,30,-0.223,3.78927906386595e-07
"KO_vs_Neg","ENSMUSG00000028524","Sgip1","chr4",102762761,102762773,12,-0.345,4.56587375021618e-07
"KO_vs_Neg","ENSMUSG00000015536","Mocs2","chr13",114961746,114961770,24,-0.412,4.84610702150202e-07
"KO_vs_Neg","ENSMUSG00000037533","Rapgef6","chr11",54542574,54542589,15,-0.263,7.48750719125912e-07
"KO_vs_Neg","ENSMUSG00000040537","Adam22","chr5",8136593,8136623,30,-0.157,9.65811629617483e-07
"KO_vs_Neg","ENSMUSG00000033083","Tbc1d4","chr14",101698134,101698137,3,-0.389,9.92512581055156e-07
"KO_vs_Neg","ENSMUSG00000018820","Zfyve27","chr19",42174058,42174079,21,-0.163,1.15371583328239e-06
"KO_vs_Neg","ENSMUSG00000013033","Adgrl1","chr8",84652890,84652905,15,-0.176,1.53364606434595e-06
"KO_vs_Neg","ENSMUSG00000024985","Tcf7l2","chr19",55916161,55916186,25,-0.307,1.69496479558512e-06
"KO_vs_Neg","ENSMUSG00000037697","Ddhd1","chr14",45866310,45866331,21,-0.262,1.85627400218482e-06
"KO_vs_Neg","ENSMUSG00000031314","Taf1","chrX",100634339,100634345,6,-0.158,2.15654782517105e-06
"KO_vs_Neg","ENSMUSG00000026049","Tex30","chr1",44130342,44130372,30,-0.253,2.67452075506746e-06
"KO_vs_Neg","ENSMUSG00000030172","Erc1","chr6",119711041,119711053,12,-0.162,4.57189503336278e-06
"KO_vs_Neg","ENSMUSG00000026768","Itga8","chr2",12198080,12198093,13,-0.331,5.24177501285652e-06
"KO_vs_Neg","ENSMUSG00000031558","Slit2","chr5",48378308,48378332,24,-0.349,6.85919487393402e-06
"KO_vs_Neg","ENSMUSG00000028524","Sgip1","chr4",102757722,102757734,12,-0.567,8.74456397774759e-06
"KO_vs_Neg","ENSMUSG00000057789","Bak1","chr17",27240636,27240656,20,-0.105,1.44763063529942e-05
"KO_vs_Neg","ENSMUSG00000031561","Tenm3","chr8",48766272,48766299,27,-0.142,1.84209524660517e-05
"KO_vs_Neg","ENSMUSG00000049550","Clip1","chr5",123719654,123719660,6,-0.12,1.87729181849722e-05
"KO_vs_Neg","ENSMUSG00000016624","Phf21b","chr15",84678096,84678119,23,-0.102,2.33183745853666e-05
"KO_vs_Neg","ENSMUSG00000069601","Ank3","chr10",69765276,69765288,12,-0.282,3.58513054050286e-05
"KO_vs_Neg","ENSMUSG00000028184","Adgrl2","chr3",148532847,148532874,27,-0.217,4.15260032063717e-05
"KO_vs_Neg","ENSMUSG00000040111","Gramd1b","chr9",40211735,40211747,12,-0.129,4.3831913840888e-05
"KO_vs_Neg","ENSMUSG00000025558","Dock9","chr14",121797806,121797812,6,-0.18,4.40409339649548e-05
"KO_vs_Neg","ENSMUSG00000064302","Clasp1","chr1",118440434,118440458,24,-0.511,4.53392879061824e-05
"KO_vs_Neg","ENSMUSG00000037519","Ppfia1","chr7",144042427,144042454,27,-0.103,5.19145191776284e-05
"KO_vs_Neg","ENSMUSG00000025006","Sorbs1","chr19",40371199,40371226,27,-0.227,5.51438235355504e-05
"KO_vs_Neg","ENSMUSG00000034908","Sidt2","chr9",45858838,45858850,12,-0.139,6.71696024841429e-05
"KO_vs_Neg","ENSMUSG00000024985","Tcf7l2","chr19",55916161,55916186,25,-0.253,7.38671313274315e-05
"KO_vs_Neg","ENSMUSG00000033902","Mapkbp1","chr2",119843781,119843799,18,-0.135,9.07482972994859e-05
"KO_vs_Neg","ENSMUSG00000048078","Tenm4","chr7",96503923,96503944,21,-0.109,9.18234818925705e-05
"KO_vs_Neg","ENSMUSG00000024985","Tcf7l2","chr19",55916161,55916186,25,-0.256,9.49584169245262e-05
"KO_vs_Neg","ENSMUSG00000024349","Sting1","chr18",35872977,35873001,24,-0.298,0.000110379873206579
"KO_vs_Neg","ENSMUSG00000024381","Bin1","chr18",32562752,32562776,24,-0.387,0.00012130085239439
"KO_vs_Neg","ENSMUSG00000047193","Dync2h1","chr9",7045348,7045369,21,-0.182,0.000141459366264083
"KO_vs_Neg","ENSMUSG00000020111","Micu1","chr10",59602905,59602911,6,-0.404,0.000167108766753156
"KO_vs_Neg","ENSMUSG00000041439","Mfsd6","chr1",52697857,52697882,25,-0.173,0.000198872229382038
"KO_vs_Neg","ENSMUSG00000034621","Gpatch8","chr11",102422138,102422156,18,-0.128,0.00023775378055292
"KO_vs_Neg","ENSMUSG00000063919","Srrm4","chr5",116592731,116592747,16,-0.142,0.000285361628026205
"KO_vs_Neg","ENSMUSG00000055762","Eef1d","chr15",75777734,75777749,15,-0.109,0.000413012812043359
"KO_vs_Neg","ENSMUSG00000040265","Dnm3","chr1",161872954,161872966,12,-0.456,0.000758495725036617
"KO_vs_Neg","ENSMUSG00000024381","Bin1","chr18",32562752,32562776,24,-0.156,0.000825339132136487
"KO_vs_Neg","ENSMUSG00000062785","Kcnc3","chr7",44247013,44247043,30,-0.139,0.000906739352620324
"KO_vs_Neg","ENSMUSG00000029462","Vps29","chr5",122494856,122494868,12,-0.167,0.00111725047593559
"KO_vs_Neg","ENSMUSG00000020407","Upp1","chr11",9068630,9068660,30,0.313,0.00118865912912121
"KO_vs_Neg","ENSMUSG00000020717","Pecam1","chr11",106552827,106552850,23,-0.246,0.00153731264192957
"KO_vs_Neg","ENSMUSG00000022607","Ptk2","chr15",73154066,73154084,18,-0.114,0.00156299363649623
"KO_vs_Neg","ENSMUSG00000026113","Inpp4a","chr1",37413355,37413370,15,-0.183,0.00163289301585616
"KO_vs_Neg","ENSMUSG00000058571","Gpc6","chr14",118129753,118129783,30,-0.207,0.00198845142527508
"KO_vs_Neg","ENSMUSG00000033918","Parl","chr16",20101673,20101681,8,-0.183,0.00202263063768267
"KO_vs_Neg","ENSMUSG00000037697","Ddhd1","chr14",45866310,45866331,21,-0.121,0.00207726519237665
"KO_vs_Neg","ENSMUSG00000043831","Lysmd4","chr7",66874123,66874149,26,-0.154,0.00214020951838361
"KO_vs_Neg","ENSMUSG00000030592","Ryr1","chr7",28744343,28744361,18,-0.163,0.00247436932244443
"KO_vs_Neg","ENSMUSG00000031865","Dctn1","chr6",83160917,83160938,21,-0.102,0.00251280893762989
"KO_vs_Neg","ENSMUSG00000075415","Fnbp1","chr2",30934893,30934908,15,-0.13,0.00340338440646924
"KO_vs_Neg","ENSMUSG00000034574","Daam1","chr12",72005520,72005547,27,-0.115,0.00354515186673421
"KO_vs_Neg","ENSMUSG00000055762","Eef1d","chr15",75777734,75777749,15,-0.172,0.00416601768775506
"KO_vs_Neg","ENSMUSG00000037519","Ppfia1","chr7",144042427,144042454,27,-0.212,0.0046656695693523
"KO_vs_Neg","ENSMUSG00000020598","Nrcam","chr12",44581839,44581857,18,-0.103,0.00486288678443971
"KO_vs_Neg","ENSMUSG00000003863","Ppfia3","chr7",44992976,44993003,27,-0.151,0.00487948981387696
"KO_vs_Neg","ENSMUSG00000024581","Napg","chr18",63116444,63116462,18,0.174,0.00514096686757941
"KO_vs_Neg","ENSMUSG00000017740","Slc12a5","chr2",164838783,164838798,15,-0.116,0.00534648850762245
"KO_vs_Neg","ENSMUSG00000029629","Phf14","chr6",12047123,12047153,30,0.129,0.00568900948867267
"KO_vs_Neg","ENSMUSG00000037519","Ppfia1","chr7",144042427,144042454,27,-0.319,0.00949241351047431
"KO_vs_Neg","ENSMUSG00000038738","Shank1","chr7",43993721,43993745,24,-0.412,0.0113484540203796
"KO_vs_Neg","ENSMUSG00000030672","Mylpf","chr7",126810920,126810935,15,-0.104,0.0115221575572799
"KO_vs_Neg","ENSMUSG00000041936","Agrn","chr4",156253002,156253026,24,-0.34,0.0119276200088191
"KO_vs_Neg","ENSMUSG00000064302","Clasp1","chr1",118451050,118451077,27,-0.141,0.0126264667523349
"KO_vs_Neg","ENSMUSG00000037519","Ppfia1","chr7",144042427,144042454,27,-0.142,0.0126401968737011
"KO_vs_Neg","ENSMUSG00000031865","Dctn1","chr6",83160917,83160938,21,-0.167,0.0130116416078201
"KO_vs_Neg","ENSMUSG00000046311","Zfp62","chr11",49095277,49095302,25,-0.15,0.0134605019273338
"KO_vs_Neg","ENSMUSG00000040940","Arhgef1","chr7",24617944,24617956,12,-0.104,0.0137489998888895
"KO_vs_Neg","ENSMUSG00000045962","Wnk1","chr6",119905083,119905110,27,-0.363,0.015461084253138
"KO_vs_Neg","ENSMUSG00000037126","Psd","chr19",46314605,46314621,16,0.167,0.0157337401514619
"KO_vs_Neg","ENSMUSG00000057531","Dtnbp1","chr13",45106647,45106670,23,-0.114,0.0160393049056953
"KO_vs_Neg","ENSMUSG00000021071","Trim9","chr12",70314007,70314037,30,-0.124,0.0200062789161027
"KO_vs_Neg","ENSMUSG00000022770","Dlg1","chr16",31673485,31673506,21,0.104,0.024514981157809
"KO_vs_Neg","ENSMUSG00000020859","Spag9","chr11",93970024,93970036,12,-0.2,0.0245857504547019
"KO_vs_Neg","ENSMUSG00000032480","Dhx30","chr9",109937008,109937037,29,0.147,0.0267592997654952
"KO_vs_Neg","ENSMUSG00000027071","P2rx3","chr2",84862864,84862891,27,0.112,0.0317491235553265
"KO_vs_Neg","ENSMUSG00000028033","Kcnq5","chr1",21536606,21536633,27,-0.225,0.0352042772059307
"KO_vs_Neg","ENSMUSG00000060002","Chpt1","chr10",88317214,88317241,27,-0.187,0.0360085409179483
"KO_vs_Neg","ENSMUSG00000026113","Inpp4a","chr1",37413352,37413370,18,-0.101,0.040880943796105
"KO_vs_Parental","ENSMUSG00000026782","Abi2","chr1",60478100,60478118,18,-0.192,0
"KO_vs_Parental","ENSMUSG00000031391","L1cam","chrX",72899257,72899269,12,-0.15,0
"KO_vs_Parental","ENSMUSG00000004207","Psap","chr10",60133316,60133325,9,-0.169,0
"KO_vs_Parental","ENSMUSG00000028863","Meaf6","chr4",125001309,125001339,30,-0.103,2.02282635086675e-13
"KO_vs_Parental","ENSMUSG00000057541","Pus7","chr5",23968331,23968349,18,-0.241,1.18875685550730e-12
"KO_vs_Parental","ENSMUSG00000041936","Agrn","chr4",156254002,156254014,12,-0.114,2.71957764949863e-11
"KO_vs_Parental","ENSMUSG00000038271","Iffo1","chr6",125128757,125128766,9,0.212,4.14906097984441e-11
"KO_vs_Parental","ENSMUSG00000038365","Fbxo25","chr8",13988921,13988948,27,-0.151,1.79479908582424e-09
"KO_vs_Parental","ENSMUSG00000037062","Sh3glb1","chr3",144405614,144405638,24,-0.128,3.70255676578016e-09
"KO_vs_Parental","ENSMUSG00000040354","Mars1","chr10",127132585,127132609,24,-0.141,6.08886163483443e-09
"KO_vs_Parental","ENSMUSG00000027506","Tpd52","chr3",9008610,9008637,27,-0.167,4.35077212331642e-07
"KO_vs_Parental","ENSMUSG00000034799","Unc13a","chr8",72119284,72119314,30,0.148,5.14325206225925e-07
"KO_vs_Parental","ENSMUSG00000016664","Pacsin2","chr15",83267823,83267829,6,-0.127,2.68699662676668e-06
"KO_vs_Parental","ENSMUSG00000031865","Dctn1","chr6",83174300,83174315,15,-0.134,2.90781419855577e-06
"KO_vs_Parental","ENSMUSG00000009035","Tmem184b","chr15",79247857,79247878,21,-0.142,5.23319635343233e-06
"KO_vs_Parental","ENSMUSG00000033083","Tbc1d4","chr14",101698134,101698137,3,-0.29,8.50099271685382e-06
"KO_vs_Parental","ENSMUSG00000022635","Zcrb1","chr15",93293467,93293496,29,-0.371,8.50099271685382e-06
"KO_vs_Parental","ENSMUSG00000030231","Plekha5","chr6",140482731,140482749,18,0.108,9.72253761539212e-06
"KO_vs_Parental","ENSMUSG00000024349","Sting1","chr18",35872977,35873001,24,-0.354,9.85710703348617e-06
"KO_vs_Parental","ENSMUSG00000033392","Clasp2","chr9",113707817,113707841,24,-0.116,1.23075016092454e-05
"KO_vs_Parental","ENSMUSG00000055013","Agap1","chr1",89538005,89538017,12,-0.128,1.35832390990953e-05
"KO_vs_Parental","ENSMUSG00000005881","Ergic3","chr2",155857296,155857311,15,-0.123,1.68970967297462e-05
"KO_vs_Parental","ENSMUSG00000028184","Adgrl2","chr3",148566062,148566074,12,-0.2,2.75212031095613e-05
"KO_vs_Parental","ENSMUSG00000034621","Gpatch8","chr11",102422138,102422156,18,-0.133,5.81428934292745e-05
"KO_vs_Parental","ENSMUSG00000004980","Hnrnpa2b1","chr6",51441407,51441431,24,-0.109,6.62101601546216e-05
"KO_vs_Parental","ENSMUSG00000025050","Pcgf6","chr19",47030560,47030578,18,-0.239,8.02260841651831e-05
"KO_vs_Parental","ENSMUSG00000024985","Tcf7l2","chr19",55916161,55916186,25,-0.261,8.31582603574912e-05
"KO_vs_Parental","ENSMUSG00000026860","Sh3glb2","chr2",30239237,30239249,12,-0.102,8.35987223704826e-05
"KO_vs_Parental","ENSMUSG00000024163","Mapk8ip3","chr17",25127384,25127402,18,-0.106,8.71200588607524e-05
"KO_vs_Parental","ENSMUSG00000037519","Ppfia1","chr7",144042427,144042454,27,-0.354,0.000102816352853368
"KO_vs_Parental","ENSMUSG00000024985","Tcf7l2","chr19",55916161,55916186,25,-0.23,0.000144925292810683
"KO_vs_Parental","ENSMUSG00000017740","Slc12a5","chr2",164838783,164838798,15,-0.139,0.000156906897602068
"KO_vs_Parental","ENSMUSG00000045962","Wnk1","chr6",119905083,119905110,27,-0.124,0.000204056324386081
"KO_vs_Parental","ENSMUSG00000033392","Clasp2","chr9",113689187,113689205,18,0.156,0.000383058860733669
"KO_vs_Parental","ENSMUSG00000024660","Incenp","chr19",9860555,9860567,12,-0.139,0.000413627253948577
"KO_vs_Parental","ENSMUSG00000068329","Htra2","chr6",83029678,83029707,29,-0.108,0.000580175684369423
"KO_vs_Parental","ENSMUSG00000037126","Psd","chr19",46314605,46314621,16,0.306,0.000580795420531676
"KO_vs_Parental","ENSMUSG00000028863","Meaf6","chr4",125001309,125001339,30,-0.129,0.000996979237635412
"KO_vs_Parental","ENSMUSG00000021427","Ssr1","chr13",38167070,38167085,15,-0.108,0.00103622076099931
"KO_vs_Parental","ENSMUSG00000031558","Slit2","chr5",48378308,48378332,24,-0.22,0.00109996440603661
"KO_vs_Parental","ENSMUSG00000039671","Zmynd8","chr2",165694787,165694799,12,-0.103,0.00121419725215528
"KO_vs_Parental","ENSMUSG00000028078","Dclk2","chr3",86695928,86695941,13,0.237,0.00138547240036193
"KO_vs_Parental","ENSMUSG00000027201","Myef2","chr2",124929596,124929623,27,-0.139,0.00155854391235661
"KO_vs_Parental","ENSMUSG00000040687","Madd","chr2",90971153,90971162,9,-0.119,0.00165392342550515
"KO_vs_Parental","ENSMUSG00000020231","Dip2a","chr10",76107209,76107239,30,-0.125,0.00172773960048172
"KO_vs_Parental","ENSMUSG00000062785","Kcnc3","chr7",44247013,44247043,30,0.435,0.00216674875329145
"KO_vs_Parental","ENSMUSG00000048078","Tenm4","chr7",96503923,96503944,21,-0.12,0.00293531458603236
"KO_vs_Parental","ENSMUSG00000034602","Mon2","chr10",122858990,122858993,3,-0.123,0.00305786624407419
"KO_vs_Parental","ENSMUSG00000069601","Ank3","chr10",69816653,69816680,27,-0.129,0.00320802029789536
"KO_vs_Parental","ENSMUSG00000027071","P2rx3","chr2",84862864,84862891,27,-0.331,0.00355553083615883
"KO_vs_Parental","ENSMUSG00000040549","Ckap5","chr2",91429948,91429972,24,-0.11,0.00403930666762491
"KO_vs_Parental","ENSMUSG00000037032","Apbb1","chr7",105217825,105217838,13,0.122,0.00420325618263272
"KO_vs_Parental","ENSMUSG00000055296","Tmem245","chr4",56922386,56922410,24,-0.118,0.00522775807558244
"KO_vs_Parental","ENSMUSG00000032826","Ank2","chr3",126772904,126772916,12,-0.184,0.00608290220861478
"KO_vs_Parental","ENSMUSG00000071291","Zfp58","chr13",67644303,67644330,27,-0.117,0.00675526133378442
"KO_vs_Parental","ENSMUSG00000013033","Adgrl1","chr8",84652890,84652905,15,-0.112,0.00951857003732209
"KO_vs_Parental","ENSMUSG00000033768","Nrxn2","chr19",6498284,6498314,30,0.25,0.0100050187765785
"KO_vs_Parental","ENSMUSG00000031865","Dctn1","chr6",83163409,83163427,18,0.142,0.0107254087596252
"KO_vs_Parental","ENSMUSG00000020300","Cpeb4","chr11",31868800,31868824,24,0.122,0.0124957994528287
"KO_vs_Parental","ENSMUSG00000087380","2210408F21Rik","chr6",31305266,31305295,29,-0.202,0.0156336776689927
"KO_vs_Parental","ENSMUSG00000057531","Dtnbp1","chr13",45106647,45106670,23,-0.114,0.0171101245796303
"KO_vs_Parental","ENSMUSG00000060002","Chpt1","chr10",88317214,88317241,27,-0.182,0.0171960729853986
"KO_vs_Parental","ENSMUSG00000036591","Arhgap21","chr2",20888010,20888040,30,0.109,0.0259022052114803
"KO_vs_Parental","ENSMUSG00000031824","6430548M08Rik","chr8",120884206,120884236,30,-0.121,0.0274146668240237
"KO_vs_Parental","ENSMUSG00000024983","Vti1a","chr19",55375620,55375641,21,0.133,0.028565428913202
"KO_vs_Parental","ENSMUSG00000021198","Unc79","chr12",103016153,103016182,29,0.207,0.0295964181947837
"KO_vs_Parental","ENSMUSG00000030592","Ryr1","chr7",28816632,28816653,21,-0.234,0.0417691578307347
"KO_vs_Parental","ENSMUSG00000034973","Dop1a","chr9",86388923,86388953,30,-0.147,0.0430694033484026
"KO_vs_Parental","ENSMUSG00000020882","Cacnb1","chr11",97901452,97901472,20,-0.341,0.0495735485107121
"KO_vs_Pos","ENSMUSG00000025290","Rps24","chr14",24544119,24544137,18,0.33,0
"KO_vs_Pos","ENSMUSG00000052632","Asap2","chr12",21264362,21264371,9,0.169,0
"KO_vs_Pos","ENSMUSG00000019302","Atp6v0a1","chr11",100940284,100940302,18,0.136,0
"KO_vs_Pos","ENSMUSG00000039671","Zmynd8","chr2",165694787,165694799,12,-0.237,0
