Supplementary Table 18:,"Enrichment score (ES) of A complex formation performed under control condition (CTR).for variants in libraries T1, T2. Missing values are reported as NA. ",Unnamed: 2
ABI1-HsaEX0000641-AGTmutAGG,0.73,T1
ABI1-HsaEX0000641-AGTmutGAC,1.08,T1
ABI1-HsaEX0000641-BP_12s,0.29,T1
ABI1-HsaEX0000641-BP_13s,0.18,T1
ABI1-HsaEX0000641-BP1-TAAmutCAT,0.2,T1
ABI1-HsaEX0000641-BP2-TTAmutCTG,0.58,T1
ABI1-HsaEX0000641-BP3-TAAmutCAT,0.52,T1
ABI1-HsaEX0000641-BPmut2-12,0.18,T1
ABI1-HsaEX0000641-BPmut2-13,0.18,T1
ABI1-HsaEX0000641-BPmut2-23,0.53,T1
ABI1-HsaEX0000641-BPmut3,0.14,T1
ABI1-HsaEX0000641-BPshift10,1.24,T1
ABI1-HsaEX0000641-BPshift10-TGCadd-L1,1.19,T1
ABI1-HsaEX0000641-BPshift10-TGCadd-L2,0.69,T1
ABI1-HsaEX0000641-BPshift10-TGCadd-L3,1.16,T1
ABI1-HsaEX0000641-BPshift10-TGCadd-R1,0.52,T1
ABI1-HsaEX0000641-BPshift10-TGCadd-R3,0.87,T1
ABI1-HsaEX0000641-BPshift20,0.45,T1
ABI1-HsaEX0000641-BPshift20-TGCadd-L1,0.47,T1
ABI1-HsaEX0000641-BPshift20-TGCadd-L2,0.59,T1
ABI1-HsaEX0000641-BPshift20-TGCadd-L3,0.45,T1
ABI1-HsaEX0000641-BPshift20-TGCadd-R1,0.38,T1
ABI1-HsaEX0000641-BPshift20-TGCadd-R2,0.44,T1
ABI1-HsaEX0000641-BPshift20-TGCadd-R3,0.37,T1
ABI1-HsaEX0000641-full_TGCadd-L1,0.15,T1
ABI1-HsaEX0000641-full_TGCadd-L2,0.41,T1
ABI1-HsaEX0000641-full_TGCadd-L3,0.28,T1
ABI1-HsaEX0000641-full_TGCadd-R2,0.56,T1
ABI1-HsaEX0000641-full_TGCadd-R3,0.37,T1
ABI1-HsaEX0000641-IgM,0.18,T1
ABI1-HsaEX0000641-mid_TGCadd-L1,0.36,T1
ABI1-HsaEX0000641-mid_TGCadd-L2,0.32,T1
ABI1-HsaEX0000641-mid_TGCadd-R1,0.52,T1
ABI1-HsaEX0000641-mid_TGCadd-R2,0.47,T1
ABI1-HsaEX0000641-rem-3,0.49,T1
ABI1-HsaEX0000641-rem-6,0.69,T1
ABI1-HsaEX0000641-rem-9,0.93,T1
ABI1-HsaEX0000641-TGC1-1rem1,0.44,T1
ABI1-HsaEX0000641-TGCCA-TGCGT,0.38,T1
ABI1-HsaEX0000641-TGCCA-TGCTG,0.63,T1
ABI1-HsaEX0000641-TGCCA-TGCTT,0.35,T1
ABI1-HsaEX0000641-TTGCC-ATGCG,0.46,T1
ABI1-HsaEX0000641-TTGCC-ATGCT,0.41,T1
ABI1-HsaEX0000641-TTGCC-CTGCG,0.64,T1
ABI1-HsaEX0000641-TTGCC-CTGCT,0.45,T1
ABI1-HsaEX0000641-TTGCC-TTGCG,0.46,T1
ABI1-HsaEX0000641-TTGCC-TTGCT,0.38,T1
ABI1-HsaEX0000641-TTTGC-AATGC,0.38,T1
ABI1-HsaEX0000641-TTTGC-ACTGC,0.36,T1
ABI1-HsaEX0000641-TTTGC-ATTGC,0.46,T1
ABI1-HsaEX0000641-TTTGC-CATGC,0.63,T1
ABI1-HsaEX0000641-TTTGC-CTTGC,0.6,T1
ABI1-HsaEX0000641-TTTGC-GCTGC,0.55,T1
ABI1-HsaEX0000641-TTTGC-TATGC,0.5,T1
ABI1-HsaEX0000641-TTTGC-TCTGC,0.48,T1
ABI1-HsaEX0000641-TTTGC-TGTGC,0.43,T1
ABI1-HsaEX0000641-U1cons,0.74,T1
ABI1-HsaEX0000641-U6cons,1.15,T1
ABI1-HsaEX0000641-WT,0.32,T1
ACSL4-HsaEX1045708-add_0-12,0.69,T1
ACSL4-HsaEX1045708-add_0-15,0.9,T1
ACSL4-HsaEX1045708-add_0-18,1.07,T1
ACSL4-HsaEX1045708-add_0-21,0.72,T1
ACSL4-HsaEX1045708-add_0-24,1.13,T1
ACSL4-HsaEX1045708-add_0-3,0.39,T1
ACSL4-HsaEX1045708-add_0-6,0.7,T1
ACSL4-HsaEX1045708-add_0-9,0.49,T1
ACSL4-HsaEX1045708-add_1-12,1.11,T1
ACSL4-HsaEX1045708-add_1-15,0.85,T1
ACSL4-HsaEX1045708-add_1-18,0.69,T1
ACSL4-HsaEX1045708-add_1-21,0.6,T1
ACSL4-HsaEX1045708-add_1-24,0.69,T1
ACSL4-HsaEX1045708-add_1-3,0.86,T1
ACSL4-HsaEX1045708-add_1-6,1.04,T1
ACSL4-HsaEX1045708-add_1-9,0.83,T1
ACSL4-HsaEX1045708-add_10-12,0.62,T1
ACSL4-HsaEX1045708-add_10-15,0.73,T1
ACSL4-HsaEX1045708-add_10-18,0.68,T1
ACSL4-HsaEX1045708-add_10-21,0.6,T1
ACSL4-HsaEX1045708-add_10-24,0.45,T1
ACSL4-HsaEX1045708-add_10-3,0.76,T1
ACSL4-HsaEX1045708-add_10-6,0.99,T1
ACSL4-HsaEX1045708-add_10-9,0.64,T1
ACSL4-HsaEX1045708-add_11-12,0.47,T1
ACSL4-HsaEX1045708-add_11-15,0.51,T1
ACSL4-HsaEX1045708-add_11-18,0.54,T1
ACSL4-HsaEX1045708-add_11-21,0.58,T1
ACSL4-HsaEX1045708-add_11-24,0.73,T1
ACSL4-HsaEX1045708-add_11-3,0.36,T1
ACSL4-HsaEX1045708-add_11-6,0.58,T1
ACSL4-HsaEX1045708-add_11-9,0.5,T1
ACSL4-HsaEX1045708-add_12-12,0.51,T1
ACSL4-HsaEX1045708-add_12-15,0.45,T1
ACSL4-HsaEX1045708-add_12-18,0.58,T1
ACSL4-HsaEX1045708-add_12-21,0.62,T1
ACSL4-HsaEX1045708-add_12-24,0.52,T1
ACSL4-HsaEX1045708-add_12-3,0.52,T1
ACSL4-HsaEX1045708-add_12-6,0.59,T1
ACSL4-HsaEX1045708-add_12-9,0.62,T1
ACSL4-HsaEX1045708-add_13-12,0.77,T1
ACSL4-HsaEX1045708-add_13-15,0.84,T1
ACSL4-HsaEX1045708-add_13-18,0.82,T1
ACSL4-HsaEX1045708-add_13-21,1.08,T1
ACSL4-HsaEX1045708-add_13-24,0.85,T1
ACSL4-HsaEX1045708-add_13-3,0.92,T1
ACSL4-HsaEX1045708-add_13-6,0.5,T1
ACSL4-HsaEX1045708-add_13-9,0.54,T1
ACSL4-HsaEX1045708-add_14-12,0.83,T1
ACSL4-HsaEX1045708-add_14-15,0.74,T1
ACSL4-HsaEX1045708-add_14-18,0.43,T1
ACSL4-HsaEX1045708-add_14-21,0.85,T1
ACSL4-HsaEX1045708-add_14-24,0.71,T1
ACSL4-HsaEX1045708-add_14-3,0.86,T1
ACSL4-HsaEX1045708-add_14-6,0.48,T1
ACSL4-HsaEX1045708-add_14-9,0.47,T1
ACSL4-HsaEX1045708-add_2-12,0.45,T1
ACSL4-HsaEX1045708-add_2-15,0.36,T1
ACSL4-HsaEX1045708-add_2-18,0.49,T1
ACSL4-HsaEX1045708-add_2-21,0.35,T1
ACSL4-HsaEX1045708-add_2-24,0.33,T1
ACSL4-HsaEX1045708-add_2-3,0.32,T1
ACSL4-HsaEX1045708-add_2-6,0.65,T1
ACSL4-HsaEX1045708-add_2-9,0.37,T1
ACSL4-HsaEX1045708-add_3-12,0.49,T1
ACSL4-HsaEX1045708-add_3-15,0.46,T1
ACSL4-HsaEX1045708-add_3-18,0.58,T1
ACSL4-HsaEX1045708-add_3-21,0.6,T1
ACSL4-HsaEX1045708-add_3-24,0.41,T1
ACSL4-HsaEX1045708-add_3-3,0.43,T1
ACSL4-HsaEX1045708-add_3-6,0.58,T1
ACSL4-HsaEX1045708-add_3-9,0.6,T1
ACSL4-HsaEX1045708-add_4-12,0.71,T1
ACSL4-HsaEX1045708-add_4-15,0.94,T1
ACSL4-HsaEX1045708-add_4-18,0.89,T1
ACSL4-HsaEX1045708-add_4-21,0.68,T1
ACSL4-HsaEX1045708-add_4-24,0.84,T1
ACSL4-HsaEX1045708-add_4-3,0.48,T1
ACSL4-HsaEX1045708-add_4-6,0.37,T1
ACSL4-HsaEX1045708-add_4-9,0.69,T1
ACSL4-HsaEX1045708-add_5-12,0.41,T1
ACSL4-HsaEX1045708-add_5-15,0.32,T1
ACSL4-HsaEX1045708-add_5-18,0.47,T1
ACSL4-HsaEX1045708-add_5-21,0.59,T1
ACSL4-HsaEX1045708-add_5-24,0.3,T1
ACSL4-HsaEX1045708-add_5-3,0.63,T1
ACSL4-HsaEX1045708-add_5-6,0.47,T1
ACSL4-HsaEX1045708-add_5-9,0.45,T1
ACSL4-HsaEX1045708-add_6-12,0.49,T1
ACSL4-HsaEX1045708-add_6-15,1.17,T1
ACSL4-HsaEX1045708-add_6-18,0.34,T1
ACSL4-HsaEX1045708-add_6-21,0.29,T1
ACSL4-HsaEX1045708-add_6-24,0.47,T1
ACSL4-HsaEX1045708-add_6-3,0.42,T1
ACSL4-HsaEX1045708-add_6-6,0.45,T1
ACSL4-HsaEX1045708-add_6-9,0.49,T1
ACSL4-HsaEX1045708-add_7-12,0.66,T1
ACSL4-HsaEX1045708-add_7-15,0.59,T1
ACSL4-HsaEX1045708-add_7-18,0.81,T1
ACSL4-HsaEX1045708-add_7-21,0.87,T1
ACSL4-HsaEX1045708-add_7-24,0.69,T1
ACSL4-HsaEX1045708-add_7-3,0.88,T1
ACSL4-HsaEX1045708-add_7-6,0.89,T1
ACSL4-HsaEX1045708-add_7-9,0.55,T1
ACSL4-HsaEX1045708-add_8-12,0.67,T1
ACSL4-HsaEX1045708-add_8-15,0.64,T1
ACSL4-HsaEX1045708-add_8-18,0.58,T1
ACSL4-HsaEX1045708-add_8-21,0.31,T1
ACSL4-HsaEX1045708-add_8-24,0.61,T1
ACSL4-HsaEX1045708-add_8-6,0.5,T1
ACSL4-HsaEX1045708-add_8-9,0.48,T1
ACSL4-HsaEX1045708-add_9-12,0.43,T1
ACSL4-HsaEX1045708-add_9-15,0.58,T1
ACSL4-HsaEX1045708-add_9-18,0.63,T1
ACSL4-HsaEX1045708-add_9-21,0.53,T1
ACSL4-HsaEX1045708-add_9-24,0.52,T1
ACSL4-HsaEX1045708-add_9-6,0.55,T1
ACSL4-HsaEX1045708-add_9-9,0.36,T1
ACSL4-HsaEX1045708-AdML,0.33,T1
ACSL4-HsaEX1045708-AGTmutAGG,0.44,T1
ACSL4-HsaEX1045708-AGTmutGAC,1.2,T1
ACSL4-HsaEX1045708-ATGCT-ATGCG,0.85,T1
ACSL4-HsaEX1045708-ATGCT-CTGCG,0.98,T1
ACSL4-HsaEX1045708-ATGCT-CTGCT,0.68,T1
ACSL4-HsaEX1045708-ATGCT-TTGCC,0.49,T1
ACSL4-HsaEX1045708-ATGCT-TTGCG,0.64,T1
ACSL4-HsaEX1045708-ATGCT-TTGCT,0.43,T1
ACSL4-HsaEX1045708-BP1-TAAmutCAT,0.21,T1
ACSL4-HsaEX1045708-BP2-TGAmutCGG,0.32,T1
ACSL4-HsaEX1045708-BP3-TGAmutCGG,0.46,T1
ACSL4-HsaEX1045708-BPmut2-12,0.12,T1
ACSL4-HsaEX1045708-BPmut2-23,0.23,T1
ACSL4-HsaEX1045708-BPshift10,1.73,T1
ACSL4-HsaEX1045708-BPshift10-TGCadd-L1,0.83,T1
ACSL4-HsaEX1045708-BPshift10-TGCadd-L2,0.81,T1
ACSL4-HsaEX1045708-BPshift10-TGCadd-R1,2.03,T1
ACSL4-HsaEX1045708-BPshift10-TGCadd-R2,1.78,T1
ACSL4-HsaEX1045708-BPshift20,2.23,T1
ACSL4-HsaEX1045708-BPshift20-TGCadd-L1,2.59,T1
ACSL4-HsaEX1045708-BPshift20-TGCadd-L2,2.23,T1
ACSL4-HsaEX1045708-BPshift20-TGCadd-R1,2.7,T1
ACSL4-HsaEX1045708-BPshift20-TGCadd-R2,2.47,T1
ACSL4-HsaEX1045708-full_TGCadd-L1,0.6,T1
ACSL4-HsaEX1045708-full_TGCadd-L2,0.22,T1
ACSL4-HsaEX1045708-full_TGCadd-L3,0.28,T1
ACSL4-HsaEX1045708-full_TGCadd-R1,0.53,T1
ACSL4-HsaEX1045708-full_TGCadd-R2,0.83,T1
ACSL4-HsaEX1045708-full_TGCadd-R3,0.22,T1
ACSL4-HsaEX1045708-IgM,0.11,T1
ACSL4-HsaEX1045708-mid_TGCadd-L1,0.19,T1
ACSL4-HsaEX1045708-mid_TGCadd-L2,0.27,T1
ACSL4-HsaEX1045708-mutTCTC,0.43,T1
ACSL4-HsaEX1045708-rem-12,0.59,T1
ACSL4-HsaEX1045708-rem-3,0.57,T1
ACSL4-HsaEX1045708-rem-6,0.36,T1
ACSL4-HsaEX1045708-rem-9,0.53,T1
ACSL4-HsaEX1045708-TATGC-AATGC,0.43,T1
ACSL4-HsaEX1045708-TATGC-ACTGC,0.71,T1
ACSL4-HsaEX1045708-TATGC-ATTGC,0.51,T1
ACSL4-HsaEX1045708-TATGC-CATGC,0.75,T1
ACSL4-HsaEX1045708-TATGC-CTTGC,0.61,T1
ACSL4-HsaEX1045708-TATGC-GCTGC,0.48,T1
ACSL4-HsaEX1045708-TATGC-TGTGC,0.66,T1
ACSL4-HsaEX1045708-TGC1-1rem1,0.5,T1
ACSL4-HsaEX1045708-TGCTA-TGCGT,0.88,T1
ACSL4-HsaEX1045708-TGCTA-TGCTG,0.65,T1
ACSL4-HsaEX1045708-TGCTA-TGCTT,0.74,T1
ACSL4-HsaEX1045708-U1cons,0.42,T1
ACSL4-HsaEX1045708-U6cons,0.46,T1
ACSL4-HsaEX1045708-WT,0.38,T1
ACVR2A-HsaEX0002213-add_0-12,1.66,T1
ACVR2A-HsaEX0002213-add_0-15,1.52,T1
ACVR2A-HsaEX0002213-add_0-18,2.19,T1
ACVR2A-HsaEX0002213-add_0-3,1.54,T1
ACVR2A-HsaEX0002213-add_0-6,1.65,T1
ACVR2A-HsaEX0002213-add_0-9,1.98,T1
ACVR2A-HsaEX0002213-add_1-12,1.25,T1
ACVR2A-HsaEX0002213-add_1-15,0.95,T1
ACVR2A-HsaEX0002213-add_1-18,1.05,T1
ACVR2A-HsaEX0002213-add_1-3,1.68,T1
ACVR2A-HsaEX0002213-add_1-6,1.33,T1
ACVR2A-HsaEX0002213-add_1-9,1.34,T1
ACVR2A-HsaEX0002213-add_10-12,1.4,T1
ACVR2A-HsaEX0002213-add_10-15,1.15,T1
ACVR2A-HsaEX0002213-add_10-18,1.51,T1
ACVR2A-HsaEX0002213-add_10-3,1.62,T1
ACVR2A-HsaEX0002213-add_10-6,1.61,T1
ACVR2A-HsaEX0002213-add_10-9,1.29,T1
ACVR2A-HsaEX0002213-add_11-12,1.35,T1
ACVR2A-HsaEX0002213-add_11-15,1.16,T1
ACVR2A-HsaEX0002213-add_11-18,1.86,T1
ACVR2A-HsaEX0002213-add_11-3,1.41,T1
ACVR2A-HsaEX0002213-add_11-6,1.44,T1
ACVR2A-HsaEX0002213-add_11-9,1.15,T1
ACVR2A-HsaEX0002213-add_12-12,1.1,T1
ACVR2A-HsaEX0002213-add_12-15,1.08,T1
ACVR2A-HsaEX0002213-add_12-18,0.83,T1
ACVR2A-HsaEX0002213-add_12-3,1.56,T1
ACVR2A-HsaEX0002213-add_12-6,1.36,T1
ACVR2A-HsaEX0002213-add_12-9,1.4,T1
ACVR2A-HsaEX0002213-add_13-12,2.22,T1
ACVR2A-HsaEX0002213-add_13-15,2.06,T1
ACVR2A-HsaEX0002213-add_13-18,1.74,T1
ACVR2A-HsaEX0002213-add_13-3,2.03,T1
ACVR2A-HsaEX0002213-add_13-6,1.67,T1
ACVR2A-HsaEX0002213-add_13-9,1.89,T1
ACVR2A-HsaEX0002213-add_14-12,1.52,T1
ACVR2A-HsaEX0002213-add_14-15,1.29,T1
ACVR2A-HsaEX0002213-add_14-18,1.42,T1
ACVR2A-HsaEX0002213-add_14-3,1.9,T1
ACVR2A-HsaEX0002213-add_14-6,1.78,T1
ACVR2A-HsaEX0002213-add_14-9,1.41,T1
ACVR2A-HsaEX0002213-add_2-12,1.15,T1
ACVR2A-HsaEX0002213-add_2-15,1.27,T1
ACVR2A-HsaEX0002213-add_2-18,1.38,T1
ACVR2A-HsaEX0002213-add_2-3,1.39,T1
ACVR2A-HsaEX0002213-add_2-6,1.37,T1
ACVR2A-HsaEX0002213-add_2-9,1.13,T1
ACVR2A-HsaEX0002213-add_3-12,1.24,T1
ACVR2A-HsaEX0002213-add_3-15,1.13,T1
ACVR2A-HsaEX0002213-add_3-18,1.26,T1
ACVR2A-HsaEX0002213-add_3-3,1.53,T1
ACVR2A-HsaEX0002213-add_3-6,1.44,T1
ACVR2A-HsaEX0002213-add_3-9,1.32,T1
ACVR2A-HsaEX0002213-add_4-12,1.59,T1
ACVR2A-HsaEX0002213-add_4-15,1.63,T1
ACVR2A-HsaEX0002213-add_4-18,1.7,T1
ACVR2A-HsaEX0002213-add_4-3,1.61,T1
ACVR2A-HsaEX0002213-add_4-6,1.24,T1
ACVR2A-HsaEX0002213-add_4-9,1.14,T1
ACVR2A-HsaEX0002213-add_5-12,1.9,T1
ACVR2A-HsaEX0002213-add_5-15,1.32,T1
ACVR2A-HsaEX0002213-add_5-18,1.12,T1
ACVR2A-HsaEX0002213-add_5-3,1.56,T1
ACVR2A-HsaEX0002213-add_5-6,1.75,T1
ACVR2A-HsaEX0002213-add_5-9,1.38,T1
ACVR2A-HsaEX0002213-add_6-12,1.22,T1
ACVR2A-HsaEX0002213-add_6-15,1.32,T1
ACVR2A-HsaEX0002213-add_6-18,1.22,T1
ACVR2A-HsaEX0002213-add_6-3,1.72,T1
ACVR2A-HsaEX0002213-add_6-6,1.64,T1
ACVR2A-HsaEX0002213-add_6-9,1.89,T1
ACVR2A-HsaEX0002213-add_7-12,2.17,T1
ACVR2A-HsaEX0002213-add_7-15,2.41,T1
ACVR2A-HsaEX0002213-add_7-18,2.39,T1
ACVR2A-HsaEX0002213-add_7-3,1.97,T1
ACVR2A-HsaEX0002213-add_7-6,1.71,T1
ACVR2A-HsaEX0002213-add_7-9,1.76,T1
ACVR2A-HsaEX0002213-add_8-12,1.48,T1
ACVR2A-HsaEX0002213-add_8-15,1.46,T1
ACVR2A-HsaEX0002213-add_8-18,1.7,T1
ACVR2A-HsaEX0002213-add_8-6,1.88,T1
ACVR2A-HsaEX0002213-add_8-9,1.8,T1
ACVR2A-HsaEX0002213-add_9-12,1.45,T1
ACVR2A-HsaEX0002213-add_9-15,2.08,T1
ACVR2A-HsaEX0002213-add_9-18,1.67,T1
ACVR2A-HsaEX0002213-add_9-6,1.57,T1
ACVR2A-HsaEX0002213-add_9-9,1.43,T1
ACVR2A-HsaEX0002213-addTCTC,1.45,T1
ACVR2A-HsaEX0002213-AdML,0.97,T1
ACVR2A-HsaEX0002213-AGCmutAGG,1.64,T1
ACVR2A-HsaEX0002213-AGCmutGAC,2.04,T1
ACVR2A-HsaEX0002213-BP_13s,1.72,T1
ACVR2A-HsaEX0002213-BP1-TGAmutCGG,1.31,T1
ACVR2A-HsaEX0002213-BP2-TAAmutCAT,1.59,T1
ACVR2A-HsaEX0002213-BP3-TAAmutCAT,1.03,T1
ACVR2A-HsaEX0002213-BPmut2-13,0.88,T1
ACVR2A-HsaEX0002213-BPmut2-23,0.72,T1
ACVR2A-HsaEX0002213-BPshift10,1.44,T1
ACVR2A-HsaEX0002213-BPshift10-TGCadd-L1,1.51,T1
ACVR2A-HsaEX0002213-BPshift10-TGCadd-L2,1.56,T1
ACVR2A-HsaEX0002213-BPshift10-TGCadd-L3,1.35,T1
ACVR2A-HsaEX0002213-BPshift10-TGCadd-R1,1.33,T1
ACVR2A-HsaEX0002213-BPshift20,1.15,T1
ACVR2A-HsaEX0002213-BPshift20-TGCadd-L1,1.1,T1
ACVR2A-HsaEX0002213-BPshift20-TGCadd-L2,1.75,T1
ACVR2A-HsaEX0002213-BPshift20-TGCadd-L3,1.47,T1
ACVR2A-HsaEX0002213-BPshift20-TGCadd-R1,1.03,T1
ACVR2A-HsaEX0002213-BPshift20-TGCadd-R2,0.72,T1
ACVR2A-HsaEX0002213-BPshift20-TGCadd-R3,1.04,T1
ACVR2A-HsaEX0002213-full_TGCadd-L1,0.95,T1
