Supplementary Table 8:,PSI of endogenous events under 9 experimental conditions,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
TBK1,HsaEX1040205,chr12:64457751-64457768,18,"chr12:64455957,64457751-64457768,64457908",C3,CR,0,"SOK,SOK,0=0=138,Bn,C3@0.00,138.00",0,"SOK,SOK,0=0=107,Bn,C3@0.00,107.00",0,"SOK,SOK,0=0=106,Bn,C3@0.00,106.00",1.91,"OK,OK,1=0=90,Bn,C3@1.74,89.26",0,"SOK,SOK,0=0=105,Bn,C3@0.00,105.00",0,"SOK,SOK,0=0=103,Bn,C3@0.00,103.00",0,"SOK,SOK,0=0=125,Bn,C3@0.00,125.00",0,"SOK,SOK,0=0=116,Bn,C3@0.00,116.00",0,"OK,OK,0=0=96,Bn,C3@0.00,96.00"
SERPINA1,HsaEX1036573,chr14:94389934-94389945,12,"chr14:94390420,94389934-94389945,94389010",C3,CR,,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0"
MPND,HsaEX1024093,chr19:4355989-4355996,8,"chr19:4354420+4355173,4355989-4355996,4357253+4357340+4359163",MIC,CR,0,"SOK,SOK,0=177,na,na@0.00,177.00",0,"SOK,SOK,0=159,na,na@0.00,159.00",0,"SOK,SOK,0=136,na,na@0.00,136.00",0,"SOK,SOK,0=144,na,na@0.00,144.00",0,"SOK,SOK,0=143,na,na@0.00,143.00",0,"OK,OK,0=65,na,na@0.00,65.00",0,"OK,OK,0=49,na,na@0.00,49.00",0,"OK,OK,0=42,na,na@0.00,42.00",0,"OK,OK,0=58,na,na@0.00,58.00"
NTN4,HsaEX1026281,chr12:95782455-95782462,8,"chr12:95786939+95790255+95790728+95791112+95965114,95782455-95782462,95687520+95738144",MIC,CR,0,"OK,OK,0=57,na,na@0.00,57.00",0,"OK,OK,0=27,na,na@0.00,27.00",0,"OK,OK,0=33,na,na@0.00,33.00",0,"OK,OK,0=32,na,na@0.00,32.00",0,"OK,OK,0=39,na,na@0.00,39.00",0,"N,N,0=3,na,na@0.00,3.00",0,"N,N,0=5,na,na@0.00,5.00",0,"N,N,0=2,na,na@0.00,2.00",0,"N,N,0=9,na,na@0.00,9.00"
NSFL1C,HsaEX0043902,chr20:1463433-1463441,9,"chr20:1464329+1466720+1472715,1463433-1463441,1458274",MIC,CR,0.74,"SOK,SOK,9=662,na,na@4.97,666.03",1.08,"SOK,SOK,7=350,na,na@3.86,353.14",2.6,"SOK,SOK,21=430,na,na@11.73,439.27",0.56,"SOK,SOK,4=393,na,na@2.22,394.78",2.16,"SOK,SOK,16=400,na,na@8.99,407.01",3.83,"SOK,SOK,12=167,na,na@6.86,172.14",3.7,"SOK,SOK,12=171,na,na@6.77,176.23",5.57,"SOK,SOK,26=245,na,na@15.09,255.91",5.52,"SOK,SOK,22=205,na,na@12.53,214.47"
LYL1,HsaEX0037042,chr19:13101508-13101516,9,"chr19:13102531,13101508-13101516,13101048+13101195",MIC,CR,,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0"
TTC33,HsaEX0067917,chr5:40732944-40732955,12,"chr5:40746798,40732944-40732955,40569581+40604036+40613381+40716498+40728476+40730343",MIC,CR,0,"SOK,SOK,0=401,na,na@0.00,401.00",0,"SOK,SOK,0=261,na,na@0.00,261.00",13.53,"SOK,SOK,18=175,na,na@26.11,166.89",3.95,"SOK,SOK,6=222,na,na@9.01,218.99",11.25,"SOK,SOK,15=180,na,na@21.94,173.06",0,"SOK,SOK,0=382,na,na@0.00,382.00",0,"SOK,SOK,0=378,na,na@0.00,378.00",7.97,"SOK,SOK,23=404,na,na@34.03,392.97",1.42,"SOK,SOK,4=422,na,na@6.05,419.95"
ZNF280D,HsaEX0073335,chr15:56636097-56636108,12,"chr15:56642952,56636097-56636108+56636111,56635250",MIC,CR,0,"OK,OK,0=27,na,na@0.00,27.00",0,"OK,OK,0=24,na,na@0.00,24.00",0,"OK,OK,0=20,na,na@0.00,20.00",0,"OK,OK,0=22,na,na@0.00,22.00",0,"OK,OK,0=36,na,na@0.00,36.00",0,"OK,OK,0=31,na,na@0.00,31.00",0,"OK,OK,0=40,na,na@0.00,40.00",0,"OK,OK,0=53,na,na@0.00,53.00",0,"OK,OK,0=53,na,na@0.00,53.00"
MTMR6,HsaEX0040634,chr13:25250220-25250231,12,"chr13:25251649,25250220-25250231,25249492",MIC,CR,0,"SOK,SOK,0=191,na,na@0.00,191.00",0,"SOK,SOK,0=133,na,na@0.00,133.00",17.67,"SOK,SOK,22=156,na,na@31.45,146.55",0,"SOK,SOK,0=136,na,na@0.00,136.00",4.46,"SOK,SOK,5=163,na,na@7.49,160.51",0,"OK,OK,0=97,na,na@0.00,97.00",0,"OK,OK,0=88,na,na@0.00,88.00",3.66,"OK,OK,2=80,na,na@3.00,79.00",0,"OK,OK,0=84,na,na@0.00,84.00"
PIK3R5,HsaEX1028136,chr17:8892266-8892279,14,"chr17:8893586,8892266-8892279,8890126+8890912",MIC,CR,0,"N,N,0=4,na,na@0.00,4.00",0,"N,N,0=2,na,na@0.00,2.00",0,"N,N,0=3,na,na@0.00,3.00",0,"N,N,0=3,na,na@0.00,3.00",0,"N,N,0=3,na,na@0.00,3.00",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0"
PLCH2,HsaEX1028444,chr1:2492216-2492221,6,"chr1:2491335,2492216-2492221,2494856",MIC,CR,,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",0,"N,N,0=3,na,na@0.00,3.00",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0"
TNIK,HsaEX1041470,chr3:171102627-171102635,9,"chr3:171107183+171108065,171102627-171102635,171101633",MIC,CR,0,"SOK,SOK,0=200,na,na@0.00,200.00",0,"SOK,SOK,0=115,na,na@0.00,115.00",0,"SOK,SOK,0=117,na,na@0.00,117.00",0,"SOK,SOK,0=110,na,na@0.00,110.00",0,"SOK,SOK,0=108,na,na@0.00,108.00",0,"N,N,0=3,na,na@0.00,3.00",0,"N,N,0=3,na,na@0.00,3.00",0,"N,N,0=3,na,na@0.00,3.00",0,"N,N,0=2,na,na@0.00,2.00"
AP2M1,HsaEX1004130,chr3:184178218-184178223,6,"chr3:184177067+184177611,184178218-184178223,184178857",MIC,CR,0,"SOK,SOK,0=3105,na,na@0.00,3105.00",0,"SOK,SOK,0=1866,na,na@0.00,1866.00",0,"SOK,SOK,0=1837,na,na@0.00,1837.00",0,"SOK,SOK,0=1875,na,na@0.00,1875.00",0,"SOK,SOK,0=1696,na,na@0.00,1696.00",0,"SOK,SOK,0=2243,na,na@0.00,2243.00",0,"SOK,SOK,0=2302,na,na@0.00,2302.00",0.21,"SOK,SOK,4=2276,na,na@4.79,2275.21",0,"SOK,SOK,0=2360,na,na@0.00,2360.00"
PPIP5K1,HsaEX1029068,chr15:43562146-43562151,6,"chr15:43564103+43564867+43568463,43562146-43562151,43558932+43560595",MIC,CR,0,"SOK,SOK,0=107,na,na@0.00,107.00",0,"OK,OK,0=79,na,na@0.00,79.00",1.28,"OK,OK,1=93,na,na@1.20,92.80",0,"OK,OK,0=95,na,na@0.00,95.00",0,"OK,OK,0=90,na,na@0.00,90.00",0,"OK,OK,0=73,na,na@0.00,73.00",0,"OK,OK,0=71,na,na@0.00,71.00",0,"OK,OK,0=81,na,na@0.00,81.00",0,"SOK,SOK,0=112,na,na@0.00,112.00"
SULT1B1,HsaEX1039577,chr4:69735628-69735636,9,"chr4:69749721,69735628-69735636,69734264",MIC,CR,,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0",,"N,N,0=0,na,na@0,0"
POLE,HsaEX1028796,chr12:132657735-132657740,6,"chr12:132657868,132657735-132657740,132657429",MIC,CR,0,"SOK,SOK,0=502,na,na@0.00,502.00",0,"SOK,SOK,0=352,na,na@0.00,352.00",0,"SOK,SOK,0=308,na,na@0.00,308.00",0,"SOK,SOK,0=445,na,na@0.00,445.00",0,"SOK,SOK,0=375,na,na@0.00,375.00",0,"SOK,SOK,0=258,na,na@0.00,258.00",0,"SOK,SOK,0=270,na,na@0.00,270.00",0,"SOK,SOK,0=207,na,na@0.00,207.00",0,"SOK,SOK,0=265,na,na@0.00,265.00"
OVOS2,HsaEX1026777,chr12:31113710-31113722,13,"chr12:31114396,31113710-31113722,31113083",MIC,CR,0,"SOK,SOK,0=176,na,na@0.00,176.00",0,"SOK,SOK,0=208,na,na@0.00,208.00",0,"SOK,SOK,0=315,na,na@0.00,315.00",0,"SOK,SOK,0=273,na,na@0.00,273.00",0,"SOK,SOK,0=281,na,na@0.00,281.00",0,"OK,OK,0=24,na,na@0.00,24.00",0,"OK,OK,0=33,na,na@0.00,33.00",0,"OK,OK,0=26,na,na@0.00,26.00",0,"OK,OK,0=25,na,na@0.00,25.00"
ADGRL2,HsaEX6031765,chr1:81987869-81987886,18,"chr1:81985355,81987869-81987886,81990391",ANN,CR,0,"SOK,SOK,0=0=487,Bn,C2@0.00,487.00",0,"SOK,SOK,0=0=264,Bn,C2@0.00,264.00",0.49,"SOK,SOK,1=1=394,B1,C2@1.94,394.06",0,"SOK,SOK,0=0=249,Bn,C2@0.00,249.00",0,"SOK,SOK,0=0=365,Bn,C2@0.00,365.00",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0"
SCN3A,HsaEX7001521,chr2:165119750-165119776,27,"chr2:165127631,165119750-165119776,165115575",ANN,CR,,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",0,"N,N,0=0=2,Bn,S@0.00,2.00",,"N,N,0=0=0,Bn,S@0,0",0,"N,N,0=0=2,Bn,S@0.00,2.00",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",0,"N,N,0=0=2,Bn,S@0.00,2.00"
COL5A1,HsaEX6063887,chr9:134738474-134738515,42,"chr9:134732127,134738474-134738515,134738746",S,CS,100,"LOW,LOW,11=18=0,OK,S@29.00,0.00",100,"VLOW,VLOW,5=13=0,B1,S@18.00,0.00",100,"VLOW,VLOW,11=9=0,OK,S@20.00,0.00",100,"VLOW,VLOW,8=12=0,OK,S@20.00,0.00",100,"VLOW,VLOW,9=11=0,OK,S@20.00,0.00",100,"SOK,SOK,534=532=0,OK,S@1066.00,0.00",100,"SOK,SOK,635=631=0,OK,S@1266.00,0.00",100,"SOK,SOK,342=377=0,OK,S@719.00,0.00",100,"SOK,SOK,603=630=0,OK,S@1233.00,0.00"
SNCA,HsaEX6085392,chr4:89828143-89828184,42,"chr4:89835547,89828143-89828184,89822388",S,CS,99.71,"SOK,SOK,303=376=1,OK,S@678.03,1.97",100,"SOK,SOK,219=234=0,OK,S@453.00,0.00",100,"SOK,SOK,212=201=0,OK,S@413.00,0.00",100,"SOK,SOK,196=204=0,OK,S@400.00,0.00",100,"SOK,SOK,231=212=0,OK,S@443.00,0.00",100,"SOK,SOK,160=148=0,OK,S@308.00,0.00",100,"SOK,SOK,122=130=0,OK,S@252.00,0.00",100,"SOK,SOK,129=140=0,OK,S@269.00,0.00",100,"SOK,SOK,116=154=0,OK,S@270.00,0.00"
PICALM,HsaEX6004063,chr11:86007542-86007583,42,"chr11:86011030,86007542-86007583,86003451",S,CS,99.19,"SOK,SOK,329=308=3,OK,S@634.82,5.18",100,"SOK,SOK,160=117=0,OK,S@277.00,0.00",99.52,"SOK,SOK,208=147=1,OK,S@354.29,1.71",100,"SOK,SOK,151=113=0,OK,S@264.00,0.00",100,"SOK,SOK,186=125=0,OK,S@311.00,0.00",99.64,"SOK,SOK,259=224=1,OK,S@482.26,1.74",98.98,"SOK,SOK,264=241=3,OK,S@502.82,5.18",99.33,"SOK,SOK,279=232=2,OK,S@509.56,3.44",98.67,"SOK,SOK,280=235=4,OK,S@512.10,6.90"
ZNF638,HsaEX6013865,chr2:71405601-71405642,42,"chr2:71403998,71405601-71405642,71406128",S,CS,100,"SOK,SOK,135=134=0,OK,S@269.00,0.00",100,"SOK,SOK,98=107=0,OK,S@205.00,0.00",100,"SOK,SOK,128=148=0,OK,S@276.00,0.00",100,"SOK,SOK,119=112=0,OK,S@231.00,0.00",100,"SOK,SOK,114=129=0,OK,S@243.00,0.00",100,"SOK,SOK,132=163=0,OK,S@295.00,0.00",100,"SOK,SOK,121=138=0,OK,S@259.00,0.00",100,"SOK,SOK,152=168=0,OK,S@320.00,0.00",100,"SOK,SOK,142=147=0,OK,S@289.00,0.00"
SNAP23,HsaEX6074196,chr15:42512955-42512996,42,"chr15:42511903,42512955-42512996,42513399",S,CS,100,"SOK,SOK,859=127=0,B1,S@986.00,0.00",99.35,"SOK,SOK,400=61=2,B1,S@459.99,3.01",100,"SOK,SOK,335=59=0,OK,S@394.00,0.00",99.32,"SOK,SOK,407=51=2,B1,S@456.87,3.13",100,"SOK,SOK,328=58=0,OK,S@386.00,0.00",99.2,"SOK,SOK,310=53=2,OK,S@362.08,2.92",100,"SOK,SOK,309=60=0,OK,S@369.00,0.00",100,"SOK,SOK,235=35=0,B1,S@270.00,0.00",99.43,"SOK,SOK,282=33=1,B1,S@314.20,1.80"
WFDC1,HsaEX6045177,chr16:84324419-84324460,42,"chr16:84319571,84324419-84324460,84326882",S,CS,,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",100,"N,N,0=1=0,Bn,C3@1.00,0.00",,"N,N,0=0=0,Bn,S@0,0",100,"N,N,5=5=0,OK,S@10.00,0.00",100,"LOW,LOW,18=12=0,OK,S@30.00,0.00",100,"VLOW,VLOW,10=6=0,OK,S@16.00,0.00",93.88,"LOW,LOW,20=11=1,OK,S@30.04,1.96"
UTP6,HsaEX0070113,chr17:31894970-31895011,42,"chr17:31899646,31894970-31895011,31894737",S,CS,100,"SOK,SOK,441=353=0,OK,S@794.00,0.00",100,"SOK,SOK,249=193=0,OK,S@442.00,0.00",100,"SOK,SOK,244=206=0,OK,S@450.00,0.00",99.58,"SOK,SOK,259=166=1,OK,S@424.21,1.79",100,"SOK,SOK,272=201=0,OK,S@473.00,0.00",100,"SOK,SOK,167=141=0,OK,S@308.00,0.00",100,"SOK,SOK,180=138=0,OK,S@318.00,0.00",99.57,"SOK,SOK,208=202=1,OK,S@409.23,1.77",100,"SOK,SOK,176=139=0,OK,S@315.00,0.00"
PRPF19,HsaEX6002203,chr11:60901499-60901540,42,"chr11:60902403,60901499-60901540,60901369",S,CS,100,"SOK,SOK,1134=954=0,OK,S@2088.00,0.00",100,"SOK,SOK,591=503=0,OK,S@1094.00,0.00",100,"SOK,SOK,643=573=0,OK,S@1216.00,0.00",100,"SOK,SOK,621=488=0,OK,S@1109.00,0.00",100,"SOK,SOK,660=522=0,OK,S@1182.00,0.00",100,"SOK,SOK,738=580=0,OK,S@1318.00,0.00",100,"SOK,SOK,746=607=0,OK,S@1353.00,0.00",100,"SOK,SOK,925=760=0,OK,S@1685.00,0.00",99.86,"SOK,SOK,701=636=1,OK,S@1336.13,1.87"
ADGRD1,HsaEX6070119,chr12:131136973-131137014,42,"chr12:131136163,131136973-131137014,131138137",S,CS,,"N,N,0=0=0,Bn,S@0,0",100,"N,N,1=0=0,Bn,S@1.00,0.00",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",,"N,N,0=0=0,Bn,S@0,0",100,"LOW,LOW,16=16=0,OK,S@32.00,0.00",100,"OK,OK,30=30=0,OK,S@60.00,0.00",100,"OK,OK,19=23=0,OK,S@42.00,0.00",100,"OK,OK,27=30=0,OK,S@57.00,0.00"
SNX17,HsaEX6012519,chr2:27376479-27376520,42,"chr2:27376387,27376479-27376520,27376606",S,CS,100,"SOK,SOK,681=831=0,OK,S@1512.00,0.00",100,"SOK,SOK,329=411=0,OK,S@740.00,0.00",100,"SOK,SOK,289=318=0,OK,S@607.00,0.00",100,"SOK,SOK,307=325=0,OK,S@632.00,0.00",100,"SOK,SOK,299=335=0,OK,S@634.00,0.00",100,"SOK,SOK,262=289=0,OK,S@551.00,0.00",100,"SOK,SOK,230=252=0,OK,S@482.00,0.00",100,"SOK,SOK,267=326=0,OK,S@593.00,0.00",100,"SOK,SOK,221=264=0,OK,S@485.00,0.00"
EPS15L1,HsaEX6093676,chr19:16442178-16442219,42,"chr19:16471913,16442178-16442219,16441981",S,CS,100,"SOK,SOK,96=136=0,OK,S@232.00,0.00",100,"SOK,SOK,46=65=0,OK,S@111.00,0.00",100,"SOK,SOK,62=70=0,OK,S@132.00,0.00",100,"SOK,SOK,67=73=0,OK,S@140.00,0.00",100,"SOK,SOK,52=82=0,OK,S@134.00,0.00",100,"SOK,SOK,40=75=0,B1,S@115.00,0.00",100,"SOK,SOK,41=72=0,OK,S@113.00,0.00",98.17,"SOK,SOK,40=71=1,OK,S@109.95,2.05",97.33,"SOK,SOK,59=92=2,OK,S@148.91,4.09"
RNF122,HsaEX6080285,chr8:33551044-33551085,42,"chr8:33551344,33551044-33551085,33549492",S,CS,97.18,"OK,OK,33=36=1,OK,S@68.03,1.97",100,"OK,OK,31=42=0,OK,S@73.00,0.00",100,"OK,OK,33=27=0,OK,S@60.00,0.00",100,"OK,OK,16=40=0,B1,S@56.00,0.00",100,"OK,OK,19=36=0,OK,S@55.00,0.00",100,"N,N,3=6=0,OK,S@9.00,0.00",100,"N,N,3=3=0,OK,S@6.00,0.00",100,"N,N,0=1=0,Bn,S@1.00,0.00",100,"N,N,2=4=0,OK,S@6.00,0.00"
COL4A2,HsaEX6041122,chr13:110434401-110434442,42,"chr13:110432360,110434401-110434442,110436269",S,CS,100,"SOK,SOK,113=126=0,OK,S@239.00,0.00",100,"SOK,SOK,85=101=0,OK,S@186.00,0.00",100,"SOK,SOK,72=54=0,OK,S@126.00,0.00",100,"SOK,SOK,92=89=0,OK,S@181.00,0.00",100,"SOK,SOK,63=97=0,OK,S@160.00,0.00",100,"SOK,SOK,343=393=0,OK,S@736.00,0.00",99.84,"SOK,SOK,537=669=1,OK,S@1205.07,1.93",100,"SOK,SOK,365=406=0,OK,S@771.00,0.00",100,"SOK,SOK,507=607=0,OK,S@1114.00,0.00"
ESYT1,HsaEX6067058,chr12:56130582-56130623,42,"chr12:56128709,56130582-56130623,56130791",S,CS,99.7,"SOK,SOK,283=392=1,OK,S@673.97,2.03",99.42,"SOK,SOK,149=197=1,OK,S@344.99,2.01",100,"SOK,SOK,134=204=0,OK,S@338.00,0.00",100,"SOK,SOK,167=225=0,OK,S@392.00,0.00",100,"SOK,SOK,152=192=0,OK,S@344.00,0.00",99.44,"SOK,SOK,155=200=1,OK,S@354.01,1.99",100,"SOK,SOK,163=183=0,OK,S@346.00,0.00",98.64,"SOK,SOK,145=149=2,OK,S@291.97,4.03",100,"SOK,SOK,131=181=0,OK,S@312.00,0.00"
DYNLT3,HsaEX1012556,chrX:37846317-37846358,42,"chrX:37847481,37846317-37846358,37841905",S,CS,100,"SOK,SOK,29=830=0,OK,S@859.00,0.00",100,"LOW,SOK,12=369=0,OK,S@381.00,0.00",100,"SOK,SOK,18=361=0,OK,S@379.00,0.00",99.75,"SOK,SOK,20=386=1,OK,S@405.98,1.02",100,"SOK,SOK,19=341=0,OK,S@360.00,0.00",100,"VLOW,SOK,6=271=0,OK,S@277.00,0.00",100,"VLOW,SOK,9=285=0,OK,S@294.00,0.00",100,"LOW,SOK,13=307=0,OK,S@320.00,0.00",100,"VLOW,SOK,8=242=0,OK,S@250.00,0.00"
EXOC7,HsaEX6024969,chr17:76084248-76084289,42,"chr17:76084517,76084248-76084289,76084139",S,CS,100,"SOK,SOK,70=475=0,OK,S@545.00,0.00",100,"SOK,SOK,50=357=0,OK,S@407.00,0.00",100,"SOK,SOK,43=305=0,OK,S@348.00,0.00",100,"SOK,SOK,56=340=0,OK,S@396.00,0.00",100,"SOK,SOK,46=317=0,OK,S@363.00,0.00",100,"SOK,SOK,29=173=0,OK,S@202.00,0.00",100,"SOK,SOK,25=225=0,OK,S@250.00,0.00",100,"SOK,SOK,30=200=0,OK,S@230.00,0.00",100,"SOK,SOK,22=225=0,OK,S@247.00,0.00"
