Supplementary Table 17:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
AGRN-HsaEX0003154-add_0-12,,,,,T0
AGRN-HsaEX0003154-add_0-15,,,,,T0
AGRN-HsaEX0003154-add_0-18,,,,,T0
AGRN-HsaEX0003154-add_0-21,,,,,T0
AGRN-HsaEX0003154-add_0-24,,,,,T0
AGRN-HsaEX0003154-add_0-27,0,0,0,0,T0
AGRN-HsaEX0003154-add_0-3,,,,,T0
AGRN-HsaEX0003154-add_0-30,0.23,0.97,0,0,T0
AGRN-HsaEX0003154-add_0-6,,,,,T0
AGRN-HsaEX0003154-add_0-9,,,,,T0
AGRN-HsaEX0003154-add_1-12,,,,,T0
AGRN-HsaEX0003154-add_1-15,0,0,0,0,T0
AGRN-HsaEX0003154-add_1-18,,,,,T0
AGRN-HsaEX0003154-add_1-21,0,0,0,0,T0
AGRN-HsaEX0003154-add_1-24,,,,,T0
AGRN-HsaEX0003154-add_1-3,,,,,T0
AGRN-HsaEX0003154-add_1-30,0,0,0,0,T0
AGRN-HsaEX0003154-add_1-6,,,,,T0
AGRN-HsaEX0003154-add_1-9,,,,,T0
AGRN-HsaEX0003154-add_2-12,,,,,T0
AGRN-HsaEX0003154-add_2-15,0,0,0,0,T0
AGRN-HsaEX0003154-add_2-18,0,0,0,0,T0
AGRN-HsaEX0003154-add_2-21,0,0,0,0,T0
AGRN-HsaEX0003154-add_2-24,,,,,T0
AGRN-HsaEX0003154-add_2-27,0,0,0,0,T0
AGRN-HsaEX0003154-add_2-3,0,0,0,0,T0
AGRN-HsaEX0003154-add_2-6,,,,,T0
AGRN-HsaEX0003154-add_2-9,,,,,T0
AGRN-HsaEX0003154-rem-3,0,0,0,0,T0
AGRN-HsaEX0003154-WT,,,,,T0
AGRN-HsaEX0003157-add_0-12,2.22,3.62,20.21,28,T0
AGRN-HsaEX0003157-add_0-15,5.06,9.36,31.54,39.89,T0
AGRN-HsaEX0003157-add_0-18,3.02,5.86,19.56,26.26,T0
AGRN-HsaEX0003157-add_0-3,0.28,0,0.56,0.43,T0
AGRN-HsaEX0003157-add_0-6,0.05,0.02,1,1.42,T0
AGRN-HsaEX0003157-add_0-9,0.34,0.92,6.22,9.54,T0
AGRN-HsaEX0003157-add_1-12,1.91,2.88,10.91,12.69,T0
AGRN-HsaEX0003157-add_1-18,0.16,0.41,2.24,3.22,T0
AGRN-HsaEX0003157-add_1-3,0.19,0.12,2.13,2.1,T0
AGRN-HsaEX0003157-add_1-6,0,0.11,1.43,1.83,T0
AGRN-HsaEX0003157-add_1-9,0.33,0.6,5.05,7.26,T0
AGRN-HsaEX0003157-add_2-12,0.03,0.05,0.42,1.1,T0
AGRN-HsaEX0003157-add_2-15,0,0,0.2,0,T0
AGRN-HsaEX0003157-add_2-3,0.05,0,0.78,0.82,T0
AGRN-HsaEX0003157-add_2-6,0.02,0.03,0.6,0.8,T0
AGRN-HsaEX0003157-add_2-9,0,0,0.08,0.16,T0
AGRN-HsaEX0003157-rem-12,0,0,0.06,0.1,T0
AGRN-HsaEX0003157-rem-15,0.06,0.04,0.16,0.32,T0
AGRN-HsaEX0003157-rem-18,0,0,0,0.11,T0
AGRN-HsaEX0003157-rem-3,0.08,0.37,2.64,3.17,T0
AGRN-HsaEX0003157-rem-6,0.04,0.04,0.65,1.82,T0
AGRN-HsaEX0003157-rem-9,0,0,0,0,T0
AGRN-HsaEX0003157-WT,0.02,0.05,0.83,0.86,T0
AMPH-HsaEX1003606-add_0-12,49.35,51.9,60.56,60.33,T0
AMPH-HsaEX1003606-add_0-15,32.37,38.79,44.05,45.06,T0
AMPH-HsaEX1003606-add_0-18,89.06,90.46,92.45,93.55,T0
AMPH-HsaEX1003606-add_0-21,74.78,74.78,84.27,83.97,T0
AMPH-HsaEX1003606-add_0-24,63.21,69.12,78.33,77.97,T0
AMPH-HsaEX1003606-add_0-27,19.91,32.22,34.85,33.59,T0
AMPH-HsaEX1003606-add_0-3,0.23,0.24,0.58,0.66,T0
AMPH-HsaEX1003606-add_0-30,10.1,13.78,17.85,18.91,T0
AMPH-HsaEX1003606-add_0-33,71.61,72.34,76.85,77.33,T0
AMPH-HsaEX1003606-add_0-6,11.96,18.54,22.69,23.74,T0
AMPH-HsaEX1003606-add_0-9,39.68,43.72,55.1,48.42,T0
AMPH-HsaEX1003606-add_1-12,12.09,13.5,18.96,17.46,T0
AMPH-HsaEX1003606-add_1-15,50.7,54.83,71.07,68.83,T0
AMPH-HsaEX1003606-add_1-18,44.66,51.73,59.73,57.84,T0
AMPH-HsaEX1003606-add_1-21,3.51,5.46,6.14,5.35,T0
AMPH-HsaEX1003606-add_1-24,17.88,24.12,24.22,26.63,T0
AMPH-HsaEX1003606-add_1-27,11.56,15.33,19.27,17.86,T0
AMPH-HsaEX1003606-add_1-3,0.91,1.67,2.05,2.38,T0
AMPH-HsaEX1003606-add_1-33,55.46,58.6,59.58,57.89,T0
AMPH-HsaEX1003606-add_1-6,19.09,22.62,31.08,32.51,T0
AMPH-HsaEX1003606-add_1-9,29.05,30.65,36.09,33.71,T0
AMPH-HsaEX1003606-add_2-12,3.58,5.15,7.9,7.51,T0
AMPH-HsaEX1003606-add_2-15,0.79,0.63,1.87,1.98,T0
AMPH-HsaEX1003606-add_2-18,0,0.19,0.38,0.76,T0
AMPH-HsaEX1003606-add_2-21,0,0,0,0.23,T0
AMPH-HsaEX1003606-add_2-24,0,0,0,0,T0
AMPH-HsaEX1003606-add_2-27,0.47,0.37,1.35,0.88,T0
AMPH-HsaEX1003606-add_2-3,1.53,1.54,2.85,3.26,T0
AMPH-HsaEX1003606-add_2-30,0.32,0.38,0,0.88,T0
AMPH-HsaEX1003606-add_2-6,2.3,3.32,4.62,5.28,T0
AMPH-HsaEX1003606-add_2-9,0,0.08,,0.13,T0
AMPH-HsaEX1003606-rem-3,0.52,0.93,1.23,1.12,T0
AMPH-HsaEX1003606-WT,0.22,0.27,0.58,0.54,T0
ANK2-HsaEX0004127-add_0-12,0.32,0.37,15.49,24.45,T0
ANK2-HsaEX0004127-add_0-15,0.46,0.52,32.92,49.21,T0
ANK2-HsaEX0004127-add_0-18,1.82,3.05,53.34,68.99,T0
ANK2-HsaEX0004127-add_0-21,1.32,2.93,42.84,57.95,T0
ANK2-HsaEX0004127-add_0-24,0.9,1.18,40.33,52.87,T0
ANK2-HsaEX0004127-add_0-27,0.47,0.96,23.52,37.66,T0
ANK2-HsaEX0004127-add_0-3,0,0.1,7.72,13.04,T0
ANK2-HsaEX0004127-add_0-30,1.63,1.95,38.12,51.77,T0
ANK2-HsaEX0004127-add_0-6,0.11,0.16,5.63,11.62,T0
ANK2-HsaEX0004127-add_0-9,0.09,0.22,13.22,26.88,T0
ANK2-HsaEX0004127-add_1-12,0.08,0.62,11.72,21.66,T0
ANK2-HsaEX0004127-add_1-15,0,2.04,22.15,,T0
ANK2-HsaEX0004127-add_1-18,0.13,0.16,17.1,27.91,T0
ANK2-HsaEX0004127-add_1-21,0.15,0,7.46,0.98,T0
ANK2-HsaEX0004127-add_1-24,0,0.1,5.16,10.36,T0
ANK2-HsaEX0004127-add_1-3,0,0,5.59,12.83,T0
ANK2-HsaEX0004127-add_1-30,1.32,3.01,41.17,55.21,T0
ANK2-HsaEX0004127-add_1-6,0,0.08,5.56,10.01,T0
ANK2-HsaEX0004127-add_1-9,0.05,0.2,7.28,12.46,T0
ANK2-HsaEX0004127-add_2-12,0.06,0,1,2.01,T0
ANK2-HsaEX0004127-add_2-15,0,0,0.62,1.08,T0
ANK2-HsaEX0004127-add_2-18,0,0,0.23,0.94,T0
ANK2-HsaEX0004127-add_2-21,0,0,0.61,0.55,T0
ANK2-HsaEX0004127-add_2-24,0,0,0.4,0.42,T0
ANK2-HsaEX0004127-add_2-27,0,0,0,0.19,T0
ANK2-HsaEX0004127-add_2-3,0.03,0,2.04,4.02,T0
ANK2-HsaEX0004127-add_2-6,0,0.03,3.3,5.76,T0
ANK2-HsaEX0004127-add_2-9,0.11,0,0.69,0.72,T0
ANK2-HsaEX0004127-rem-3,0,0.04,0.86,1.67,T0
ANK2-HsaEX0004127-rem-6,0.04,0.12,0.23,0.39,T0
ANK2-HsaEX0004127-WT,0.24,0.07,1.9,3.51,T0
ANK2-HsaEX0004128-add_0-12,92.94,95,98.8,99.13,T0
ANK2-HsaEX0004128-add_0-15,97.37,97.66,98.94,99.11,T0
ANK2-HsaEX0004128-add_0-18,96.34,97.1,98.71,99.04,T0
ANK2-HsaEX0004128-add_0-3,9.71,55.62,93.45,96.99,T0
ANK2-HsaEX0004128-add_0-6,23.23,68.25,95.05,98.15,T0
ANK2-HsaEX0004128-add_0-9,80.23,89,97.87,99.06,T0
ANK2-HsaEX0004128-add_1-12,92.14,96.26,98.73,98.59,T0
ANK2-HsaEX0004128-add_1-18,94.2,95.21,99,99.36,T0
ANK2-HsaEX0004128-add_1-3,48.65,78.08,96.35,98.54,T0
ANK2-HsaEX0004128-add_1-6,59.71,80.84,97.42,98.46,T0
ANK2-HsaEX0004128-add_1-9,78.72,89.61,97.14,98.02,T0
ANK2-HsaEX0004128-add_2-12,42.01,68.2,93.77,95.32,T0
ANK2-HsaEX0004128-add_2-15,6.06,30.49,91.71,96.95,T0
ANK2-HsaEX0004128-add_2-3,6.31,35.69,92.34,97,T0
ANK2-HsaEX0004128-add_2-6,28.17,68.1,95.44,98.35,T0
ANK2-HsaEX0004128-add_2-9,12.36,43.78,92.95,96.99,T0
ANK2-HsaEX0004128-rem-12,0,9.14,78.37,92.3,T0
ANK2-HsaEX0004128-rem-15,0.06,4.22,75.92,85.04,T0
ANK2-HsaEX0004128-rem-18,0.04,0.8,18.5,30.69,T0
ANK2-HsaEX0004128-rem-3,13.77,55.6,94.86,98.53,T0
ANK2-HsaEX0004128-rem-6,0.7,21.79,85.92,95.64,T0
ANK2-HsaEX0004128-rem-9,0,10.11,82.43,91.73,T0
ANK2-HsaEX0004128-WT,0.96,17.28,87.79,95.09,T0
ANK3-HsaEX0004145-add_0-12,0.44,0.35,2.73,3.42,T0
ANK3-HsaEX0004145-add_0-15,1.64,0.85,2.59,8.65,T0
ANK3-HsaEX0004145-add_0-18,2.5,1.72,4.44,18.83,T0
ANK3-HsaEX0004145-add_0-21,0.98,0.68,6.55,7.2,T0
ANK3-HsaEX0004145-add_0-24,3.66,8.96,4.94,17.5,T0
ANK3-HsaEX0004145-add_0-27,0,0.89,13.11,19.64,T0
ANK3-HsaEX0004145-add_0-3,,,,,T0
ANK3-HsaEX0004145-add_0-30,0,0,11.63,17.07,T0
ANK3-HsaEX0004145-add_0-6,0,0,0,0,T0
ANK3-HsaEX0004145-add_0-9,0,0,0.85,1.92,T0
ANK3-HsaEX0004145-add_1-12,,,,,T0
ANK3-HsaEX0004145-add_1-15,0,0,0,0,T0
ANK3-HsaEX0004145-add_1-18,0,0,1.39,0.5,T0
ANK3-HsaEX0004145-add_1-21,0,0.93,0,5.13,T0
ANK3-HsaEX0004145-add_1-24,0,0,0,0,T0
ANK3-HsaEX0004145-add_1-3,,,,,T0
ANK3-HsaEX0004145-add_1-30,,,,,T0
ANK3-HsaEX0004145-add_1-6,0,0,0,0,T0
ANK3-HsaEX0004145-add_1-9,,,,,T0
ANK3-HsaEX0004145-add_2-12,0,0,0,0,T0
ANK3-HsaEX0004145-add_2-15,,,,,T0
ANK3-HsaEX0004145-add_2-18,0,0,0,0,T0
ANK3-HsaEX0004145-add_2-21,0,0,0,1.71,T0
ANK3-HsaEX0004145-add_2-24,0,0,0,0,T0
ANK3-HsaEX0004145-add_2-27,0,0.38,0,0,T0
ANK3-HsaEX0004145-add_2-3,,,,,T0
ANK3-HsaEX0004145-add_2-6,0,0,0,0,T0
ANK3-HsaEX0004145-add_2-9,0,0,0,0,T0
ANK3-HsaEX0004145-rem-3,0,0,0.14,0,T0
ANK3-HsaEX0004145-rem-6,0.11,0,0,0.92,T0
ANK3-HsaEX0004145-WT,0,0,0,0,T0
ANTXR1-HsaEX7001225-rem-12,99.8,98.57,99.38,99.46,T0
ANTXR1-HsaEX7001225-rem-15,96.18,95.93,97.43,96.75,T0
ANTXR1-HsaEX7001225-rem-18,99.14,99.46,99.01,99.15,T0
