"GeneID","geneSymbol","n_selection_events","event_types","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000021268","Meg3",5,"A3SS; MXE; SE","Regular (>50bp)","chr12:109512312-109512425; chr12:109515725-109515806; chr12:109515913-109515987; chr12:109515913-109516014; chr12:109525073-109538160",0.027
"ENSMUSG00000031736","Crnde",5,"A5SS; MXE","Regular (>50bp)","chr8:93073411-93073732; chr8:93073411-93073540; chr8:93073411-93073540; chr8:93073411-93073546; chr8:93073411-93073546",0.078
"ENSMUSG00000037058","Paip2",5,"SE","Regular (>50bp)","chr18:35733097-35733170; chr18:35741790-35741872; chr18:35741790-35741872; chr18:35741790-35741872; chr18:35742645-35742726",-0.146
"ENSMUSG00000039844","Rapgef1",5,"A3SS; MXE; SE","Regular (>50bp)","chr2:29600164-29600320; chr2:29609604-29609862; chr2:29609604-29609862; chr2:29609604-29609862; chr2:29609604-29609862",0.152
"ENSMUSG00000050565","Tor1aip2",5,"SE","Regular (>50bp)","chr1:155916820-155916880; chr1:155916820-155916880; chr1:155916820-155916880; chr1:155916820-155916880; chr1:155916820-155916880",0.197
"ENSMUSG00000069601","Ank3",5,"A3SS; SE","Microexon (0-30bp); Regular (>50bp); Small (30-50bp)","chr10:69765276-69765288; chr10:69789269-69789302; chr10:69816653-69816680; chr10:69837752-69838061; chr10:69837752-69838431",0.075
"ENSMUSG00000086035","Gm12610",5,"MXE; SE","Regular (>50bp)","chr4:89255914-89256050; chr4:89255914-89256050; chr4:89274945-89274997; chr4:89275354-89275446; chr4:89340867-89340979",0.123
"ENSMUSG00000086968","4933431E20Rik",5,"A3SS; RI; SE","Regular (>50bp)","chr3:107801366-107801544; chr3:107801366-107802308; chr3:107801366-107802308; chr3:107801366-107802308; chr3:107801904-107801972",-0.17
"ENSMUSG00000087380","2210408F21Rik",5,"A3SS; MXE; RI; SE","Regular (>50bp)","chr6:31254782-31254890; chr6:31298324-31298411; chr6:31305225-31305295; chr6:31305266-31305324; chr6:31312925-31314326",-0.227
"ENSMUSG00000021709","Erbin",4,"MXE; SE","Regular (>50bp)","chr13:103964414-103964531; chr13:103964414-103964531; chr13:103966695-103966839; chr13:104022648-104022846",-0.209
"ENSMUSG00000022558","Mroh1",4,"RI; SE","Regular (>50bp)","chr15:76274230-76274327; chr15:76305339-76308035; chr15:76311711-76312585; chr15:76316348-76317596",-0.05
"ENSMUSG00000022708","Zbtb20",4,"MXE; SE","Regular (>50bp); Small (30-50bp)","chr16:42967259-42967306; chr16:43013827-43013901; chr16:43053121-43053183; chr16:43397392-43397556",0.158
"ENSMUSG00000022948","Setd4",4,"A5SS; SE","Regular (>50bp)","chr16:93387143-93388191; chr16:93387143-93388191; chr16:93387761-93388191; chr16:93390134-93390220",-0.013
"ENSMUSG00000025138","Sirt7",4,"RI; SE","Regular (>50bp)","chr11:120509197-120511095; chr11:120509974-120510116; chr11:120509974-120510116; chr11:120511249-120511709",-0.199
"ENSMUSG00000028184","Adgrl2",4,"A5SS; SE","Microexon (0-30bp); Regular (>50bp)","chr3:148526052-148526104; chr3:148526915-148527044; chr3:148532847-148532874; chr3:148566062-148566074",-0.086
"ENSMUSG00000029673","Auts2",4,"A5SS; MXE; SE","Regular (>50bp)","chr5:131494869-131494965; chr5:131494869-131494965; chr5:131501075-131501317; chr5:131501075-131501317",0.047
"ENSMUSG00000031256","Cstf2",4,"RI; SE","Regular (>50bp)","chrX:132970593-132974026; chrX:132970593-132974026; chrX:132973163-132973223; chrX:132973163-132973223",0.148
"ENSMUSG00000031865","Dctn1",4,"MXE; SE","Microexon (0-30bp)","chr6:83160917-83160938; chr6:83160917-83160938; chr6:83163409-83163427; chr6:83164745-83164766",0.129
"ENSMUSG00000034211","Mrps17",4,"RI; SE","Regular (>50bp)","chr5:129792747-129792922; chr5:129792747-129792976; chr5:129792747-129793005; chr5:129792747-129793930",-0.118
"ENSMUSG00000038831","Ralgps1",4,"A3SS; SE","Regular (>50bp)","chr2:33036581-33036665; chr2:33036581-33036665; chr2:33045299-33045351; chr2:33047783-33047941",0.082
"ENSMUSG00000041936","Agrn",4,"A5SS; RI; SE","Microexon (0-30bp); Regular (>50bp); Small (30-50bp)","chr4:156252233-156252266; chr4:156252233-156253026; chr4:156252233-156253026; chr4:156253002-156253026",-0.022
"ENSMUSG00000044229","Nxpe4",4,"SE","Regular (>50bp)","chr9:48144510-48144582; chr9:48144510-48144582; chr9:48266286-48266387; chr9:48266286-48266387",0.17
"ENSMUSG00000048029","Eno4",4,"A3SS; SE","Regular (>50bp)","chr19:58935083-58935274; chr19:58952809-58953005; chr19:58952809-58953005; chr19:58952870-58953005",-0.104
"ENSMUSG00000051331","Cacna1c",4,"SE","Regular (>50bp)","chr6:118614690-118614774; chr6:118615387-118615471; chr6:118651515-118651575; chr6:118651515-118651575",0.16
"ENSMUSG00000051586","Mical3",4,"SE","Regular (>50bp)","chr6:120930594-120930645; chr6:120943014-120943077; chr6:120948711-120948801; chr6:120996656-120996740",0.081
"ENSMUSG00000053046","Brsk2",4,"SE","Regular (>50bp); Small (30-50bp)","chr7:141552656-141552751; chr7:141554578-141554623; chr7:141554578-141554626; chr7:141554578-141554626",0.086
"ENSMUSG00000057335","Cep170",4,"A5SS; MXE; SE","Regular (>50bp)","chr1:176588916-176589066; chr1:176588916-176589066; chr1:176596798-176597092; chr1:176596798-176597436",-0.058
"ENSMUSG00000070047","Fat1",4,"MXE; SE","Regular (>50bp)","chr8:45498769-45498822; chr8:45500686-45500746; chr8:45500686-45500746; chr8:45500686-45500746",0.251
"ENSMUSG00000074758","Gm5535",4,"SE","Regular (>50bp)","chr2:144016446-144016664; chr2:144031060-144031153; chr2:144031060-144031153; chr2:144031060-144031153",0.24
"ENSMUSG00000097080","1700086O06Rik",4,"SE","Regular (>50bp)","chr18:38372625-38372804; chr18:38372625-38372804; chr18:38373891-38374006; chr18:38373891-38374006",0.362
"ENSMUSG00000004561","Mettl17",3,"A5SS; RI; SE","Regular (>50bp)","chr14:52126198-52127092; chr14:52126603-52126854; chr14:52126603-52126854",-0.197
"ENSMUSG00000008855","Hdac5",3,"MXE; RI; SE","Regular (>50bp)","chr11:102087364-102088262; chr11:102104750-102104862; chr11:102112593-102112677",0.121
"ENSMUSG00000009741","Ubp1",3,"MXE; RI; SE","Regular (>50bp)","chr9:113785030-113785881; chr9:113788443-113788551; chr9:113799209-113799328",-0.089
"ENSMUSG00000013973","Dedd",3,"SE","Regular (>50bp); Small (30-50bp)","chr1:171158801-171158853; chr1:171158820-171158853; chr1:171158820-171158853",0.169
"ENSMUSG00000020131","Pcsk4",3,"MXE; SE","Regular (>50bp)","chr10:80159316-80159434; chr10:80159316-80159434; chr10:80159506-80159610",-0.003
"ENSMUSG00000020300","Cpeb4",3,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr11:31858824-31858875; chr11:31868800-31868824; chr11:31868800-31868824",0.055
"ENSMUSG00000020385","Clk4",3,"SE","Regular (>50bp)","chr11:51158991-51159058; chr11:51158991-51159058; chr11:51161363-51161422",-0.099
"ENSMUSG00000020792","Exoc7",3,"MXE; SE","Regular (>50bp); Small (30-50bp)","chr11:116184100-116184139; chr11:116188396-116188489; chr11:116191091-116191259",0.16
"ENSMUSG00000021820","Camk2g",3,"MXE; SE","Regular (>50bp); Small (30-50bp)","chr14:20791445-20791559; chr14:20794671-20794716; chr14:20795859-20795928",0.059
"ENSMUSG00000022973","Synj1",3,"SE","Small (30-50bp)","chr16:90743902-90743941; chr16:90744953-90745001; chr16:90746586-90746625",0.225
"ENSMUSG00000023206","Il15ra",3,"SE","Regular (>50bp)","chr2:11724823-11724916; chr2:11728223-11728421; chr2:11728223-11728421",0.1
"ENSMUSG00000024044","Epb41l3",3,"MXE; SE","Regular (>50bp)","chr17:69581095-69581161; chr17:69581698-69581890; chr17:69590879-69591002",0.064
"ENSMUSG00000024330","Col11a2",3,"SE","Regular (>50bp)","chr17:34264744-34264822; chr17:34266071-34266251; chr17:34266071-34266251",0.337
"ENSMUSG00000024921","Smarca2",3,"SE","Regular (>50bp)","chr19:26727251-26727347; chr19:26727251-26727347; chr19:26737277-26737331",-0.037
"ENSMUSG00000025404","R3hdm2",3,"SE","Regular (>50bp)","chr10:127317561-127317624; chr10:127317561-127317663; chr10:127317561-127317663",0.144
"ENSMUSG00000026113","Inpp4a",3,"A5SS; SE","Microexon (0-30bp); Regular (>50bp); Small (30-50bp)","chr1:37413355-37413370; chr1:37419002-37419258; chr1:37422419-37422452",0.101
"ENSMUSG00000026388","3110009E18Rik",3,"MXE; SE","Regular (>50bp); Small (30-50bp)","chr1:120088335-120088386; chr1:120092494-120092612; chr1:120093864-120093902",-0.039
"ENSMUSG00000026527","Rgs7",3,"SE","Regular (>50bp)","chr1:174903582-174903663; chr1:174904389-174904443; chr1:174904389-174904443",0.085
"ENSMUSG00000028078","Dclk2",3,"SE","Microexon (0-30bp); Small (30-50bp)","chr3:86695928-86695941; chr3:86695928-86695941; chr3:86738130-86738178",0.124
"ENSMUSG00000028524","Sgip1",3,"SE","Microexon (0-30bp); Regular (>50bp)","chr4:102757722-102757734; chr4:102762761-102762773; chr4:102791742-102791802",0.254
"ENSMUSG00000029267","Mtf2",3,"SE","Regular (>50bp)","chr5:108217027-108217229; chr5:108217027-108217389; chr5:108221172-108221320",-0.136
"ENSMUSG00000030089","Slc41a3",3,"MXE; SE","Regular (>50bp)","chr6:90610592-90610737; chr6:90610592-90610737; chr6:90612231-90612378",0.039
"ENSMUSG00000030924","Rexo5",3,"A5SS; MXE; SE","Regular (>50bp)","chr7:119398787-119398900; chr7:119423267-119423362; chr7:119426525-119426602",0.001
"ENSMUSG00000032599","Ip6k2",3,"MXE; SE","Small (30-50bp)","chr9:108673739-108673771; chr9:108673739-108673771; chr9:108673739-108673771",0.186
"ENSMUSG00000032624","Eml4",3,"SE","Regular (>50bp)","chr17:83732686-83732860; chr17:83732686-83732860; chr17:83734651-83734780",0.171
"ENSMUSG00000032637","Atxn2l",3,"A5SS; SE","Regular (>50bp)","chr7:126091615-126091780; chr7:126091929-126092173; chr7:126091929-126092173",-0.183
"ENSMUSG00000033102","Cdc14b",3,"SE","Regular (>50bp)","chr13:64349145-64349262; chr13:64353084-64353231; chr13:64373385-64373462",0.22
"ENSMUSG00000033287","Kctd17",3,"SE","Regular (>50bp)","chr15:78321100-78321163; chr15:78321100-78321194; chr15:78321100-78321299",-0.109
"ENSMUSG00000033419","Snap91",3,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr9:86672108-86672192; chr9:86680590-86680752; chr9:86680882-86680897",0.192
"ENSMUSG00000034518","Hmgxb4",3,"MXE; SE","Regular (>50bp)","chr8:75725462-75725566; chr8:75726440-75726519; chr8:75726626-75726741",0.063
"ENSMUSG00000036817","Sun1",3,"SE","Regular (>50bp)","chr5:139215507-139215699; chr5:139216527-139216593; chr5:139216881-139216992",0.142
"ENSMUSG00000037266","Rsrp1",3,"A3SS; RI","Regular (>50bp)","chr4:134652603-134654129; chr4:134653336-134654129; chr4:134653336-134654129",-0.155
"ENSMUSG00000037697","Ddhd1",3,"SE","Microexon (0-30bp); Regular (>50bp)","chr14:45860297-45860399; chr14:45860297-45860399; chr14:45866310-45866331",0.181
"ENSMUSG00000038495","Otud7b",3,"MXE; SE","Regular (>50bp)","chr3:96016022-96016080; chr3:96016022-96016080; chr3:96037541-96037654",0.035
"ENSMUSG00000039126","Prune2",3,"SE","Small (30-50bp)","chr19:17189655-17189694; chr19:17189655-17189694; chr19:17193689-17193737",0.116
"ENSMUSG00000040481","Bptf",3,"MXE; SE","Regular (>50bp)","chr11:106934458-106934651; chr11:106935317-106935491; chr11:106977537-106977723",-0.12
"ENSMUSG00000042870","Tom1",3,"MXE; SE","Regular (>50bp)","chr8:75774620-75774705; chr8:75774620-75774705; chr8:75776817-75776896",0.185
"ENSMUSG00000045679","Pqlc3",3,"A3SS; SE","Regular (>50bp)","chr12:17042278-17043574; chr12:17043453-17043574; chr12:17047496-17047704",-0.17
"ENSMUSG00000047021","Cfap65",3,"MXE; SE","Regular (>50bp)","chr1:74957524-74957653; chr1:74957524-74957653; chr1:74957992-74958143",0.027
"ENSMUSG00000053332","Gas5",3,"A3SS; A5SS","Regular (>50bp)","chr1:160862733-160862885; chr1:160863777-160864734; chr1:160864693-160864885",-0.158
"ENSMUSG00000056486","Chn1",3,"SE","Microexon (0-30bp); Regular (>50bp)","chr2:73509958-73510247; chr2:73537262-73537376; chr2:73540798-73540826",-0.156
"ENSMUSG00000057230","Aak1",3,"SE","Regular (>50bp)","chr6:86947972-86948068; chr6:86958277-86958379; chr6:86959523-86959625",0.259
"ENSMUSG00000057649","Brd9",3,"RI","Regular (>50bp)","chr13:74090062-74090925; chr13:74090062-74090925; chr13:74090062-74090925",-0.15
"ENSMUSG00000061306","Slc38a10",3,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr11:119999292-119999316; chr11:119999292-119999379; chr11:119999292-119999316",0.131
"ENSMUSG00000062604","Srpk2",3,"A3SS; SE","Regular (>50bp)","chr5:23745372-23745501; chr5:23829050-23829124; chr5:23834329-23834475",0.081
"ENSMUSG00000062991","Nrg1",3,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr8:32321232-32321256; chr8:32323180-32323258; chr8:32323180-32323258",-0.198
"ENSMUSG00000064302","Clasp1",3,"SE","Regular (>50bp)","chr1:118459707-118459815; chr1:118463864-118463927; chr1:118463864-118463927",0.184
"ENSMUSG00000069631","Strada",3,"A5SS; SE","Microexon (0-30bp); Regular (>50bp)","chr11:106071780-106071809; chr11:106075387-106075445; chr11:106077926-106078006",0.135
"ENSMUSG00000072501","Phf20l1",3,"A3SS; RI; SE","Regular (>50bp)","chr15:66469513-66469603; chr15:66469513-66469603; chr15:66494609-66495948",0.041
"ENSMUSG00000086453","Gm11457",3,"SE","Regular (>50bp)","chr2:164601148-164601260; chr2:164604463-164604528; chr2:164604640-164604801",0.038
"ENSMUSG00000097451","Rian",3,"A5SS; MXE; SE","Regular (>50bp); Small (30-50bp)","chr12:109593481-109593587; chr12:109596454-109596625; chr12:109609847-109609895",0.022
"ENSMUSG00000097755","2010110K18Rik",3,"RI; SE","Regular (>50bp)","chr18:34887728-34889445; chr18:34889051-34889204; chr18:34889051-34889234",-0.178
"ENSMUSG00000119993","Gm32085",3,"A5SS; SE","Regular (>50bp)","chr3:152413486-152413934; chr3:152413486-152413934; chr3:152413486-152414250",0.005
"ENSMUSG00000000386","Mx1",2,"SE","Regular (>50bp)","chr16:97256688-97256843; chr16:97259879-97259932",-0.025
"ENSMUSG00000000631","Myo18a",2,"SE","Regular (>50bp); Small (30-50bp)","chr11:77706681-77706717; chr11:77706681-77706825",0.177
"ENSMUSG00000000881","Dlg3",2,"MXE","Regular (>50bp); Small (30-50bp)","chrX:99851658-99851758; chrX:99855107-99855149",-0.002
"ENSMUSG00000001036","Epn2",2,"SE","Regular (>50bp); Small (30-50bp)","chr11:61425403-61425439; chr11:61444335-61444405",0.002
"ENSMUSG00000001143","Lman2l",2,"SE","Small (30-50bp)","chr1:36468503-36468536; chr1:36468503-36468536",0.216
"ENSMUSG00000002227","Mov10",2,"A3SS","Regular (>50bp)","chr3:104725251-104725472; chr3:104725251-104725472",-0.128
"ENSMUSG00000002885","Adgre5",2,"MXE; SE","Regular (>50bp)","chr8:84456739-84456886; chr8:84456739-84456886",0.04
"ENSMUSG00000004562","Arhgef40",2,"A3SS; SE","Microexon (0-30bp); Regular (>50bp)","chr14:52242335-52242356; chr14:52242335-52242492",-0.163
"ENSMUSG00000004698","Hdac9",2,"A3SS; SE","Regular (>50bp)","chr12:34423876-34424137; chr12:34483079-34483230",0.03
"ENSMUSG00000005501","Usp40",2,"SE","Regular (>50bp)","chr1:87895231-87895320; chr1:87896117-87896171",0.034
"ENSMUSG00000005899","Smpd4",2,"RI; SE","Regular (>50bp)","chr16:17443583-17444402; chr16:17453345-17453432",0.005
"ENSMUSG00000006476","Nsmf",2,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr2:24947976-24947982; chr2:24948264-24948333",0.01
"ENSMUSG00000006720","Zfp184",2,"A3SS; A5SS","Regular (>50bp)","chr13:22129281-22129588; chr13:22134372-22134499",0.15
"ENSMUSG00000007035","Msh5",2,"MXE; SE","Regular (>50bp); Small (30-50bp)","chr17:35262704-35262740; chr17:35263292-35263414",0.004
"ENSMUSG00000010086","Rnf112",2,"SE","Regular (>50bp)","chr11:61344253-61344322; chr11:61344253-61344322",-0.278
"ENSMUSG00000013523","Bcas1",2,"SE","Regular (>50bp); Small (30-50bp)","chr2:170198167-170198233; chr2:170212369-170212411",0.145
"ENSMUSG00000014873","Surf2",2,"RI","Regular (>50bp)","chr2:26807439-26809067; chr2:26807439-26809067",-0.113
"ENSMUSG00000015790","Surf1",2,"RI","Regular (>50bp)","chr2:26805607-26806018; chr2:26805607-26806018",-0.151
"ENSMUSG00000016200","Syt14",2,"MXE; SE","Regular (>50bp)","chr1:192581158-192581215; chr1:192669025-192669190",0.13
"ENSMUSG00000016346","Kcnq2",2,"A5SS; SE","Microexon (0-30bp); Regular (>50bp)","chr2:180728668-180728893; chr2:180745434-180745464",-0.02
"ENSMUSG00000019823","Mical1",2,"A3SS; A5SS","Regular (>50bp)","chr10:41354005-41354631; chr10:41355321-41355495",0.003
"ENSMUSG00000020458","Rtn4",2,"MXE; SE","Regular (>50bp)","chr11:29656409-29658770; chr11:29656409-29658770",-0.194
"ENSMUSG00000020863","Luc7l3",2,"SE","Regular (>50bp)","chr11:94183219-94183298; chr11:94183232-94183298",-0.27
"ENSMUSG00000021068","Nin",2,"SE","Regular (>50bp)","chr12:70069054-70069115; chr12:70069054-70069115",0.294
"ENSMUSG00000021071","Trim9",2,"SE","Regular (>50bp); Small (30-50bp)","chr12:70301811-70302000; chr12:70314007-70314040",0.162
"ENSMUSG00000021103","Mnat1",2,"SE","Regular (>50bp)","chr12:73217367-73217441; chr12:73225978-73226082",0.171
"ENSMUSG00000021288","Klc1",2,"SE","Regular (>50bp)","chr12:111760082-111760133; chr12:111760082-111760133",0.115
"ENSMUSG00000021809","Nudt13",2,"RI; SE","Regular (>50bp)","chr14:20345155-20345334; chr14:20356299-20357867",-0.147
"ENSMUSG00000021819","Zswim8",2,"RI","Regular (>50bp)","chr14:20769447-20770104; chr14:20772527-20773074",-0.169
"ENSMUSG00000021902","Phf7",2,"MXE; SE","Regular (>50bp)","chr14:30961076-30961193; chr14:30970951-30971004",0.118
"ENSMUSG00000022139","Mbnl2",2,"SE","Small (30-50bp)","chr14:120640747-120640783; chr14:120640747-120640783",0.129
"ENSMUSG00000022386","Trmu",2,"RI; SE","Regular (>50bp)","chr15:85778378-85778484; chr15:85780560-85781118",-0.146
"ENSMUSG00000022607","Ptk2",2,"SE","Regular (>50bp)","chr15:73236889-73237044; chr15:73236889-73237044",-0.219
"ENSMUSG00000022770","Dlg1",2,"SE","Microexon (0-30bp); Small (30-50bp)","chr16:31673470-31673506; chr16:31673485-31673506",0.018
"ENSMUSG00000022838","Eaf2",2,"SE","Regular (>50bp)","chr16:36630833-36630970; chr16:36645019-36645114",-0.22
"ENSMUSG00000022983","Scaf4",2,"RI","Regular (>50bp)","chr16:90039414-90039846; chr16:90039414-90039846",-0.14
"ENSMUSG00000022992","Kansl2",2,"A5SS; SE","Regular (>50bp)","chr15:98422339-98422593; chr15:98429203-98429318",-0.106
"ENSMUSG00000023393","Slc17a9",2,"RI","Regular (>50bp)","chr2:180373672-180374365; chr2:180373672-180374365",-0.212
"ENSMUSG00000024163","Mapk8ip3",2,"MXE; SE","Microexon (0-30bp)","chr17:25127384-25127402; chr17:25127384-25127402",-0.021
"ENSMUSG00000024180","Pgap6",2,"RI","Regular (>50bp)","chr17:26338006-26338509; chr17:26339257-26339659",0.122
"ENSMUSG00000024188","Luc7l",2,"A5SS; RI","Regular (>50bp)","chr17:26471939-26473362; chr17:26472947-26474099",-0.196
"ENSMUSG00000024287","Thoc1",2,"A5SS; RI","Regular (>50bp)","chr18:9959097-9959315; chr18:9986288-9986603",-0.13
"ENSMUSG00000024293","Esco1",2,"SE","Regular (>50bp)","chr18:10593745-10595875; chr18:10595675-10595875",-0.115
"ENSMUSG00000024381","Bin1",2,"SE","Microexon (0-30bp)","chr18:32562752-32562776; chr18:32562752-32562776",0.149
"ENSMUSG00000024485","Slc4a9",2,"RI; SE","Regular (>50bp); Small (30-50bp)","chr18:36662739-36662789; chr18:36664152-36664579",-0.07
"ENSMUSG00000024726","Carnmt1",2,"SE","Regular (>50bp)","chr19:18667593-18667734; chr19:18671012-18671126",0.016
"ENSMUSG00000024807","Syvn1",2,"RI","Regular (>50bp)","chr19:6099179-6099927; chr19:6100551-6101099",-0.126
"ENSMUSG00000024887","Asah2",2,"SE","Regular (>50bp)","chr19:31969401-31969490; chr19:31972741-31972801",-0.18
"ENSMUSG00000024908","Ppp6r3",2,"A3SS; SE","Microexon (0-30bp); Regular (>50bp)","chr19:3509746-3509764; chr19:3523768-3523866",0.03
"ENSMUSG00000024983","Vti1a",2,"SE","Microexon (0-30bp)","chr19:55375620-55375641; chr19:55375620-55375641",0.214
"ENSMUSG00000025019","Lcor",2,"SE","Regular (>50bp)","chr19:41516999-41517079; chr19:41534313-41534446",-0.038
"ENSMUSG00000025137","Pcyt2",2,"RI; SE","Regular (>50bp)","chr11:120502826-120503427; chr11:120503671-120503909",-0.122
"ENSMUSG00000025217","Btrc",2,"SE","Small (30-50bp)","chr19:45394983-45395025; chr19:45394983-45395025",-0.062
"ENSMUSG00000025816","Sec61a2",2,"SE","Regular (>50bp)","chr2:5881651-5881812; chr2:5887391-5887501",-0.019
"ENSMUSG00000026490","Cdc42bpa",2,"MXE; SE","Small (30-50bp)","chr1:179946300-179946348; chr1:179946300-179946348",0.144
"ENSMUSG00000026648","Dclre1c",2,"SE","Regular (>50bp)","chr2:3437474-3437530; chr2:3437474-3437530",-0.205
"ENSMUSG00000026672","Optn",2,"SE","Regular (>50bp)","chr2:5059350-5059527; chr2:5067669-5067798",-0.116
"ENSMUSG00000026767","Mindy3",2,"MXE; SE","Regular (>50bp)","chr2:12400989-12401069; chr2:12405835-12405887",-0.24
"ENSMUSG00000026867","Gapvd1",2,"A5SS; SE","Regular (>50bp)","chr2:34607264-34607394; chr2:34612949-34613030",0.012
"ENSMUSG00000027012","Dync1i2",2,"A3SS; SE","Regular (>50bp)","chr2:71058094-71058188; chr2:71063992-71064052",-0.148
"ENSMUSG00000027247","Arhgap1",2,"RI; SE","Regular (>50bp)","chr2:91481842-91482168; chr2:91482108-91482168",0.01
"ENSMUSG00000027263","Tubgcp4",2,"RI","Regular (>50bp)","chr2:121019842-121020446; chr2:121019842-121020446",-0.153
"ENSMUSG00000027478","Dnmt3b",2,"MXE; SE","Regular (>50bp)","chr2:153525527-153525597; chr2:153526278-153526397",0.056
"ENSMUSG00000028687","Mutyh",2,"RI; SE","Regular (>50bp)","chr4:116673158-116673232; chr4:116675084-116675479",0.048
"ENSMUSG00000028886","Eya3",2,"MXE; SE","Small (30-50bp)","chr4:132384888-132384927; chr4:132384888-132384927",0.206
"ENSMUSG00000029055","Plch2",2,"RI; SE","Microexon (0-30bp); Regular (>50bp)","chr4:155067823-155069849; chr4:155069822-155069849",-0.05
"ENSMUSG00000029095","Ablim2",2,"SE","Regular (>50bp)","chr5:36000511-36000610; chr5:36024048-36024110",0.202
"ENSMUSG00000029127","Zbtb49",2,"MXE; SE","Regular (>50bp); Small (30-50bp)","chr5:38363232-38363306; chr5:38367961-38368008",0.126
"ENSMUSG00000029165","Agbl5",2,"RI; SE","Regular (>50bp)","chr5:31048217-31048304; chr5:31051244-31051854",-0.15
"ENSMUSG00000029462","Vps29",2,"SE","Microexon (0-30bp)","chr5:122494856-122494868; chr5:122494856-122494868",0.138
"ENSMUSG00000029625","Cpsf4",2,"RI","Regular (>50bp)","chr5:145114039-145115738; chr5:145114039-145115738",-0.108
"ENSMUSG00000029761","Cald1",2,"SE","Regular (>50bp)","chr6:34724820-34724904; chr6:34724826-34724904",-0.104
"ENSMUSG00000029767","Calu",2,"MXE; SE","Regular (>50bp)","chr6:29361292-29361486; chr6:29361558-29361752",-0.001
"ENSMUSG00000029823","Luc7l2",2,"SE","Regular (>50bp)","chr6:38536138-38536239; chr6:38542589-38542657",0.032
"ENSMUSG00000030172","Erc1",2,"SE","Microexon (0-30bp); Regular (>50bp)","chr6:119595806-119595873; chr6:119711041-119711053",0.146
"ENSMUSG00000030231","Plekha5",2,"SE","Regular (>50bp)","chr6:140501676-140501796; chr6:140526072-140526261",0.005
"ENSMUSG00000030263","Irag2",2,"RI; SE","Regular (>50bp); Small (30-50bp)","chr6:145083185-145083812; chr6:145083771-145083812",0.03
