"event_key","event_type","GeneID","geneSymbol","chr","strand","exon_start","exon_end","exon_length","size_category","dPSI","FDR"
"chr7:43896674:43896840:43896247:43897333:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896674,43896840,166,"Regular (>50bp)",0.12,0.00719072453852466
"chr7:43896674:43896840:43896247:43897675:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896674,43896840,166,"Regular (>50bp)",0.211,0
"chr7:43896674:43897719:43896840:43897675:RI","RI","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896674,43897719,1045,"Regular (>50bp)",-0.331,0
"chr7:43897333:43897483:43896840:43897675:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43897333,43897483,150,"Regular (>50bp)",-0.21,2.452743615685e-11
"chr7:41251171:41251239:41248824:41252859:SE","SE","ENSMUSG00000091474","2610021A01Rik","chr7","+",41251171,41251239,68,"Regular (>50bp)",-0.186,0.015151126219211
"chr4:125815665:125815761:125812599:125815869:SE","SE","ENSMUSG00000085562","2610028E06Rik","chr4","-",125815665,125815761,96,"Regular (>50bp)",-0.124,0.0024434731451566
"chr1:9634047:9634096:9632003:9689774:SE","SE","ENSMUSG00000079671","2610203C22Rik","chr1","-",9634047,9634096,49,"Small (30-50bp)",0.117,0.000134592748575032
"chr17:13789019:13789145:13774354:13889020:SE","SE","ENSMUSG00000117042","2700054A10Rik","chr17","-",13789019,13789145,126,"Regular (>50bp)",0.143,0.0275616163753129
"chr18:24604118:24604141:24604037:24608581:SE","SE","ENSMUSG00000024273","2700062C07Rik","chr18","+",24604118,24604141,23,"Microexon (0-30bp)",-0.102,0.0216985677542389
"chr13:3544480:3544721:3544480:3544664:3547959:3548156:A5SS","A5SS","ENSMUSG00000097709","2810429I04Rik","chr13","+",3544480,3544721,241,"Regular (>50bp)",-0.331,0.00273023306069359
"chr7:81174825:81174988:81174929:81174988:81173365:81173471:A3SS","A3SS","ENSMUSG00000097277","2900076A07Rik","chr7","+",81174825,81174988,163,"Regular (>50bp)",0.145,0.0019241125937828
"chr7:81178904:81179275:81179006:81179094:RI","RI","ENSMUSG00000097277","2900076A07Rik","chr7","+",81178904,81179275,371,"Regular (>50bp)",-0.181,0.0305760227902799
"chr1:120088335:120088386:120093864:120093902:120078477:120099130:MXE","MXE","ENSMUSG00000026388","3110009E18Rik","chr1","+",120088335,120088386,51,"Regular (>50bp)",0.187,0.0448053565197271
"chr1:120092494:120092612:120088386:120093864:SE","SE","ENSMUSG00000026388","3110009E18Rik","chr1","+",120092494,120092612,118,"Regular (>50bp)",-0.105,0.0185740824326234
"chr1:120093864:120093902:120099130:120099212:120088386:120115770:MXE","MXE","ENSMUSG00000026388","3110009E18Rik","chr1","+",120093864,120093902,38,"Small (30-50bp)",-0.198,0.0245662682184164
"chr17:5851473:5851616:5849137:5852987:SE","SE","ENSMUSG00000096965","3300005D01Rik","chr17","+",5851473,5851616,143,"Regular (>50bp)",-0.121,0.0333068860500535
"chr7:25096114:25096401:25096114:25096331:25116825:25116934:A5SS","A5SS","ENSMUSG00000053714","4732471J01Rik","chr7","+",25096114,25096401,287,"Regular (>50bp)",0.369,0.00488064614046515
"chr15:98885637:98885711:98881745:98885857:SE","SE","ENSMUSG00000097587","4930578M01Rik","chr15","+",98885637,98885711,74,"Regular (>50bp)",-0.128,0.0392796815597014
"chr3:107801366:107801544:107801366:107801524:107802176:107802308:A3SS","A3SS","ENSMUSG00000086968","4933431E20Rik","chr3","-",107801366,107801544,178,"Regular (>50bp)",-0.147,0.00032009852642027
"chr3:107801366:107802308:107801524:107802176:RI","RI","ENSMUSG00000086968","4933431E20Rik","chr3","-",107801366,107802308,942,"Regular (>50bp)",-0.126,1.16904750422473e-05
"chr3:107801366:107802308:107801531:107802176:RI","RI","ENSMUSG00000086968","4933431E20Rik","chr3","-",107801366,107802308,942,"Regular (>50bp)",-0.101,0.0092014004452764
"chr3:107801366:107802308:107801544:107802176:RI","RI","ENSMUSG00000086968","4933431E20Rik","chr3","-",107801366,107802308,942,"Regular (>50bp)",-0.157,0.011101420059358
"chr3:107801904:107801972:107801531:107802176:SE","SE","ENSMUSG00000086968","4933431E20Rik","chr3","-",107801904,107801972,68,"Regular (>50bp)",-0.32,0.049899539693813
"chrX:104433475:104433549:104431542:104435081:SE","SE","ENSMUSG00000087620","5330434G04Rik","chrX","-",104433475,104433549,74,"Regular (>50bp)",0.124,0.00542655501915266
"chrX:104091514:104091616:104087717:104110364:SE","SE","ENSMUSG00000087174","5530601H04Rik","chrX","-",104091514,104091616,102,"Regular (>50bp)",-0.152,0.00153005722243431
"chrX:104110364:104112234:104110483:104112176:RI","RI","ENSMUSG00000087174","5530601H04Rik","chrX","-",104110364,104112234,1870,"Regular (>50bp)",-0.162,0.00205642632424372
"chr5:22758756:22758835:22758756:22758801:22787400:22787480:A5SS","A5SS","ENSMUSG00000097207","6030443J06Rik","chr5","+",22758756,22758835,79,"Regular (>50bp)",-0.149,0.013237938304489
"chr8:20163109:20163408:20163109:20163404:20167037:20167157:A5SS","A5SS","ENSMUSG00000121492","6820431F20Rik","chr8","+",20163109,20163408,299,"Regular (>50bp)",-0.102,7.350129644032e-06
"chr6:39506382:39506456:39504578:39520037:SE","SE","ENSMUSG00000085058","8030453O22Rik","chr6","+",39506382,39506456,74,"Regular (>50bp)",0.231,0.0409838238074037
"chrX:100841707:100841771:100841707:100841762:100841947:100841989:A5SS","A5SS","ENSMUSG00000046774","8030474K03Rik","chrX","+",100841707,100841771,64,"Regular (>50bp)",-0.198,0.0013335449593757
"chr4:156208432:156208579:156208458:156208548:RI","RI","ENSMUSG00000059939","9430015G10Rik","chr4","+",156208432,156208579,147,"Regular (>50bp)",-0.111,0.000972539108508488
"chr7:136978683:136978846:136978080:136989099:SE","SE","ENSMUSG00000040139","9430038I01Rik","chr7","-",136978683,136978846,163,"Regular (>50bp)",-0.186,0.000441851244589695
"chr10:128337248:128337558:128337503:128337558:128335177:128335395:A3SS","A3SS","ENSMUSG00000119994","A430046D13Rik","chr10","+",128337248,128337558,310,"Regular (>50bp)",-0.132,0.0034058439307911
"chr1:85650818:85651108:85650818:85650902:85652841:85653010:A3SS","A3SS","ENSMUSG00000052760","A630001G21Rik","chr1","-",85650818,85651108,290,"Regular (>50bp)",-0.126,0.00748317045305636
"chr2:122480176:122480262:122480053:122481135:SE","SE","ENSMUSG00000033213","AA467197","chr2","+",122480176,122480262,86,"Regular (>50bp)",-0.217,0.000733043013247745
"chr5:123277029:123278036:123277931:123278036:123276017:123276129:A5SS","A5SS","ENSMUSG00000090086","AI480526","chr5","-",123277029,123278036,1007,"Regular (>50bp)",-0.206,0.00300320827830704
"chr6:86947972:86948068:86944355:86959523:SE","SE","ENSMUSG00000057230","Aak1","chr6","+",86947972,86948068,96,"Regular (>50bp)",0.155,0.000208239750073781
"chr6:86958277:86958379:86944355:86959523:SE","SE","ENSMUSG00000057230","Aak1","chr6","+",86958277,86958379,102,"Regular (>50bp)",0.373,4.90846102457967e-06
"chr6:86959523:86959625:86948068:86972821:SE","SE","ENSMUSG00000057230","Aak1","chr6","+",86959523,86959625,102,"Regular (>50bp)",0.249,0.0394071031591184
"chr7:97207337:97207433:97199948:97224794:SE","SE","ENSMUSG00000035642","Aamdc","chr7","-",97207337,97207433,96,"Regular (>50bp)",-0.156,0.00643484327265245
"chr7:97207337:97207433:97218893:97218981:97199948:97224794:MXE","MXE","ENSMUSG00000035642","Aamdc","chr7","-",97207337,97207433,96,"Regular (>50bp)",0.101,0.000130386073197813
"chr5:77052055:77052227:77050032:77053269:SE","SE","ENSMUSG00000055923","Aasdh","chr5","-",77052055,77052227,172,"Regular (>50bp)",0.126,0.000104640322013653
"chr5:77052805:77052859:77050032:77053269:SE","SE","ENSMUSG00000055923","Aasdh","chr5","-",77052805,77052859,54,"Regular (>50bp)",0.268,0.0430143432113624
"chr9:4303093:4303215:4302631:4309253:SE","SE","ENSMUSG00000025894","Aasdhppt","chr9","-",4303093,4303215,122,"Regular (>50bp)",-0.116,1.70612272794466e-09
"chr4:53059256:53059362:53051009:53060332:SE","SE","ENSMUSG00000015243","Abca1","chr4","-",53059256,53059362,106,"Regular (>50bp)",0.16,0.000571507494680922
"chr7:45654543:45654690:45658209:45658302:45652089:45661917:MXE","MXE","ENSMUSG00000030834","Abcc6","chr7","-",45654543,45654690,147,"Regular (>50bp)",0.236,0.0159512119306896
"chr12:84659098:84659670:84659224:84659553:RI","RI","ENSMUSG00000021240","Abcd4","chr12","-",84659098,84659670,572,"Regular (>50bp)",-0.139,0.0368701971837848
"chr19:57035356:57035503:57035356:57035497:57037893:57037941:A3SS","A3SS","ENSMUSG00000025085","Ablim1","chr19","-",57035356,57035503,147,"Regular (>50bp)",-0.134,0.00447785616135476
"chr5:36000511:36000610:35998745:36006147:SE","SE","ENSMUSG00000029095","Ablim2","chr5","+",36000511,36000610,99,"Regular (>50bp)",0.287,8.45108528612711e-10
"chr5:36024048:36024110:36015308:36031976:SE","SE","ENSMUSG00000029095","Ablim2","chr5","+",36024048,36024110,62,"Regular (>50bp)",0.117,0.000240272135459985
"chr18:61952059:61952158:61950040:61952861:SE","SE","ENSMUSG00000032735","Ablim3","chr18","-",61952059,61952158,99,"Regular (>50bp)",0.285,0.0228211594612125
"chr9:26901415:26901492:26903455:26903584:26896896:26910689:MXE","MXE","ENSMUSG00000031969","Acad8","chr9","-",26901415,26901492,77,"Regular (>50bp)",-0.151,0.00489907453852192
"chr11:102994351:102994998:102994470:102994918:RI","RI","ENSMUSG00000056938","Acbd4","chr11","+",102994351,102994998,647,"Regular (>50bp)",-0.163,0.00261137723073095
"chr2:22970679:22970712:22970465:22977496:SE","SE","ENSMUSG00000026781","Acbd5","chr2","+",22970679,22970712,33,"Small (30-50bp)",0.171,1.77638802543842e-12
"chr2:164644916:164645053:164641865:164646609:SE","SE","ENSMUSG00000017307","Acot8","chr2","-",164644916,164645053,137,"Regular (>50bp)",-0.168,7.62702722543162e-08
"chr5:137552774:137552940:137552402:137561368:SE","SE","ENSMUSG00000029712","Actl6b","chr5","+",137552774,137552940,166,"Regular (>50bp)",0.179,0.00268044571686485
"chr5:8136593:8136623:8132269:8161894:SE","SE","ENSMUSG00000040537","Adam22","chr5","-",8136593,8136623,30,"Microexon (0-30bp)",0.13,0.00900364149579749
"chr10:77148181:77148360:77148211:77148360:77146939:77147108:A5SS","A5SS","ENSMUSG00000020262","Adarb1","chr10","-",77148181,77148360,179,"Regular (>50bp)",-0.145,0.00318131650478157
"chr10:10302342:10302477:10298504:10306814:SE","SE","ENSMUSG00000050994","Adgb","chr10","-",10302342,10302477,135,"Regular (>50bp)",-0.259,0.0391094494335883
"chr8:84456739:84456886:84456154:84460042:SE","SE","ENSMUSG00000002885","Adgre5","chr8","-",84456739,84456886,147,"Regular (>50bp)",0.212,0.00158421278587421
"chr8:84456739:84456886:84460042:84460195:84456154:84460637:MXE","MXE","ENSMUSG00000002885","Adgre5","chr8","-",84456739,84456886,147,"Regular (>50bp)",-0.132,0.0227913572328234
"chr8:84650834:84650984:84649737:84656092:SE","SE","ENSMUSG00000013033","Adgrl1","chr8","+",84650834,84650984,150,"Regular (>50bp)",0.109,2.50717601519826e-05
"chr3:148526052:148526104:148526086:148526104:148524283:148524322:A5SS","A5SS","ENSMUSG00000028184","Adgrl2","chr3","-",148526052,148526104,52,"Regular (>50bp)",-0.519,1.10144643457812e-07
"chr3:148526915:148527044:148526104:148528590:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148526915,148527044,129,"Regular (>50bp)",-0.168,0.00109751147190297
"chr3:148532847:148532874:148532169:148533176:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148532847,148532874,27,"Microexon (0-30bp)",0.203,0.000209883033950081
"chr3:148566062:148566074:148565169:148571235:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148566062,148566074,12,"Microexon (0-30bp)",0.142,8.24021668515075e-05
"chr6:140625784:140625940:140628612:140628812:140625158:140629985:MXE","MXE","ENSMUSG00000030232","Aebp2","chr6","+",140625784,140625940,156,"Regular (>50bp)",0.121,0.0159512119306896
"chr17:14111224:14111260:14109239:14116349:SE","SE","ENSMUSG00000068036","Afdn","chr17","+",14111224,14111260,36,"Small (30-50bp)",0.179,0
"chr11:117725970:117726068:117726328:117726407:117725844:117726491:MXE","MXE","ENSMUSG00000017718","Afmid","chr11","+",117725970,117726068,98,"Regular (>50bp)",0.15,0.0437265792298268
"chr5:31048217:31048304:31048114:31048403:SE","SE","ENSMUSG00000029165","Agbl5","chr5","+",31048217,31048304,87,"Regular (>50bp)",-0.115,0.000989570895247771
"chr5:31051244:31051854:31051414:31051718:RI","RI","ENSMUSG00000029165","Agbl5","chr5","+",31051244,31051854,610,"Regular (>50bp)",-0.186,4.91901334480113e-12
"chr17:34818969:34819834:34819111:34819324:RI","RI","ENSMUSG00000015452","Ager","chr17","+",34818969,34819834,865,"Regular (>50bp)",0.219,0.021763533052167
"chr6:40331947:40332027:40331741:40333978:SE","SE","ENSMUSG00000029916","Agk","chr6","+",40331947,40332027,80,"Regular (>50bp)",-0.371,5.81956058883445e-07
"chr4:126354159:126354378:126354159:126354296:126354698:126354880:A3SS","A3SS","ENSMUSG00000041530","Ago1","chr4","-",126354159,126354378,219,"Regular (>50bp)",-0.114,0.00308421433560674
"chr4:156252233:156252266:156251963:156253002:SE","SE","ENSMUSG00000041936","Agrn","chr4","-",156252233,156252266,33,"Small (30-50bp)",0.13,4.01171260164633e-06
"chr4:156252233:156253026:156253002:156253026:156251738:156251963:A5SS","A5SS","ENSMUSG00000041936","Agrn","chr4","-",156252233,156253026,793,"Regular (>50bp)",-0.105,0.0301951246476406
"chr4:156252233:156253026:156252266:156253002:RI","RI","ENSMUSG00000041936","Agrn","chr4","-",156252233,156253026,793,"Regular (>50bp)",-0.438,0
"chr4:156253002:156253026:156252266:156253189:SE","SE","ENSMUSG00000041936","Agrn","chr4","-",156253002,156253026,24,"Microexon (0-30bp)",0.323,0.00409956888691432
"chr13:59665466:59665504:59662109:59672959:SE","SE","ENSMUSG00000021557","Agtpbp1","chr13","-",59665466,59665504,38,"Small (30-50bp)",0.119,5.21793667820254e-06
"chr11:88734415:88734522:88732128:88734637:SE","SE","ENSMUSG00000018428","Akap1","chr11","-",88734415,88734522,107,"Regular (>50bp)",-0.427,3.36830553172877e-06
"chrX:143102894:143103057:143102998:143103057:143100799:143101117:A3SS","A3SS","ENSMUSG00000041718","Alg13","chrX","+",143102894,143103057,163,"Regular (>50bp)",-0.129,0.00291889364871535
"chr16:20427491:20427639:20427736:20427836:20426634:20430323:MXE","MXE","ENSMUSG00000033809","Alg3","chr16","-",20427491,20427639,148,"Regular (>50bp)",-0.108,0.027935422494031
"chr12:87478169:87478363:87478169:87478308:87480888:87480979:A3SS","A3SS","ENSMUSG00000079036","Alkbh1","chr12","-",87478169,87478363,194,"Regular (>50bp)",-0.119,6.78896725792226e-06
"chr7:30011930:30012132:30012015:30012132:30011661:30011813:A3SS","A3SS","ENSMUSG00000042831","Alkbh6","chr7","+",30011930,30012132,202,"Regular (>50bp)",-0.124,0.00266632507649027
"chr6:85585967:85587514:85585967:85586107:85587799:85587918:A5SS","A5SS","ENSMUSG00000063810","Alms1","chr6","+",85585967,85587514,1547,"Regular (>50bp)",-0.27,1.29286176712669e-06
"chr2:128520130:128520204:128518167:128526421:SE","SE","ENSMUSG00000014355","Anapc1","chr2","-",128520130,128520204,74,"Regular (>50bp)",-0.16,0.000725808744230392
"chr8:80439733:80439908:80439781:80439908:80438448:80438473:A3SS","A3SS","ENSMUSG00000036977","Anapc10","chr8","+",80439733,80439908,175,"Regular (>50bp)",-0.136,2.52281380735468e-05
"chr8:80439733:80439908:80439781:80439908:80438479:80438603:A3SS","A3SS","ENSMUSG00000036977","Anapc10","chr8","+",80439733,80439908,175,"Regular (>50bp)",-0.152,0.0323222718102567
"chr5:122929670:122929997:122929798:122929889:RI","RI","ENSMUSG00000029472","Anapc5","chr5","-",122929670,122929997,327,"Regular (>50bp)",-0.108,0.017049232510006
"chr3:126757031:126757130:126756054:126758586:SE","SE","ENSMUSG00000032826","Ank2","chr3","-",126757031,126757130,99,"Regular (>50bp)",0.192,7.50203677072801e-08
"chr3:126772904:126772916:126770596:126775448:SE","SE","ENSMUSG00000032826","Ank2","chr3","-",126772904,126772916,12,"Microexon (0-30bp)",0.138,0.00303344410374097
"chr10:69765276:69765288:69763648:69768223:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69765276,69765288,12,"Microexon (0-30bp)",0.251,0.00548380560396285
"chr10:69789269:69789302:69786888:69791755:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69789269,69789302,33,"Small (30-50bp)",0.185,0.0151230474700185
"chr10:69816653:69816680:69816224:69817945:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69816653,69816680,27,"Microexon (0-30bp)",0.187,0.000174189054449646
"chr10:69837752:69838061:69835328:69838340:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69837752,69838061,309,"Regular (>50bp)",-0.131,0.00232754871876646
"chr10:69837752:69838431:69838340:69838431:69835184:69835328:A3SS","A3SS","ENSMUSG00000069601","Ank3","chr10","+",69837752,69838431,679,"Regular (>50bp)",-0.119,0.000191412186074426
"chr8:71859322:71860393:71859428:71859505:RI","RI","ENSMUSG00000046295","Ankle1","chr8","+",71859322,71860393,1071,"Regular (>50bp)",-0.105,0.0122531822380788
"chr8:71859505:71860393:71859617:71859856:RI","RI","ENSMUSG00000046295","Ankle1","chr8","+",71859505,71860393,888,"Regular (>50bp)",-0.105,0.0495828451088875
"chr8:11670261:11670373:11669297:11678438:SE","SE","ENSMUSG00000031508","Ankrd10","chr8","-",11670261,11670373,112,"Regular (>50bp)",0.12,2.84843869066929e-05
"chr10:81470500:81470587:81465582:81470698:SE","SE","ENSMUSG00000054708","Ankrd24","chr10","+",81470500,81470587,87,"Regular (>50bp)",-0.251,0.00399090106339603
"chr10:81475861:81476646:81475969:81476601:RI","RI","ENSMUSG00000054708","Ankrd24","chr10","+",81475861,81476646,785,"Regular (>50bp)",-0.134,0.00735769809293049
"chr13:94680491:94680530:94679384:94684262:SE","SE","ENSMUSG00000021686","Ap3b1","chr13","+",94680491,94680530,39,"Small (30-50bp)",0.15,0
"chr10:80545922:80546126:80545790:80546253:SE","SE","ENSMUSG00000020198","Ap3d1","chr10","-",80545922,80546126,204,"Regular (>50bp)",-0.228,0
"chr18:46916825:46916866:46913835:46921723:SE","SE","ENSMUSG00000024480","Ap3s1","chr18","+",46916825,46916866,41,"Small (30-50bp)",-0.757,0.000578400887225834
"chr5:142456148:142458139:142456311:142457957:RI","RI","ENSMUSG00000039623","Ap5z1","chr5","+",142456148,142458139,1991,"Regular (>50bp)",-0.152,4.90748300647082e-05
"chr18:36809669:36810045:36809675:36809917:RI","RI","ENSMUSG00000117679","Apbb3","chr18","-",36809669,36810045,376,"Regular (>50bp)",-0.156,0.000361866174391692
"chr8:123302857:123303360:123302970:123303253:RI","RI","ENSMUSG00000006589","Aprt","chr8","-",123302857,123303360,503,"Regular (>50bp)",-0.16,2.39396923955613e-06
"chr2:180620963:180621020:180619145:180621453:SE","SE","ENSMUSG00000027575","Arfgap1","chr2","+",180620963,180621020,57,"Regular (>50bp)",-0.183,0.0111501582822928
"chr3:84426788:84427010:84405198:84441893:SE","SE","ENSMUSG00000074513","Arfip1","chr3","-",84426788,84427010,222,"Regular (>50bp)",-0.199,0.00908959023874941
"chr3:84426788:84427010:84417289:84455240:SE","SE","ENSMUSG00000074513","Arfip1","chr3","-",84426788,84427010,222,"Regular (>50bp)",-0.199,0.00323129162114401
"chr8:8731383:8733973:8731467:8733747:RI","RI","ENSMUSG00000040459","Arglu1","chr8","-",8731383,8733973,2590,"Regular (>50bp)",-0.118,5.88971810617998e-09
"chr2:91481842:91482168:91481999:91482108:RI","RI","ENSMUSG00000027247","Arhgap1","chr2","+",91481842,91482168,326,"Regular (>50bp)",-0.151,0.0095953814351568
"chr2:91482108:91482168:91480597:91484417:SE","SE","ENSMUSG00000027247","Arhgap1","chr2","+",91482108,91482168,60,"Regular (>50bp)",0.17,7.37127930058624e-06
"chr18:6111684:6112439:6070091:6135803:SE","SE","ENSMUSG00000041225","Arhgap12","chr18","-",6111684,6112439,755,"Regular (>50bp)",0.105,0.0196174305361452
"chr2:20888010:20888040:20886662:20891916:SE","SE","ENSMUSG00000036591","Arhgap21","chr2","-",20888010,20888040,30,"Microexon (0-30bp)",0.21,4.24107750950333e-05
"chr11:97382469:97382492:97382056:97383876:SE","SE","ENSMUSG00000049807","Arhgap23","chr11","+",97382469,97382492,23,"Microexon (0-30bp)",0.228,8.00498907670246e-13
"chr18:39490790:39490881:39490851:39490881:39490605:39490716:A3SS","A3SS","ENSMUSG00000036452","Arhgap26","chr18","+",39490790,39490881,91,"Regular (>50bp)",0.178,0.00242918155085673
"chr7:30233527:30233637:30232457:30234350:SE","SE","ENSMUSG00000036882","Arhgap33","chr7","-",30233527,30233637,110,"Regular (>50bp)",0.106,0.00115534978083547
"chr15:76614563:76614656:76611676:76619076:SE","SE","ENSMUSG00000033697","Arhgap39","chr15","-",76614563,76614656,93,"Regular (>50bp)",0.25,2.32344502416303e-10
"chrX:72943704:72944075:72943789:72943883:RI","RI","ENSMUSG00000031389","Arhgap4","chrX","-",72943704,72944075,371,"Regular (>50bp)",-0.147,0.00041926708729702
"chr12:52562889:52566750:52550831:52589271:SE","SE","ENSMUSG00000035133","Arhgap5","chr12","+",52562889,52566750,3861,"Regular (>50bp)",-0.101,0.00383304362850267
"chr12:52562889:52566750:52550831:52589274:SE","SE","ENSMUSG00000035133","Arhgap5","chr12","+",52562889,52566750,3861,"Regular (>50bp)",-0.171,0.0294509356085971
"chr7:24617944:24617956:24617425:24618608:SE","SE","ENSMUSG00000040940","Arhgef1","chr7","+",24617944,24617956,12,"Microexon (0-30bp)",0.131,0.000225967412359808
"chr8:14992609:14992726:14990372:14995279:SE","SE","ENSMUSG00000071176","Arhgef10","chr8","+",14992609,14992726,117,"Regular (>50bp)",-0.118,0.00486650585162723
"chr3:87625535:87625565:87624827:87629663:SE","SE","ENSMUSG00000041977","Arhgef11","chr3","+",87625535,87625565,30,"Microexon (0-30bp)",0.146,2.78873270258153e-06
"chr4:140973256:140973363:140972277:140973485:SE","SE","ENSMUSG00000028919","Arhgef19","chr4","+",140973256,140973363,107,"Regular (>50bp)",-0.18,0.0177267819373497
"chr14:26865949:26866087:26836880:26874918:SE","SE","ENSMUSG00000021895","Arhgef3","chr14","+",26865949,26866087,138,"Regular (>50bp)",-0.238,1.00228474147005e-05
"chr4:43497086:43497710:43497316:43497581:RI","RI","ENSMUSG00000051517","Arhgef39","chr4","-",43497086,43497710,624,"Regular (>50bp)",-0.105,0.00282803216103587
"chr14:52242335:52242356:52242199:52242445:SE","SE","ENSMUSG00000004562","Arhgef40","chr14","+",52242335,52242356,21,"Microexon (0-30bp)",-0.176,0.00878694833148361
"chr14:52242335:52242492:52242445:52242492:52242068:52242199:A3SS","A3SS","ENSMUSG00000004562","Arhgef40","chr14","+",52242335,52242492,157,"Regular (>50bp)",-0.15,0.00145124279726143
"chr1:36356284:36356743:36356405:36356690:RI","RI","ENSMUSG00000037447","Arid5a","chr1","+",36356284,36356743,459,"Regular (>50bp)",-0.102,0.00325707970009173
"chrX:133619668:133619857:133619668:133619741:133620375:133620474:A5SS","A5SS","ENSMUSG00000033460","Armcx1","chrX","+",133619668,133619857,189,"Regular (>50bp)",-0.391,6.04424084675103e-05
