"comparison","GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","size_category","genomic_position","gene_biotype_simple","IncLevelDifference","FDR"
"KO_vs_Parental","ENSMUSG00000038271","Iffo1","chr6",125128757,125128766,9,"Microexon (0-30bp)","CDS","protein_coding",0.212,4.14906097984441e-11
"KO_vs_Parental","ENSMUSG00000031488","Rab11fip1","chr8",27641624,27643187,1563,"Regular (>50bp)","CDS","protein_coding",0.154,4.72978294706446e-11
"KO_vs_Parental","ENSMUSG00000033467","Crlf2","chr5",109703372,109703493,121,"Regular (>50bp)","CDS","protein_coding",-0.155,4.78587000538245e-11
"KO_vs_Parental","ENSMUSG00000009995","Tafazzin","chrX",73332534,73332625,91,"Regular (>50bp)","CDS","protein_coding",-0.312,4.85784297941638e-11
"KO_vs_Parental","ENSMUSG00000022858","Tra2b","chr16",22077735,22078011,276,"Regular (>50bp)","CDS","protein_coding",-0.163,5.13443898509317e-11
"KO_vs_Parental","ENSMUSG00000017210","Med24","chr11",98608534,98608591,57,"Regular (>50bp)","CDS","protein_coding",-0.168,5.39453251717858e-11
"KO_vs_Parental","ENSMUSG00000008435","Rdh13","chr7",4447976,4448121,145,"Regular (>50bp)","CDS","protein_coding",0.181,5.39453251717858e-11
"KO_vs_Parental","ENSMUSG00000060227","Golm2","chr2",121756041,121756209,168,"Regular (>50bp)","CDS","protein_coding",-0.181,5.51252806844595e-11
"KO_vs_Parental","ENSMUSG00000039233","Tbce","chr13",14178117,14178281,164,"Regular (>50bp)","CDS","protein_coding",-0.195,7.684636393911e-11
"KO_vs_Parental","ENSMUSG00000025893","Kbtbd3","chr9",4313701,4313806,105,"Regular (>50bp)","UTR","protein_coding",0.248,8.61582898049116e-11
"KO_vs_Parental","ENSMUSG00000022789","Dnm1l","chr16",16136627,16136705,78,"Regular (>50bp)","CDS","protein_coding",-0.176,9.34545774101595e-11
"KO_vs_Parental","ENSMUSG00000020831","0610010K14Rik","chr11",70127702,70127804,102,"Regular (>50bp)","CDS","protein_coding",-0.11,1.12053770842233e-10
"KO_vs_Parental","ENSMUSG00000024843","Chka","chr19",3921002,3921062,60,"Regular (>50bp)","CDS","protein_coding",0.189,2.48156497784027e-10
"KO_vs_Parental","ENSMUSG00000026490","Cdc42bpa","chr1",179921508,179921751,243,"Regular (>50bp)","CDS","protein_coding",-0.134,3.39474236161405e-10
"KO_vs_Parental","ENSMUSG00000008496","Pou2f2","chr7",24814895,24815174,279,"Regular (>50bp)","CDS","protein_coding",-0.187,3.59704761214942e-10
"KO_vs_Parental","ENSMUSG00000002031","Ift46","chr9",44685479,44685528,49,"Small (30-50bp)","UTR","protein_coding",0.777,3.88352532165494e-10
"KO_vs_Parental","ENSMUSG00000029267","Mtf2","chr5",108217027,108217389,362,"Regular (>50bp)","Unknown","protein_coding",-0.164,3.8914335603657e-10
"KO_vs_Parental","ENSMUSG00000022770","Dlg1","chr16",31673470,31673506,36,"Small (30-50bp)","CDS","protein_coding",-0.127,5.2606180101745e-10
"KO_vs_Parental","ENSMUSG00000002105","Slc39a13","chr2",90895250,90895352,102,"Regular (>50bp)","CDS","protein_coding",-0.136,5.735331937258e-10
"KO_vs_Parental","ENSMUSG00000029165","Agbl5","chr5",31048217,31048304,87,"Regular (>50bp)","CDS","protein_coding",-0.182,5.83414555403893e-10
"KO_vs_Parental","ENSMUSG00000022858","Tra2b","chr16",22077614,22078011,397,"Regular (>50bp)","CDS","protein_coding",-0.147,5.88401336485883e-10
"KO_vs_Parental","ENSMUSG00000022568","Scrib","chr15",75921305,75921389,84,"Regular (>50bp)","CDS","protein_coding",-0.155,6.38635556718577e-10
"KO_vs_Parental","ENSMUSG00000040455","Usp45","chr4",21817500,21817644,144,"Regular (>50bp)","CDS","protein_coding",-0.196,6.73557828561716e-10
"KO_vs_Parental","ENSMUSG00000034518","Hmgxb4","chr8",75725462,75725566,104,"Regular (>50bp)","CDS","protein_coding",0.172,7.58548211421952e-10
"KO_vs_Parental","ENSMUSG00000026219","Trip12","chr1",84773410,84773536,126,"Regular (>50bp)","CDS","protein_coding",0.108,8.67454513283444e-10
"KO_vs_Parental","ENSMUSG00000037062","Sh3glb1","chr3",144407520,144407607,87,"Regular (>50bp)","CDS","protein_coding",-0.159,8.70563394956266e-10
"KO_vs_Parental","ENSMUSG00000022422","Dscc1","chr15",54946800,54946989,189,"Regular (>50bp)","CDS","protein_coding",-0.266,9.50900325148962e-10
"KO_vs_Parental","ENSMUSG00000079084","Ccdc82","chr9",13251695,13252423,728,"Regular (>50bp)","CDS","protein_coding",0.164,1.31701728535398e-09
"KO_vs_Parental","ENSMUSG00000023977","Ubr2","chr17",47291245,47291344,99,"Regular (>50bp)","CDS","protein_coding",-0.2,1.60203776667274e-09
"KO_vs_Parental","ENSMUSG00000079084","Ccdc82","chr9",13248883,13248967,84,"Regular (>50bp)","UTR","protein_coding",0.157,1.70548535294308e-09
"KO_vs_Parental","ENSMUSG00000039262","Prrc2b","chr2",32119274,32119356,82,"Regular (>50bp)","CDS","protein_coding",-0.109,1.70713540129511e-09
"KO_vs_Parental","ENSMUSG00000038365","Fbxo25","chr8",13988921,13988948,27,"Microexon (0-30bp)","CDS","protein_coding",-0.151,1.79479908582424e-09
"KO_vs_Parental","ENSMUSG00000027201","Myef2","chr2",124940716,124940767,51,"Regular (>50bp)","CDS","protein_coding",0.118,2.25188836778375e-09
"KO_vs_Parental","ENSMUSG00000019944","Rhobtb1","chr10",69097016,69097075,59,"Regular (>50bp)","CDS","protein_coding",0.108,2.91192174539669e-09
"KO_vs_Parental","ENSMUSG00000022744","Cldnd1","chr16",58549542,58549586,44,"Small (30-50bp)","UTR","protein_coding",0.143,2.95879153193102e-09
"KO_vs_Parental","ENSMUSG00000029001","Fbxo44","chr4",148240851,148240947,96,"Regular (>50bp)","CDS","protein_coding",-0.224,3.04803679300187e-09
"KO_vs_Parental","ENSMUSG00000037062","Sh3glb1","chr3",144405614,144405638,24,"Microexon (0-30bp)","CDS","protein_coding",-0.128,3.70255676578016e-09
"KO_vs_Parental","ENSMUSG00000057858","Fam204a","chr19",60209485,60209736,251,"Regular (>50bp)","CDS","protein_coding",-0.116,3.76084986596202e-09
"KO_vs_Parental","ENSMUSG00000021288","Klc1","chr12",111761981,111762112,131,"Regular (>50bp)","CDS","protein_coding",-0.127,4.29391318495155e-09
"KO_vs_Parental","ENSMUSG00000041199","Rpusd1","chr17",25947176,25947365,189,"Regular (>50bp)","CDS","protein_coding",-0.214,4.86147825059984e-09
"KO_vs_Parental","ENSMUSG00000024044","Epb41l3","chr17",69581095,69581161,66,"Regular (>50bp)","CDS","protein_coding",0.207,5.22182834607014e-09
"KO_vs_Parental","ENSMUSG00000006527","Sfmbt1","chr14",30460495,30460587,92,"Regular (>50bp)","UTR","protein_coding",0.659,5.56687500957937e-09
"KO_vs_Parental","ENSMUSG00000017421","Zfp207","chr11",80283909,80284002,93,"Regular (>50bp)","CDS","protein_coding",-0.163,5.56687500957937e-09
"KO_vs_Parental","ENSMUSG00000040354","Mars1","chr10",127132585,127132609,24,"Microexon (0-30bp)","CDS","protein_coding",-0.141,6.08886163483443e-09
"KO_vs_Parental","ENSMUSG00000028478","Clta","chr4",44030214,44030268,54,"Regular (>50bp)","CDS","protein_coding",-0.163,7.21984291398803e-09
"KO_vs_Parental","ENSMUSG00000002524","Puf60","chr15",75946455,75946506,51,"Regular (>50bp)","CDS","protein_coding",0.113,8.30960801005284e-09
"KO_vs_Parental","ENSMUSG00000036528","Ppfibp2","chr7",107327922,107327955,33,"Small (30-50bp)","CDS","protein_coding",-0.173,8.83557567739007e-09
"KO_vs_Parental","ENSMUSG00000002221","Paxip1","chr5",27986419,27986483,64,"Regular (>50bp)","CDS","protein_coding",-0.322,1.11492757719012e-08
"KO_vs_Parental","ENSMUSG00000020827","Mink1","chr11",70499414,70499525,111,"Regular (>50bp)","CDS","protein_coding",-0.15,1.48376640068475e-08
"KO_vs_Parental","ENSMUSG00000022568","Scrib","chr15",75919770,75919845,75,"Regular (>50bp)","CDS","protein_coding",-0.181,1.55268427519533e-08
"KO_vs_Parental","ENSMUSG00000020400","Tnip1","chr11",54831536,54831708,172,"Regular (>50bp)","CDS","protein_coding",-0.169,1.59797106774809e-08
"KO_vs_Parental","ENSMUSG00000048930","Tada3","chr6",113353852,113353906,54,"Regular (>50bp)","CDS","protein_coding",-0.192,1.64346231829924e-08
"KO_vs_Parental","ENSMUSG00000039585","Myo9a","chr9",59782484,59782697,213,"Regular (>50bp)","CDS","protein_coding",-0.234,1.91633593969962e-08
"KO_vs_Parental","ENSMUSG00000037062","Sh3glb1","chr3",144407568,144407607,39,"Small (30-50bp)","CDS","protein_coding",-0.145,2.04070359862762e-08
"KO_vs_Parental","ENSMUSG00000031310","Zmym3","chrX",100459772,100460067,295,"Regular (>50bp)","CDS","protein_coding",-0.103,2.08238221611932e-08
"KO_vs_Parental","ENSMUSG00000036873","2410004B18Rik","chr3",145644297,145644424,127,"Regular (>50bp)","CDS","protein_coding",-0.129,2.34028389328307e-08
"KO_vs_Parental","ENSMUSG00000074887","EU599041","chr7",42870265,42870525,260,"Regular (>50bp)","Unknown","lncRNA",-0.178,2.34028389328307e-08
"KO_vs_Parental","ENSMUSG00000023235","Ccl25","chr8",4399771,4399894,123,"Regular (>50bp)","CDS","protein_coding",-0.14,3.16010563739814e-08
"KO_vs_Parental","ENSMUSG00000036180","Gatad2a","chr8",70364813,70364888,75,"Regular (>50bp)","CDS","protein_coding",0.139,3.3002116882201e-08
"KO_vs_Parental","ENSMUSG00000040481","Bptf","chr11",106985827,106986016,189,"Regular (>50bp)","CDS","protein_coding",-0.116,3.74522927485875e-08
"KO_vs_Parental","ENSMUSG00000020319","Wdpcp","chr11",21598069,21598123,54,"Regular (>50bp)","UTR","protein_coding",0.148,4.6856503962571e-08
"KO_vs_Parental","ENSMUSG00000024613","Tcof1","chr18",60965237,60965381,144,"Regular (>50bp)","CDS","protein_coding",-0.121,4.94417825986167e-08
"KO_vs_Parental","ENSMUSG00000031310","Zmym3","chrX",100461878,100462558,680,"Regular (>50bp)","CDS","protein_coding",-0.146,6.41047855347639e-08
"KO_vs_Parental","ENSMUSG00000002625","Akap8l","chr17",32554084,32554144,60,"Regular (>50bp)","CDS","protein_coding",-0.107,6.41047855347639e-08
"KO_vs_Parental","ENSMUSG00000027722","Spata5","chr3",37584131,37584168,37,"Small (30-50bp)","CDS","protein_coding",0.15,6.61434894041825e-08
"KO_vs_Parental","ENSMUSG00000015222","Map2","chr1",66451565,66455306,3741,"Regular (>50bp)","CDS","protein_coding",0.27,7.235253383086e-08
"KO_vs_Parental","ENSMUSG00000033467","Crlf2","chr5",109703372,109703526,154,"Regular (>50bp)","CDS","protein_coding",-0.215,7.51625805524115e-08
"KO_vs_Parental","ENSMUSG00000066036","Ubr4","chr4",139163259,139163343,84,"Regular (>50bp)","CDS","protein_coding",-0.162,8.56634979280919e-08
"KO_vs_Parental","ENSMUSG00000017670","Elmo2","chr2",165145585,165145621,36,"Small (30-50bp)","CDS","protein_coding",-0.167,8.7874999988977e-08
"KO_vs_Parental","ENSMUSG00000033166","Dis3","chr14",99336554,99336622,68,"Regular (>50bp)","CDS","protein_coding",-0.219,1.35049985129328e-07
"KO_vs_Parental","ENSMUSG00000028653","Trit1","chr4",122945858,122945968,110,"Regular (>50bp)","CDS","protein_coding",-0.158,1.38113561868211e-07
"KO_vs_Parental","ENSMUSG00000028653","Trit1","chr4",122942944,122943057,113,"Regular (>50bp)","CDS","protein_coding",-0.155,1.42512963300153e-07
"KO_vs_Parental","ENSMUSG00000028797","Tmem234","chr4",129495199,129495418,219,"Regular (>50bp)","CDS","protein_coding",0.225,1.50074752413386e-07
"KO_vs_Parental","ENSMUSG00000029267","Mtf2","chr5",108226731,108226840,109,"Regular (>50bp)","Unknown","protein_coding",-0.495,1.50241377652818e-07
"KO_vs_Parental","ENSMUSG00000022789","Dnm1l","chr16",16136308,16136341,33,"Small (30-50bp)","CDS","protein_coding",-0.116,1.50334732677815e-07
"KO_vs_Parental","ENSMUSG00000121504","Ppp4r1l-ps","chr2",173490962,173491160,198,"Regular (>50bp)","Unknown","lncRNA",-0.421,1.55495344295122e-07
"KO_vs_Parental","ENSMUSG00000028048","Gba","chr3",89110498,89110667,169,"Regular (>50bp)","UTR","protein_coding",-0.131,1.62863896610522e-07
"KO_vs_Parental","ENSMUSG00000022139","Mbnl2","chr14",120640747,120640783,36,"Small (30-50bp)","CDS","protein_coding",-0.135,1.65890050303379e-07
"KO_vs_Parental","ENSMUSG00000037270","Bltp1","chr3",37046825,37046876,51,"Regular (>50bp)","CDS","protein_coding",-0.176,1.70707463779092e-07
"KO_vs_Parental","ENSMUSG00000056260","Lrif1","chr3",106638978,106640458,1480,"Regular (>50bp)","CDS","protein_coding",0.243,1.73255356688353e-07
"KO_vs_Parental","ENSMUSG00000040785","Ttc3","chr16",94185204,94185247,43,"Small (30-50bp)","CDS","protein_coding",0.123,2.08674604529246e-07
"KO_vs_Parental","ENSMUSG00000039804","Ncoa5","chr2",164865065,164865121,56,"Regular (>50bp)","CDS","protein_coding",0.228,2.28869223835431e-07
"KO_vs_Parental","ENSMUSG00000026082","Rev1","chr1",38167332,38167396,64,"Regular (>50bp)","UTR","protein_coding",0.135,2.30397349172781e-07
"KO_vs_Parental","ENSMUSG00000044950","Pwwp2a","chr11",43607856,43607976,120,"Regular (>50bp)","CDS","protein_coding",-0.135,2.5564132744212e-07
"KO_vs_Parental","ENSMUSG00000022744","Cldnd1","chr16",58549520,58549586,66,"Regular (>50bp)","UTR","protein_coding",0.102,2.58754260016208e-07
"KO_vs_Parental","ENSMUSG00000057858","Fam204a","chr19",60208761,60208792,31,"Small (30-50bp)","CDS","protein_coding",-0.137,2.82567480169774e-07
"KO_vs_Parental","ENSMUSG00000032366","Tpm1","chr9",66936945,66937024,79,"Regular (>50bp)","CDS","protein_coding",-0.119,2.86887743997485e-07
"KO_vs_Parental","ENSMUSG00000020069","Hnrnph3","chr10",62854538,62854677,139,"Regular (>50bp)","CDS","protein_coding",-0.131,2.9189746448848e-07
"KO_vs_Parental","ENSMUSG00000024387","Csnk2b","chr17",35340286,35340487,201,"Regular (>50bp)","UTR","protein_coding",-0.43,3.26465986296577e-07
"KO_vs_Parental","ENSMUSG00000021916","Glt8d1","chr14",30726651,30726747,96,"Regular (>50bp)","UTR","protein_coding",0.112,3.2981015727655e-07
"KO_vs_Parental","ENSMUSG00000026672","Optn","chr2",5059350,5059527,177,"Regular (>50bp)","CDS","protein_coding",-0.168,3.83216042408649e-07
"KO_vs_Parental","ENSMUSG00000026556","Vangl2","chr1",171850043,171850153,110,"Regular (>50bp)","UTR","protein_coding",-0.443,3.97621604061204e-07
"KO_vs_Parental","ENSMUSG00000029920","Smarcad1","chr6",65020819,65021092,273,"Regular (>50bp)","CDS","protein_coding",0.112,4.06445627777507e-07
"KO_vs_Parental","ENSMUSG00000014355","Anapc1","chr2",128472147,128472224,77,"Regular (>50bp)","CDS","protein_coding",0.113,4.09502330355532e-07
"KO_vs_Parental","ENSMUSG00000027506","Tpd52","chr3",9008610,9008637,27,"Microexon (0-30bp)","CDS","protein_coding",-0.167,4.35077212331642e-07
"KO_vs_Parental","ENSMUSG00000029544","Cabp1","chr5",115318850,115319030,180,"Regular (>50bp)","CDS","protein_coding",0.131,4.58416369651001e-07
"KO_vs_Parental","ENSMUSG00000115149","9330188P03Rik","chr14",105828581,105830733,2152,"Regular (>50bp)","Unknown","lncRNA",-0.182,4.75187302548229e-07
"KO_vs_Parental","ENSMUSG00000057858","Fam204a","chr19",60208921,60209009,88,"Regular (>50bp)","CDS","protein_coding",-0.202,4.89109065861023e-07
"KO_vs_Parental","ENSMUSG00000034799","Unc13a","chr8",72119284,72119314,30,"Microexon (0-30bp)","CDS","protein_coding",0.148,5.14325206225925e-07
"KO_vs_Parental","ENSMUSG00000031748","Gnao1","chr8",94680602,94680756,154,"Regular (>50bp)","CDS","protein_coding",0.129,5.6704193987833e-07
"KO_vs_Parental","ENSMUSG00000023008","Fmnl3","chr15",99226974,99227057,83,"Regular (>50bp)","Unknown","protein_coding",-0.229,6.05073208421438e-07
"KO_vs_Parental","ENSMUSG00000057858","Fam204a","chr19",60209485,60209736,251,"Regular (>50bp)","CDS","protein_coding",-0.132,6.41777793979088e-07
"KO_vs_Parental","ENSMUSG00000027254","Map1a","chr2",121129749,121137853,8104,"Regular (>50bp)","CDS","protein_coding",0.113,7.05074672404658e-07
"KO_vs_Parental","ENSMUSG00000039199","Zdhhc1","chr8",106210820,106211059,239,"Regular (>50bp)","UTR","protein_coding",-0.195,7.05759048609986e-07
"KO_vs_Parental","ENSMUSG00000068699","Flnc","chr6",29452797,29452896,99,"Regular (>50bp)","CDS","protein_coding",0.169,7.11710359842171e-07
"KO_vs_Parental","ENSMUSG00000028546","Elavl4","chr4",110112615,110112702,87,"Regular (>50bp)","CDS","protein_coding",-0.192,7.12650840444448e-07
"KO_vs_Parental","ENSMUSG00000043411","Usp48","chr4",137365075,137365201,126,"Regular (>50bp)","CDS","protein_coding",-0.163,7.65974919238559e-07
"KO_vs_Parental","ENSMUSG00000027639","Samhd1","chr2",156943240,156943363,123,"Regular (>50bp)","CDS","protein_coding",-0.106,7.97997221897473e-07
