"event_key","event_type","GeneID","geneSymbol","chr","strand","exon_start","exon_end","exon_length","size_category","dPSI","FDR"
"chr11:31868800:31868824:31858875:31870408:SE","SE","ENSMUSG00000020300","Cpeb4","chr11","+",31868800,31868824,24,"Microexon (0-30bp)",0.164,3.91008884983753e-05
"chr3:86695928:86695941:86694719:86696618:SE","SE","ENSMUSG00000028078","Dclk2","chr3","-",86695928,86695941,13,"Microexon (0-30bp)",0.13,0.0357757878867097
"chr3:86695928:86695941:86694719:86699301:SE","SE","ENSMUSG00000028078","Dclk2","chr3","-",86695928,86695941,13,"Microexon (0-30bp)",0.107,9.02838700735828e-07
"chr6:83160917:83160938:83160315:83166058:SE","SE","ENSMUSG00000031865","Dctn1","chr6","+",83160917,83160938,21,"Microexon (0-30bp)",0.262,0
"chr6:83160917:83160938:83164745:83164766:83160315:83166058:MXE","MXE","ENSMUSG00000031865","Dctn1","chr6","+",83160917,83160938,21,"Microexon (0-30bp)",0.119,5.91769831934145e-05
"chr6:83163409:83163427:83164745:83164766:83160938:83166058:MXE","MXE","ENSMUSG00000031865","Dctn1","chr6","+",83163409,83163427,18,"Microexon (0-30bp)",0.272,0.00539272644434666
"chr6:83164745:83164766:83160938:83166058:SE","SE","ENSMUSG00000031865","Dctn1","chr6","+",83164745,83164766,21,"Microexon (0-30bp)",-0.137,2.3696378192652e-05
"chr18:60678428:60678449:60677218:60678819:SE","SE","ENSMUSG00000024603","Dctn4","chr18","+",60678428,60678449,21,"Microexon (0-30bp)",0.164,2.36488905850054e-07
"chr14:45866310:45866331:45858297:45867036:SE","SE","ENSMUSG00000037697","Ddhd1","chr14","-",45866310,45866331,21,"Microexon (0-30bp)",0.202,1.72061376212635e-05
"chr10:76107209:76107239:76106291:76108366:SE","SE","ENSMUSG00000020231","Dip2a","chr10","-",76107209,76107239,30,"Microexon (0-30bp)",0.168,0.000735208041510314
"chr16:31673485:31673506:31666487:31675258:SE","SE","ENSMUSG00000022770","Dlg1","chr16","+",31673485,31673506,21,"Microexon (0-30bp)",-0.104,0.0218207418493108
"chr9:21401953:21401965:21401090:21405799:SE","SE","ENSMUSG00000033335","Dnm2","chr9","+",21401953,21401965,12,"Microexon (0-30bp)",0.118,0.000947054302203747
"chr12:40844595:40844622:40840160:40844766:SE","SE","ENSMUSG00000035954","Dock4","chr12","+",40844595,40844622,27,"Microexon (0-30bp)",0.164,0
"chr9:86388923:86388953:86388572:86389556:SE","SE","ENSMUSG00000034973","Dop1a","chr9","+",86388923,86388953,30,"Microexon (0-30bp)",0.195,0.042844740993165
"chr1:151688504:151688519:151687455:151694060:SE","SE","ENSMUSG00000043019","Edem3","chr1","+",151688504,151688519,15,"Microexon (0-30bp)",0.115,0.00404923577228385
"chr16:20493535:20493556:20493064:20494093:SE","SE","ENSMUSG00000045983","Eif4g1","chr16","+",20493535,20493556,21,"Microexon (0-30bp)",0.166,1.83302648422216e-13
"chr6:119711041:119711053:119699269:119720248:SE","SE","ENSMUSG00000030172","Erc1","chr6","-",119711041,119711053,12,"Microexon (0-30bp)",0.163,2.75166287953894e-05
"chr2:155857296:155857311:155853326:155857908:SE","SE","ENSMUSG00000005881","Ergic3","chr2","+",155857296,155857311,15,"Microexon (0-30bp)",0.169,0
"chr11:5041459:5041477:5038146:5041858:SE","SE","ENSMUSG00000009079","Ewsr1","chr11","-",5041459,5041477,18,"Microexon (0-30bp)",0.222,0
"chr5:76688593:76688614:76685704:76689897:SE","SE","ENSMUSG00000036435","Exoc1","chr5","+",76688593,76688614,21,"Microexon (0-30bp)",0.252,1.58910376195037e-06
"chr7:100467942:100467969:100462207:100473338:SE","SE","ENSMUSG00000029461","Fam168a","chr7","+",100467942,100467969,27,"Microexon (0-30bp)",-0.191,1.19363993167714e-06
"chr7:30746797:30746827:30744452:30750780:SE","SE","ENSMUSG00000036578","Fxyd7","chr7","-",30746797,30746827,30,"Microexon (0-30bp)",0.198,0.000914872697111681
"chr2:174169900:174169924:174169734:174176004:SE","SE","ENSMUSG00000027523","Gnas","chr2","+",174169900,174169924,24,"Microexon (0-30bp)",0.15,8.39408628074766e-11
"chr7:30832644:30832656:30832290:30833415:SE","SE","ENSMUSG00000001248","Gramd1a","chr7","-",30832644,30832656,12,"Microexon (0-30bp)",0.183,0
"chr9:40211735:40211747:40211392:40214793:SE","SE","ENSMUSG00000040111","Gramd1b","chr9","-",40211735,40211747,12,"Microexon (0-30bp)",0.133,6.265064870653e-05
"chr6:51441407:51441431:51441191:51442158:SE","SE","ENSMUSG00000004980","Hnrnpa2b1","chr6","-",51441407,51441431,24,"Microexon (0-30bp)",-0.167,1.60289999095546e-11
"chr1:37413355:37413370:37411500:37416658:SE","SE","ENSMUSG00000026113","Inpp4a","chr1","+",37413355,37413370,15,"Microexon (0-30bp)",0.181,0.000806405267909375
"chr7:44247013:44247043:44245692:44247804:SE","SE","ENSMUSG00000062785","Kcnc3","chr7","+",44247013,44247043,30,"Microexon (0-30bp)",0.151,1.7021590643803e-05
"chr7:44247013:44247043:44245692:44247807:SE","SE","ENSMUSG00000062785","Kcnc3","chr7","+",44247013,44247043,30,"Microexon (0-30bp)",0.326,0.00035228058859102
"chr2:180745434:180745464:180742411:180746679:SE","SE","ENSMUSG00000016346","Kcnq2","chr2","-",180745434,180745464,30,"Microexon (0-30bp)",0.153,1.25008143371497e-12
"chr1:21536606:21536633:21527848:21539693:SE","SE","ENSMUSG00000028033","Kcnq5","chr1","-",21536606,21536633,27,"Microexon (0-30bp)",0.353,0.016825005150273
"chr13:47018294:47018307:47001862:47082691:SE","SE","ENSMUSG00000021375","Kif13a","chr13","-",47018294,47018307,13,"Microexon (0-30bp)",0.115,0.0476513745860557
"chr7:66874123:66874149:66873639:66875611:SE","SE","ENSMUSG00000043831","Lysmd4","chr7","+",66874123,66874149,26,"Microexon (0-30bp)",0.106,0.0348177002792262
"chr2:90971153:90971162:90970971:90973100:SE","SE","ENSMUSG00000040687","Madd","chr2","-",90971153,90971162,9,"Microexon (0-30bp)",0.143,0.000297928868703475
"chr17:25127384:25127402:25126360:25128123:SE","SE","ENSMUSG00000024163","Mapk8ip3","chr17","-",25127384,25127402,18,"Microexon (0-30bp)",0.149,0
"chr17:25127384:25127402:25128123:25128135:25126360:25131721:MXE","MXE","ENSMUSG00000024163","Mapk8ip3","chr17","-",25127384,25127402,18,"Microexon (0-30bp)",-0.191,2.92207409784125e-10
"chr2:119843781:119843799:119843575:119844099:SE","SE","ENSMUSG00000033902","Mapkbp1","chr2","+",119843781,119843799,18,"Microexon (0-30bp)",0.12,0.000138854636536258
"chr2:60077831:60077856:60075604:60078233:SE","SE","ENSMUSG00000026977","Marchf7","chr2","+",60077831,60077856,25,"Microexon (0-30bp)",0.187,2.84857067591192e-07
"chr10:127132585:127132609:127132502:127132741:SE","SE","ENSMUSG00000040354","Mars1","chr10","-",127132585,127132609,24,"Microexon (0-30bp)",-0.123,8.84120397101463e-07
"chr4:116190609:116190630:116187666:116194618:SE","SE","ENSMUSG00000003810","Mast2","chr4","-",116190609,116190630,21,"Microexon (0-30bp)",0.248,0
"chr12:77008036:77008063:77000050:77008763:SE","SE","ENSMUSG00000059436","Max","chr12","-",77008036,77008063,27,"Microexon (0-30bp)",0.148,3.18154548488872e-06
"chr10:122858990:122858993:122858849:122859814:SE","SE","ENSMUSG00000034602","Mon2","chr10","-",122858990,122858993,3,"Microexon (0-30bp)",0.104,0.00513475016025838
"chr3:55901468:55901477:55899935:55907907:SE","SE","ENSMUSG00000027799","Nbea","chr3","-",55901468,55901477,9,"Microexon (0-30bp)",0.201,1.83302648422216e-13
"chr5:31403665:31403689:31403189:31404685:SE","SE","ENSMUSG00000029148","Nrbp1","chr5","+",31403665,31403689,24,"Microexon (0-30bp)",0.114,1.54455389076641e-06
"chr8:32321232:32321256:32323180:32323258:32316383:32327697:MXE","MXE","ENSMUSG00000062991","Nrg1","chr8","-",32321232,32321256,24,"Microexon (0-30bp)",-0.149,1.79724354088349e-05
"chr12:88817048:88817078:88799340:89153791:SE","SE","ENSMUSG00000066392","Nrxn3","chr12","+",88817048,88817078,30,"Microexon (0-30bp)",-0.277,0.00398410740864226
"chr2:24947976:24947982:24948264:24948333:24947188:24949032:MXE","MXE","ENSMUSG00000006476","Nsmf","chr2","+",24947976,24947982,6,"Microexon (0-30bp)",0.141,0.0275405228459169
"chr15:83267823:83267829:83266084:83269187:SE","SE","ENSMUSG00000016664","Pacsin2","chr15","-",83267823,83267829,6,"Microexon (0-30bp)",0.132,1.47590581058568e-08
"chr7:89843480:89843504:89840961:89844862:SE","SE","ENSMUSG00000039361","Picalm","chr7","+",89843480,89843504,24,"Microexon (0-30bp)",0.118,1.15267724231651e-07
"chr4:155069822:155069849:155069422:155070671:SE","SE","ENSMUSG00000029055","Plch2","chr4","-",155069822,155069849,27,"Microexon (0-30bp)",0.144,0.0428140432341417
"chr7:144056603:144056633:144054140:144058639:SE","SE","ENSMUSG00000037519","Ppfia1","chr7","-",144056603,144056633,30,"Microexon (0-30bp)",0.265,7.93719172020803e-12
"chr7:44992976:44993003:44991925:44993164:SE","SE","ENSMUSG00000003863","Ppfia3","chr7","-",44992976,44993003,27,"Microexon (0-30bp)",0.239,5.1877029221982e-09
"chr19:3509746:3509764:3509480:3514544:SE","SE","ENSMUSG00000024908","Ppp6r3","chr19","-",3509746,3509764,18,"Microexon (0-30bp)",0.211,0
"chr5:23968331:23968349:23967472:23973765:SE","SE","ENSMUSG00000057541","Pus7","chr5","-",23968331,23968349,18,"Microexon (0-30bp)",0.11,0.00249790685408837
"chr1:127869330:127869351:127866885:127870110:SE","SE","ENSMUSG00000036104","Rab3gap1","chr1","+",127869330,127869351,21,"Microexon (0-30bp)",0.191,7.9279837253698e-07
"chr11:54542574:54542589:54540165:54548071:SE","SE","ENSMUSG00000037533","Rapgef6","chr11","+",54542574,54542589,15,"Microexon (0-30bp)",0.211,0.000564883834454027
"chr15:89191374:89191398:89191138:89191695:SE","SE","ENSMUSG00000036529","Sbf1","chr15","-",89191374,89191398,24,"Microexon (0-30bp)",0.134,0
"chr4:102757722:102757734:102727921:102766004:SE","SE","ENSMUSG00000028524","Sgip1","chr4","+",102757722,102757734,12,"Microexon (0-30bp)",0.461,0.00482199685480026
"chr4:102762761:102762773:102727921:102766004:SE","SE","ENSMUSG00000028524","Sgip1","chr4","+",102762761,102762773,12,"Microexon (0-30bp)",0.167,0.012020875500013
"chr2:30239237:30239249:30238629:30240299:SE","SE","ENSMUSG00000026860","Sh3glb2","chr2","-",30239237,30239249,12,"Microexon (0-30bp)",0.228,1.00380021755475e-13
"chr7:143961792:143961813:143960969:143963198:SE","SE","ENSMUSG00000037541","Shank2","chr7","+",143961792,143961813,21,"Microexon (0-30bp)",0.216,0.00367211715503187
"chr15:89422217:89422241:89417657:89427302:SE","SE","ENSMUSG00000022623","Shank3","chr15","+",89422217,89422241,24,"Microexon (0-30bp)",0.129,0.00370443296087122
"chr9:45858838:45858850:45858353:45859133:SE","SE","ENSMUSG00000034908","Sidt2","chr9","-",45858838,45858850,12,"Microexon (0-30bp)",0.156,5.41086159805272e-06
"chr19:5711623:5711651:5711139:5712615:SE","SE","ENSMUSG00000056917","Sipa1","chr19","-",5711623,5711651,28,"Microexon (0-30bp)",0.295,6.66291490053471e-05
"chr11:119999292:119999316:119997436:120000257:SE","SE","ENSMUSG00000061306","Slc38a10","chr11","-",119999292,119999316,24,"Microexon (0-30bp)",0.174,0
"chr11:119999292:119999316:120000257:120000362:119997436:120000891:MXE","MXE","ENSMUSG00000061306","Slc38a10","chr11","-",119999292,119999316,24,"Microexon (0-30bp)",-0.108,1.79724354088349e-05
"chr9:86680882:86680897:86665487:86686507:SE","SE","ENSMUSG00000033419","Snap91","chr9","-",86680882,86680897,15,"Microexon (0-30bp)",0.195,0.000122089744963173
"chr19:40371199:40371226:40371077:40381831:SE","SE","ENSMUSG00000025006","Sorbs1","chr19","-",40371199,40371226,27,"Microexon (0-30bp)",0.149,0.0343502534780225
"chr11:93970024:93970036:93962512:93971565:SE","SE","ENSMUSG00000020859","Spag9","chr11","+",93970024,93970036,12,"Microexon (0-30bp)",0.196,0.00595332956613346
"chr2:157300762:157300780:157300553:157304629:SE","SE","ENSMUSG00000027646","Src","chr2","+",157300762,157300780,18,"Microexon (0-30bp)",0.119,0.042033003448259
"chr5:135895980:135896000:135886069:135897026:SE","SE","ENSMUSG00000039860","Srrm3","chr5","+",135895980,135896000,20,"Microexon (0-30bp)",0.114,0.00026876094254613
"chr5:116592731:116592747:116591772:116605490:SE","SE","ENSMUSG00000063919","Srrm4","chr5","-",116592731,116592747,16,"Microexon (0-30bp)",0.128,0.00306135752008045
"chr13:38167070:38167085:38163782:38167368:SE","SE","ENSMUSG00000021427","Ssr1","chr13","-",38167070,38167085,15,"Microexon (0-30bp)",0.156,2.10734500767394e-08
"chr15:35115083:35115104:35114803:35115710:SE","SE","ENSMUSG00000022329","Stk3","chr15","-",35115083,35115104,21,"Microexon (0-30bp)",0.135,2.32344502416303e-10
"chr11:106071780:106071809:106064607:106077950:SE","SE","ENSMUSG00000069631","Strada","chr11","-",106071780,106071809,29,"Microexon (0-30bp)",0.157,0.000900127417551208
"chrX:100634339:100634345:100634195:100637545:SE","SE","ENSMUSG00000031314","Taf1","chrX","+",100634339,100634345,6,"Microexon (0-30bp)",0.201,5.80152882256624e-11
"chr8:48740167:48740188:48732225:48740825:SE","SE","ENSMUSG00000031561","Tenm3","chr8","-",48740167,48740188,21,"Microexon (0-30bp)",0.191,3.21771505736489e-10
"chr8:48766272:48766299:48763804:48820345:SE","SE","ENSMUSG00000031561","Tenm3","chr8","-",48766272,48766299,27,"Microexon (0-30bp)",0.204,0.0346103153099895
"chr7:96454311:96454338:96446712:96461039:SE","SE","ENSMUSG00000048078","Tenm4","chr7","+",96454311,96454338,27,"Microexon (0-30bp)",0.102,6.02621193284705e-06
"chr11:66916734:66916764:66920791:66920852:66916097:66921887:MXE","MXE","ENSMUSG00000050270","Tmem220","chr11","+",66916734,66916764,30,"Microexon (0-30bp)",-0.111,0.00439939489296578
"chr3:28679347:28679371:28677257:28684579:SE","SE","ENSMUSG00000027692","Tnik","chr3","+",28679347,28679371,24,"Microexon (0-30bp)",0.176,3.79978041575934e-08
"chr3:9008610:9008637:9000100:9009670:SE","SE","ENSMUSG00000027506","Tpd52","chr3","-",9008610,9008637,27,"Microexon (0-30bp)",0.314,4.42357879944787e-07
"chr2:181152296:181152323:181150060:181153366:SE","SE","ENSMUSG00000000827","Tpd52l2","chr2","+",181152296,181152323,27,"Microexon (0-30bp)",0.106,0.000429899112835956
"chr18:20988877:20988895:20988133:20993489:SE","SE","ENSMUSG00000033382","Trappc8","chr18","-",20988877,20988895,18,"Microexon (0-30bp)",0.11,7.28534664518961e-06
"chr5:144747141:144747162:144744201:144748704:SE","SE","ENSMUSG00000045482","Trrap","chr5","+",144747141,144747162,21,"Microexon (0-30bp)",0.291,2.55299855330539e-11
"chr12:103016153:103016182:103013957:103025577:SE","SE","ENSMUSG00000021198","Unc79","chr12","+",103016153,103016182,29,"Microexon (0-30bp)",0.285,5.84596770543621e-05
"chr5:122494856:122494868:122492539:122498075:SE","SE","ENSMUSG00000029462","Vps29","chr5","+",122494856,122494868,12,"Microexon (0-30bp)",0.112,1.87816700589279e-05
"chr5:122494856:122494868:122492539:122498091:SE","SE","ENSMUSG00000029462","Vps29","chr5","+",122494856,122494868,12,"Microexon (0-30bp)",0.163,0.00350628173276468
"chr19:55375620:55375641:55369451:55380215:SE","SE","ENSMUSG00000024983","Vti1a","chr19","+",55375620,55375641,21,"Microexon (0-30bp)",0.135,0.0167201831173847
"chr19:55375620:55375641:55369451:55486942:SE","SE","ENSMUSG00000024983","Vti1a","chr19","+",55375620,55375641,21,"Microexon (0-30bp)",0.293,0.0119092933064956
"chr15:93293467:93293496:93285740:93296043:SE","SE","ENSMUSG00000022635","Zcrb1","chr15","-",93293467,93293496,29,"Microexon (0-30bp)",-0.163,0.000759170680914049
"chr13:67644303:67644330:67642848:67648529:SE","SE","ENSMUSG00000071291","Zfp58","chr13","-",67644303,67644330,27,"Microexon (0-30bp)",-0.104,0.0175637429423673
"chr19:42174058:42174079:42172628:42174243:SE","SE","ENSMUSG00000018820","Zfyve27","chr19","+",42174058,42174079,21,"Microexon (0-30bp)",0.131,0.0409838238074037
"chr2:165694787:165694799:165694068:165717624:SE","SE","ENSMUSG00000039671","Zmynd8","chr2","-",165694787,165694799,12,"Microexon (0-30bp)",0.206,2.98823603224726e-12
