"GeneID","geneSymbol","n_selection_events","event_types","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000027692","Tnik",1,"SE","Microexon (0-30bp)","chr3:28679347-28679371",0.176
"ENSMUSG00000027799","Nbea",1,"SE","Microexon (0-30bp)","chr3:55901468-55901477",0.201
"ENSMUSG00000028033","Kcnq5",1,"SE","Microexon (0-30bp)","chr1:21536606-21536633",0.353
"ENSMUSG00000029055","Plch2",1,"SE","Microexon (0-30bp)","chr4:155069822-155069849",0.144
"ENSMUSG00000029148","Nrbp1",1,"SE","Microexon (0-30bp)","chr5:31403665-31403689",0.114
"ENSMUSG00000029461","Fam168a",1,"SE","Microexon (0-30bp)","chr7:100467942-100467969",-0.191
"ENSMUSG00000030172","Erc1",1,"SE","Microexon (0-30bp)","chr6:119711041-119711053",0.163
"ENSMUSG00000031012","Cask",1,"SE","Microexon (0-30bp)","chrX:13462924-13462942",0.169
"ENSMUSG00000031314","Taf1",1,"SE","Microexon (0-30bp)","chrX:100634339-100634345",0.201
"ENSMUSG00000031502","Col4a1",1,"SE","Microexon (0-30bp)","chr8:11254535-11254552",0.116
"ENSMUSG00000032570","Atp2c1",1,"SE","Microexon (0-30bp)","chr9:105370741-105370753",0.168
"ENSMUSG00000032826","Ank2",1,"SE","Microexon (0-30bp)","chr3:126772904-126772916",0.138
"ENSMUSG00000033335","Dnm2",1,"SE","Microexon (0-30bp)","chr9:21401953-21401965",0.118
"ENSMUSG00000033382","Trappc8",1,"SE","Microexon (0-30bp)","chr18:20988877-20988895",0.11
"ENSMUSG00000033392","Clasp2",1,"SE","Microexon (0-30bp)","chr9:113687648-113687672",0.252
"ENSMUSG00000033419","Snap91",1,"SE","Microexon (0-30bp)","chr9:86680882-86680897",0.195
"ENSMUSG00000033902","Mapkbp1",1,"SE","Microexon (0-30bp)","chr2:119843781-119843799",0.12
"ENSMUSG00000034602","Mon2",1,"SE","Microexon (0-30bp)","chr10:122858990-122858993",0.104
"ENSMUSG00000034908","Sidt2",1,"SE","Microexon (0-30bp)","chr9:45858838-45858850",0.156
"ENSMUSG00000034973","Dop1a",1,"SE","Microexon (0-30bp)","chr9:86388923-86388953",0.195
"ENSMUSG00000035954","Dock4",1,"SE","Microexon (0-30bp)","chr12:40844595-40844622",0.164
"ENSMUSG00000036104","Rab3gap1",1,"SE","Microexon (0-30bp)","chr1:127869330-127869351",0.191
"ENSMUSG00000036435","Exoc1",1,"SE","Microexon (0-30bp)","chr5:76688593-76688614",0.252
"ENSMUSG00000036529","Sbf1",1,"SE","Microexon (0-30bp)","chr15:89191374-89191398",0.134
"ENSMUSG00000036578","Fxyd7",1,"SE","Microexon (0-30bp)","chr7:30746797-30746827",0.198
"ENSMUSG00000036591","Arhgap21",1,"SE","Microexon (0-30bp)","chr2:20888010-20888040",0.21
"ENSMUSG00000037519","Ppfia1",1,"SE","Microexon (0-30bp)","chr7:144056603-144056633",0.265
"ENSMUSG00000037533","Rapgef6",1,"SE","Microexon (0-30bp)","chr11:54542574-54542589",0.211
"ENSMUSG00000037541","Shank2",1,"SE","Microexon (0-30bp)","chr7:143961792-143961813",0.216
"ENSMUSG00000037697","Ddhd1",1,"SE","Microexon (0-30bp)","chr14:45866310-45866331",0.202
"ENSMUSG00000039361","Picalm",1,"SE","Microexon (0-30bp)","chr7:89843480-89843504",0.118
"ENSMUSG00000039671","Zmynd8",1,"SE","Microexon (0-30bp)","chr2:165694787-165694799",0.206
"ENSMUSG00000039860","Srrm3",1,"SE","Microexon (0-30bp)","chr5:135895980-135896000",0.114
"ENSMUSG00000040111","Gramd1b",1,"SE","Microexon (0-30bp)","chr9:40211735-40211747",0.133
"ENSMUSG00000040354","Mars1",1,"SE","Microexon (0-30bp)","chr10:127132585-127132609",-0.123
"ENSMUSG00000040537","Adam22",1,"SE","Microexon (0-30bp)","chr5:8136593-8136623",0.13
"ENSMUSG00000040687","Madd",1,"SE","Microexon (0-30bp)","chr2:90971153-90971162",0.143
"ENSMUSG00000040940","Arhgef1",1,"SE","Microexon (0-30bp)","chr7:24617944-24617956",0.131
"ENSMUSG00000041609","Bicdl1",1,"SE","Microexon (0-30bp)","chr5:115810202-115810214",0.126
"ENSMUSG00000041936","Agrn",1,"SE","Microexon (0-30bp)","chr4:156253002-156253026",0.323
"ENSMUSG00000041977","Arhgef11",1,"SE","Microexon (0-30bp)","chr3:87625535-87625565",0.146
"ENSMUSG00000043019","Edem3",1,"SE","Microexon (0-30bp)","chr1:151688504-151688519",0.115
"ENSMUSG00000043831","Lysmd4",1,"SE","Microexon (0-30bp)","chr7:66874123-66874149",0.106
"ENSMUSG00000045482","Trrap",1,"SE","Microexon (0-30bp)","chr5:144747141-144747162",0.291
"ENSMUSG00000045983","Eif4g1",1,"SE","Microexon (0-30bp)","chr16:20493535-20493556",0.166
"ENSMUSG00000048078","Tenm4",1,"SE","Microexon (0-30bp)","chr7:96454311-96454338",0.102
"ENSMUSG00000049807","Arhgap23",1,"SE","Microexon (0-30bp)","chr11:97382469-97382492",0.228
"ENSMUSG00000050270","Tmem220",1,"MXE","Microexon (0-30bp)","chr11:66916734-66916764",-0.111
"ENSMUSG00000056486","Chn1",1,"SE","Microexon (0-30bp)","chr2:73540798-73540826",-0.173
"ENSMUSG00000056917","Sipa1",1,"SE","Microexon (0-30bp)","chr19:5711623-5711651",0.295
"ENSMUSG00000057541","Pus7",1,"SE","Microexon (0-30bp)","chr5:23968331-23968349",0.11
"ENSMUSG00000059436","Max",1,"SE","Microexon (0-30bp)","chr12:77008036-77008063",0.148
"ENSMUSG00000062991","Nrg1",1,"MXE","Microexon (0-30bp)","chr8:32321232-32321256",-0.149
"ENSMUSG00000063919","Srrm4",1,"SE","Microexon (0-30bp)","chr5:116592731-116592747",0.128
"ENSMUSG00000066392","Nrxn3",1,"SE","Microexon (0-30bp)","chr12:88817048-88817078",-0.277
"ENSMUSG00000069631","Strada",1,"SE","Microexon (0-30bp)","chr11:106071780-106071809",0.157
"ENSMUSG00000071291","Zfp58",1,"SE","Microexon (0-30bp)","chr13:67644303-67644330",-0.104
"ENSMUSG00000118669","Arvcf",1,"SE","Microexon (0-30bp)","chr16:18219530-18219548",0.166
