"paper_EVENT","paper_GENE","paper_LENGTH","paper_TIER","match_type","Comparison","EventType","GeneSymbol","exon_length","DeltaPSI","FDR","Chromosome","Strand","exonStart_0base","exonEnd","n_candidates"
"HsaEX0051317","PUS7",18,"HS","gene+length","Neg_vs_Parental","SE","Pus7",18,0.11,0.00249790685408837,"chr5","-",23968331,23968349,1
"HsaEX0051317","PUS7",18,"HS","gene+length","KO_vs_Parental","SE","Pus7",18,-0.241,1.1887568555073e-12,"chr5","-",23968331,23968349,1
"HsaEX0058023","SH3GLB1",24,"HS","gene+length","KO_vs_Parental","SE","Sh3glb1",24,-0.128,3.70255676578016e-09,"chr3","-",144405614,144405638,1
"HsaEX0058023","SH3GLB1",24,"HS","gene+length","Pos_vs_Parental","SE","Sh3glb1",24,-0.208,0,"chr3","-",144405614,144405638,1
"HsaEX0067208","TRIM9",24,"HS","gene_only","Neg_vs_Parental","SE","Trim9",33,0.201,5.72525237947919e-05,"chr12","-",70314007,70314040,2
"HsaEX0067208","TRIM9",24,"HS","gene+length","Pos_vs_Parental","SE","Trim9",24,0.3,0.0126767727515466,"chr12","-",70298793,70298817,1
"HsaEX0051667","RAB3GAP1",21,"LS","gene+length","Neg_vs_Parental","SE","Rab3gap1",21,0.191,7.9279837253698e-07,"chr1","+",127869330,127869351,1
"HsaEX0061917","SSR1",15,"HS","gene+length","Neg_vs_Parental","SE","Ssr1",15,0.156,2.10734500767394e-08,"chr13","-",38167070,38167085,1
"HsaEX0061917","SSR1",15,"HS","gene+length","KO_vs_Parental","SE","Ssr1",15,-0.108,0.00103622076099931,"chr13","-",38167070,38167085,1
"HsaEX0013372","BICDL1",12,"LS","gene+length","Neg_vs_Parental","SE","Bicdl1",12,0.126,2.96143813022664e-09,"chr5","-",115810202,115810214,1
"HsaEX0013372","BICDL1",12,"LS","gene_only","Pos_vs_Parental","SE","Bicdl1",109,0.102,0.00129288026233258,"chr5","-",115789214,115789323,2
"HsaEX0060805","SNX14",27,"HS","gene+length","Pos_vs_Parental","SE","Snx14",27,-0.115,2.53532237938914e-13,"chr9","-",88282775,88282802,1
"HsaEX0004145","ANK3",12,"LS","gene+length","Neg_vs_Parental","SE","Ank3",12,0.251,0.00548380560396285,"chr10","+",69765276,69765288,1
"HsaEX0004145","ANK3",12,"LS","gene_only","KO_vs_Parental","SE","Ank3",27,-0.129,0.00320802029789536,"chr10","+",69816653,69816680,1
"HsaEX0004145","ANK3",12,"LS","gene_only","Pos_vs_Parental","SE","Ank3",309,-0.283,0,"chr10","+",69837752,69838061,3
"HsaEX0070740","VTI1A",21,"HS","gene+length","Neg_vs_Parental","SE","Vti1a",21,0.293,0.0119092933064956,"chr19","+",55375620,55375641,2
"HsaEX0070740","VTI1A",21,"HS","gene+length","KO_vs_Parental","SE","Vti1a",21,0.133,0.028565428913202,"chr19","+",55375620,55375641,1
"HsaEX0070740","VTI1A",21,"HS","gene+length","Pos_vs_Parental","SE","Vti1a",21,0.171,0.000231369095081125,"chr19","+",55375620,55375641,1
"HsaEX0052287","RAPGEF6",15,"HS","gene+length","Neg_vs_Parental","SE","Rapgef6",15,0.211,0.000564883834454027,"chr11","+",54542574,54542589,1
"HsaEX0050846","PTK2",9,"HS","gene_only","Neg_vs_Parental","SE","Ptk2",155,-0.277,1.82144288951477e-05,"chr15","-",73236889,73237044,2
"HsaEX0050846","PTK2",9,"HS","gene_only","KO_vs_Parental","SE","Ptk2",155,-0.138,0.000708122398640792,"chr15","-",73236889,73237044,2
"HsaEX0050846","PTK2",9,"HS","gene_only","Pos_vs_Parental","SE","Ptk2",155,-0.124,0.00293072824508913,"chr15","-",73236889,73237044,2
"HsaEX0050855","PTK2",18,"HS","gene_only","Neg_vs_Parental","SE","Ptk2",155,-0.277,1.82144288951477e-05,"chr15","-",73236889,73237044,2
"HsaEX0050855","PTK2",18,"HS","gene_only","KO_vs_Parental","SE","Ptk2",155,-0.138,0.000708122398640792,"chr15","-",73236889,73237044,2
"HsaEX0050855","PTK2",18,"HS","gene_only","Pos_vs_Parental","SE","Ptk2",155,-0.124,0.00293072824508913,"chr15","-",73236889,73237044,2
"HsaEX0050856","PTK2",21,"HS","gene_only","Neg_vs_Parental","SE","Ptk2",155,-0.277,1.82144288951477e-05,"chr15","-",73236889,73237044,2
"HsaEX0050856","PTK2",21,"HS","gene_only","KO_vs_Parental","SE","Ptk2",155,-0.138,0.000708122398640792,"chr15","-",73236889,73237044,2
"HsaEX0050856","PTK2",21,"HS","gene_only","Pos_vs_Parental","SE","Ptk2",155,-0.124,0.00293072824508913,"chr15","-",73236889,73237044,2
"HsaEX0044642","TENM3",21,"HS","gene+length","Neg_vs_Parental","SE","Tenm3",21,0.191,3.21771505736489e-10,"chr8","-",48740167,48740188,1
"HsaEX0044642","TENM3",21,"HS","gene_only","Pos_vs_Parental","SE","Tenm3",27,-0.107,0.000820526485570748,"chr8","-",48766272,48766299,1
"HsaEX0034475","KIF1B",18,"HS","gene+length","Pos_vs_Parental","SE","Kif1b",18,-0.122,0,"chr4","-",149349801,149349819,1
"HsaEX0015474","CLASP1",24,"HS","gene_only","Neg_vs_Parental","SE","Clasp1",108,0.2,3.42019957341774e-06,"chr1","+",118459707,118459815,3
"HsaEX0015474","CLASP1",24,"HS","gene_only","Pos_vs_Parental","SE","Clasp1",108,0.117,7.84067209058939e-05,"chr1","+",118459707,118459815,2
"HsaEX0015476","CLASP1",27,"LS","gene_only","Neg_vs_Parental","SE","Clasp1",108,0.2,3.42019957341774e-06,"chr1","+",118459707,118459815,3
"HsaEX0015476","CLASP1",27,"LS","gene_only","Pos_vs_Parental","SE","Clasp1",108,0.117,7.84067209058939e-05,"chr1","+",118459707,118459815,2
"HsaEX0037980","MAST2",21,"HS","gene+length","Neg_vs_Parental","SE","Mast2",21,0.248,0,"chr4","-",116190609,116190630,1
"HsaEX0023428","EXOC1",21,"LS","gene+length","Neg_vs_Parental","SE","Exoc1",21,0.252,1.58910376195037e-06,"chr5","+",76688593,76688614,1
"HsaEX0023428","EXOC1",21,"LS","gene+length","Pos_vs_Parental","SE","Exoc1",21,0.186,0.00143974915000025,"chr5","+",76688593,76688614,1
"HsaEX0043771","NRCAM",18,"HS","gene_only","KO_vs_Parental","SE","Nrcam",153,0.228,0.00465454392028151,"chr12","+",44631617,44631770,1
"HsaEX0043771","NRCAM",18,"HS","gene_only","Pos_vs_Parental","SE","Nrcam",153,0.205,0.00316715543302736,"chr12","+",44631617,44631770,2
"HsaEX0020438","DNM1",12,"HS","gene_only","Neg_vs_Parental","SE","Dnm1",37,-0.104,0.0269272889583834,"chr2","-",32200462,32200499,1
"HsaEX0016976","CPEB4",24,"HS","gene+length","Neg_vs_Parental","SE","Cpeb4",24,0.103,1.13081564246697e-05,"chr11","+",31868800,31868824,2
"HsaEX0016976","CPEB4",24,"HS","gene+length","KO_vs_Parental","SE","Cpeb4",24,0.122,0.0124957994528287,"chr11","+",31868800,31868824,1
"HsaEX0036234","ADGRL2",12,"HS","gene+length","Neg_vs_Parental","SE","Adgrl2",12,0.142,8.24021668515075e-05,"chr3","-",148566062,148566074,1
"HsaEX0036234","ADGRL2",12,"HS","gene+length","KO_vs_Parental","SE","Adgrl2",12,-0.2,2.75212031095613e-05,"chr3","-",148566062,148566074,1
"HsaEX0036234","ADGRL2",12,"HS","gene+length","Pos_vs_Parental","SE","Adgrl2",12,-0.116,0.00343523606591965,"chr3","-",148566062,148566074,1
"HsaEX0047035","PHF21A",23,"HS","gene_only","KO_vs_Parental","SE","Phf21a",59,-0.371,0.00151611248659623,"chr2","+",92016895,92016954,1
"HsaEX0047035","PHF21A",23,"HS","gene_only","Pos_vs_Parental","SE","Phf21a",365,-0.307,0.000129630711321597,"chr2","+",92017388,92017753,3
"HsaEX0051134","PTPRF",12,"NonResponding","gene_only","Pos_vs_Parental","SE","Ptprf",27,-0.109,0,"chr4","-",118085015,118085042,1
"HsaEX0004128","ANK2",24,"HS","gene_only","Neg_vs_Parental","SE","Ank2",99,0.192,7.50203677072801e-08,"chr3","-",126757031,126757130,2
"HsaEX0004128","ANK2",24,"HS","gene_only","KO_vs_Parental","SE","Ank2",12,-0.184,0.00608290220861478,"chr3","-",126772904,126772916,1
"HsaEX0004128","ANK2",24,"HS","gene_only","Pos_vs_Parental","A3SS","Ank2",103,-0.118,0.0236707118722263,"chr3","-",NA,NA,1
"HsaEX0012545","CASK",18,"HS","gene+length","Neg_vs_Parental","SE","Cask",18,0.169,0,"chrX","-",13462924,13462942,1
"HsaEX0012545","CASK",18,"HS","gene_only","Pos_vs_Parental","MXE","Cask",36,0.136,1.23089842693126e-05,"chrX","-",NA,NA,2
"HsaEX0025270","FBXO25",27,"LS","gene+length","KO_vs_Parental","SE","Fbxo25",27,-0.151,1.79479908582424e-09,"chr8","+",13988921,13988948,1
"HsaEX0058029","SH3GLB2",15,"HS","gene+length","Neg_vs_Parental","SE","Sh3glb2",12,0.228,1.00380021755475e-13,"chr2","-",30239237,30239249,1
"HsaEX0058029","SH3GLB2",15,"HS","gene+length","KO_vs_Parental","SE","Sh3glb2",12,-0.102,8.35987223704826e-05,"chr2","-",30239237,30239249,1
"HsaEX0058029","SH3GLB2",15,"HS","gene+length","Pos_vs_Parental","SE","Sh3glb2",15,-0.128,0,"chr2","-",30236070,30236085,1
"HsaEX0066242","TNIK",24,"LS","gene+length","Neg_vs_Parental","SE","Tnik",24,0.176,3.79978041575934e-08,"chr3","+",28679347,28679371,1
"HsaEX0066242","TNIK",24,"LS","gene_only","KO_vs_Parental","SE","Tnik",87,-0.251,0,"chr3","+",28649055,28649142,1
"HsaEX0066242","TNIK",24,"LS","gene+length","Pos_vs_Parental","SE","Tnik",24,0.111,0.00674559213125424,"chr3","+",28679347,28679371,1
"HsaEX0063208","SYNJ1",24,"HS","gene_only","Neg_vs_Parental","SE","Synj1",39,0.204,3.69833523303806e-07,"chr16","-",90743902,90743941,3
"HsaEX0063208","SYNJ1",24,"HS","gene_only","KO_vs_Parental","SE","Synj1",48,0.317,0.00520790593001812,"chr16","-",90744953,90745001,3
"HsaEX0063208","SYNJ1",24,"HS","gene+length","Pos_vs_Parental","SE","Synj1",24,-0.1,2.93604005525419e-05,"chr16","-",90768451,90768475,1
"HsaEX0035450","CERS6",24,"HS","gene+length","Pos_vs_Parental","SE","Cers6",24,-0.146,0.00015261431686225,"chr2","+",68936086,68936110,1
"HsaEX0003157","AGRN",24,"LS","gene+length","Neg_vs_Parental","SE","Agrn",24,0.323,0.00409956888691432,"chr4","-",156253002,156253026,1
"HsaEX0003157","AGRN",24,"LS","gene_only","KO_vs_Parental","SE","Agrn",12,-0.114,2.71957764949863e-11,"chr4","-",156254002,156254014,2
"HsaEX0003157","AGRN",24,"LS","gene_only","Pos_vs_Parental","RI","Agrn",793,-0.154,0.000233047696470748,"chr4","-",NA,NA,1
"HsaEX0013877","CD47",25,"LS","gene+length","Pos_vs_Parental","SE","Cd47",25,-0.137,1.9594570408698e-08,"chr16","+",49728416,49728441,1
"HsaEX0057701","SFT2D1",23,"HS","gene_only","Pos_vs_Parental","SE","Sft2d1",87,0.266,0.0251027115933998,"chr17","+",8537675,8537762,1
"HsaEX0018764","DCTN1",15,"HS","gene+length","Neg_vs_Parental","MXE","Dctn1",18,0.272,0.00539272644434666,"chr6","+",NA,NA,1
"HsaEX0018764","DCTN1",15,"HS","gene+length","KO_vs_Parental","SE","Dctn1",15,-0.134,2.90781419855577e-06,"chr6","+",83174300,83174315,2
"HsaEX0018764","DCTN1",15,"HS","gene+length","Pos_vs_Parental","SE","Dctn1",15,-0.117,2.54634701482315e-07,"chr6","+",83174300,83174315,1
"HsaEX0023360","EVI5",10,"HS","gene_only","KO_vs_Parental","SE","Evi5",112,-0.254,0.000724764075563876,"chr5","-",107969570,107969682,2
"HsaEX0026467","FRYL",9,"HS","gene_only","Pos_vs_Parental","SE","Fryl",18,-0.103,1.1914221436475e-06,"chr5","-",73182113,73182131,1
"HsaEX0020668","DOCK9",6,"LS","gene_only","Neg_vs_Parental","SE","Dock9",36,0.19,0.0101146356328822,"chr14","-",121797336,121797372,1
"HsaEX0020668","DOCK9",6,"LS","gene_only","Pos_vs_Parental","SE","Dock9",36,0.128,0.0236630531751169,"chr14","-",121797336,121797372,1
"HsaEX0020667","DOCK9",8,"HS","gene_only","Neg_vs_Parental","SE","Dock9",36,0.19,0.0101146356328822,"chr14","-",121797336,121797372,1
"HsaEX0020667","DOCK9",8,"HS","gene_only","Pos_vs_Parental","SE","Dock9",36,0.128,0.0236630531751169,"chr14","-",121797336,121797372,1
"HsaEX0028492","GRAMD1A",12,"HS","gene+length","Neg_vs_Parental","SE","Gramd1a",12,0.183,0,"chr7","-",30832644,30832656,1
"HsaEX0045196","PACSIN2",6,"HS","gene+length","Neg_vs_Parental","SE","Pacsin2",6,0.132,1.47590581058568e-08,"chr15","-",83267823,83267829,1
"HsaEX0045196","PACSIN2",6,"HS","gene+length","KO_vs_Parental","SE","Pacsin2",6,-0.127,2.68699662676668e-06,"chr15","-",83267823,83267829,1
"HsaEX0045196","PACSIN2",6,"HS","gene+length","Pos_vs_Parental","SE","Pacsin2",6,-0.13,4.78678250710644e-06,"chr15","-",83267823,83267829,1
"HsaEX0023051","ERGIC3",15,"HS","gene+length","Neg_vs_Parental","SE","Ergic3",15,0.169,0,"chr2","+",155857296,155857311,1
"HsaEX0023051","ERGIC3",15,"HS","gene+length","KO_vs_Parental","SE","Ergic3",15,-0.123,1.68970967297462e-05,"chr2","+",155857296,155857311,1
"HsaEX0022280","EMC1",9,"HS","gene_only","Pos_vs_Parental","A3SS","Emc1",472,-0.106,0,"chr4","+",NA,NA,1
"HsaEX0027514","GIT2",6,"HS","gene_only","Neg_vs_Parental","SE","Git2",150,-0.106,0.0251831512160118,"chr5","-",114881791,114881941,1
"HsaEX0027514","GIT2",6,"HS","gene_only","KO_vs_Parental","SE","Git2",150,-0.121,0.00475779607883035,"chr5","-",114881791,114881941,1
"HsaEX0027514","GIT2",6,"HS","gene+length","Pos_vs_Parental","SE","Git2",6,-0.133,0,"chr5","-",114891208,114891214,2
"HsaEX0039996","MPP7",12,"HS","gene_only","Pos_vs_Parental","SE","Mpp7",21,0.16,0.00103723031333238,"chr18","-",7430394,7430415,1
"HsaEX0042574","NSMF",6,"HS","gene+length","Neg_vs_Parental","MXE","Nsmf",6,0.141,0.0275405228459169,"chr2","+",NA,NA,1
"HsaEX0042574","NSMF",6,"HS","gene_only","Pos_vs_Parental","SE","Nsmf",501,-0.114,0,"chr2","+",24945647,24946148,1
"HsaEX0005055","APBB1",4,"HS","gene_only","KO_vs_Parental","SE","Apbb1",40,0.214,0.000526213156799754,"chr7","-",105217825,105217865,2
"HsaEX0005055","APBB1",4,"HS","gene+length","Pos_vs_Parental","SE","Apbb1",6,-0.102,0,"chr7","-",105215152,105215158,1
"HsaEX0004907","AP1S2",9,"HS","gene_only","KO_vs_Parental","SE","Ap1s2",95,-0.501,0.00181788032920447,"chrX","+",162703901,162703996,1
"HsaEX0004907","AP1S2",9,"HS","gene_only","Pos_vs_Parental","SE","Ap1s2",95,-0.755,8.08260460600262e-05,"chrX","+",162703901,162703996,1
"HsaEX0050522","PSAP",6,"HS","gene+length","KO_vs_Parental","SE","Psap",9,-0.169,0,"chr10","+",60133316,60133325,1
"HsaEX0050522","PSAP",6,"HS","gene+length","Pos_vs_Parental","SE","Psap",9,-0.129,6.82779603057641e-11,"chr10","+",60133316,60133325,1
"HsaEX0061188","SPAG9",15,"HS","gene+length","Neg_vs_Parental","SE","Spag9",12,0.1,0.00021566047063013,"chr11","+",93970024,93970036,2
"HsaEX0061188","SPAG9",15,"HS","gene+length","Pos_vs_Parental","SE","Spag9",15,0.168,0.0320554566746996,"chr11","+",93971565,93971580,1
"HsaEX0012022","CACNA2D2",21,"HS","gene_only","KO_vs_Parental","A3SS","Cacna2d2",51,0.393,0.000653313495696103,"chr9","+",NA,NA,1
"HsaEX0012022","CACNA2D2",21,"HS","gene_only","Pos_vs_Parental","A3SS","Cacna2d2",51,0.554,7.389000702839e-05,"chr9","+",NA,NA,1
"HsaEX0049811","PPP6R3",18,"LS","gene+length","Neg_vs_Parental","SE","Ppp6r3",18,0.211,0,"chr19","-",3509746,3509764,1
"HsaEX0018777","DCTN4",21,"HS","gene+length","Neg_vs_Parental","SE","Dctn4",21,0.164,2.36488905850054e-07,"chr18","+",60678428,60678449,1
"HsaEX0006155","ASAP1",9,"HS","gene_only","KO_vs_Parental","A5SS","Asap1",123,-0.134,0.00350149210776264,"chr15","-",NA,NA,2
"HsaEX0006155","ASAP1",9,"HS","gene+length","Pos_vs_Parental","SE","Asap1",9,-0.105,3.36458407431524e-12,"chr15","-",64025692,64025701,2
"HsaEX0072774","ZFYVE27",21,"LS","gene+length","Neg_vs_Parental","SE","Zfyve27",21,0.131,0.0409838238074037,"chr19","+",42174058,42174079,1
"HsaEX1018839","KIF1B",27,"NonResponding","gene_only","Pos_vs_Parental","SE","Kif1b",18,-0.122,0,"chr4","-",149349801,149349819,3
"HsaEX1019114","KMT2C",23,"LS","gene_only","KO_vs_Parental","SE","Kmt2c",105,-0.161,0.0011676372523798,"chr5","-",25535793,25535898,1
"HsaEX0038690","MEF2A",24,"LS","gene+length","Pos_vs_Parental","SE","Mef2a",24,-0.188,3.82827506342898e-06,"chr7","-",66894268,66894292,1
"HsaEX0015478","CLASP1",24,"LS","gene_only","Neg_vs_Parental","SE","Clasp1",108,0.2,3.42019957341774e-06,"chr1","+",118459707,118459815,3
"HsaEX0015478","CLASP1",24,"LS","gene_only","Pos_vs_Parental","SE","Clasp1",108,0.117,7.84067209058939e-05,"chr1","+",118459707,118459815,2
"HsaEX0022053","EIF4G3",21,"NonResponding","gene_only","Neg_vs_Parental","SE","Eif4g3",114,-0.183,0.0311196585059158,"chr4","+",137811567,137811681,1
"HsaEX0022053","EIF4G3",21,"NonResponding","gene_only","KO_vs_Parental","SE","Eif4g3",33,0.265,0.00138547240036193,"chr4","+",137814843,137814876,1
"HsaEX0022053","EIF4G3",21,"NonResponding","gene_only","Pos_vs_Parental","A3SS","Eif4g3",118,0.121,2.87812366192774e-06,"chr4","+",NA,NA,4
"HsaEX1036077","SBF1",24,"LS","gene+length","Neg_vs_Parental","SE","Sbf1",24,0.134,0,"chr15","-",89191374,89191398,1
"HsaEX1036077","SBF1",24,"LS","gene_only","KO_vs_Parental","SE","Sbf1",78,0.106,0.0240738652530769,"chr15","-",89180154,89180232,1
"HsaEX0037214","MADD",9,"HS","gene+length","Neg_vs_Parental","SE","Madd",9,0.143,0.000297928868703475,"chr2","-",90971153,90971162,1
"HsaEX0037214","MADD",9,"HS","gene+length","KO_vs_Parental","SE","Madd",9,-0.119,0.00165392342550515,"chr2","-",90971153,90971162,1
"HsaEX0037214","MADD",9,"HS","gene_only","Pos_vs_Parental","A5SS","Madd",84,0.181,1.99055966154638e-09,"chr2","-",NA,NA,2
"HsaEX0066659","TPD52L1",15,"HS","gene_only","Pos_vs_Parental","SE","Tpd52l1",61,-0.592,0.000113527244093131,"chr10","-",31214180,31214241,2
"HsaEX0043752","NRBP1",24,"LS","gene+length","Neg_vs_Parental","SE","Nrbp1",24,0.114,1.54455389076641e-06,"chr5","+",31403665,31403689,1
"HsaEX0049337","PPFIA1",27,"LS","gene+length","Neg_vs_Parental","SE","Ppfia1",30,0.265,7.93719172020803e-12,"chr7","-",144056603,144056633,1
"HsaEX0049337","PPFIA1",27,"LS","gene+length","KO_vs_Parental","SE","Ppfia1",27,-0.354,0.000102816352853368,"chr7","-",144042427,144042454,2
"HsaEX0049337","PPFIA1",27,"LS","gene+length","Pos_vs_Parental","SE","Ppfia1",27,-0.245,3.10346821548892e-05,"chr7","-",144042427,144042454,2
"HsaEX0022845","EPRS",21,"LS","gene_only","Pos_vs_Parental","SE","Eprs",95,0.103,0.00271829243321709,"chr1","+",185106314,185106409,1
"HsaEX0051130","PTPRF",18,"LS","gene_only","Pos_vs_Parental","SE","Ptprf",27,-0.109,0,"chr4","-",118085015,118085042,1
"HsaEX0058030","SH3GLB2",12,"LS","gene+length","Neg_vs_Parental","SE","Sh3glb2",12,0.228,1.00380021755475e-13,"chr2","-",30239237,30239249,1
"HsaEX0058030","SH3GLB2",12,"LS","gene+length","KO_vs_Parental","SE","Sh3glb2",12,-0.102,8.35987223704826e-05,"chr2","-",30239237,30239249,1
"HsaEX0058030","SH3GLB2",12,"LS","gene+length","Pos_vs_Parental","SE","Sh3glb2",15,-0.128,0,"chr2","-",30236070,30236085,1
"HsaEX1041860","TRAPPC8",21,"LS","gene+length","Neg_vs_Parental","SE","Trappc8",18,0.11,7.28534664518961e-06,"chr18","-",20988877,20988895,1
"HsaEX0026036","FMNL2",21,"LS","gene_only","Neg_vs_Parental","A5SS","Fmnl2",94,-0.132,2.85590662230264e-10,"chr2","+",NA,NA,2
