"GeneID","geneSymbol","n_selection_events","event_types","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000026781","Acbd5",1,"SE","Small (30-50bp)","chr2:22970679-22970712",0.171
"ENSMUSG00000026825","Dnm1",1,"SE","Small (30-50bp)","chr2:32200462-32200499",-0.104
"ENSMUSG00000026860","Sh3glb2",1,"SE","Microexon (0-30bp)","chr2:30239237-30239249",0.228
"ENSMUSG00000026946","Nmi",1,"SE","Small (30-50bp)","chr2:51862599-51862639",0.198
"ENSMUSG00000026977","Marchf7",1,"SE","Microexon (0-30bp)","chr2:60077831-60077856",0.187
"ENSMUSG00000026999","Nup35",1,"SE","Small (30-50bp)","chr2:80454669-80454704",-0.356
"ENSMUSG00000027130","Slc12a6",1,"SE","Small (30-50bp)","chr2:112146585-112146630",0.131
"ENSMUSG00000027506","Tpd52",1,"SE","Microexon (0-30bp)","chr3:9008610-9008637",0.314
"ENSMUSG00000027523","Gnas",1,"SE","Microexon (0-30bp)","chr2:174169900-174169924",0.15
"ENSMUSG00000027634","Ndrg3",1,"SE","Small (30-50bp)","chr2:156771851-156771890",0.113
"ENSMUSG00000027646","Src",1,"SE","Microexon (0-30bp)","chr2:157300762-157300780",0.119
"ENSMUSG00000027799","Nbea",1,"SE","Microexon (0-30bp)","chr3:55901468-55901477",0.201
"ENSMUSG00000028033","Kcnq5",1,"SE","Microexon (0-30bp)","chr1:21536606-21536633",0.353
"ENSMUSG00000028184","Adgrl2",1,"SE","Microexon (0-30bp)","chr3:148532847-148532874",0.203
"ENSMUSG00000028207","Asph",1,"SE","Small (30-50bp)","chr4:9637658-9637703",0.119
"ENSMUSG00000028433","Ubap2",1,"SE","Small (30-50bp)","chr4:41245455-41245492",0.109
"ENSMUSG00000028931","Kcnab2",1,"SE","Small (30-50bp)","chr4:152519238-152519280",0.133
"ENSMUSG00000029055","Plch2",1,"SE","Microexon (0-30bp)","chr4:155069822-155069849",0.144
"ENSMUSG00000029148","Nrbp1",1,"SE","Microexon (0-30bp)","chr5:31403665-31403689",0.114
"ENSMUSG00000029152","Ociad1",1,"SE","Small (30-50bp)","chr5:73451308-73451353",-0.116
"ENSMUSG00000029780","Nt5c3",1,"SE","Small (30-50bp)","chr6:56900051-56900097",0.166
"ENSMUSG00000030172","Erc1",1,"SE","Microexon (0-30bp)","chr6:119711041-119711053",0.163
"ENSMUSG00000030263","Irag2",1,"SE","Small (30-50bp)","chr6:145083771-145083812",0.4
"ENSMUSG00000030279","C2cd5",1,"SE","Small (30-50bp)","chr6:143011911-143011944",0.132
"ENSMUSG00000030281","Il17rc",1,"SE","Small (30-50bp)","chr6:113451513-113451558",0.114
"ENSMUSG00000030987","Stim1",1,"SE","Small (30-50bp)","chr7:102082403-102082440",0.188
"ENSMUSG00000031012","Cask",1,"SE","Microexon (0-30bp)","chrX:13462924-13462942",0.169
"ENSMUSG00000031105","Slc25a14",1,"SE","Small (30-50bp)","chrX:47717012-47717060",0.299
"ENSMUSG00000031314","Taf1",1,"SE","Microexon (0-30bp)","chrX:100634339-100634345",0.201
"ENSMUSG00000032297","Celf6",1,"MXE","Small (30-50bp)","chr9:59497917-59497966",0.103
"ENSMUSG00000032570","Atp2c1",1,"SE","Microexon (0-30bp)","chr9:105370741-105370753",0.168
"ENSMUSG00000032586","Traip",1,"SE","Small (30-50bp)","chr9:107833592-107833628",-0.128
"ENSMUSG00000032826","Ank2",1,"SE","Microexon (0-30bp)","chr3:126772904-126772916",0.138
"ENSMUSG00000033335","Dnm2",1,"SE","Microexon (0-30bp)","chr9:21401953-21401965",0.118
"ENSMUSG00000033382","Trappc8",1,"SE","Microexon (0-30bp)","chr18:20988877-20988895",0.11
"ENSMUSG00000033392","Clasp2",1,"SE","Microexon (0-30bp)","chr9:113687648-113687672",0.252
"ENSMUSG00000033419","Snap91",1,"SE","Microexon (0-30bp)","chr9:86680882-86680897",0.195
"ENSMUSG00000033902","Mapkbp1",1,"SE","Microexon (0-30bp)","chr2:119843781-119843799",0.12
"ENSMUSG00000034908","Sidt2",1,"SE","Microexon (0-30bp)","chr9:45858838-45858850",0.156
"ENSMUSG00000034973","Dop1a",1,"SE","Microexon (0-30bp)","chr9:86388923-86388953",0.195
"ENSMUSG00000035954","Dock4",1,"SE","Microexon (0-30bp)","chr12:40844595-40844622",0.164
"ENSMUSG00000036104","Rab3gap1",1,"SE","Microexon (0-30bp)","chr1:127869330-127869351",0.191
"ENSMUSG00000036528","Ppfibp2",1,"SE","Small (30-50bp)","chr7:107327922-107327955",0.114
"ENSMUSG00000036529","Sbf1",1,"SE","Microexon (0-30bp)","chr15:89191374-89191398",0.134
"ENSMUSG00000036578","Fxyd7",1,"SE","Microexon (0-30bp)","chr7:30746797-30746827",0.198
"ENSMUSG00000036591","Arhgap21",1,"SE","Microexon (0-30bp)","chr2:20888010-20888040",0.21
"ENSMUSG00000037533","Rapgef6",1,"SE","Microexon (0-30bp)","chr11:54542574-54542589",0.211
"ENSMUSG00000037541","Shank2",1,"SE","Microexon (0-30bp)","chr7:143961792-143961813",0.216
"ENSMUSG00000037697","Ddhd1",1,"SE","Microexon (0-30bp)","chr14:45866310-45866331",0.202
"ENSMUSG00000037736","Limch1",1,"SE","Small (30-50bp)","chr5:67150485-67150521",-0.131
"ENSMUSG00000037857","Nufip2",1,"SE","Small (30-50bp)","chr11:77579112-77579157",0.315
"ENSMUSG00000039860","Srrm3",1,"SE","Microexon (0-30bp)","chr5:135895980-135896000",0.114
"ENSMUSG00000039943","Plcb4",1,"SE","Small (30-50bp)","chr2:135806971-135807007",0.112
"ENSMUSG00000040111","Gramd1b",1,"SE","Microexon (0-30bp)","chr9:40211735-40211747",0.133
"ENSMUSG00000040537","Adam22",1,"SE","Microexon (0-30bp)","chr5:8136593-8136623",0.13
"ENSMUSG00000040687","Madd",1,"SE","Microexon (0-30bp)","chr2:90971153-90971162",0.143
"ENSMUSG00000040940","Arhgef1",1,"SE","Microexon (0-30bp)","chr7:24617944-24617956",0.131
"ENSMUSG00000041609","Bicdl1",1,"SE","Microexon (0-30bp)","chr5:115810202-115810214",0.126
"ENSMUSG00000041977","Arhgef11",1,"SE","Microexon (0-30bp)","chr3:87625535-87625565",0.146
"ENSMUSG00000043323","Fbrsl1",1,"SE","Small (30-50bp)","chr5:110563895-110563931",-0.145
"ENSMUSG00000043831","Lysmd4",1,"SE","Microexon (0-30bp)","chr7:66874123-66874149",0.106
"ENSMUSG00000045482","Trrap",1,"SE","Microexon (0-30bp)","chr5:144747141-144747162",0.291
"ENSMUSG00000045983","Eif4g1",1,"SE","Microexon (0-30bp)","chr16:20493535-20493556",0.166
"ENSMUSG00000048078","Tenm4",1,"SE","Microexon (0-30bp)","chr7:96454311-96454338",0.102
"ENSMUSG00000048537","Phldb1",1,"SE","Small (30-50bp)","chr9:44610123-44610168",0.15
"ENSMUSG00000050270","Tmem220",1,"MXE","Microexon (0-30bp)","chr11:66916734-66916764",-0.111
"ENSMUSG00000050549","Fam241a",1,"SE","Small (30-50bp)","chr3:127681603-127681634",0.154
"ENSMUSG00000051510","Mafg",1,"SE","Small (30-50bp)","chr11:120520811-120520842",0.157
"ENSMUSG00000053617","Sh3pxd2a",1,"SE","Small (30-50bp)","chr19:47308714-47308759",0.181
"ENSMUSG00000056486","Chn1",1,"SE","Microexon (0-30bp)","chr2:73540798-73540826",-0.173
"ENSMUSG00000056917","Sipa1",1,"SE","Microexon (0-30bp)","chr19:5711623-5711651",0.295
"ENSMUSG00000057541","Pus7",1,"SE","Microexon (0-30bp)","chr5:23968331-23968349",0.11
"ENSMUSG00000057858","Fam204a",1,"SE","Small (30-50bp)","chr19:60208761-60208792",-0.138
"ENSMUSG00000059291","Rpl11",1,"SE","Small (30-50bp)","chr4:135775122-135775164",0.139
"ENSMUSG00000059439","Bcas3",1,"SE","Small (30-50bp)","chr11:85434753-85434798",0.293
"ENSMUSG00000062991","Nrg1",1,"MXE","Microexon (0-30bp)","chr8:32321232-32321256",-0.149
"ENSMUSG00000063919","Srrm4",1,"SE","Microexon (0-30bp)","chr5:116592731-116592747",0.128
"ENSMUSG00000064179","Tnnt1",1,"SE","Small (30-50bp)","chr7:4516579-4516612",0.147
"ENSMUSG00000066392","Nrxn3",1,"SE","Microexon (0-30bp)","chr12:88817048-88817078",-0.277
"ENSMUSG00000066551","Hmgb1",1,"SE","Small (30-50bp)","chr5:149118808-149118845",-0.178
"ENSMUSG00000068036","Afdn",1,"SE","Small (30-50bp)","chr17:14111224-14111260",0.179
"ENSMUSG00000069631","Strada",1,"SE","Microexon (0-30bp)","chr11:106071780-106071809",0.157
"ENSMUSG00000071291","Zfp58",1,"SE","Microexon (0-30bp)","chr13:67644303-67644330",-0.104
"ENSMUSG00000074282","Zfp94",1,"SE","Small (30-50bp)","chr7:24010889-24010928",0.178
"ENSMUSG00000097451","Rian",1,"SE","Small (30-50bp)","chr12:109609847-109609895",0.123
"ENSMUSG00000097589","Dleu2",1,"MXE","Small (30-50bp)","chr14:61861881-61861931",-0.116
"ENSMUSG00000117284","Gm7072",1,"MXE","Small (30-50bp)","chr17:22511388-22511436",0.141
"ENSMUSG00000118669","Arvcf",1,"SE","Microexon (0-30bp)","chr16:18219530-18219548",0.166
