"GeneID","geneSymbol","n_selection_events","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000024381","Bin1",2,"Microexon (0-30bp)","chr18:32562752-32562776; chr18:32562752-32562776",0.149
"ENSMUSG00000024726","Carnmt1",2,"Regular (>50bp)","chr19:18667593-18667734; chr19:18671012-18671126",0.016
"ENSMUSG00000024887","Asah2",2,"Regular (>50bp)","chr19:31969401-31969490; chr19:31972741-31972801",-0.18
"ENSMUSG00000024983","Vti1a",2,"Microexon (0-30bp)","chr19:55375620-55375641; chr19:55375620-55375641",0.214
"ENSMUSG00000025019","Lcor",2,"Regular (>50bp)","chr19:41516999-41517079; chr19:41534313-41534446",-0.038
"ENSMUSG00000025138","Sirt7",2,"Regular (>50bp)","chr11:120509974-120510116; chr11:120509974-120510116",-0.209
"ENSMUSG00000025217","Btrc",2,"Small (30-50bp)","chr19:45394983-45395025; chr19:45394983-45395025",-0.062
"ENSMUSG00000025816","Sec61a2",2,"Regular (>50bp)","chr2:5881651-5881812; chr2:5887391-5887501",-0.019
"ENSMUSG00000026113","Inpp4a",2,"Microexon (0-30bp); Small (30-50bp)","chr1:37413355-37413370; chr1:37422419-37422452",0.206
"ENSMUSG00000026648","Dclre1c",2,"Regular (>50bp)","chr2:3437474-3437530; chr2:3437474-3437530",-0.205
"ENSMUSG00000026672","Optn",2,"Regular (>50bp)","chr2:5059350-5059527; chr2:5067669-5067798",-0.116
"ENSMUSG00000029095","Ablim2",2,"Regular (>50bp)","chr5:36000511-36000610; chr5:36024048-36024110",0.202
"ENSMUSG00000029462","Vps29",2,"Microexon (0-30bp)","chr5:122494856-122494868; chr5:122494856-122494868",0.138
"ENSMUSG00000029761","Cald1",2,"Regular (>50bp)","chr6:34724820-34724904; chr6:34724826-34724904",-0.104
"ENSMUSG00000029823","Luc7l2",2,"Regular (>50bp)","chr6:38536138-38536239; chr6:38542589-38542657",0.032
"ENSMUSG00000030089","Slc41a3",2,"Regular (>50bp)","chr6:90610592-90610737; chr6:90612231-90612378",0.196
"ENSMUSG00000030172","Erc1",2,"Microexon (0-30bp); Regular (>50bp)","chr6:119595806-119595873; chr6:119711041-119711053",0.146
"ENSMUSG00000030231","Plekha5",2,"Regular (>50bp)","chr6:140501676-140501796; chr6:140526072-140526261",0.005
"ENSMUSG00000031012","Cask",2,"Microexon (0-30bp); Regular (>50bp)","chrX:13418611-13418680; chrX:13462924-13462942",0.138
"ENSMUSG00000031256","Cstf2",2,"Regular (>50bp)","chrX:132973163-132973223; chrX:132973163-132973223",0.155
"ENSMUSG00000031561","Tenm3",2,"Microexon (0-30bp)","chr8:48740167-48740188; chr8:48766272-48766299",0.198
"ENSMUSG00000031671","Setd6",2,"Regular (>50bp)","chr8:96442980-96443122; chr8:96443548-96443669",-0.192
"ENSMUSG00000031865","Dctn1",2,"Microexon (0-30bp)","chr6:83160917-83160938; chr6:83164745-83164766",0.062
"ENSMUSG00000032076","Cadm1",2,"Small (30-50bp)","chr9:47740674-47740707; chr9:47740674-47740707",0.124
"ENSMUSG00000032413","Rasa2",2,"Regular (>50bp)","chr9:96448068-96448175; chr9:96450416-96450540",-0.168
"ENSMUSG00000032534","Cep63",2,"Small (30-50bp)","chr9:102498894-102498927; chr9:102500754-102500792",0.092
"ENSMUSG00000032599","Ip6k2",2,"Small (30-50bp)","chr9:108673739-108673771; chr9:108673739-108673771",0.171
"ENSMUSG00000032826","Ank2",2,"Microexon (0-30bp); Regular (>50bp)","chr3:126757031-126757130; chr3:126772904-126772916",0.165
"ENSMUSG00000033419","Snap91",2,"Microexon (0-30bp); Regular (>50bp)","chr9:86672108-86672192; chr9:86680882-86680897",0.202
"ENSMUSG00000033486","Catsper2",2,"Regular (>50bp)","chr2:121230217-121230317; chr2:121236809-121236934",0.003
"ENSMUSG00000034518","Hmgxb4",2,"Regular (>50bp)","chr8:75725462-75725566; chr8:75726626-75726741",0.035
"ENSMUSG00000034842","Art3",2,"Small (30-50bp)","chr5:92553801-92553838; chr5:92553802-92553838",-0.124
"ENSMUSG00000034908","Sidt2",2,"Microexon (0-30bp); Regular (>50bp)","chr9:45858838-45858850; chr9:45858926-45858995",0.136
"ENSMUSG00000035133","Arhgap5",2,"Regular (>50bp)","chr12:52562889-52566750; chr12:52562889-52566750",-0.136
"ENSMUSG00000035227","Spcs2",2,"Regular (>50bp)","chr7:99498363-99498459; chr7:99498363-99498459",-0.009
"ENSMUSG00000035284","Vps13c",2,"Regular (>50bp)","chr9:67773461-67773524; chr9:67778134-67778200",0.195
"ENSMUSG00000035640","Cbarp",2,"Regular (>50bp); Small (30-50bp)","chr10:79972496-79972577; chr10:79972538-79972577",-0.15
"ENSMUSG00000036644","Tbc1d9b",2,"Regular (>50bp)","chr11:50054988-50055039; chr11:50058995-50059052",0.196
"ENSMUSG00000037426","Depdc5",2,"Regular (>50bp)","chr5:33021353-33021656; chr5:33021501-33021656",0.132
"ENSMUSG00000037533","Rapgef6",2,"Microexon (0-30bp); Regular (>50bp)","chr11:54452150-54452220; chr11:54542574-54542589",0.014
"ENSMUSG00000037994","Slc9b2",2,"Regular (>50bp)","chr3:135021641-135021711; chr3:135024040-135024221",0.126
"ENSMUSG00000038485","Socs7",2,"Regular (>50bp)","chr11:97267262-97267367; chr11:97267822-97267924",0.146
"ENSMUSG00000038495","Otud7b",2,"Regular (>50bp)","chr3:96016022-96016080; chr3:96037541-96037654",-0.004
"ENSMUSG00000038618","Rassf7",2,"Regular (>50bp)","chr7:140796941-140797625; chr7:140797500-140797625",-0.116
"ENSMUSG00000038831","Ralgps1",2,"Regular (>50bp)","chr2:33045299-33045351; chr2:33047783-33047941",0.162
"ENSMUSG00000039844","Rapgef1",2,"Regular (>50bp)","chr2:29609604-29609862; chr2:29609604-29609862",0.145
"ENSMUSG00000040225","Prrc2c",2,"Regular (>50bp); Small (30-50bp)","chr1:162501667-162501720; chr1:162501671-162501720",-0.153
"ENSMUSG00000040481","Bptf",2,"Regular (>50bp)","chr11:106935317-106935491; chr11:106977537-106977723",-0.124
"ENSMUSG00000041264","Uspl1",2,"Regular (>50bp)","chr5:149124517-149124644; chr5:149124517-149124686",-0.162
"ENSMUSG00000041609","Bicdl1",2,"Microexon (0-30bp); Regular (>50bp)","chr5:115789214-115789323; chr5:115810202-115810214",0.162
"ENSMUSG00000041936","Agrn",2,"Microexon (0-30bp); Small (30-50bp)","chr4:156252233-156252266; chr4:156253002-156253026",0.226
"ENSMUSG00000042138","Msantd2",2,"Regular (>50bp)","chr9:37402751-37402865; chr9:37424909-37424999",-0.02
"ENSMUSG00000042870","Tom1",2,"Regular (>50bp)","chr8:75774620-75774705; chr8:75776817-75776896",0.205
"ENSMUSG00000043019","Edem3",2,"Microexon (0-30bp); Small (30-50bp)","chr1:151688504-151688519; chr1:151688504-151688552",0.11
"ENSMUSG00000043323","Fbrsl1",2,"Regular (>50bp); Small (30-50bp)","chr5:110563895-110563931; chr5:110565708-110565813",-0.136
"ENSMUSG00000045031","Cetn4",2,"Regular (>50bp)","chr3:37363493-37363631; chr3:37364085-37364214",-0.249
"ENSMUSG00000045095","Magi1",2,"Regular (>50bp)","chr6:93657769-93657858; chr6:93681257-93681341",0.164
"ENSMUSG00000045349","Sh2d5",2,"Regular (>50bp)","chr4:137980922-137981000; chr4:137981141-137981269",0.2
"ENSMUSG00000045482","Trrap",2,"Microexon (0-30bp); Regular (>50bp)","chr5:144746960-144747014; chr5:144747141-144747162",0.287
"ENSMUSG00000045679","Pqlc3",2,"Regular (>50bp)","chr12:17043453-17043574; chr12:17047496-17047704",-0.185
"ENSMUSG00000047021","Cfap65",2,"Regular (>50bp)","chr1:74957524-74957653; chr1:74957992-74958143",-0.045
"ENSMUSG00000048078","Tenm4",2,"Microexon (0-30bp); Regular (>50bp)","chr7:96378555-96378732; chr7:96454311-96454338",0.148
"ENSMUSG00000048652","Samd13",2,"Regular (>50bp)","chr3:146390687-146390884; chr3:146390687-146390895",0.137
"ENSMUSG00000048677","Tpcn2",2,"Regular (>50bp)","chr7:144809616-144809698; chr7:144815297-144815416",-0.001
"ENSMUSG00000051048","P4ha3",2,"Regular (>50bp)","chr7:99962412-99962572; chr7:99963814-99963877",0.236
"ENSMUSG00000051510","Mafg",2,"Small (30-50bp)","chr11:120520811-120520842; chr11:120520811-120520842",0.179
"ENSMUSG00000053617","Sh3pxd2a",2,"Regular (>50bp); Small (30-50bp)","chr19:47271459-47271543; chr19:47308714-47308759",0.145
"ENSMUSG00000055762","Eef1d",2,"Regular (>50bp)","chr15:75774527-75775667; chr15:75774527-75775667",0.143
"ENSMUSG00000055923","Aasdh",2,"Regular (>50bp)","chr5:77052055-77052227; chr5:77052805-77052859",0.197
"ENSMUSG00000056917","Sipa1",2,"Microexon (0-30bp); Regular (>50bp)","chr19:5711623-5711651; chr19:5711623-5711686",0.28
"ENSMUSG00000057335","Cep170",2,"Regular (>50bp)","chr1:176588916-176589066; chr1:176596798-176597092",-0.002
"ENSMUSG00000060450","Rnf14",2,"Regular (>50bp)","chr18:38433481-38433643; chr18:38440917-38441448",-0.264
"ENSMUSG00000061306","Slc38a10",2,"Microexon (0-30bp); Regular (>50bp)","chr11:119999292-119999316; chr11:119999292-119999379",0.25
"ENSMUSG00000061613","U2af1",2,"Regular (>50bp)","chr17:31870619-31870686; chr17:31871475-31871542",0.15
"ENSMUSG00000062604","Srpk2",2,"Regular (>50bp)","chr5:23829050-23829124; chr5:23834329-23834475",-0.05
"ENSMUSG00000062785","Kcnc3",2,"Microexon (0-30bp)","chr7:44247013-44247043; chr7:44247013-44247043",0.238
"ENSMUSG00000062991","Nrg1",2,"Regular (>50bp)","chr8:32323180-32323258; chr8:32323180-32323258",-0.222
"ENSMUSG00000063142","Kcnma1",2,"Regular (>50bp)","chr14:23544606-23544762; chr14:23576603-23576695",-0.101
"ENSMUSG00000063659","Zbtb18",2,"Regular (>50bp)","chr1:177272304-177272388; chr1:177272304-177272388",-0.181
"ENSMUSG00000066235","Pomgnt2",2,"Regular (>50bp); Small (30-50bp)","chr9:121824132-121824179; chr9:121824132-121824183",0.34
"ENSMUSG00000067367","Lyar",2,"Regular (>50bp)","chr5:38380477-38380571; chr5:38380477-38380575",-0.171
"ENSMUSG00000069631","Strada",2,"Microexon (0-30bp); Regular (>50bp)","chr11:106071780-106071809; chr11:106075387-106075445",0.13
"ENSMUSG00000073016","Uprt",2,"Regular (>50bp); Small (30-50bp)","chrX:103539341-103539384; chrX:103541880-103541950",-0.154
"ENSMUSG00000073427","Gm4924",2,"Regular (>50bp)","chr10:82219596-82219678; chr10:82236587-82236820",0.274
"ENSMUSG00000073779","Lrp8os2",2,"Regular (>50bp)","chr4:107667959-107668143; chr4:107673123-107673264",0.55
"ENSMUSG00000074513","Arfip1",2,"Regular (>50bp)","chr3:84426788-84427010; chr3:84426788-84427010",-0.199
"ENSMUSG00000087380","2210408F21Rik",2,"Regular (>50bp)","chr6:31298324-31298411; chr6:31305266-31305324",-0.368
"ENSMUSG00000092165","Gm5624",2,"Regular (>50bp)","chr14:44798155-44798244; chr14:44798155-44798287",0.115
"ENSMUSG00000097068","Gm26760",2,"Regular (>50bp)","chr15:92258919-92259046; chr15:92258919-92259046",-0.167
"ENSMUSG00000097755","2010110K18Rik",2,"Regular (>50bp)","chr18:34889051-34889204; chr18:34889051-34889234",-0.176
"ENSMUSG00000097910","Hdnr",2,"Regular (>50bp)","chr8:57786153-57786666; chr8:57791917-57791982",0.03
"ENSMUSG00000113204","Gm46430",2,"Regular (>50bp)","chr13:74731765-74731992; chr13:74731765-74731992",-0.406
"ENSMUSG00000119993","Gm32085",2,"Regular (>50bp)","chr3:152413486-152413934; chr3:152413486-152413934",0.248
"ENSMUSG00000000538","Tom1l2",1,"Regular (>50bp)","chr11:60129835-60129898",-0.151
"ENSMUSG00000000568","Hnrnpd",1,"Regular (>50bp)","chr5:100124392-100124449",0.202
"ENSMUSG00000000827","Tpd52l2",1,"Microexon (0-30bp)","chr2:181152296-181152323",0.106
"ENSMUSG00000001053","N4bp3",1,"Regular (>50bp)","chr11:51540975-51541181",0.176
"ENSMUSG00000001120","Pcbp3",1,"Regular (>50bp)","chr10:76686055-76686182",0.179
"ENSMUSG00000001248","Gramd1a",1,"Microexon (0-30bp)","chr7:30832644-30832656",0.183
"ENSMUSG00000001419","Mef2d",1,"Regular (>50bp)","chr3:88065527-88065662",-0.326
"ENSMUSG00000001576","Ergic1",1,"Regular (>50bp)","chr17:26873800-26873927",-0.156
"ENSMUSG00000001995","Sipa1l2",1,"Regular (>50bp)","chr8:126149931-126149985",0.123
"ENSMUSG00000002031","Ift46",1,"Small (30-50bp)","chr9:44685479-44685528",0.103
"ENSMUSG00000002265","Peg3",1,"Regular (>50bp)","chr7:6715948-6716011",0.146
"ENSMUSG00000002428","Hltf",1,"Regular (>50bp)","chr3:20152243-20152379",-0.134
"ENSMUSG00000002524","Puf60",1,"Regular (>50bp)","chr15:75946455-75946506",0.103
"ENSMUSG00000002608","Ccdc97",1,"Regular (>50bp)","chr7:25417569-25417704",-0.394
"ENSMUSG00000002845","Tmem39a",1,"Regular (>50bp)","chr16:38405980-38406042",0.13
"ENSMUSG00000002885","Adgre5",1,"Regular (>50bp)","chr8:84456739-84456886",0.212
"ENSMUSG00000003119","Cdk12",1,"Regular (>50bp)","chr11:98140535-98140926",0.185
"ENSMUSG00000003131","Pafah1b2",1,"Regular (>50bp)","chr9:45895148-45895337",-0.491
"ENSMUSG00000003341","Atp8b3",1,"Regular (>50bp)","chr10:80357844-80357983",-0.173
"ENSMUSG00000003810","Mast2",1,"Microexon (0-30bp)","chr4:116190609-116190630",0.248
"ENSMUSG00000003813","Rad23a",1,"Regular (>50bp)","chr8:85564635-85564763",-0.209
"ENSMUSG00000003847","Nfat5",1,"Regular (>50bp)","chr8:108064926-108064988",0.165
"ENSMUSG00000003863","Ppfia3",1,"Microexon (0-30bp)","chr7:44992976-44993003",0.239
"ENSMUSG00000004285","Atp6v1f",1,"Regular (>50bp)","chr6:29468965-29469225",0.307
"ENSMUSG00000004319","Clcn3",1,"Regular (>50bp)","chr8:61428765-61428941",-0.103
"ENSMUSG00000004561","Mettl17",1,"Regular (>50bp)","chr14:52126603-52126854",-0.157
"ENSMUSG00000004562","Arhgef40",1,"Microexon (0-30bp)","chr14:52242335-52242356",-0.176
"ENSMUSG00000004631","Sgce",1,"Regular (>50bp)","chr6:4711307-4711380",-0.315
"ENSMUSG00000004698","Hdac9",1,"Regular (>50bp)","chr12:34423876-34424137",-0.113
"ENSMUSG00000004771","Rab11a",1,"Regular (>50bp)","chr9:64633905-64634099",-0.167
"ENSMUSG00000004980","Hnrnpa2b1",1,"Microexon (0-30bp)","chr6:51441407-51441431",-0.167
"ENSMUSG00000004994","Ccdc130",1,"Regular (>50bp)","chr8:84985741-84985880",-0.115
"ENSMUSG00000005881","Ergic3",1,"Microexon (0-30bp)","chr2:155857296-155857311",0.169
"ENSMUSG00000005899","Smpd4",1,"Regular (>50bp)","chr16:17453345-17453432",0.13
"ENSMUSG00000006281","Tep1",1,"Regular (>50bp)","chr14:51070337-51070488",-0.126
"ENSMUSG00000006315","Tmem147",1,"Regular (>50bp)","chr7:30428081-30428166",0.195
"ENSMUSG00000006362","Cbfa2t3",1,"Regular (>50bp)","chr8:123377068-123377215",-0.124
"ENSMUSG00000006476","Nsmf",1,"Regular (>50bp)","chr2:24948264-24948333",-0.121
"ENSMUSG00000006649","Nphs1",1,"Regular (>50bp)","chr7:30181889-30182005",-0.291
"ENSMUSG00000006958","Chrd",1,"Regular (>50bp)","chr16:20553611-20553719",-0.358
"ENSMUSG00000007035","Msh5",1,"Small (30-50bp)","chr17:35262704-35262740",-0.162
"ENSMUSG00000007570","Fance",1,"Regular (>50bp)","chr17:28542544-28542639",-0.124
"ENSMUSG00000008855","Hdac5",1,"Regular (>50bp)","chr11:102112593-102112677",0.131
"ENSMUSG00000009073","Nf2",1,"Small (30-50bp)","chr11:4730577-4730622",0.174
"ENSMUSG00000009079","Ewsr1",1,"Microexon (0-30bp)","chr11:5041459-5041477",0.222
"ENSMUSG00000009621","Vav2",1,"Regular (>50bp)","chr2:27158162-27158249",0.112
"ENSMUSG00000009741","Ubp1",1,"Regular (>50bp)","chr9:113788443-113788551",-0.151
"ENSMUSG00000010554","Mettl16",1,"Regular (>50bp)","chr11:74686577-74686643",-0.133
"ENSMUSG00000012609","Ttll5",1,"Regular (>50bp)","chr12:85890719-85890772",-0.119
"ENSMUSG00000013033","Adgrl1",1,"Regular (>50bp)","chr8:84650834-84650984",0.109
"ENSMUSG00000014355","Anapc1",1,"Regular (>50bp)","chr2:128520130-128520204",-0.16
"ENSMUSG00000014418","Hps5",1,"Regular (>50bp)","chr7:46424577-46424708",0.156
