"GeneID","geneSymbol","n_events_pos","n_sig_pos","n_event_types","event_types","n_microexon","mean_abs_dPSI","n_selection_events","selection_mean_dPSI"
"ENSMUSG00000010086","Rnf112",11,2,5,"A3SS,A5SS,MXE,RI,SE",0,0.078,2,-0.278
"ENSMUSG00000013523","Bcas1",11,0,2,"MXE,SE",0,0.028,2,0.145
"ENSMUSG00000020131","Pcsk4",6,2,3,"A3SS,MXE,SE",0,0.127,2,-0.078
"ENSMUSG00000020300","Cpeb4",10,0,2,"MXE,SE",2,0.036,2,0.134
"ENSMUSG00000020792","Exoc7",10,3,2,"MXE,SE",0,0.072,2,0.19
"ENSMUSG00000020863","Luc7l3",11,2,4,"A3SS,MXE,RI,SE",0,0.054,2,-0.27
"ENSMUSG00000021068","Nin",8,0,2,"A5SS,SE",0,0.074,2,0.294
"ENSMUSG00000021071","Trim9",15,3,4,"A3SS,A5SS,MXE,SE",4,0.135,2,0.162
"ENSMUSG00000021103","Mnat1",17,0,2,"MXE,SE",0,0.021,2,0.171
"ENSMUSG00000021288","Klc1",22,4,3,"A3SS,A5SS,SE",0,0.059,2,0.115
"ENSMUSG00000021709","Erbin",34,4,3,"A3SS,MXE,SE",0,0.046,2,-0.306
"ENSMUSG00000021820","Camk2g",23,1,4,"A5SS,MXE,RI,SE",0,0.031,2,0.142
"ENSMUSG00000022139","Mbnl2",10,0,1,"SE",0,0.026,2,0.129
"ENSMUSG00000022607","Ptk2",76,2,2,"MXE,SE",3,0.03,2,-0.219
"ENSMUSG00000022708","Zbtb20",31,1,2,"MXE,SE",0,0.107,2,0.252
"ENSMUSG00000022770","Dlg1",41,1,4,"A3SS,A5SS,MXE,SE",1,0.026,2,0.018
"ENSMUSG00000022838","Eaf2",5,0,2,"MXE,SE",0,0.119,2,-0.22
"ENSMUSG00000024044","Epb41l3",31,3,3,"A3SS,MXE,SE",0,0.03,2,0.182
"ENSMUSG00000024293","Esco1",24,0,3,"A5SS,MXE,SE",0,0.051,2,-0.115
"ENSMUSG00000024381","Bin1",16,1,2,"MXE,SE",2,0.033,2,0.149
"ENSMUSG00000024726","Carnmt1",8,0,1,"SE",0,0.057,2,0.016
"ENSMUSG00000024887","Asah2",6,0,2,"A3SS,SE",0,0.028,2,-0.18
"ENSMUSG00000024983","Vti1a",11,1,2,"MXE,SE",3,0.049,2,0.214
"ENSMUSG00000025019","Lcor",32,1,2,"MXE,SE",0,0.055,2,-0.038
"ENSMUSG00000025138","Sirt7",8,3,2,"RI,SE",0,0.126,2,-0.209
"ENSMUSG00000025217","Btrc",45,3,3,"A5SS,MXE,SE",0,0.048,2,-0.062
"ENSMUSG00000025816","Sec61a2",17,1,3,"A5SS,MXE,SE",0,0.014,2,-0.019
"ENSMUSG00000026113","Inpp4a",12,3,4,"A3SS,A5SS,MXE,SE",2,0.058,2,0.206
"ENSMUSG00000026648","Dclre1c",12,3,3,"A3SS,A5SS,SE",0,0.101,2,-0.205
"ENSMUSG00000026672","Optn",8,1,3,"MXE,RI,SE",0,0.039,2,-0.116
"ENSMUSG00000029095","Ablim2",23,0,2,"MXE,SE",0,0.067,2,0.202
"ENSMUSG00000029462","Vps29",12,0,2,"A3SS,SE",2,0.03,2,0.138
"ENSMUSG00000029761","Cald1",13,2,2,"A5SS,SE",0,0.041,2,-0.104
"ENSMUSG00000029823","Luc7l2",39,4,3,"A5SS,MXE,SE",1,0.07,2,0.032
"ENSMUSG00000030089","Slc41a3",2,1,1,"SE",0,0.148,2,0.196
"ENSMUSG00000030172","Erc1",22,0,3,"A5SS,MXE,SE",1,0.027,2,0.146
"ENSMUSG00000030231","Plekha5",29,2,4,"A3SS,MXE,RI,SE",1,0.04,2,0.005
"ENSMUSG00000031012","Cask",13,2,3,"A5SS,MXE,SE",2,0.033,2,0.138
"ENSMUSG00000031256","Cstf2",13,4,3,"A3SS,RI,SE",0,0.075,2,0.155
"ENSMUSG00000031561","Tenm3",12,1,2,"MXE,SE",3,0.041,2,0.198
"ENSMUSG00000031671","Setd6",16,4,3,"A5SS,MXE,SE",0,0.074,2,-0.192
"ENSMUSG00000031865","Dctn1",22,1,2,"MXE,SE",8,0.043,2,0.062
"ENSMUSG00000032076","Cadm1",7,0,2,"MXE,SE",0,0.018,2,0.124
"ENSMUSG00000032413","Rasa2",13,0,5,"A3SS,A5SS,MXE,RI,SE",0,0.01,2,-0.168
"ENSMUSG00000032534","Cep63",14,3,2,"MXE,SE",1,0.108,2,0.092
"ENSMUSG00000032599","Ip6k2",15,1,3,"A3SS,MXE,SE",0,0.044,2,0.171
"ENSMUSG00000032826","Ank2",21,1,2,"A3SS,SE",3,0.034,2,0.165
"ENSMUSG00000033419","Snap91",52,1,2,"MXE,SE",6,0.029,2,0.202
"ENSMUSG00000033486","Catsper2",14,2,2,"MXE,SE",1,0.072,2,0.003
"ENSMUSG00000034518","Hmgxb4",5,2,2,"RI,SE",0,0.076,2,0.035
"ENSMUSG00000034842","Art3",7,0,2,"A5SS,SE",1,0.038,2,-0.124
"ENSMUSG00000034908","Sidt2",22,0,3,"MXE,RI,SE",1,0.033,2,0.136
"ENSMUSG00000035133","Arhgap5",7,0,2,"A3SS,SE",0,0.027,2,-0.136
"ENSMUSG00000035227","Spcs2",8,0,1,"SE",0,0.02,2,-0.009
"ENSMUSG00000035284","Vps13c",16,0,2,"MXE,SE",0,0.027,2,0.195
"ENSMUSG00000035640","Cbarp",9,3,2,"A5SS,SE",0,0.095,2,-0.15
"ENSMUSG00000036644","Tbc1d9b",10,0,2,"MXE,SE",0,0.031,2,0.196
"ENSMUSG00000037426","Depdc5",35,1,3,"A3SS,MXE,SE",0,0.025,2,0.132
"ENSMUSG00000037533","Rapgef6",14,0,2,"MXE,SE",2,0.019,2,0.014
"ENSMUSG00000037994","Slc9b2",16,4,2,"MXE,SE",0,0.047,2,0.126
"ENSMUSG00000038485","Socs7",6,0,2,"MXE,SE",0,0.011,2,0.146
"ENSMUSG00000038495","Otud7b",10,2,2,"MXE,SE",0,0.07,2,-0.004
"ENSMUSG00000038618","Rassf7",7,0,3,"A3SS,RI,SE",0,0.054,2,-0.116
"ENSMUSG00000038831","Ralgps1",35,0,3,"A3SS,MXE,SE",0,0.037,2,0.162
"ENSMUSG00000039844","Rapgef1",24,1,3,"A3SS,MXE,SE",0,0.049,2,0.145
"ENSMUSG00000040225","Prrc2c",20,2,4,"A3SS,A5SS,MXE,SE",0,0.031,2,-0.153
"ENSMUSG00000040481","Bptf",16,4,2,"MXE,SE",0,0.042,2,-0.124
"ENSMUSG00000041264","Uspl1",13,2,4,"A3SS,A5SS,RI,SE",0,0.046,2,-0.162
"ENSMUSG00000041609","Bicdl1",6,2,2,"A5SS,SE",1,0.058,2,0.162
"ENSMUSG00000041936","Agrn",33,1,5,"A3SS,A5SS,MXE,RI,SE",4,0.024,2,0.226
"ENSMUSG00000042138","Msantd2",7,3,2,"A3SS,SE",0,0.092,2,-0.02
"ENSMUSG00000042870","Tom1",18,1,2,"MXE,SE",0,0.058,2,0.205
"ENSMUSG00000043019","Edem3",6,0,3,"A3SS,A5SS,SE",1,0.015,2,0.11
"ENSMUSG00000043323","Fbrsl1",29,2,2,"MXE,SE",5,0.039,2,-0.136
"ENSMUSG00000045031","Cetn4",4,2,2,"RI,SE",0,0.144,2,-0.249
"ENSMUSG00000045095","Magi1",19,2,3,"A3SS,MXE,SE",0,0.037,2,0.164
"ENSMUSG00000045349","Sh2d5",26,2,2,"MXE,SE",0,0.068,2,0.2
"ENSMUSG00000045482","Trrap",28,0,5,"A3SS,A5SS,MXE,RI,SE",2,0.009,2,0.287
"ENSMUSG00000045679","Pqlc3",7,1,3,"A3SS,RI,SE",0,0.084,2,-0.185
"ENSMUSG00000047021","Cfap65",11,2,2,"MXE,SE",0,0.077,2,-0.045
"ENSMUSG00000048078","Tenm4",16,0,3,"A3SS,MXE,SE",2,0.073,2,0.148
"ENSMUSG00000048652","Samd13",4,0,2,"MXE,SE",0,0.063,2,0.137
"ENSMUSG00000048677","Tpcn2",15,1,3,"A3SS,A5SS,SE",0,0.041,2,-0.001
"ENSMUSG00000051048","P4ha3",8,0,3,"A5SS,MXE,SE",0,0.041,2,0.236
"ENSMUSG00000051510","Mafg",2,1,1,"SE",0,0.096,2,0.179
"ENSMUSG00000053617","Sh3pxd2a",12,0,2,"MXE,SE",1,0.027,2,0.145
"ENSMUSG00000055762","Eef1d",22,0,4,"A3SS,MXE,RI,SE",5,0.012,2,0.143
"ENSMUSG00000055923","Aasdh",17,0,4,"A5SS,MXE,RI,SE",0,0.038,2,0.197
"ENSMUSG00000056917","Sipa1",20,0,2,"A3SS,SE",2,0.045,2,0.28
"ENSMUSG00000057335","Cep170",16,5,5,"A3SS,A5SS,MXE,RI,SE",0,0.064,2,-0.002
"ENSMUSG00000060450","Rnf14",54,3,4,"A3SS,A5SS,MXE,SE",0,0.035,2,-0.264
"ENSMUSG00000061306","Slc38a10",35,0,3,"A3SS,MXE,SE",1,0.023,2,0.25
"ENSMUSG00000061613","U2af1",18,3,2,"MXE,SE",0,0.046,2,0.15
"ENSMUSG00000062604","Srpk2",25,0,2,"MXE,SE",1,0.018,2,-0.05
"ENSMUSG00000062785","Kcnc3",9,2,2,"A3SS,SE",2,0.079,2,0.238
"ENSMUSG00000062991","Nrg1",11,2,2,"MXE,SE",2,0.1,2,-0.222
"ENSMUSG00000063142","Kcnma1",13,1,3,"A3SS,MXE,SE",2,0.066,2,-0.101
"ENSMUSG00000063659","Zbtb18",10,3,2,"RI,SE",0,0.132,2,-0.181
"ENSMUSG00000066235","Pomgnt2",13,3,3,"A3SS,MXE,SE",0,0.092,2,0.34
"ENSMUSG00000067367","Lyar",14,0,3,"A3SS,A5SS,SE",0,0.015,2,-0.171
"ENSMUSG00000069631","Strada",17,3,3,"A5SS,MXE,SE",3,0.051,2,0.13
"ENSMUSG00000073016","Uprt",8,2,2,"MXE,SE",0,0.053,2,-0.154
"ENSMUSG00000073427","Gm4924",7,1,2,"MXE,SE",0,0.071,2,0.274
"ENSMUSG00000073779","Lrp8os2",3,0,1,"SE",0,0.191,2,0.55
"ENSMUSG00000074513","Arfip1",43,0,3,"A5SS,MXE,SE",0,0.016,2,-0.199
"ENSMUSG00000087380","2210408F21Rik",108,17,5,"A3SS,A5SS,MXE,RI,SE",2,0.061,2,-0.368
"ENSMUSG00000092165","Gm5624",14,0,3,"A3SS,MXE,SE",0,0.084,2,0.115
"ENSMUSG00000097068","Gm26760",24,4,3,"A3SS,RI,SE",0,0.074,2,-0.167
"ENSMUSG00000097755","2010110K18Rik",11,0,5,"A3SS,A5SS,MXE,RI,SE",0,0.049,2,-0.176
"ENSMUSG00000097910","Hdnr",34,2,4,"A3SS,A5SS,MXE,SE",0,0.051,2,0.03
"ENSMUSG00000113204","Gm46430",19,1,4,"A3SS,MXE,RI,SE",0,0.101,2,-0.406
"ENSMUSG00000119993","Gm32085",10,0,3,"A3SS,A5SS,SE",0,0.069,2,0.248
"ENSMUSG00000000538","Tom1l2",21,2,2,"MXE,SE",0,0.031,1,-0.151
"ENSMUSG00000000568","Hnrnpd",5,1,1,"SE",0,0.076,1,0.202
"ENSMUSG00000000827","Tpd52l2",7,0,1,"SE",1,0.024,1,0.106
"ENSMUSG00000001053","N4bp3",4,2,1,"SE",0,0.198,1,0.176
"ENSMUSG00000001120","Pcbp3",70,2,4,"A3SS,A5SS,MXE,SE",3,0.021,1,0.179
"ENSMUSG00000001248","Gramd1a",26,0,5,"A3SS,A5SS,MXE,RI,SE",2,0.018,1,0.183
"ENSMUSG00000001419","Mef2d",12,0,2,"MXE,SE",1,0.041,1,-0.326
"ENSMUSG00000001576","Ergic1",20,1,2,"MXE,SE",0,0.028,1,-0.156
"ENSMUSG00000001995","Sipa1l2",13,1,2,"MXE,SE",0,0.023,1,0.123
"ENSMUSG00000002031","Ift46",26,3,3,"A3SS,MXE,SE",0,0.071,1,0.103
"ENSMUSG00000002265","Peg3",12,0,3,"A3SS,MXE,SE",0,0.015,1,0.146
"ENSMUSG00000002428","Hltf",3,0,1,"SE",0,0.005,1,-0.134
"ENSMUSG00000002524","Puf60",6,1,2,"MXE,SE",0,0.039,1,0.103
"ENSMUSG00000002608","Ccdc97",5,0,1,"SE",0,0.034,1,-0.394
"ENSMUSG00000002845","Tmem39a",10,0,3,"A3SS,MXE,SE",0,0.013,1,0.13
"ENSMUSG00000002885","Adgre5",8,2,2,"MXE,SE",0,0.069,1,0.212
"ENSMUSG00000003119","Cdk12",5,0,2,"MXE,SE",0,0.021,1,0.185
"ENSMUSG00000003131","Pafah1b2",11,1,3,"A3SS,MXE,SE",0,0.048,1,-0.491
"ENSMUSG00000003341","Atp8b3",18,2,3,"A3SS,MXE,SE",0,0.074,1,-0.173
"ENSMUSG00000003810","Mast2",24,0,3,"A3SS,MXE,SE",2,0.021,1,0.248
"ENSMUSG00000003813","Rad23a",9,0,2,"A3SS,SE",0,0.013,1,-0.209
"ENSMUSG00000003847","Nfat5",17,1,3,"A3SS,MXE,SE",0,0.02,1,0.165
"ENSMUSG00000003863","Ppfia3",4,0,3,"A5SS,RI,SE",1,0.027,1,0.239
"ENSMUSG00000004285","Atp6v1f",2,1,1,"SE",0,0.1,1,0.307
"ENSMUSG00000004319","Clcn3",20,2,5,"A3SS,A5SS,MXE,RI,SE",0,0.022,1,-0.103
"ENSMUSG00000004561","Mettl17",14,2,4,"A3SS,A5SS,RI,SE",0,0.063,1,-0.157
"ENSMUSG00000004562","Arhgef40",32,3,5,"A3SS,A5SS,MXE,RI,SE",1,0.029,1,-0.176
"ENSMUSG00000004631","Sgce",17,2,2,"A3SS,SE",1,0.08,1,-0.315
"ENSMUSG00000004698","Hdac9",3,1,2,"A3SS,SE",0,0.057,1,-0.113
"ENSMUSG00000004771","Rab11a",4,0,1,"SE",0,0.011,1,-0.167
"ENSMUSG00000004980","Hnrnpa2b1",29,2,4,"A3SS,A5SS,MXE,SE",3,0.02,1,-0.167
"ENSMUSG00000004994","Ccdc130",3,1,2,"A5SS,SE",0,0.042,1,-0.115
"ENSMUSG00000005881","Ergic3",12,0,4,"A3SS,MXE,RI,SE",1,0.013,1,0.169
"ENSMUSG00000005899","Smpd4",13,2,4,"A3SS,MXE,RI,SE",0,0.058,1,0.13
"ENSMUSG00000006281","Tep1",6,1,2,"A3SS,SE",0,0.033,1,-0.126
"ENSMUSG00000006315","Tmem147",38,0,4,"A3SS,A5SS,MXE,SE",0,0.019,1,0.195
"ENSMUSG00000006362","Cbfa2t3",3,0,1,"SE",0,0.023,1,-0.124
"ENSMUSG00000006476","Nsmf",16,1,2,"MXE,SE",2,0.028,1,-0.121
"ENSMUSG00000006649","Nphs1",13,3,4,"A3SS,MXE,RI,SE",1,0.123,1,-0.291
"ENSMUSG00000006958","Chrd",12,4,4,"A3SS,A5SS,RI,SE",0,0.13,1,-0.358
"ENSMUSG00000007035","Msh5",50,2,4,"A3SS,A5SS,MXE,SE",0,0.048,1,-0.162
"ENSMUSG00000007570","Fance",8,1,3,"A3SS,RI,SE",0,0.068,1,-0.124
"ENSMUSG00000008855","Hdac5",41,1,5,"A3SS,A5SS,MXE,RI,SE",0,0.025,1,0.131
"ENSMUSG00000009073","Nf2",17,0,2,"MXE,SE",0,0.021,1,0.174
"ENSMUSG00000009079","Ewsr1",22,0,4,"A3SS,A5SS,MXE,SE",1,0.01,1,0.222
"ENSMUSG00000009621","Vav2",11,2,1,"SE",2,0.032,1,0.112
"ENSMUSG00000009741","Ubp1",27,4,5,"A3SS,A5SS,MXE,RI,SE",0,0.031,1,-0.151
"ENSMUSG00000010554","Mettl16",19,1,2,"MXE,SE",0,0.022,1,-0.133
"ENSMUSG00000012609","Ttll5",29,1,4,"A3SS,A5SS,MXE,SE",0,0.021,1,-0.119
"ENSMUSG00000013033","Adgrl1",8,1,2,"RI,SE",3,0.037,1,0.109
"ENSMUSG00000014355","Anapc1",15,0,2,"MXE,SE",0,0.01,1,-0.16
"ENSMUSG00000014418","Hps5",14,0,5,"A3SS,A5SS,MXE,RI,SE",0,0.029,1,0.156
"ENSMUSG00000014554","Dguok",8,1,2,"MXE,SE",0,0.035,1,-0.111
"ENSMUSG00000015149","Sirt2",20,1,4,"A3SS,MXE,RI,SE",0,0.024,1,0.106
"ENSMUSG00000015222","Map2",20,1,3,"A3SS,MXE,SE",0,0.04,1,-0.2
"ENSMUSG00000015243","Abca1",4,1,2,"MXE,SE",0,0.047,1,0.16
"ENSMUSG00000015501","Hivep2",7,1,1,"SE",0,0.043,1,-0.278
"ENSMUSG00000015659","Serac1",10,0,2,"MXE,SE",0,0.044,1,0.163
"ENSMUSG00000015942","Gtf2ird2",2,0,2,"A5SS,SE",0,0.031,1,-0.133
"ENSMUSG00000016200","Syt14",8,1,2,"MXE,SE",0,0.05,1,0.138
"ENSMUSG00000016346","Kcnq2",29,1,4,"A3SS,A5SS,RI,SE",1,0.055,1,0.153
"ENSMUSG00000016664","Pacsin2",8,1,2,"RI,SE",1,0.021,1,0.132
"ENSMUSG00000017210","Med24",10,1,4,"A5SS,MXE,RI,SE",0,0.021,1,0.179
"ENSMUSG00000017307","Acot8",6,0,2,"A5SS,SE",0,0.023,1,-0.168
"ENSMUSG00000017421","Zfp207",7,2,2,"MXE,SE",0,0.06,1,-0.118
"ENSMUSG00000017478","Zc3h18",11,1,2,"MXE,SE",1,0.025,1,0.143
"ENSMUSG00000017652","Cd40",23,1,4,"A3SS,MXE,RI,SE",0,0.023,1,-0.152
"ENSMUSG00000017677","Wsb1",11,1,3,"A3SS,MXE,SE",0,0.051,1,-0.281
"ENSMUSG00000018334","Ksr1",4,0,1,"SE",0,0.059,1,0.203
"ENSMUSG00000018428","Akap1",10,0,2,"MXE,SE",1,0.015,1,-0.427
"ENSMUSG00000018537","Pcgf2",10,0,2,"A3SS,SE",0,0.031,1,-0.328
"ENSMUSG00000018820","Zfyve27",9,0,2,"MXE,SE",1,0.021,1,0.131
"ENSMUSG00000018865","Sult4a1",9,1,2,"MXE,SE",0,0.023,1,0.201
"ENSMUSG00000018986","Slfn3",1,1,1,"SE",0,0.187,1,-0.152
"ENSMUSG00000018999","Slc35b4",4,1,3,"A3SS,RI,SE",0,0.064,1,-0.138
"ENSMUSG00000019732","Calr3",1,1,1,"SE",0,0.128,1,0.128
"ENSMUSG00000020078","Vps26a",19,1,2,"MXE,SE",0,0.019,1,-0.216
"ENSMUSG00000020198","Ap3d1",23,2,3,"A3SS,MXE,SE",0,0.022,1,-0.228
"ENSMUSG00000020220","Vps13d",17,0,3,"A3SS,MXE,SE",0,0.024,1,0.21
"ENSMUSG00000020231","Dip2a",13,0,4,"A3SS,MXE,RI,SE",1,0.009,1,0.168
"ENSMUSG00000020250","Txnrd1",14,0,3,"MXE,RI,SE",0,0.003,1,-0.218
"ENSMUSG00000020284","Cfap410",9,0,3,"A5SS,RI,SE",1,0.033,1,-0.317
"ENSMUSG00000020400","Tnip1",10,1,3,"A3SS,MXE,SE",0,0.032,1,-0.105
"ENSMUSG00000020409","Slu7",5,1,2,"MXE,SE",0,0.024,1,0.139
"ENSMUSG00000020451","Limk2",19,3,3,"A5SS,MXE,SE",1,0.061,1,-0.127
"ENSMUSG00000020454","Eif4enif1",21,0,4,"A3SS,A5SS,MXE,SE",0,0.017,1,0.102
"ENSMUSG00000020458","Rtn4",12,1,2,"MXE,SE",0,0.028,1,-0.197
"ENSMUSG00000020527","Myo19",11,1,3,"MXE,RI,SE",0,0.057,1,-0.162
"ENSMUSG00000020646","Mboat2",4,0,1,"SE",0,0.057,1,-0.22
"ENSMUSG00000020680","Taf15",25,1,3,"MXE,RI,SE",0,0.043,1,-0.286
"ENSMUSG00000020717","Pecam1",10,0,2,"MXE,SE",2,0.051,1,0.118
"ENSMUSG00000020732","Rab37",1,1,1,"SE",0,0.132,1,-0.178
"ENSMUSG00000020859","Spag9",16,1,4,"A3SS,MXE,RI,SE",4,0.034,1,0.196
"ENSMUSG00000021012","Zc3h14",25,2,4,"A3SS,MXE,RI,SE",0,0.029,1,-0.101
"ENSMUSG00000021033","Gstz1",10,1,2,"MXE,SE",0,0.026,1,0.142
"ENSMUSG00000021198","Unc79",20,2,3,"A3SS,MXE,SE",1,0.037,1,0.285
"ENSMUSG00000021276","Cinp",8,2,2,"RI,SE",0,0.074,1,-0.331
"ENSMUSG00000021375","Kif13a",9,2,2,"MXE,SE",1,0.07,1,0.115
"ENSMUSG00000021413","Prpf4b",7,1,1,"SE",0,0.061,1,-0.234
"ENSMUSG00000021427","Ssr1",1,0,1,"SE",1,0.058,1,0.156
"ENSMUSG00000021432","Slc35b3",18,0,4,"A3SS,A5SS,MXE,SE",0,0.04,1,-0.124
"ENSMUSG00000021461","Fancc",9,0,2,"RI,SE",0,0.025,1,-0.193
"ENSMUSG00000021482","Prxl2c",3,1,1,"SE",0,0.062,1,0.127
"ENSMUSG00000021495","Fam193b",16,2,2,"MXE,SE",0,0.041,1,-0.11
"ENSMUSG00000021548","Ccnh",18,0,3,"A3SS,MXE,SE",0,0.014,1,-0.285
"ENSMUSG00000021557","Agtpbp1",20,1,5,"A3SS,A5SS,MXE,RI,SE",0,0.026,1,0.119
"ENSMUSG00000021686","Ap3b1",38,0,3,"A5SS,MXE,SE",0,0.009,1,0.15
"ENSMUSG00000021693","Kif2a",9,2,2,"A5SS,SE",0,0.039,1,-0.145
"ENSMUSG00000021747","Cfap20dc",2,1,1,"SE",0,0.101,1,-0.108
"ENSMUSG00000021782","Dlg5",6,1,3,"A3SS,A5SS,SE",0,0.047,1,0.159
"ENSMUSG00000021809","Nudt13",21,7,3,"A5SS,RI,SE",0,0.095,1,-0.134
"ENSMUSG00000021832","Psmc6",18,0,4,"A5SS,MXE,RI,SE",0,0.023,1,-0.2
"ENSMUSG00000021838","Samd4",5,0,2,"MXE,SE",0,0.04,1,-0.15
"ENSMUSG00000021843","Ktn1",18,1,3,"A5SS,MXE,SE",0,0.043,1,-0.143
"ENSMUSG00000021895","Arhgef3",2,0,1,"SE",0,0.077,1,-0.238
"ENSMUSG00000021902","Phf7",12,2,3,"A3SS,MXE,SE",0,0.04,1,0.114
"ENSMUSG00000021969","Zdhhc20",12,0,2,"MXE,SE",2,0.016,1,0.196
"ENSMUSG00000021972","Hmbox1",13,0,3,"A3SS,MXE,SE",0,0.019,1,-0.127
"ENSMUSG00000022099","Dmtn",6,2,1,"SE",0,0.066,1,-0.117
