"event_key","event_type","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","exon_length","size_category","dPSI","FDR"
"chr6:86959523:86959625:86948068:86972821:SE","SE","ENSMUSG00000057230","Aak1","chr6","+",86959523,86959625,102,"Regular (>50bp)",0.249,0.0394071031591184
"chr7:97207337:97207433:97199948:97224794:SE","SE","ENSMUSG00000035642","Aamdc","chr7","-",97207337,97207433,96,"Regular (>50bp)",-0.156,0.00643484327265245
"chr5:77052055:77052227:77050032:77053269:SE","SE","ENSMUSG00000055923","Aasdh","chr5","-",77052055,77052227,172,"Regular (>50bp)",0.126,0.000104640322013653
"chr5:77052805:77052859:77050032:77053269:SE","SE","ENSMUSG00000055923","Aasdh","chr5","-",77052805,77052859,54,"Regular (>50bp)",0.268,0.0430143432113624
"chr9:4303093:4303215:4302631:4309253:SE","SE","ENSMUSG00000025894","Aasdhppt","chr9","-",4303093,4303215,122,"Regular (>50bp)",-0.116,1.70612272794466e-09
"chr4:53059256:53059362:53051009:53060332:SE","SE","ENSMUSG00000015243","Abca1","chr4","-",53059256,53059362,106,"Regular (>50bp)",0.16,0.000571507494680922
"chr5:36000511:36000610:35998745:36006147:SE","SE","ENSMUSG00000029095","Ablim2","chr5","+",36000511,36000610,99,"Regular (>50bp)",0.287,8.45108528612711e-10
"chr5:36024048:36024110:36015308:36031976:SE","SE","ENSMUSG00000029095","Ablim2","chr5","+",36024048,36024110,62,"Regular (>50bp)",0.117,0.000240272135459985
"chr18:61952059:61952158:61950040:61952861:SE","SE","ENSMUSG00000032735","Ablim3","chr18","-",61952059,61952158,99,"Regular (>50bp)",0.285,0.0228211594612125
"chr2:22970679:22970712:22970465:22977496:SE","SE","ENSMUSG00000026781","Acbd5","chr2","+",22970679,22970712,33,"Small (30-50bp)",0.171,1.77638802543842e-12
"chr2:164644916:164645053:164641865:164646609:SE","SE","ENSMUSG00000017307","Acot8","chr2","-",164644916,164645053,137,"Regular (>50bp)",-0.168,7.62702722543162e-08
"chr5:137552774:137552940:137552402:137561368:SE","SE","ENSMUSG00000029712","Actl6b","chr5","+",137552774,137552940,166,"Regular (>50bp)",0.179,0.00268044571686485
"chr5:8136593:8136623:8132269:8161894:SE","SE","ENSMUSG00000040537","Adam22","chr5","-",8136593,8136623,30,"Microexon (0-30bp)",0.13,0.00900364149579749
"chr10:10302342:10302477:10298504:10306814:SE","SE","ENSMUSG00000050994","Adgb","chr10","-",10302342,10302477,135,"Regular (>50bp)",-0.259,0.0391094494335883
"chr8:84456739:84456886:84456154:84460042:SE","SE","ENSMUSG00000002885","Adgre5","chr8","-",84456739,84456886,147,"Regular (>50bp)",0.212,0.00158421278587421
"chr8:84650834:84650984:84649737:84656092:SE","SE","ENSMUSG00000013033","Adgrl1","chr8","+",84650834,84650984,150,"Regular (>50bp)",0.109,2.50717601519826e-05
"chr3:148526915:148527044:148526104:148528590:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148526915,148527044,129,"Regular (>50bp)",-0.168,0.00109751147190297
"chr3:148532847:148532874:148532169:148533176:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148532847,148532874,27,"Microexon (0-30bp)",0.203,0.000209883033950081
"chr3:148566062:148566074:148565169:148571235:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148566062,148566074,12,"Microexon (0-30bp)",0.142,8.24021668515075e-05
"chr17:14111224:14111260:14109239:14116349:SE","SE","ENSMUSG00000068036","Afdn","chr17","+",14111224,14111260,36,"Small (30-50bp)",0.179,0
"chr5:31048217:31048304:31048114:31048403:SE","SE","ENSMUSG00000029165","Agbl5","chr5","+",31048217,31048304,87,"Regular (>50bp)",-0.115,0.000989570895247771
"chr6:40331947:40332027:40331741:40333978:SE","SE","ENSMUSG00000029916","Agk","chr6","+",40331947,40332027,80,"Regular (>50bp)",-0.371,5.81956058883445e-07
"chr4:156252233:156252266:156251963:156253002:SE","SE","ENSMUSG00000041936","Agrn","chr4","-",156252233,156252266,33,"Small (30-50bp)",0.13,4.01171260164633e-06
"chr4:156253002:156253026:156252266:156253189:SE","SE","ENSMUSG00000041936","Agrn","chr4","-",156253002,156253026,24,"Microexon (0-30bp)",0.323,0.00409956888691432
"chr13:59665466:59665504:59662109:59672959:SE","SE","ENSMUSG00000021557","Agtpbp1","chr13","-",59665466,59665504,38,"Small (30-50bp)",0.119,5.21793667820254e-06
"chr11:88734415:88734522:88732128:88734637:SE","SE","ENSMUSG00000018428","Akap1","chr11","-",88734415,88734522,107,"Regular (>50bp)",-0.427,3.36830553172877e-06
"chr2:128520130:128520204:128518167:128526421:SE","SE","ENSMUSG00000014355","Anapc1","chr2","-",128520130,128520204,74,"Regular (>50bp)",-0.16,0.000725808744230392
"chr3:126757031:126757130:126756054:126758586:SE","SE","ENSMUSG00000032826","Ank2","chr3","-",126757031,126757130,99,"Regular (>50bp)",0.192,7.50203677072801e-08
"chr3:126772904:126772916:126770596:126775448:SE","SE","ENSMUSG00000032826","Ank2","chr3","-",126772904,126772916,12,"Microexon (0-30bp)",0.138,0.00303344410374097
"chr10:69765276:69765288:69763648:69768223:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69765276,69765288,12,"Microexon (0-30bp)",0.251,0.00548380560396285
"chr10:69789269:69789302:69786888:69791755:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69789269,69789302,33,"Small (30-50bp)",0.185,0.0151230474700185
"chr10:69816653:69816680:69816224:69817945:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69816653,69816680,27,"Microexon (0-30bp)",0.187,0.000174189054449646
"chr10:69837752:69838061:69835328:69838340:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69837752,69838061,309,"Regular (>50bp)",-0.131,0.00232754871876646
"chr8:11670261:11670373:11669297:11678438:SE","SE","ENSMUSG00000031508","Ankrd10","chr8","-",11670261,11670373,112,"Regular (>50bp)",0.12,2.84843869066929e-05
"chr10:81470500:81470587:81465582:81470698:SE","SE","ENSMUSG00000054708","Ankrd24","chr10","+",81470500,81470587,87,"Regular (>50bp)",-0.251,0.00399090106339603
"chr13:94680491:94680530:94679384:94684262:SE","SE","ENSMUSG00000021686","Ap3b1","chr13","+",94680491,94680530,39,"Small (30-50bp)",0.15,0
"chr10:80545922:80546126:80545790:80546253:SE","SE","ENSMUSG00000020198","Ap3d1","chr10","-",80545922,80546126,204,"Regular (>50bp)",-0.228,0
"chr18:46916825:46916866:46913835:46921723:SE","SE","ENSMUSG00000024480","Ap3s1","chr18","+",46916825,46916866,41,"Small (30-50bp)",-0.757,0.000578400887225834
"chr2:180620963:180621020:180619145:180621453:SE","SE","ENSMUSG00000027575","Arfgap1","chr2","+",180620963,180621020,57,"Regular (>50bp)",-0.183,0.0111501582822928
"chr3:84426788:84427010:84405198:84441893:SE","SE","ENSMUSG00000074513","Arfip1","chr3","-",84426788,84427010,222,"Regular (>50bp)",-0.199,0.00908959023874941
"chr3:84426788:84427010:84417289:84455240:SE","SE","ENSMUSG00000074513","Arfip1","chr3","-",84426788,84427010,222,"Regular (>50bp)",-0.199,0.00323129162114401
"chr2:91482108:91482168:91480597:91484417:SE","SE","ENSMUSG00000027247","Arhgap1","chr2","+",91482108,91482168,60,"Regular (>50bp)",0.17,7.37127930058624e-06
"chr18:6111684:6112439:6070091:6135803:SE","SE","ENSMUSG00000041225","Arhgap12","chr18","-",6111684,6112439,755,"Regular (>50bp)",0.105,0.0196174305361452
"chr2:20888010:20888040:20886662:20891916:SE","SE","ENSMUSG00000036591","Arhgap21","chr2","-",20888010,20888040,30,"Microexon (0-30bp)",0.21,4.24107750950333e-05
"chr11:97382469:97382492:97382056:97383876:SE","SE","ENSMUSG00000049807","Arhgap23","chr11","+",97382469,97382492,23,"Microexon (0-30bp)",0.228,8.00498907670246e-13
"chr7:30233527:30233637:30232457:30234350:SE","SE","ENSMUSG00000036882","Arhgap33","chr7","-",30233527,30233637,110,"Regular (>50bp)",0.106,0.00115534978083547
"chr15:76614563:76614656:76611676:76619076:SE","SE","ENSMUSG00000033697","Arhgap39","chr15","-",76614563,76614656,93,"Regular (>50bp)",0.25,2.32344502416303e-10
"chr12:52562889:52566750:52550831:52589271:SE","SE","ENSMUSG00000035133","Arhgap5","chr12","+",52562889,52566750,3861,"Regular (>50bp)",-0.101,0.00383304362850267
"chr12:52562889:52566750:52550831:52589274:SE","SE","ENSMUSG00000035133","Arhgap5","chr12","+",52562889,52566750,3861,"Regular (>50bp)",-0.171,0.0294509356085971
"chr7:24617944:24617956:24617425:24618608:SE","SE","ENSMUSG00000040940","Arhgef1","chr7","+",24617944,24617956,12,"Microexon (0-30bp)",0.131,0.000225967412359808
"chr8:14992609:14992726:14990372:14995279:SE","SE","ENSMUSG00000071176","Arhgef10","chr8","+",14992609,14992726,117,"Regular (>50bp)",-0.118,0.00486650585162723
"chr3:87625535:87625565:87624827:87629663:SE","SE","ENSMUSG00000041977","Arhgef11","chr3","+",87625535,87625565,30,"Microexon (0-30bp)",0.146,2.78873270258153e-06
"chr4:140973256:140973363:140972277:140973485:SE","SE","ENSMUSG00000028919","Arhgef19","chr4","+",140973256,140973363,107,"Regular (>50bp)",-0.18,0.0177267819373497
"chr14:26865949:26866087:26836880:26874918:SE","SE","ENSMUSG00000021895","Arhgef3","chr14","+",26865949,26866087,138,"Regular (>50bp)",-0.238,1.00228474147005e-05
"chr14:52242335:52242356:52242199:52242445:SE","SE","ENSMUSG00000004562","Arhgef40","chr14","+",52242335,52242356,21,"Microexon (0-30bp)",-0.176,0.00878694833148361
"chr5:92553801:92553838:92552725:92557128:SE","SE","ENSMUSG00000034842","Art3","chr5","+",92553801,92553838,37,"Small (30-50bp)",-0.136,7.53265193187456e-06
"chr5:92553802:92553838:92552725:92557128:SE","SE","ENSMUSG00000034842","Art3","chr5","+",92553802,92553838,36,"Small (30-50bp)",-0.112,0.0444706993217716
"chr16:18219530:18219548:18219003:18220316:SE","SE","ENSMUSG00000118669","Arvcf","chr16","+",18219530,18219548,18,"Microexon (0-30bp)",0.166,7.88857169241047e-11
"chr19:31969401:31969490:31964347:31981083:SE","SE","ENSMUSG00000024887","Asah2","chr19","-",31969401,31969490,89,"Regular (>50bp)",-0.214,5.9518981425696e-06
"chr19:31972741:31972801:31964347:31981083:SE","SE","ENSMUSG00000024887","Asah2","chr19","-",31972741,31972801,60,"Regular (>50bp)",-0.146,7.62967498533368e-05
"chr7:66327904:66327993:66310003:66328827:SE","SE","ENSMUSG00000030509","Asb7","chr7","-",66327904,66327993,89,"Regular (>50bp)",-0.118,0.00325416271559454
"chr4:9637658:9637703:9635969:9639197:SE","SE","ENSMUSG00000028207","Asph","chr4","-",9637658,9637703,45,"Small (30-50bp)",0.119,4.92559853045606e-10
"chr4:99116792:99116871:99112787:99146633:SE","SE","ENSMUSG00000028550","Atg4c","chr4","+",99116792,99116871,79,"Regular (>50bp)",0.143,0.0321221891972023
"chr6:114649751:114649804:114629512:114649934:SE","SE","ENSMUSG00000030314","Atg7","chr6","+",114649751,114649804,53,"Regular (>50bp)",0.246,0.00355749151789364
"chr9:96222254:96222439:96217515:96227817:SE","SE","ENSMUSG00000032412","Atp1b3","chr9","-",96222254,96222439,185,"Regular (>50bp)",-0.144,0.0190141447503712
"chr9:105370741:105370753:105347346:105371613:SE","SE","ENSMUSG00000032570","Atp2c1","chr9","-",105370741,105370753,12,"Microexon (0-30bp)",0.168,5.43819269842008e-06
"chr16:84630707:84630762:84628395:84630881:SE","SE","ENSMUSG00000022890","Atp5j","chr16","-",84630707,84630762,55,"Regular (>50bp)",-0.108,0.00379255662986247
"chr6:29468965:29469225:29468166:29470065:SE","SE","ENSMUSG00000004285","Atp6v1f","chr6","+",29468965,29469225,260,"Regular (>50bp)",0.307,0.00184387134755415
"chr10:80357844:80357983:80357731:80360162:SE","SE","ENSMUSG00000003341","Atp8b3","chr10","-",80357844,80357983,139,"Regular (>50bp)",-0.173,0.0187672394803098
"chr7:126091615:126091780:126091387:126091929:SE","SE","ENSMUSG00000032637","Atxn2l","chr7","-",126091615,126091780,165,"Regular (>50bp)",-0.169,0.00962200021749424
"chr5:131494869:131494965:131488994:131501096:SE","SE","ENSMUSG00000029673","Auts2","chr5","-",131494869,131494965,96,"Regular (>50bp)",-0.256,0.000706955641110917
"chr17:29501033:29501241:29487976:29512980:SE","SE","ENSMUSG00000052712","BC004004","chr17","+",29501033,29501241,208,"Regular (>50bp)",-0.189,0.000455077797980286
"chr5:149300133:149300256:149292743:149315572:SE","SE","ENSMUSG00000107271","BC028471","chr5","+",149300133,149300256,123,"Regular (>50bp)",-0.161,0.000157722686902773
"chr12:54970169:54970265:54970049:54974348:SE","SE","ENSMUSG00000035021","Baz1a","chr12","-",54970169,54970265,96,"Regular (>50bp)",0.182,0.000440533447488646
"chr2:170198167:170198233:170191383:170220642:SE","SE","ENSMUSG00000013523","Bcas1","chr2","-",170198167,170198233,66,"Regular (>50bp)",0.151,0.000137327647208671
"chr2:170212369:170212411:170191383:170220642:SE","SE","ENSMUSG00000013523","Bcas1","chr2","-",170212369,170212411,42,"Small (30-50bp)",0.139,0.0153058546894426
"chr11:85434753:85434798:85422769:85445015:SE","SE","ENSMUSG00000059439","Bcas3","chr11","+",85434753,85434798,45,"Small (30-50bp)",0.293,0.00387829859243398
"chr8:104908642:104908751:104897636:104937549:SE","SE","ENSMUSG00000031872","Bean1","chr8","+",104908642,104908751,109,"Regular (>50bp)",0.127,0.0496577035286534
"chr4:111311281:111311495:111290750:111316946:SE","SE","ENSMUSG00000028545","Bend5","chr4","+",111311281,111311495,214,"Regular (>50bp)",0.162,0.00698596716560593
"chr5:115789214:115789323:115787628:115789877:SE","SE","ENSMUSG00000041609","Bicdl1","chr5","-",115789214,115789323,109,"Regular (>50bp)",0.199,7.39161978378268e-13
"chr5:115810202:115810214:115808359:115811138:SE","SE","ENSMUSG00000041609","Bicdl1","chr5","-",115810202,115810214,12,"Microexon (0-30bp)",0.126,2.96143813022664e-09
"chr18:32562752:32562776:32559405:32564723:SE","SE","ENSMUSG00000024381","Bin1","chr18","+",32562752,32562776,24,"Microexon (0-30bp)",0.14,0.0132226098273639
"chr18:32562752:32562776:32559405:32565035:SE","SE","ENSMUSG00000024381","Bin1","chr18","+",32562752,32562776,24,"Microexon (0-30bp)",0.158,0.00216435526037455
"chr17:74901316:74901448:74900244:74901864:SE","SE","ENSMUSG00000024073","Birc6","chr17","+",74901316,74901448,132,"Regular (>50bp)",-0.125,0.000266979244688921
"chr3:37077118:37077181:37076623:37080238:SE","SE","ENSMUSG00000037270","Bltp1","chr3","+",37077118,37077181,63,"Regular (>50bp)",0.105,0.00384229255135705
"chr4:84209929:84211899:84194684:84309125:SE","SE","ENSMUSG00000028487","Bnc2","chr4","-",84209929,84211899,1970,"Regular (>50bp)",0.136,0.000444651982563322
"chr11:106935317:106935491:106934651:106937825:SE","SE","ENSMUSG00000040481","Bptf","chr11","-",106935317,106935491,174,"Regular (>50bp)",-0.128,1.50868295563312e-09
"chr11:106977537:106977723:106973526:106986541:SE","SE","ENSMUSG00000040481","Bptf","chr11","-",106977537,106977723,186,"Regular (>50bp)",-0.12,5.21162027294763e-05
"chr7:141552656:141552751:141552459:141554578:SE","SE","ENSMUSG00000053046","Brsk2","chr7","+",141552656,141552751,95,"Regular (>50bp)",-0.147,0.00203657463379124
"chr7:141554578:141554623:141552459:141556211:SE","SE","ENSMUSG00000053046","Brsk2","chr7","+",141554578,141554623,45,"Small (30-50bp)",0.177,3.78981443433466e-06
"chr7:141554578:141554626:141552459:141556211:SE","SE","ENSMUSG00000053046","Brsk2","chr7","+",141554578,141554626,48,"Small (30-50bp)",0.184,0.0014956495206172
"chr7:141554578:141554626:141552751:141556211:SE","SE","ENSMUSG00000053046","Brsk2","chr7","+",141554578,141554626,48,"Small (30-50bp)",0.131,0.03584981861456
"chr19:45394983:45395025:45352325:45425775:SE","SE","ENSMUSG00000025217","Btrc","chr19","+",45394983,45395025,42,"Small (30-50bp)",0.152,0.000812282191415622
"chr19:45394983:45395025:45352713:45444971:SE","SE","ENSMUSG00000025217","Btrc","chr19","+",45394983,45395025,42,"Small (30-50bp)",-0.275,6.97195304985411e-06
"chr7:100029232:100029332:100023740:100039285:SE","SE","ENSMUSG00000047248","C2cd3","chr7","+",100029232,100029332,100,"Regular (>50bp)",0.104,0.00480398491883332
"chr6:143011911:143011944:143007587:143012781:SE","SE","ENSMUSG00000030279","C2cd5","chr6","-",143011911,143011944,33,"Small (30-50bp)",0.132,0
"chr15:5075126:5075265:5052181:5076345:SE","SE","ENSMUSG00000079105","C7","chr15","-",5075126,5075265,139,"Regular (>50bp)",-0.252,4.97860633454228e-05
"chr6:118614690:118614774:118607392:118615387:SE","SE","ENSMUSG00000051331","Cacna1c","chr6","-",118614690,118614774,84,"Regular (>50bp)",0.164,0.00134609347915179
"chr6:118615387:118615471:118614774:118628908:SE","SE","ENSMUSG00000051331","Cacna1c","chr6","-",118615387,118615471,84,"Regular (>50bp)",0.194,0.00456565617361802
"chr6:118651515:118651575:118647417:118652780:SE","SE","ENSMUSG00000051331","Cacna1c","chr6","-",118651515,118651575,60,"Regular (>50bp)",0.149,0.00730401249273278
"chr6:118651515:118651575:118651366:118652780:SE","SE","ENSMUSG00000051331","Cacna1c","chr6","-",118651515,118651575,60,"Regular (>50bp)",0.135,0.00571419597402623
"chr9:47740674:47740707:47725243:47759464:SE","SE","ENSMUSG00000032076","Cadm1","chr9","+",47740674,47740707,33,"Small (30-50bp)",0.142,0.000107598174943054
"chr9:47740674:47740707:47730115:47759464:SE","SE","ENSMUSG00000032076","Cadm1","chr9","+",47740674,47740707,33,"Small (30-50bp)",0.107,0.000165635470976537
"chr6:34724820:34724904:34723574:34730377:SE","SE","ENSMUSG00000029761","Cald1","chr6","+",34724820,34724904,84,"Regular (>50bp)",-0.107,0.00460643952545561
"chr6:34724826:34724904:34723574:34730377:SE","SE","ENSMUSG00000029761","Cald1","chr6","+",34724826,34724904,78,"Regular (>50bp)",-0.101,0.0238396595809722
"chr8:73181005:73181137:73179703:73181913:SE","SE","ENSMUSG00000019732","Calr3","chr8","-",73181005,73181137,132,"Regular (>50bp)",0.128,0.0194428294906984
"chr6:29361558:29361752:29361486:29366038:SE","SE","ENSMUSG00000029767","Calu","chr6","+",29361558,29361752,194,"Regular (>50bp)",-0.112,1.79631380722141e-05
"chr11:5926764:5926893:5922888:5929672:SE","SE","ENSMUSG00000057897","Camk2b","chr11","-",5926764,5926893,129,"Regular (>50bp)",0.178,0.0379841142078612
"chr14:20791445:20791559:20789470:20792772:SE","SE","ENSMUSG00000021820","Camk2g","chr14","-",20791445,20791559,114,"Regular (>50bp)",0.135,5.2875225611611e-06
"chr14:20795859:20795928:20794716:20797886:SE","SE","ENSMUSG00000021820","Camk2g","chr14","-",20795859,20795928,69,"Regular (>50bp)",0.148,0.0389012429569655
"chr1:136225021:136225054:136221159:136225479:SE","SE","ENSMUSG00000041570","Camsap2","chr1","-",136225021,136225054,33,"Small (30-50bp)",0.246,4.82489615225967e-06
"chr8:106424192:106424273:106424070:106424499:SE","SE","ENSMUSG00000050357","Carmil2","chr8","+",106424192,106424273,81,"Regular (>50bp)",-0.121,0.00105203049955051
"chr19:18667593:18667734:18656631:18668780:SE","SE","ENSMUSG00000024726","Carnmt1","chr19","+",18667593,18667734,141,"Regular (>50bp)",0.219,0.00683387935973327
"chr19:18671012:18671126:18656631:18681383:SE","SE","ENSMUSG00000024726","Carnmt1","chr19","+",18671012,18671126,114,"Regular (>50bp)",-0.187,0.000450270231708783
"chrX:13418611:13418680:13417221:13421116:SE","SE","ENSMUSG00000031012","Cask","chrX","-",13418611,13418680,69,"Regular (>50bp)",0.108,0.00985058287082485
"chrX:13462924:13462942:13453204:13466595:SE","SE","ENSMUSG00000031012","Cask","chrX","-",13462924,13462942,18,"Microexon (0-30bp)",0.169,0
"chr6:42253803:42253864:42250979:42256710:SE","SE","ENSMUSG00000029863","Casp2","chr6","+",42253803,42253864,61,"Regular (>50bp)",0.378,4.31696620727891e-05
"chr1:58843157:58843273:58841852:58863073:SE","SE","ENSMUSG00000026029","Casp8","chr1","+",58843157,58843273,116,"Regular (>50bp)",0.101,0.0014980270218957
"chr2:121230217:121230317:121229950:121240618:SE","SE","ENSMUSG00000033486","Catsper2","chr2","-",121230217,121230317,100,"Regular (>50bp)",-0.128,0.0469947582287635
"chr2:121236809:121236934:121230317:121240618:SE","SE","ENSMUSG00000033486","Catsper2","chr2","-",121236809,121236934,125,"Regular (>50bp)",0.133,0.0090493144473826
"chr10:79972496:79972577:79972328:79972707:SE","SE","ENSMUSG00000035640","Cbarp","chr10","-",79972496,79972577,81,"Regular (>50bp)",-0.106,2.75166287953894e-05
"chr10:79972538:79972577:79972328:79972707:SE","SE","ENSMUSG00000035640","Cbarp","chr10","-",79972538,79972577,39,"Small (30-50bp)",-0.193,6.82236601168504e-07
"chr8:123377068:123377215:123370272:123425553:SE","SE","ENSMUSG00000006362","Cbfa2t3","chr8","-",123377068,123377215,147,"Regular (>50bp)",-0.124,0.0341597244531351
"chrX:7601310:7601409:7600337:7601539:SE","SE","ENSMUSG00000031150","Ccdc120","chrX","-",7601310,7601409,99,"Regular (>50bp)",0.103,0.00302984682487361
"chr8:84985741:84985880:84985555:84986922:SE","SE","ENSMUSG00000004994","Ccdc130","chr8","-",84985741,84985880,139,"Regular (>50bp)",-0.115,5.80600321890986e-09
"chr4:83539061:83539200:83522419:83553876:SE","SE","ENSMUSG00000052407","Ccdc171","chr4","+",83539061,83539200,139,"Regular (>50bp)",0.201,0.000559375073688631
"chr7:127184316:127184433:127184225:127184625:SE","SE","ENSMUSG00000057176","Ccdc189","chr7","-",127184316,127184433,117,"Regular (>50bp)",0.158,0.00142135503983831
