"GeneID","geneSymbol","n_selection_events","event_types","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000069601","Ank3",3,"SE","Microexon (0-30bp); Small (30-50bp)","chr10:69765276-69765288; chr10:69789269-69789302; chr10:69816653-69816680",0.208
"ENSMUSG00000069631","Strada",3,"A5SS; SE","Microexon (0-30bp); Regular (>50bp)","chr11:106071780-106071809; chr11:106075387-106075445; chr11:106077926-106078006",0.135
"ENSMUSG00000074758","Gm5535",3,"SE","Regular (>50bp)","chr2:144016446-144016664; chr2:144031060-144031153; chr2:144031060-144031153",0.234
"ENSMUSG00000086035","Gm12610",3,"MXE; SE","Regular (>50bp)","chr4:89255914-89256050; chr4:89274945-89274997; chr4:89275354-89275446",0.064
"ENSMUSG00000097451","Rian",3,"A5SS; MXE; SE","Regular (>50bp); Small (30-50bp)","chr12:109593481-109593587; chr12:109596454-109596625; chr12:109609847-109609895",0.022
"ENSMUSG00000097755","2010110K18Rik",3,"RI; SE","Regular (>50bp)","chr18:34887728-34889445; chr18:34889051-34889204; chr18:34889051-34889234",-0.178
"ENSMUSG00000119993","Gm32085",3,"A5SS; SE","Regular (>50bp)","chr3:152413486-152413934; chr3:152413486-152413934; chr3:152413486-152414250",0.005
"ENSMUSG00000000386","Mx1",2,"SE","Regular (>50bp)","chr16:97256688-97256843; chr16:97259879-97259932",-0.025
"ENSMUSG00000000631","Myo18a",2,"SE","Regular (>50bp); Small (30-50bp)","chr11:77706681-77706717; chr11:77706681-77706825",0.177
"ENSMUSG00000000881","Dlg3",2,"MXE","Regular (>50bp); Small (30-50bp)","chrX:99851658-99851758; chrX:99855107-99855149",-0.002
"ENSMUSG00000006476","Nsmf",2,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr2:24947976-24947982; chr2:24948264-24948333",0.01
"ENSMUSG00000008855","Hdac5",2,"MXE; SE","Regular (>50bp)","chr11:102104750-102104862; chr11:102112593-102112677",0.255
"ENSMUSG00000013523","Bcas1",2,"SE","Regular (>50bp); Small (30-50bp)","chr2:170198167-170198233; chr2:170212369-170212411",0.145
"ENSMUSG00000014873","Surf2",2,"RI","Regular (>50bp)","chr2:26807439-26809067; chr2:26807439-26809067",-0.113
"ENSMUSG00000015790","Surf1",2,"RI","Regular (>50bp)","chr2:26805607-26806018; chr2:26805607-26806018",-0.151
"ENSMUSG00000018411","Mapt",2,"MXE; SE","Regular (>50bp)","chr11:104185684-104185750; chr11:104196037-104196235",0.148
"ENSMUSG00000020385","Clk4",2,"SE","Regular (>50bp)","chr11:51158991-51159058; chr11:51158991-51159058",-0.218
"ENSMUSG00000021068","Nin",2,"SE","Regular (>50bp)","chr12:70069054-70069115; chr12:70069054-70069115",0.294
"ENSMUSG00000021071","Trim9",2,"SE","Regular (>50bp); Small (30-50bp)","chr12:70301811-70302000; chr12:70314007-70314040",0.162
"ENSMUSG00000021103","Mnat1",2,"SE","Regular (>50bp)","chr12:73217367-73217441; chr12:73225978-73226082",0.171
"ENSMUSG00000021820","Camk2g",2,"MXE; SE","Regular (>50bp); Small (30-50bp)","chr14:20791445-20791559; chr14:20794671-20794716",0.014
"ENSMUSG00000022139","Mbnl2",2,"SE","Small (30-50bp)","chr14:120640747-120640783; chr14:120640747-120640783",0.129
"ENSMUSG00000022607","Ptk2",2,"SE","Regular (>50bp)","chr15:73236889-73237044; chr15:73236889-73237044",-0.219
"ENSMUSG00000022770","Dlg1",2,"SE","Microexon (0-30bp); Small (30-50bp)","chr16:31673470-31673506; chr16:31673485-31673506",0.018
"ENSMUSG00000022838","Eaf2",2,"SE","Regular (>50bp)","chr16:36630833-36630970; chr16:36645019-36645114",-0.22
"ENSMUSG00000022948","Setd4",2,"SE","Regular (>50bp)","chr16:93387143-93388191; chr16:93387761-93388191",0.011
"ENSMUSG00000022973","Synj1",2,"SE","Small (30-50bp)","chr16:90743902-90743941; chr16:90746586-90746625",0.211
"ENSMUSG00000022983","Scaf4",2,"RI","Regular (>50bp)","chr16:90039414-90039846; chr16:90039414-90039846",-0.14
"ENSMUSG00000024044","Epb41l3",2,"MXE; SE","Regular (>50bp)","chr17:69581095-69581161; chr17:69581698-69581890",-0.006
"ENSMUSG00000024163","Mapk8ip3",2,"MXE; SE","Microexon (0-30bp)","chr17:25127384-25127402; chr17:25127384-25127402",-0.021
"ENSMUSG00000024293","Esco1",2,"SE","Regular (>50bp)","chr18:10593745-10595875; chr18:10595675-10595875",-0.115
"ENSMUSG00000024381","Bin1",2,"SE","Microexon (0-30bp)","chr18:32562752-32562776; chr18:32562752-32562776",0.149
"ENSMUSG00000024485","Slc4a9",2,"RI; SE","Regular (>50bp); Small (30-50bp)","chr18:36662739-36662789; chr18:36664152-36664579",-0.07
"ENSMUSG00000024726","Carnmt1",2,"SE","Regular (>50bp)","chr19:18667593-18667734; chr19:18671012-18671126",0.016
"ENSMUSG00000024887","Asah2",2,"SE","Regular (>50bp)","chr19:31969401-31969490; chr19:31972741-31972801",-0.18
"ENSMUSG00000024908","Ppp6r3",2,"A3SS; SE","Microexon (0-30bp); Regular (>50bp)","chr19:3509746-3509764; chr19:3523768-3523866",0.03
"ENSMUSG00000025816","Sec61a2",2,"SE","Regular (>50bp)","chr2:5881651-5881812; chr2:5887391-5887501",-0.019
"ENSMUSG00000026388","3110009E18Rik",2,"MXE","Regular (>50bp); Small (30-50bp)","chr1:120088335-120088386; chr1:120093864-120093902",-0.006
"ENSMUSG00000026490","Cdc42bpa",2,"MXE; SE","Small (30-50bp)","chr1:179946300-179946348; chr1:179946300-179946348",0.144
"ENSMUSG00000026767","Mindy3",2,"MXE; SE","Regular (>50bp)","chr2:12400989-12401069; chr2:12405835-12405887",-0.24
"ENSMUSG00000027478","Dnmt3b",2,"MXE; SE","Regular (>50bp)","chr2:153525527-153525597; chr2:153526278-153526397",0.056
"ENSMUSG00000028524","Sgip1",2,"SE","Microexon (0-30bp)","chr4:102757722-102757734; chr4:102762761-102762773",0.314
"ENSMUSG00000028886","Eya3",2,"MXE; SE","Small (30-50bp)","chr4:132384888-132384927; chr4:132384888-132384927",0.206
"ENSMUSG00000029095","Ablim2",2,"SE","Regular (>50bp)","chr5:36000511-36000610; chr5:36024048-36024110",0.202
"ENSMUSG00000029462","Vps29",2,"SE","Microexon (0-30bp)","chr5:122494856-122494868; chr5:122494856-122494868",0.138
"ENSMUSG00000030089","Slc41a3",2,"MXE; SE","Regular (>50bp)","chr6:90610592-90610737; chr6:90612231-90612378",-0.002
"ENSMUSG00000030172","Erc1",2,"SE","Microexon (0-30bp); Regular (>50bp)","chr6:119595806-119595873; chr6:119711041-119711053",0.146
"ENSMUSG00000031561","Tenm3",2,"SE","Microexon (0-30bp)","chr8:48740167-48740188; chr8:48766272-48766299",0.198
"ENSMUSG00000031842","Pde4c",2,"A3SS; SE","Regular (>50bp)","chr8:71201016-71201171; chr8:71201016-71201682",-0.136
"ENSMUSG00000032076","Cadm1",2,"SE","Small (30-50bp)","chr9:47740674-47740707; chr9:47740674-47740707",0.124
"ENSMUSG00000032366","Tpm1",2,"A3SS; SE","Regular (>50bp)","chr9:66929874-66931847; chr9:66936945-66937024",0.005
"ENSMUSG00000032413","Rasa2",2,"SE","Regular (>50bp)","chr9:96448068-96448175; chr9:96450416-96450540",-0.168
"ENSMUSG00000032534","Cep63",2,"SE","Small (30-50bp)","chr9:102498894-102498927; chr9:102500754-102500792",0.092
"ENSMUSG00000032586","Traip",2,"MXE; SE","Regular (>50bp); Small (30-50bp)","chr9:107833592-107833628; chr9:107838740-107838854",-0.133
"ENSMUSG00000032599","Ip6k2",2,"MXE; SE","Small (30-50bp)","chr9:108673739-108673771; chr9:108673739-108673771",0.178
"ENSMUSG00000032826","Ank2",2,"SE","Microexon (0-30bp); Regular (>50bp)","chr3:126757031-126757130; chr3:126772904-126772916",0.165
"ENSMUSG00000033004","Mycbp2",2,"MXE; SE","Regular (>50bp)","chr14:103414691-103414766; chr14:103419789-103419930",0.111
"ENSMUSG00000033102","Cdc14b",2,"SE","Regular (>50bp)","chr13:64353084-64353231; chr13:64373385-64373462",0.066
"ENSMUSG00000034842","Art3",2,"SE","Small (30-50bp)","chr5:92553801-92553838; chr5:92553802-92553838",-0.124
"ENSMUSG00000034908","Sidt2",2,"SE","Microexon (0-30bp); Regular (>50bp)","chr9:45858838-45858850; chr9:45858926-45858995",0.136
"ENSMUSG00000034973","Dop1a",2,"A3SS; SE","Microexon (0-30bp); Regular (>50bp)","chr9:86383926-86384036; chr9:86388923-86388953",-0.004
"ENSMUSG00000035133","Arhgap5",2,"SE","Regular (>50bp)","chr12:52562889-52566750; chr12:52562889-52566750",-0.136
"ENSMUSG00000035227","Spcs2",2,"SE","Regular (>50bp)","chr7:99498363-99498459; chr7:99498363-99498459",-0.009
"ENSMUSG00000035284","Vps13c",2,"SE","Regular (>50bp)","chr9:67773461-67773524; chr9:67778134-67778200",0.195
"ENSMUSG00000035476","Tab3",2,"MXE; SE","Regular (>50bp)","chrX:84619155-84619216; chrX:84657576-84659035",0.038
"ENSMUSG00000035642","Aamdc",2,"MXE; SE","Regular (>50bp)","chr7:97207337-97207433; chr7:97207337-97207433",-0.027
"ENSMUSG00000035773","Kiss1r",2,"RI; SE","Regular (>50bp)","chr10:79756528-79757081; chr10:79756848-79757081",-0.055
"ENSMUSG00000036304","Zdhhc23",2,"A3SS","Regular (>50bp)","chr16:43791761-43791920; chr16:43791761-43791929",0.186
"ENSMUSG00000036644","Tbc1d9b",2,"SE","Regular (>50bp)","chr11:50054988-50055039; chr11:50058995-50059052",0.196
"ENSMUSG00000037426","Depdc5",2,"SE","Regular (>50bp)","chr5:33021353-33021656; chr5:33021501-33021656",0.132
"ENSMUSG00000037533","Rapgef6",2,"SE","Microexon (0-30bp); Regular (>50bp)","chr11:54452150-54452220; chr11:54542574-54542589",0.014
"ENSMUSG00000038485","Socs7",2,"SE","Regular (>50bp)","chr11:97267262-97267367; chr11:97267822-97267924",0.146
"ENSMUSG00000038618","Rassf7",2,"SE","Regular (>50bp)","chr7:140796941-140797625; chr7:140797500-140797625",-0.116
"ENSMUSG00000040990","Sh3kbp1",2,"MXE; SE","Regular (>50bp)","chrX:158600237-158600294; chrX:158600237-158600294",-0.471
"ENSMUSG00000041757","Plekha6",2,"SE","Regular (>50bp)","chr1:133203549-133203603; chr1:133213984-133214134",0.227
"ENSMUSG00000042870","Tom1",2,"MXE; SE","Regular (>50bp)","chr8:75774620-75774705; chr8:75776817-75776896",0.18
"ENSMUSG00000043019","Edem3",2,"SE","Microexon (0-30bp); Small (30-50bp)","chr1:151688504-151688519; chr1:151688504-151688552",0.11
"ENSMUSG00000043323","Fbrsl1",2,"SE","Regular (>50bp); Small (30-50bp)","chr5:110563895-110563931; chr5:110565708-110565813",-0.136
"ENSMUSG00000045349","Sh2d5",2,"SE","Regular (>50bp)","chr4:137980922-137981000; chr4:137981141-137981269",0.2
"ENSMUSG00000045411","2410002F23Rik",2,"SE","Regular (>50bp)","chr7:43896661-43896840; chr7:43896674-43896840",0.161
"ENSMUSG00000045482","Trrap",2,"SE","Microexon (0-30bp); Regular (>50bp)","chr5:144746960-144747014; chr5:144747141-144747162",0.287
"ENSMUSG00000045679","Pqlc3",2,"A3SS; SE","Regular (>50bp)","chr12:17042278-17043574; chr12:17043453-17043574",-0.138
"ENSMUSG00000046295","Ankle1",2,"RI","Regular (>50bp)","chr8:71859322-71860393; chr8:71859505-71860393",-0.105
"ENSMUSG00000048078","Tenm4",2,"SE","Microexon (0-30bp); Regular (>50bp)","chr7:96378555-96378732; chr7:96454311-96454338",0.148
"ENSMUSG00000048537","Phldb1",2,"A5SS; SE","Regular (>50bp); Small (30-50bp)","chr9:44609015-44609139; chr9:44610123-44610168",0.024
"ENSMUSG00000048652","Samd13",2,"SE","Regular (>50bp)","chr3:146390687-146390884; chr3:146390687-146390895",0.137
"ENSMUSG00000051048","P4ha3",2,"SE","Regular (>50bp)","chr7:99962412-99962572; chr7:99963814-99963877",0.236
"ENSMUSG00000053046","Brsk2",2,"SE","Small (30-50bp)","chr7:141554578-141554626; chr7:141554578-141554626",0.158
"ENSMUSG00000053617","Sh3pxd2a",2,"SE","Regular (>50bp); Small (30-50bp)","chr19:47271459-47271543; chr19:47308714-47308759",0.145
"ENSMUSG00000054708","Ankrd24",2,"RI; SE","Regular (>50bp)","chr10:81470500-81470587; chr10:81475861-81476646",-0.192
"ENSMUSG00000054874","Pcnx3",2,"A3SS","Regular (>50bp)","chr19:5731459-5731602; chr19:5731459-5731620",0.278
"ENSMUSG00000055762","Eef1d",2,"SE","Regular (>50bp)","chr15:75774527-75775667; chr15:75774527-75775667",0.143
"ENSMUSG00000055923","Aasdh",2,"SE","Regular (>50bp)","chr5:77052055-77052227; chr5:77052805-77052859",0.197
"ENSMUSG00000056917","Sipa1",2,"SE","Microexon (0-30bp); Regular (>50bp)","chr19:5711623-5711651; chr19:5711623-5711686",0.28
"ENSMUSG00000057054","Inca1",2,"A3SS; A5SS","Regular (>50bp)","chr11:70586689-70586869; chr11:70590745-70590981",0.018
"ENSMUSG00000061878","Sphk1",2,"A5SS; RI","Regular (>50bp)","chr11:116424795-116425144; chr11:116425674-116426000",0.134
"ENSMUSG00000062991","Nrg1",2,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr8:32321232-32321256; chr8:32323180-32323258",-0.147
"ENSMUSG00000064302","Clasp1",2,"SE","Regular (>50bp)","chr1:118459707-118459815; chr1:118463864-118463927",0.178
"ENSMUSG00000067367","Lyar",2,"SE","Regular (>50bp)","chr5:38380477-38380571; chr5:38380477-38380575",-0.171
"ENSMUSG00000073779","Lrp8os2",2,"SE","Regular (>50bp)","chr4:107667959-107668143; chr4:107673123-107673264",0.55
"ENSMUSG00000074513","Arfip1",2,"SE","Regular (>50bp)","chr3:84426788-84427010; chr3:84426788-84427010",-0.199
"ENSMUSG00000086968","4933431E20Rik",2,"A3SS; RI","Regular (>50bp)","chr3:107801366-107801544; chr3:107801366-107802308",-0.136
"ENSMUSG00000087060","Eldr",2,"A3SS; RI","Regular (>50bp)","chr11:16885149-16885926; chr11:16885149-16886564",-0.002
"ENSMUSG00000087177","E130307A14Rik",2,"SE","Regular (>50bp)","chr10:39516271-39516507; chr10:39521551-39521804",-0.226
"ENSMUSG00000092165","Gm5624",2,"SE","Regular (>50bp)","chr14:44798155-44798244; chr14:44798155-44798287",0.115
"ENSMUSG00000097080","1700086O06Rik",2,"SE","Regular (>50bp)","chr18:38373891-38374006; chr18:38373891-38374006",0.244
"ENSMUSG00000097277","2900076A07Rik",2,"A3SS; RI","Regular (>50bp)","chr7:81174825-81174988; chr7:81178904-81179275",-0.018
"ENSMUSG00000000131","Xpo6",1,"A5SS","Regular (>50bp)","chr7:125750395-125752451",0.145
"ENSMUSG00000000827","Tpd52l2",1,"SE","Microexon (0-30bp)","chr2:181152296-181152323",0.106
"ENSMUSG00000000884","Gnb1l",1,"A3SS","Regular (>50bp)","chr16:18362860-18363023",-0.125
"ENSMUSG00000000916","Nsun5",1,"A5SS","Regular (>50bp)","chr5:135403780-135403959",0.118
"ENSMUSG00000001034","Mapk7",1,"RI","Regular (>50bp)","chr11:61383729-61385092",-0.186
"ENSMUSG00000001036","Epn2",1,"SE","Small (30-50bp)","chr11:61425403-61425439",0.122
"ENSMUSG00000001143","Lman2l",1,"SE","Small (30-50bp)","chr1:36468503-36468536",0.204
"ENSMUSG00000001248","Gramd1a",1,"SE","Microexon (0-30bp)","chr7:30832644-30832656",0.183
"ENSMUSG00000001419","Mef2d",1,"SE","Regular (>50bp)","chr3:88065527-88065662",-0.326
"ENSMUSG00000002031","Ift46",1,"SE","Small (30-50bp)","chr9:44685479-44685528",0.103
"ENSMUSG00000002227","Mov10",1,"A3SS","Regular (>50bp)","chr3:104725251-104725472",-0.116
"ENSMUSG00000002265","Peg3",1,"SE","Regular (>50bp)","chr7:6715948-6716011",0.146
"ENSMUSG00000002372","Ranbp3",1,"RI","Regular (>50bp)","chr17:57008022-57009890",-0.203
"ENSMUSG00000002428","Hltf",1,"SE","Regular (>50bp)","chr3:20152243-20152379",-0.134
"ENSMUSG00000002608","Ccdc97",1,"SE","Regular (>50bp)","chr7:25417569-25417704",-0.394
"ENSMUSG00000002833","Hdgfl2",1,"RI","Regular (>50bp)","chr17:56405483-56406075",-0.129
"ENSMUSG00000002845","Tmem39a",1,"SE","Regular (>50bp)","chr16:38405980-38406042",0.13
"ENSMUSG00000002885","Adgre5",1,"MXE","Regular (>50bp)","chr8:84456739-84456886",-0.132
"ENSMUSG00000003119","Cdk12",1,"SE","Regular (>50bp)","chr11:98140535-98140926",0.185
"ENSMUSG00000003810","Mast2",1,"SE","Microexon (0-30bp)","chr4:116190609-116190630",0.248
"ENSMUSG00000003813","Rad23a",1,"SE","Regular (>50bp)","chr8:85564635-85564763",-0.209
"ENSMUSG00000003863","Ppfia3",1,"SE","Microexon (0-30bp)","chr7:44992976-44993003",0.239
"ENSMUSG00000004561","Mettl17",1,"RI","Regular (>50bp)","chr14:52126198-52127092",-0.18
"ENSMUSG00000004631","Sgce",1,"SE","Regular (>50bp)","chr6:4711307-4711380",-0.315
"ENSMUSG00000004698","Hdac9",1,"SE","Regular (>50bp)","chr12:34423876-34424137",-0.113
"ENSMUSG00000004771","Rab11a",1,"SE","Regular (>50bp)","chr9:64633905-64634099",-0.167
"ENSMUSG00000004947","Dtx2",1,"RI","Regular (>50bp)","chr5:136055323-136057426",0.188
"ENSMUSG00000004952","Rasa4",1,"RI","Regular (>50bp)","chr5:136130097-136130543",-0.157
"ENSMUSG00000005501","Usp40",1,"SE","Regular (>50bp)","chr1:87895231-87895320",-0.197
"ENSMUSG00000005881","Ergic3",1,"SE","Microexon (0-30bp)","chr2:155857296-155857311",0.169
"ENSMUSG00000005899","Smpd4",1,"SE","Regular (>50bp)","chr16:17453345-17453432",0.13
"ENSMUSG00000006289","Osgep",1,"RI","Regular (>50bp)","chr14:51154256-51154960",0.26
"ENSMUSG00000006315","Tmem147",1,"SE","Regular (>50bp)","chr7:30428081-30428166",0.195
"ENSMUSG00000006362","Cbfa2t3",1,"SE","Regular (>50bp)","chr8:123377068-123377215",-0.124
"ENSMUSG00000006576","Slc4a3",1,"RI","Regular (>50bp)","chr1:75527398-75528026",-0.114
"ENSMUSG00000006720","Zfp184",1,"A3SS","Regular (>50bp)","chr13:22134372-22134499",0.166
"ENSMUSG00000007035","Msh5",1,"MXE","Regular (>50bp)","chr17:35263292-35263414",0.169
"ENSMUSG00000007570","Fance",1,"SE","Regular (>50bp)","chr17:28542544-28542639",-0.124
"ENSMUSG00000008489","Elavl2",1,"A3SS","Regular (>50bp)","chr4:91196847-91197091",-0.11
"ENSMUSG00000009073","Nf2",1,"SE","Small (30-50bp)","chr11:4730577-4730622",0.174
"ENSMUSG00000009079","Ewsr1",1,"SE","Microexon (0-30bp)","chr11:5041459-5041477",0.222
"ENSMUSG00000009555","Cdk9",1,"A3SS","Regular (>50bp)","chr2:32600488-32600803",-0.106
"ENSMUSG00000009621","Vav2",1,"SE","Regular (>50bp)","chr2:27158162-27158249",0.112
"ENSMUSG00000010064","Slc38a3",1,"RI","Regular (>50bp)","chr9:107532454-107532884",-0.14
"ENSMUSG00000013033","Adgrl1",1,"SE","Regular (>50bp)","chr8:84650834-84650984",0.109
"ENSMUSG00000013973","Dedd",1,"SE","Small (30-50bp)","chr1:171158820-171158853",0.109
"ENSMUSG00000014355","Anapc1",1,"SE","Regular (>50bp)","chr2:128520130-128520204",-0.16
"ENSMUSG00000014418","Hps5",1,"SE","Regular (>50bp)","chr7:46424577-46424708",0.156
"ENSMUSG00000014767","Tbp",1,"RI","Regular (>50bp)","chr17:15721415-15721619",-0.142
"ENSMUSG00000015093","Clic3",1,"RI","Regular (>50bp)","chr2:25348315-25348788",0.2
"ENSMUSG00000015377","Dennd6b",1,"RI","Regular (>50bp)","chr15:89070374-89071022",-0.142
"ENSMUSG00000015452","Ager",1,"RI","Regular (>50bp)","chr17:34818969-34819834",0.219
"ENSMUSG00000015659","Serac1",1,"SE","Regular (>50bp)","chr17:6119573-6119663",0.163
"ENSMUSG00000015942","Gtf2ird2",1,"SE","Regular (>50bp)","chr5:134235611-134235668",-0.133
"ENSMUSG00000016200","Syt14",1,"SE","Regular (>50bp)","chr1:192581158-192581215",0.138
"ENSMUSG00000016346","Kcnq2",1,"A5SS","Regular (>50bp)","chr2:180728668-180728893",-0.193
"ENSMUSG00000017210","Med24",1,"SE","Regular (>50bp)","chr11:98608534-98608591",0.179
"ENSMUSG00000017307","Acot8",1,"SE","Regular (>50bp)","chr2:164644916-164645053",-0.168
"ENSMUSG00000017311","Pyy",1,"A5SS","Regular (>50bp)","chr11:101997792-101997882",-0.145
"ENSMUSG00000017405","Nek8",1,"RI","Regular (>50bp)","chr11:78061438-78062124",0.107
"ENSMUSG00000017718","Afmid",1,"MXE","Regular (>50bp)","chr11:117725970-117726068",0.15
"ENSMUSG00000018217","Pmp22",1,"A3SS","Regular (>50bp)","chr11:63023950-63024070",0.15
"ENSMUSG00000018334","Ksr1",1,"SE","Small (30-50bp)","chr11:78921906-78921948",0.203
"ENSMUSG00000018428","Akap1",1,"SE","Regular (>50bp)","chr11:88734415-88734522",-0.427
"ENSMUSG00000018537","Pcgf2",1,"SE","Regular (>50bp)","chr11:97590031-97590126",-0.328
"ENSMUSG00000018820","Zfyve27",1,"SE","Microexon (0-30bp)","chr19:42174058-42174079",0.131
"ENSMUSG00000019088","Dnase1l1",1,"MXE","Regular (>50bp)","chrX:73320084-73320162",0.162
"ENSMUSG00000019261","Map1s",1,"RI","Regular (>50bp)","chr8:71363588-71365297",-0.154
"ENSMUSG00000019823","Mical1",1,"A3SS","Regular (>50bp)","chr10:41355321-41355495",0.137
"ENSMUSG00000019897","Ccdc59",1,"RI","Regular (>50bp)","chr10:105678402-105681310",-0.111
"ENSMUSG00000020131","Pcsk4",1,"SE","Regular (>50bp)","chr10:80159316-80159434",-0.313
"ENSMUSG00000020151","Ptprr",1,"SE","Regular (>50bp)","chr10:116013622-116013733",0.427
"ENSMUSG00000020175","Rab36",1,"A3SS","Regular (>50bp)","chr10:74874189-74874352",-0.209
"ENSMUSG00000020220","Vps13d",1,"SE","Regular (>50bp)","chr4:144830183-144830258",0.21
"ENSMUSG00000020231","Dip2a",1,"SE","Microexon (0-30bp)","chr10:76107209-76107239",0.168
"ENSMUSG00000020250","Txnrd1",1,"SE","Regular (>50bp)","chr10:82708771-82709109",-0.218
