"event_id","geneSymbol","chr","strand","exonStart_0base","exonEnd","exon_length","upstreamES","upstreamEE","downstreamES","downstreamEE","FDR","IncLevelDifference"
"chr13:47018294-47018307|up:47001801-47001862|down:47082691-47082782","Kif13a","chr13","-",47018294,47018307,13,47001801,47001862,47082691,47082782,0.0476513745860557,0.115
"chr13:67644303-67644330|up:67642721-67642848|down:67648529-67648622","Zfp58","chr13","-",67644303,67644330,27,67642721,67642848,67648529,67648622,0.0175637429423673,-0.104
"chr14:45866310-45866331|up:45858168-45858297|down:45867036-45867207","Ddhd1","chr14","-",45866310,45866331,21,45858168,45858297,45867036,45867207,1.72061376212635e-05,0.202
"chr14:52242335-52242356|up:52242068-52242199|down:52242445-52242492","Arhgef40","chr14","+",52242335,52242356,21,52242068,52242199,52242445,52242492,0.00878694833148361,-0.176
"chr15:35115083-35115104|up:35114674-35114803|down:35115710-35115791","Stk3","chr15","-",35115083,35115104,21,35114674,35114803,35115710,35115791,2.32344502416303e-10,0.135
"chr15:83267823-83267829|up:83265962-83266084|down:83269187-83269292","Pacsin2","chr15","-",83267823,83267829,6,83265962,83266084,83269187,83269292,1.47590581058568e-08,0.132
"chr15:89191374-89191398|up:89191032-89191138|down:89191695-89191806","Sbf1","chr15","-",89191374,89191398,24,89191032,89191138,89191695,89191806,0,0.134
"chr15:89422217-89422241|up:89417576-89417657|down:89427302-89427433","Shank3","chr15","+",89422217,89422241,24,89417576,89417657,89427302,89427433,0.00370443296087122,0.129
"chr15:89440923-89440951|up:89431828-89434085|down:89441937-89444464","Shank3","chr15","+",89440923,89440951,28,89431828,89434085,89441937,89444464,0.00566003111355699,0.338
"chr15:93293467-93293496|up:93285627-93285740|down:93296043-93296182","Zcrb1","chr15","-",93293467,93293496,29,93285627,93285740,93296043,93296182,0.000759170680914049,-0.163
"chr16:18219530-18219548|up:18218834-18219003|down:18220316-18220388","Arvcf","chr16","+",18219530,18219548,18,18218834,18219003,18220316,18220388,7.88857169241047e-11,0.166
"chr16:20493535-20493556|up:20492977-20493064|down:20494093-20494270","Eif4g1","chr16","+",20493535,20493556,21,20492977,20493064,20494093,20494270,1.83302648422216e-13,0.166
"chr16:31673485-31673506|up:31666453-31666487|down:31675258-31675309","Dlg1","chr16","+",31673485,31673506,21,31666453,31666487,31675258,31675309,0.0218207418493108,-0.104
"chr17:24062930-24062957|up:24062415-24062584|down:24063050-24063146","Prss41","chr17","-",24062930,24062957,27,24062415,24062584,24063050,24063146,0.000139359982191431,0.547
"chr17:25127384-25127402|up:25126302-25126360|down:25128123-25128135","Mapk8ip3","chr17","-",25127384,25127402,18,25126302,25126360,25128123,25128135,0,0.149
"chr18:20988877-20988895|up:20988001-20988133|down:20993489-20993595","Trappc8","chr18","-",20988877,20988895,18,20988001,20988133,20993489,20993595,7.28534664518961e-06,0.11
"chr18:24604118-24604141|up:24603925-24604037|down:24608581-24608781","2700062C07Rik","chr18","+",24604118,24604141,23,24603925,24604037,24608581,24608781,0.0216985677542389,-0.102
"chr18:32562752-32562776|up:32557872-32558020|down:32565035-32565146","Bin1","chr18","+",32562752,32562776,24,32557872,32558020,32565035,32565146,0.0186958821970371,0.456
"chr18:32562752-32562776|up:32559276-32559405|down:32564723-32564795","Bin1","chr18","+",32562752,32562776,24,32559276,32559405,32564723,32564795,0.0132226098273639,0.14
"chr18:32562752-32562776|up:32559276-32559405|down:32565035-32565146","Bin1","chr18","+",32562752,32562776,24,32559276,32559405,32565035,32565146,0.00216435526037455,0.158
"chr18:60678428-60678449|up:60677110-60677218|down:60678819-60678893","Dctn4","chr18","+",60678428,60678449,21,60677110,60677218,60678819,60678893,2.36488905850054e-07,0.164
"chr19:3509746-3509764|up:3509360-3509480|down:3514544-3514695","Ppp6r3","chr19","-",3509746,3509764,18,3509360,3509480,3514544,3514695,0,0.211
"chr19:5711623-5711651|up:5711048-5711139|down:5712615-5712869","Sipa1","chr19","-",5711623,5711651,28,5711048,5711139,5712615,5712869,6.66291490053471e-05,0.295
"chr19:40371199-40371226|up:40370964-40371077|down:40381831-40381960","Sorbs1","chr19","-",40371199,40371226,27,40370964,40371077,40381831,40381960,0.0343502534780225,0.149
"chr19:42174058-42174079|up:42172556-42172628|down:42174243-42174388","Zfyve27","chr19","+",42174058,42174079,21,42172556,42172628,42174243,42174388,0.0409838238074037,0.131
"chr19:55375620-55375641|up:55369373-55369451|down:55380215-55380300","Vti1a","chr19","+",55375620,55375641,21,55369373,55369451,55380215,55380300,0.0167201831173847,0.135
"chr19:55375620-55375641|up:55369373-55369451|down:55486942-55487013","Vti1a","chr19","+",55375620,55375641,21,55369373,55369451,55486942,55487013,0.0119092933064956,0.293
"chr2:12198080-12198093|up:12196516-12196654|down:12198222-12198377","Itga8","chr2","-",12198080,12198093,13,12196516,12196654,12198222,12198377,6.84286639103657e-06,0.489
"chr2:20888010-20888040|up:20884771-20886662|down:20891916-20891971","Arhgap21","chr2","-",20888010,20888040,30,20884771,20886662,20891916,20891971,4.24107750950333e-05,0.21
"chr2:30239237-30239249|up:30238079-30238629|down:30240299-30240392","Sh3glb2","chr2","-",30239237,30239249,12,30238079,30238629,30240299,30240392,1.00380021755475e-13,0.228
"chr2:60077831-60077856|up:60075555-60075604|down:60078233-60078301","Marchf7","chr2","+",60077831,60077856,25,60075555,60075604,60078233,60078301,2.84857067591192e-07,0.187
"chr2:73540798-73540826|up:73510175-73510247|down:73546707-73546753","Chn1","chr2","-",73540798,73540826,28,73510175,73510247,73546707,73546753,0.00124751535681706,-0.173
"chr2:90971153-90971162|up:90970901-90970971|down:90973100-90973207","Madd","chr2","-",90971153,90971162,9,90970901,90970971,90973100,90973207,0.000297928868703475,0.143
"chr2:119843781-119843799|up:119843392-119843575|down:119844099-119844260","Mapkbp1","chr2","+",119843781,119843799,18,119843392,119843575,119844099,119844260,0.000138854636536258,0.12
"chr2:155857296-155857311|up:155853268-155853326|down:155857908-155857940","Ergic3","chr2","+",155857296,155857311,15,155853268,155853326,155857908,155857940,0,0.169
"chr2:157300762-157300780|up:157300453-157300553|down:157304629-157304728","Src","chr2","+",157300762,157300780,18,157300453,157300553,157304629,157304728,0.042033003448259,0.119
"chr2:165694787-165694799|up:165693919-165694068|down:165717624-165717695","Zmynd8","chr2","-",165694787,165694799,12,165693919,165694068,165717624,165717695,2.98823603224726e-12,0.206
"chr2:174169900-174169924|up:174169491-174169734|down:174176004-174176077","Gnas","chr2","+",174169900,174169924,24,174169491,174169734,174176004,174176077,8.39408628074766e-11,0.15
"chr2:180620204-180620234|up:180619112-180619145|down:180620963-180621020","Arfgap1","chr2","+",180620204,180620234,30,180619112,180619145,180620963,180621020,0,0.1
"chr2:180745434-180745464|up:180742342-180742411|down:180746679-180746774","Kcnq2","chr2","-",180745434,180745464,30,180742342,180742411,180746679,180746774,1.25008143371497e-12,0.153
"chr2:181152296-181152323|up:181149958-181150060|down:181153366-181153408","Tpd52l2","chr2","+",181152296,181152323,27,181149958,181150060,181153366,181153408,0.000429899112835956,0.106
"chr3:9008610-9008637|up:9000051-9000100|down:9009670-9009772","Tpd52","chr3","-",9008610,9008637,27,9000051,9000100,9009670,9009772,4.42357879944787e-07,0.314
"chr3:28679347-28679371|up:28677159-28677257|down:28684579-28684764","Tnik","chr3","+",28679347,28679371,24,28677159,28677257,28684579,28684764,3.79978041575934e-08,0.176
"chr3:55901468-55901477|up:55899754-55899935|down:55907907-55908061","Nbea","chr3","-",55901468,55901477,9,55899754,55899935,55907907,55908061,1.83302648422216e-13,0.201
"chr3:86695928-86695941|up:86693459-86694719|down:86696618-86696797","Dclk2","chr3","-",86695928,86695941,13,86693459,86694719,86696618,86696797,0.0357757878867097,0.13
"chr3:86695928-86695941|up:86693459-86694719|down:86699301-86699622","Dclk2","chr3","-",86695928,86695941,13,86693459,86694719,86699301,86699622,9.02838700735828e-07,0.107
"chr3:87625535-87625565|up:87624727-87624827|down:87629663-87629790","Arhgef11","chr3","+",87625535,87625565,30,87624727,87624827,87629663,87629790,2.78873270258153e-06,0.146
"chr3:95808770-95808792|up:95808404-95808584|down:95809422-95809443","Car14","chr3","-",95808770,95808792,22,95808404,95808584,95809422,95809443,6.20218541597156e-05,0.423
"chr3:126772904-126772916|up:126770493-126770596|down:126775448-126775593","Ank2","chr3","-",126772904,126772916,12,126770493,126770596,126775448,126775593,0.00303344410374097,0.138
"chr3:148532847-148532874|up:148532000-148532169|down:148533176-148533221","Adgrl2","chr3","-",148532847,148532874,27,148532000,148532169,148533176,148533221,0.000209883033950081,0.203
"chr3:148566062-148566074|up:148564368-148565169|down:148571235-148571345","Adgrl2","chr3","-",148566062,148566074,12,148564368,148565169,148571235,148571345,8.24021668515075e-05,0.142
"chr4:102757722-102757734|up:102727745-102727921|down:102766004-102766029","Sgip1","chr4","+",102757722,102757734,12,102727745,102727921,102766004,102766029,0.00482199685480026,0.461
"chr4:102762761-102762773|up:102727745-102727921|down:102766004-102766029","Sgip1","chr4","+",102762761,102762773,12,102727745,102727921,102766004,102766029,0.012020875500013,0.167
"chr4:116190609-116190630|up:116187587-116187666|down:116194618-116194694","Mast2","chr4","-",116190609,116190630,21,116187587,116187666,116194618,116194694,0,0.248
"chr4:155069822-155069849|up:155067823-155069422|down:155070671-155071473","Plch2","chr4","-",155069822,155069849,27,155067823,155069422,155070671,155071473,0.0428140432341417,0.144
"chr4:155069822-155069849|up:155067823-155069422|down:155071175-155071473","Plch2","chr4","-",155069822,155069849,27,155067823,155069422,155071175,155071473,0.00135350089455971,0.381
"chr4:156253002-156253026|up:156252233-156252266|down:156253189-156253277","Agrn","chr4","-",156253002,156253026,24,156252233,156252266,156253189,156253277,0.00409956888691432,0.323
"chr5:8136593-8136623|up:8132142-8132269|down:8161894-8161985","Adam22","chr5","-",8136593,8136623,30,8132142,8132269,8161894,8161985,0.00900364149579749,0.13
"chr5:23968331-23968349|up:23967360-23967472|down:23973765-23973910","Pus7","chr5","-",23968331,23968349,18,23967360,23967472,23973765,23973910,0.00249790685408837,0.11
"chr5:31403665-31403689|up:31403094-31403189|down:31404685-31404769","Nrbp1","chr5","+",31403665,31403689,24,31403094,31403189,31404685,31404769,1.54455389076641e-06,0.114
"chr5:76688593-76688614|up:76685544-76685704|down:76689897-76690085","Exoc1","chr5","+",76688593,76688614,21,76685544,76685704,76689897,76690085,1.58910376195037e-06,0.252
"chr5:115810202-115810214|up:115808243-115808359|down:115811138-115811255","Bicdl1","chr5","-",115810202,115810214,12,115808243,115808359,115811138,115811255,2.96143813022664e-09,0.126
"chr5:116592731-116592747|up:116591467-116591772|down:116605490-116605647","Srrm4","chr5","-",116592731,116592747,16,116591467,116591772,116605490,116605647,0.00306135752008045,0.128
"chr5:122494856-122494868|up:122492447-122492539|down:122498075-122498267","Vps29","chr5","+",122494856,122494868,12,122492447,122492539,122498075,122498267,1.87816700589279e-05,0.112
"chr5:122494856-122494868|up:122492447-122492539|down:122498091-122498267","Vps29","chr5","+",122494856,122494868,12,122492447,122492539,122498091,122498267,0.00350628173276468,0.163
"chr5:135895980-135896000|up:135885891-135886069|down:135897026-135897373","Srrm3","chr5","+",135895980,135896000,20,135885891,135886069,135897026,135897373,0.00026876094254613,0.114
"chr5:144747141-144747162|up:144744132-144744201|down:144748704-144748824","Trrap","chr5","+",144747141,144747162,21,144744132,144744201,144748704,144748824,2.55299855330539e-11,0.291
"chr6:51441407-51441431|up:51441068-51441191|down:51442158-51442221","Hnrnpa2b1","chr6","-",51441407,51441431,24,51441068,51441191,51442158,51442221,1.60289999095546e-11,-0.167
"chr6:83160917-83160938|up:83160280-83160315|down:83166058-83166135","Dctn1","chr6","+",83160917,83160938,21,83160280,83160315,83166058,83166135,0,0.262
"chr6:83164745-83164766|up:83160917-83160938|down:83166058-83166135","Dctn1","chr6","+",83164745,83164766,21,83160917,83160938,83166058,83166135,2.3696378192652e-05,-0.137
"chr6:119711041-119711053|up:119699133-119699269|down:119720248-119720442","Erc1","chr6","-",119711041,119711053,12,119699133,119699269,119720248,119720442,2.75166287953894e-05,0.163
"chr7:24617944-24617956|up:24617319-24617425|down:24618608-24618776","Arhgef1","chr7","+",24617944,24617956,12,24617319,24617425,24618608,24618776,0.000225967412359808,0.131
"chr7:30746797-30746827|up:30744377-30744452|down:30750780-30750828","Fxyd7","chr7","-",30746797,30746827,30,30744377,30744452,30750780,30750828,0.000914872697111681,0.198
"chr7:30832644-30832656|up:30832182-30832290|down:30833415-30833503","Gramd1a","chr7","-",30832644,30832656,12,30832182,30832290,30833415,30833503,0,0.183
"chr7:44247013-44247043|up:44244584-44245692|down:44247804-44247999","Kcnc3","chr7","+",44247013,44247043,30,44244584,44245692,44247804,44247999,1.7021590643803e-05,0.151
"chr7:44247013-44247043|up:44244584-44245692|down:44247807-44247999","Kcnc3","chr7","+",44247013,44247043,30,44244584,44245692,44247807,44247999,0.00035228058859102,0.326
"chr7:44992976-44993003|up:44991749-44991925|down:44993164-44993227","Ppfia3","chr7","-",44992976,44993003,27,44991749,44991925,44993164,44993227,5.1877029221982e-09,0.239
"chr7:66874123-66874149|up:66873356-66873639|down:66875611-66878211","Lysmd4","chr7","+",66874123,66874149,26,66873356,66873639,66875611,66878211,0.0348177002792262,0.106
"chr7:89843480-89843504|up:89840861-89840961|down:89844862-89844922","Picalm","chr7","+",89843480,89843504,24,89840861,89840961,89844862,89844922,1.15267724231651e-07,0.118
"chr7:96454311-96454338|up:96446526-96446712|down:96461039-96461186","Tenm4","chr7","+",96454311,96454338,27,96446526,96446712,96461039,96461186,6.02621193284705e-06,0.102
"chr7:100467942-100467969|up:100462126-100462207|down:100473338-100473464","Fam168a","chr7","+",100467942,100467969,27,100462126,100462207,100473338,100473464,1.19363993167714e-06,-0.191
"chr7:143961792-143961813|up:143960857-143960969|down:143963198-143965605","Shank2","chr7","+",143961792,143961813,21,143960857,143960969,143963198,143965605,0.00367211715503187,0.216
"chr7:144056603-144056633|up:144053988-144054140|down:144058639-144058871","Ppfia1","chr7","-",144056603,144056633,30,144053988,144054140,144058639,144058871,7.93719172020803e-12,0.265
"chr8:11254535-11254552|up:11252893-11253008|down:11256225-11256403","Col4a1","chr8","-",11254535,11254552,17,11252893,11253008,11256225,11256403,0.029292636882421,0.116
"chr8:48740167-48740188|up:48731992-48732225|down:48740825-48741075","Tenm3","chr8","-",48740167,48740188,21,48731992,48732225,48740825,48741075,3.21771505736489e-10,0.191
"chr8:48766272-48766299|up:48763657-48763804|down:48820345-48820468","Tenm3","chr8","-",48766272,48766299,27,48763657,48763804,48820345,48820468,0.0346103153099895,0.204
"chr9:21401953-21401965|up:21401038-21401090|down:21405799-21405913","Dnm2","chr9","+",21401953,21401965,12,21401038,21401090,21405799,21405913,0.000947054302203747,0.118
"chr9:24397000-24397025|up:24373872-24373930|down:24414134-24414436","Dpy19l1","chr9","-",24397000,24397025,25,24373872,24373930,24414134,24414436,0.00021065412434062,0.413
"chr9:40211735-40211747|up:40211284-40211392|down:40214793-40214884","Gramd1b","chr9","-",40211735,40211747,12,40211284,40211392,40214793,40214884,6.265064870653e-05,0.133
"chr9:45858838-45858850|up:45858281-45858353|down:45859133-45859186","Sidt2","chr9","-",45858838,45858850,12,45858281,45858353,45859133,45859186,5.41086159805272e-06,0.156
"chr9:49453187-49453202|up:49448289-49448337|down:49454310-49454330","Ncam1","chr9","-",49453187,49453202,15,49448289,49448337,49454310,49454330,0.0374627560135891,-0.382
"chr9:86388923-86388953|up:86388436-86388572|down:86389556-86389790","Dop1a","chr9","+",86388923,86388953,30,86388436,86388572,86389556,86389790,0.042844740993165,0.195
"chr9:86680882-86680897|up:86665352-86665487|down:86686507-86686620","Snap91","chr9","-",86680882,86680897,15,86665352,86665487,86686507,86686620,0.000122089744963173,0.195
"chr9:105370741-105370753|up:105346305-105347346|down:105371613-105371681","Atp2c1","chr9","-",105370741,105370753,12,105346305,105347346,105371613,105371681,5.43819269842008e-06,0.168
"chr9:113687648-113687672|up:113683240-113683414|down:113691253-113691355","Clasp2","chr9","+",113687648,113687672,24,113683240,113683414,113691253,113691355,1.26060491336164e-07,0.252
"chrX:13462924-13462942|up:13453082-13453204|down:13466595-13466695","Cask","chrX","-",13462924,13462942,18,13453082,13453204,13466595,13466695,0,0.169
"chrX:100634339-100634345|up:100634078-100634195|down:100637545-100637671","Taf1","chrX","+",100634339,100634345,6,100634078,100634195,100637545,100637671,5.80152882256624e-11,0.201
