"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI","FDR"
"chr17:27240636:27240656:27240321:27241412:SE","SE","ENSMUSG00000057789","Bak1",20,"Microexon (0-30bp)",-0.298,0
"chr17:27241224:27241314:27237144:27244310:SE","SE","ENSMUSG00000048731","Ggnbp1",90,"Regular (>50bp)",0.301,0.00745152073852607
"chr17:27186654:27186734:27185947:27189472:SE","SE","ENSMUSG00000067629","Syngap1",80,"Regular (>50bp)",-0.161,6.06615071127103e-08
"chr17:26179038:26179205:26178959:26179310:SE","SE","ENSMUSG00000037326","Capn15",167,"Regular (>50bp)",-0.262,0.000279005037004893
"chr17:26150435:26150547:26150012:26153731:SE","SE","ENSMUSG00000025728","Pigq",112,"Regular (>50bp)",-0.158,2.52250847565998e-12
"chr17:26150435:26150647:26150012:26153731:SE","SE","ENSMUSG00000025728","Pigq",212,"Regular (>50bp)",-0.172,8.23979773301535e-12
"chr17:26150647:26151205:26150012:26153731:SE","SE","ENSMUSG00000025728","Pigq",558,"Regular (>50bp)",-0.253,2.58657996923983e-05
"chr17:24820362:24820431:24819439:24821067:SE","SE","ENSMUSG00000002496","Tsc2",69,"Regular (>50bp)",-0.136,0.00016420310232901
"chr17:31871475:31871542:31867868:31877626:SE","SE","ENSMUSG00000061613","U2af1",67,"Regular (>50bp)",0.146,1.32161787376965e-06
"chr17:23989208:23989306:23982292:23990388:SE","SE","ENSMUSG00000040097","Flywch1",98,"Regular (>50bp)",0.289,0
"chr17:21789310:21789389:21787507:21794118:SE","SE","ENSMUSG00000067931","Zfp948",79,"Regular (>50bp)",0.128,9.00811004318081e-08
"chr17:18051335:18051524:18047589:18052320:SE","SE","ENSMUSG00000080316","Spaca6",189,"Regular (>50bp)",-0.21,0.000482402194760032
"chr17:15206035:15206172:15205177:15206979:SE","SE","ENSMUSG00000116953","9030025P20Rik",137,"Regular (>50bp)",-0.144,0.000971842292938529
"chr17:6172102:6172619:6156857:6187485:SE","SE","ENSMUSG00000034377","Tulp4",517,"Regular (>50bp)",-0.497,0.000230168188191636
"chr17:5851473:5851616:5849035:5852987:SE","SE","ENSMUSG00000096965","3300005D01Rik",143,"Regular (>50bp)",-0.189,4.52761380502343e-07
"chr17:5851473:5851616:5850268:5852987:SE","SE","ENSMUSG00000096965","3300005D01Rik",143,"Regular (>50bp)",-0.116,8.64525148203521e-05
"chr16:92275500:92275856:92267965:92293937:SE","SE","ENSMUSG00000051297","2410124H12Rik",356,"Regular (>50bp)",-0.137,0.00527934160890402
"chr16:92288901:92289063:92267965:92293937:SE","SE","ENSMUSG00000051297","2410124H12Rik",162,"Regular (>50bp)",-0.151,0.00263253452481482
"chr16:92288901:92289063:92275856:92293937:SE","SE","ENSMUSG00000051297","2410124H12Rik",162,"Regular (>50bp)",-0.209,6.47204161820732e-05
"chrX:36511141:36511190:36510874:36513113:SE","SE","ENSMUSG00000051827","Rhox2a",49,"Small (30-50bp)",-0.265,0.0194447861296908
"chr16:52006711:52006843:52006595:52009375:SE","SE","ENSMUSG00000022637","Cblb",132,"Regular (>50bp)",-0.2,0.000433210228190776
"chr16:49728416:49728441:49727175:49731231:SE","SE","ENSMUSG00000055447","Cd47",25,"Microexon (0-30bp)",-0.137,1.9594570408698e-08
"chr16:49729065:49729098:49727175:49731231:SE","SE","ENSMUSG00000055447","Cd47",33,"Small (30-50bp)",-0.186,7.70420377242862e-05
"chr16:45484534:45484645:45483748:45487914:SE","SE","ENSMUSG00000033177","Tmprss7",111,"Regular (>50bp)",0.126,0.00920011367114903
"chr16:44019475:44019530:44019384:44020976:SE","SE","ENSMUSG00000068284","Usf3",55,"Regular (>50bp)",-0.103,0.00284959375323349
"chr16:32484703:32484774:32463926:32488204:SE","SE","ENSMUSG00000022791","Tnk2",71,"Regular (>50bp)",0.327,3.73231324444531e-05
"chr16:30609387:30609532:30608825:30612012:SE","SE","ENSMUSG00000116570","Gm49754",145,"Regular (>50bp)",-0.252,0.0105944547275268
"chr16:22931100:22931207:22930646:22931916:SE","SE","ENSMUSG00000022884","Eif4a2",107,"Regular (>50bp)",0.111,2.25506611343497e-10
"chr16:22077614:22078011:22073867:22084490:SE","SE","ENSMUSG00000022858","Tra2b",397,"Regular (>50bp)",-0.175,0
"chr16:22077735:22078011:22073867:22084490:SE","SE","ENSMUSG00000022858","Tra2b",276,"Regular (>50bp)",-0.193,3.13897056497055e-14
"chr18:10626948:10627017:10623707:10639533:SE","SE","ENSMUSG00000002477","Snrpd1",69,"Regular (>50bp)",-0.108,8.64525148203521e-05
"chr16:21625720:21625869:21614725:21627427:SE","SE","ENSMUSG00000097290","1300002E11Rik",149,"Regular (>50bp)",-0.102,0.00479052707319818
"chr16:20409104:20409281:20409031:20409422:SE","SE","ENSMUSG00000046613","Vwa5b2",177,"Regular (>50bp)",-0.172,0.0287741506516248
"chr16:20414924:20415080:20414570:20415769:SE","SE","ENSMUSG00000046613","Vwa5b2",156,"Regular (>50bp)",-0.141,8.13939243889258e-06
"chr16:19920741:19920804:19916421:19925412:SE","SE","ENSMUSG00000062901","Klhl24",63,"Regular (>50bp)",0.104,0.0103725740400822
"chr16:18714652:18714796:18713586:18715203:SE","SE","ENSMUSG00000022702","Hira",144,"Regular (>50bp)",-0.109,3.14369242366577e-05
"chr16:16895638:16895918:16888227:16899461:SE","SE","ENSMUSG00000022773","Ypel1",280,"Regular (>50bp)",-0.122,0.000330424867935669
"chr16:16308286:16308470:16302461:16321960:SE","SE","ENSMUSG00000022788","Fgd4",184,"Regular (>50bp)",0.128,0.0225210687912237
"chr16:16136308:16136341:16134642:16136627:SE","SE","ENSMUSG00000022789","Dnm1l",33,"Small (30-50bp)",-0.131,2.34153690679121e-07
"chr16:16136308:16136341:16134642:16137315:SE","SE","ENSMUSG00000022789","Dnm1l",33,"Small (30-50bp)",-0.264,0
"chr16:16136627:16136705:16134642:16137315:SE","SE","ENSMUSG00000022789","Dnm1l",78,"Regular (>50bp)",-0.34,0
"chr16:16136627:16136705:16136341:16137315:SE","SE","ENSMUSG00000022789","Dnm1l",78,"Regular (>50bp)",-0.135,9.23376674345307e-06
"chr16:10245921:10245975:10245336:10246522:SE","SE","ENSMUSG00000050908","Tvp23a",54,"Regular (>50bp)",0.105,0.0172732859767411
"chr15:103123448:103123548:103121681:103123694:SE","SE","ENSMUSG00000009575","Cbx5",100,"Regular (>50bp)",0.311,0.00128737049294719
"chr15:103123448:103123552:103121681:103123694:SE","SE","ENSMUSG00000009575","Cbx5",104,"Regular (>50bp)",0.321,0.0014298572307188
"chrX:40986668:40986727:40953072:41000677:SE","SE","ENSMUSG00000037475","Thoc2",59,"Regular (>50bp)",-0.231,0.0097359286925878
"chr15:102417724:102417813:102414003:102425222:SE","SE","ENSMUSG00000023050","Map3k12",89,"Regular (>50bp)",0.115,0.0216014315515601
"chr15:102418353:102418440:102414003:102425222:SE","SE","ENSMUSG00000023050","Map3k12",87,"Regular (>50bp)",0.171,0.0185884838429135
"chr15:102097321:102097397:102097114:102111571:SE","SE","ENSMUSG00000023044","Csad",76,"Regular (>50bp)",0.143,0.0037533753006842
"chr15:102097321:102097397:102097114:102112573:SE","SE","ENSMUSG00000023044","Csad",76,"Regular (>50bp)",0.135,0.0216734952991413
"chr15:97706540:97706651:97706414:97706847:SE","SE","ENSMUSG00000022475","Hdac7",111,"Regular (>50bp)",-0.378,9.60064946502414e-10
"chr17:46090184:46090317:46087344:46097034:SE","SE","ENSMUSG00000097727","F630040K05Rik",133,"Regular (>50bp)",0.389,3.59910046937619e-06
"chr15:89010832:89010909:89010640:89011071:SE","SE","ENSMUSG00000062906","Hdac10",77,"Regular (>50bp)",-0.108,2.82998662966219e-05
"chr17:8537675:8537762:8530117:8539431:SE","SE","ENSMUSG00000073468","Sft2d1",87,"Regular (>50bp)",0.266,0.0251027115933998
"chr15:76545679:76545818:76545584:76545926:SE","SE","ENSMUSG00000004187","Kifc2",139,"Regular (>50bp)",-0.114,5.4355347062181e-06
"chr15:76550428:76550550:76550333:76550646:SE","SE","ENSMUSG00000004187","Kifc2",122,"Regular (>50bp)",-0.102,0.00324266393104662
"chr15:76131839:76131937:76131100:76132050:SE","SE","ENSMUSG00000022564","Grina",98,"Regular (>50bp)",-0.121,0
"chr15:76132648:76132849:76131100:76133177:SE","SE","ENSMUSG00000022564","Grina",201,"Regular (>50bp)",-0.271,0.00279019966061005
"chr15:75919770:75919845:75919521:75919963:SE","SE","ENSMUSG00000022568","Scrib",75,"Regular (>50bp)",-0.168,4.81136874308379e-07
"chr15:73236889:73237044:73215208:73294857:SE","SE","ENSMUSG00000022607","Ptk2",155,"Regular (>50bp)",-0.124,0.00293072824508913
"chr15:73263607:73263729:73202864:73266496:SE","SE","ENSMUSG00000022607","Ptk2",122,"Regular (>50bp)",-0.143,0.0468979104394288
"chr15:66495609:66495732:66494666:66495840:SE","SE","ENSMUSG00000072501","Phf20l1",123,"Regular (>50bp)",-0.277,3.44219544020406e-08
"chr15:64025692:64025701:64024779:64030730:SE","SE","ENSMUSG00000022377","Asap1",9,"Microexon (0-30bp)",-0.105,3.36458407431524e-12
"chr15:64025692:64025701:64024779:64030766:SE","SE","ENSMUSG00000022377","Asap1",9,"Microexon (0-30bp)",-0.223,1.06657471876529e-08
"chr15:62031845:62031977:61910050:62047315:SE","SE","ENSMUSG00000097039","Pvt1",132,"Regular (>50bp)",-0.118,0.0334578316845123
"chr15:62031845:62031977:62021201:62047315:SE","SE","ENSMUSG00000097039","Pvt1",132,"Regular (>50bp)",-0.138,0.00304070441608889
"chr15:62047612:62047775:62047397:62094585:SE","SE","ENSMUSG00000097039","Pvt1",163,"Regular (>50bp)",-0.193,0.00173356617197294
"chr15:58781421:58781498:58777660:58792988:SE","SE","ENSMUSG00000050891","Tatdn1",77,"Regular (>50bp)",-0.109,0.0278656225029362
"chr15:57786352:57786531:57775787:57799486:SE","SE","ENSMUSG00000022364","Tbc1d31",179,"Regular (>50bp)",0.285,0.000181330356383035
"chr15:39398233:39398413:39374770:39399267:SE","SE","ENSMUSG00000037386","Rims2",180,"Regular (>50bp)",0.12,0.000735927263056296
"chr15:31606056:31606334:31602295:31617016:SE","SE","ENSMUSG00000039065","Atpsckmt",278,"Regular (>50bp)",0.191,0.000141988828635254
"chr15:27748006:27748228:27744286:27748545:SE","SE","ENSMUSG00000022263","Trio",222,"Regular (>50bp)",0.112,2.42694366486411e-05
"chr15:5061368:5061615:5052181:5063667:SE","SE","ENSMUSG00000079105","C7",247,"Regular (>50bp)",-0.153,0.00420360995311163
"chr14:105828581:105830733:105827107:105831014:SE","SE","ENSMUSG00000115149","9330188P03Rik",2152,"Regular (>50bp)",-0.181,3.57095885322136e-06
"chr14:105830125:105830733:105827107:105831014:SE","SE","ENSMUSG00000115149","9330188P03Rik",608,"Regular (>50bp)",-0.148,9.89575302218305e-05
"chr14:77506246:77506317:77394482:77549498:SE","SE","ENSMUSG00000022012","Enox1",71,"Regular (>50bp)",0.115,0.000352031808409297
"chr15:57895379:57895475:57894496:57932714:SE","SE","ENSMUSG00000022362","Gm29394",96,"Regular (>50bp)",0.125,3.79658950090483e-11
"chr14:70315472:70315525:70315047:70316344:SE","SE","ENSMUSG00000033730","Egr3",53,"Regular (>50bp)",0.126,0.000400727200939585
"chr14:66596127:66596180:66595486:66598523:SE","SE","ENSMUSG00000022044","Stmn4",53,"Regular (>50bp)",0.11,6.8547636495382e-05
"chr14:65317828:65317964:65315638:65335445:SE","SE","ENSMUSG00000021978","Extl3",136,"Regular (>50bp)",-0.177,0.00569017633956203
"chr14:59674885:59675214:59668717:59678035:SE","SE","ENSMUSG00000071350","Setdb2",329,"Regular (>50bp)",-0.191,0.00609258478316852
"chr14:57048196:57048316:57048053:57049048:SE","SE","ENSMUSG00000040123","Zmym5",120,"Regular (>50bp)",-0.257,2.72650929155964e-05
"chrX:72949762:72949825:72949469:72950034:SE","SE","ENSMUSG00000031389","Arhgap4",63,"Regular (>50bp)",-0.256,0.00549118627373868
"chr14:54890670:54890735:54889315:54890991:SE","SE","ENSMUSG00000022185","Acin1",65,"Regular (>50bp)",0.106,2.27821930614206e-06
"chr14:54890670:54890774:54889315:54890991:SE","SE","ENSMUSG00000022185","Acin1",104,"Regular (>50bp)",0.125,5.79776064955045e-07
"chr14:54916199:54916319:54904618:54916697:SE","SE","ENSMUSG00000022185","Acin1",120,"Regular (>50bp)",-0.15,8.09842922932222e-06
"chr14:52439600:52439780:52439204:52439960:SE","SE","ENSMUSG00000053754","Chd8",180,"Regular (>50bp)",-0.146,3.5459543347679e-12
"chr14:52252404:52252509:52247515:52257204:SE","SE","ENSMUSG00000049295","Zfp219",105,"Regular (>50bp)",-0.138,0.00457183343929406
"chr16:4775831:4776030:4775626:4781983:SE","SE","ENSMUSG00000022515","Anks3",199,"Regular (>50bp)",-0.109,0.00367992813426096
"chr16:4778260:4778432:4775626:4781983:SE","SE","ENSMUSG00000022515","Anks3",172,"Regular (>50bp)",-0.107,0.0014191973992394
"chr14:51129831:51130756:51129742:51133904:SE","SE","ENSMUSG00000090799","Klhl33",925,"Regular (>50bp)",-0.217,0.0280012225533749
"chr14:57880791:57880946:57880680:57885875:SE","SE","ENSMUSG00000021952","Xpo4",155,"Regular (>50bp)",-0.152,0.000122946455953211
"chr14:32238903:32239335:32235556:32248105:SE","SE","ENSMUSG00000054051","Ercc6",432,"Regular (>50bp)",-0.136,0.000684350234777259
"chr14:61436051:61436078:61430928:61440146:SE","SE","ENSMUSG00000048279","Sacs",27,"Microexon (0-30bp)",0.166,0.0455419660223283
"chr14:24544119:24544137:24543561:24545842:SE","SE","ENSMUSG00000025290","Rps24",18,"Microexon (0-30bp)",-0.36,0
"chr14:20631524:20631695:20627654:20633389:SE","SE","ENSMUSG00000034235","Usp54",171,"Regular (>50bp)",-0.221,0.00163920755991979
"chr14:20427842:20428067:20425681:20428467:SE","SE","ENSMUSG00000039599","Fam149b",225,"Regular (>50bp)",-0.112,0.000602324603802264
"chr19:44514654:44514754:44514093:44515043:SE","SE","ENSMUSG00000051984","Sec31b",100,"Regular (>50bp)",-0.138,0.0177730572840249
"chr14:4191594:4191852:4191392:4192727:SE","SE","ENSMUSG00000021772","Nkiras1",258,"Regular (>50bp)",-0.111,0.0103264444612108
"chr13:119601100:119601226:119599655:119602546:SE","SE","ENSMUSG00000062822","4833420G17Rik",126,"Regular (>50bp)",0.145,2.3949052893392e-09
"chr13:119601100:119601226:119599655:119602609:SE","SE","ENSMUSG00000062822","4833420G17Rik",126,"Regular (>50bp)",0.154,0.00220369590099262
"chr13:108312338:108312440:108312154:108314150:SE","SE","ENSMUSG00000021694","Ercc8",102,"Regular (>50bp)",-0.143,0.0280012225533749
"chr13:104489265:104489371:104483899:104503301:SE","SE","ENSMUSG00000046169","Adamts6",106,"Regular (>50bp)",-0.234,0.000566033838924518
"chr13:104581651:104581719:104581461:104582123:SE","SE","ENSMUSG00000046169","Adamts6",68,"Regular (>50bp)",-0.386,0.00925663736939421
"chr13:104288672:104288690:104286691:104290803:SE","SE","ENSMUSG00000021711","Trappc13",18,"Microexon (0-30bp)",-0.113,0.000914081619341403
"chr19:55743445:55743514:55731629:55806195:SE","SE","ENSMUSG00000024985","Tcf7l2",69,"Regular (>50bp)",0.16,0.0391099382053929
"chr19:55914408:55914481:55912376:55919865:SE","SE","ENSMUSG00000024985","Tcf7l2",73,"Regular (>50bp)",0.198,0.00900541194774358
"chr19:55914408:55914481:55913012:55919865:SE","SE","ENSMUSG00000024985","Tcf7l2",73,"Regular (>50bp)",0.168,0.02138329801425
"chr19:55916161:55916186:55914481:55919865:SE","SE","ENSMUSG00000024985","Tcf7l2",25,"Microexon (0-30bp)",-0.197,0.00635973075347412
"chr13:89851036:89853916:89833311:89860323:SE","SE","ENSMUSG00000021614","Vcan",2880,"Regular (>50bp)",0.46,0.000385729549511172
"chr13:64353311:64353397:64349262:64356920:SE","SE","ENSMUSG00000033102","Cdc14b",86,"Regular (>50bp)",-0.118,0.0368972728992684
"chr15:99199667:99199865:99193309:99201163:SE","SE","ENSMUSG00000023007","Prpf40b",198,"Regular (>50bp)",-0.121,0.0058226609798991
"chr13:59926565:59926629:59920673:59929831:SE","SE","ENSMUSG00000035248","Tut7",64,"Regular (>50bp)",0.2,1.23554903789364e-08
"chr13:59926950:59927015:59926629:59929831:SE","SE","ENSMUSG00000035248","Tut7",65,"Regular (>50bp)",-0.106,0.00052135241728138
"chr13:55712332:55712393:55691602:55718587:SE","SE","ENSMUSG00000021495","Fam193b",61,"Regular (>50bp)",0.144,0.00381295193590217
"chr19:3921002:3921062:3914759:3925734:SE","SE","ENSMUSG00000024843","Chka",60,"Regular (>50bp)",0.13,2.59457583068219e-05
"chr13:36042058:36042231:36000558:36055560:SE","SE","ENSMUSG00000059288","Cdyl",173,"Regular (>50bp)",-0.187,0.000250423747500242
"chr16:20553611:20553712:20553523:20553866:SE","SE","ENSMUSG00000006958","Chrd",101,"Regular (>50bp)",-0.387,0.000129799836426995
"chr16:20553655:20553719:20553523:20553866:SE","SE","ENSMUSG00000006958","Chrd",64,"Regular (>50bp)",-0.354,0.0105224860836707
"chr13:30378518:30378664:30320745:30386307:SE","SE","ENSMUSG00000038732","Mboat1",146,"Regular (>50bp)",0.237,0.0326946795660635
"chr13:25159581:25159768:25155514:25163361:SE","SE","ENSMUSG00000021340","Gpld1",187,"Regular (>50bp)",-0.154,0.0322791458371147
"chr13:21705955:21706079:21705132:21709307:SE","SE","ENSMUSG00000063894","Zkscan8",124,"Regular (>50bp)",0.242,5.30459291731261e-05
"chr13:21706393:21706485:21705132:21709307:SE","SE","ENSMUSG00000063894","Zkscan8",92,"Regular (>50bp)",0.336,7.43164044426592e-08
"chr13:21632336:21632654:21632064:21633443:SE","SE","ENSMUSG00000022228","Zscan26",318,"Regular (>50bp)",-0.104,3.26082655539263e-06
"chr13:21632336:21632654:21632064:21633610:SE","SE","ENSMUSG00000022228","Zscan26",318,"Regular (>50bp)",-0.21,1.74233608451325e-13
"chr12:112879224:112879338:112879137:112879499:SE","SE","ENSMUSG00000002799","Jag2",114,"Regular (>50bp)",-0.174,0
"chr12:111760082:111760133:111755893:111761981:SE","SE","ENSMUSG00000021288","Klc1",51,"Regular (>50bp)",0.154,0.000160037126879157
"chr12:111395090:111395243:111395011:111395848:SE","SE","ENSMUSG00000021280","Exoc3l4",153,"Regular (>50bp)",-0.13,0.0424106193960655
"chr12:108649606:108649669:108649520:108652308:SE","SE","ENSMUSG00000021262","Evl",63,"Regular (>50bp)",-0.176,0
