"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI_neg","FDR_neg","dPSI_pos","FDR_pos"
"chr11:102176489:102176544:102175914:102178133:SE","SE","ENSMUSG00000034757","Tmub2",55,"Regular (>50bp)",0.101,0.00667402540408593,0.142,8.63196398404937e-06
"chr11:97382469:97382492:97382056:97383876:SE","SE","ENSMUSG00000049807","Arhgap23",23,"Microexon (0-30bp)",0.228,8.00498907670246e-13,0.109,0.00137006976834466
"chr11:94183219:94183298:94182404:94183752:SE","SE","ENSMUSG00000020863","Luc7l3",79,"Regular (>50bp)",-0.265,0.000160819830638747,-0.26,7.98971196744782e-06
"chr11:94183232:94183298:94182404:94183752:SE","SE","ENSMUSG00000020863","Luc7l3",66,"Regular (>50bp)",-0.274,0.000948284233830729,-0.238,1.27685905460457e-05
"chr11:84788184:84788289:84788037:84788374:SE","SE","ENSMUSG00000020527","Myo19",105,"Regular (>50bp)",-0.162,1.50386396388747e-05,-0.197,3.55642128957178e-12
"chr6:34149562:34149690:34147509:34153712:SE","SE","ENSMUSG00000018999","Slc35b4",128,"Regular (>50bp)",-0.138,0.00102158121601864,-0.16,2.42808243549289e-05
"chr5:31330726:31330855:31330405:31331111:SE","SE","ENSMUSG00000106864","Gtf3c2",129,"Regular (>50bp)",-0.124,1.61957987530082e-05,-0.143,4.57590445162856e-08
"chr6:30242536:30242576:30221795:30260927:SE","SE","ENSMUSG00000039159","Ube2h",40,"Small (30-50bp)",0.13,0.000683516245056237,0.147,0.000615747366875657
"chr6:29468965:29469225:29468166:29470065:SE","SE","ENSMUSG00000004285","Atp6v1f",260,"Regular (>50bp)",0.307,0.00184387134755415,0.2,0.0210499940822603
"chr6:29452797:29452896:29452379:29453197:SE","SE","ENSMUSG00000068699","Flnc",99,"Regular (>50bp)",0.118,0.000460919086951993,0.204,1.82543211316018e-11
"chr6:25798007:25798054:25794673:25805873:SE","SE","ENSMUSG00000029676","Pot1a",47,"Small (30-50bp)",-0.18,0.00594642261840523,-0.194,0.000954664579666743
"chr1:162501667:162501720:162501225:162504259:SE","SE","ENSMUSG00000040225","Prrc2c",53,"Regular (>50bp)",-0.185,0.000651537906469661,-0.214,2.48775309361347e-07
"chr1:162501671:162501720:162501225:162503173:SE","SE","ENSMUSG00000040225","Prrc2c",49,"Small (30-50bp)",-0.121,3.14841122952943e-07,-0.144,8.16031415359964e-12
"chr19:55375620:55375641:55369451:55380215:SE","SE","ENSMUSG00000024983","Vti1a",21,"Microexon (0-30bp)",0.135,0.0167201831173847,0.171,0.000231369095081125
"chr7:136978683:136978846:136978080:136989099:SE","SE","ENSMUSG00000040139","9430038I01Rik",163,"Regular (>50bp)",-0.186,0.000441851244589695,-0.162,0.0023290024372213
"chr5:149300133:149300256:149292743:149315572:SE","SE","ENSMUSG00000107271","BC028471",123,"Regular (>50bp)",-0.161,0.000157722686902773,-0.119,6.28851338269173e-05
"chr5:137577140:137577304:137576067:137578428:SE","SE","ENSMUSG00000029716","Tfr2",164,"Regular (>50bp)",0.13,0.0109212511159536,0.13,0.0114021217252649
"chr6:83934490:83934574:83931743:83935165:SE","SE","ENSMUSG00000030016","Zfp638",84,"Regular (>50bp)",0.133,0.00746068119617837,0.142,0.00128737049294719
"chr1:155916820:155916880:155911666:155927039:SE","SE","ENSMUSG00000050565","Tor1aip2",60,"Regular (>50bp)",0.159,0.00488188199476449,0.151,0.00632516012813351
"chr1:155916820:155916880:155911837:155927039:SE","SE","ENSMUSG00000050565","Tor1aip2",60,"Regular (>50bp)",0.23,3.69639618774493e-08,0.213,3.1010634856554e-06
"chr1:155916820:155916880:155911837:155935156:SE","SE","ENSMUSG00000050565","Tor1aip2",60,"Regular (>50bp)",0.165,0.0340293557953583,0.174,0.0105999843344019
"chr1:155916820:155916880:155916748:155927039:SE","SE","ENSMUSG00000050565","Tor1aip2",60,"Regular (>50bp)",0.132,0,0.108,1.32454748558169e-11
"chr1:155916820:155916880:155916748:155935156:SE","SE","ENSMUSG00000050565","Tor1aip2",60,"Regular (>50bp)",0.298,0,0.209,9.42849997625886e-08
"chr6:39506382:39506456:39504578:39520037:SE","SE","ENSMUSG00000085058","8030453O22Rik",74,"Regular (>50bp)",0.231,0.0409838238074037,0.282,0.00906016106474313
"chr15:92258919:92259046:92242464:92265055:SE","SE","ENSMUSG00000097068","Gm26760",127,"Regular (>50bp)",-0.168,3.3470602441056e-05,-0.143,0.00420360995311163
"chr5:129792747:129792922:129792613:129793790:SE","SE","ENSMUSG00000034211","Mrps17",175,"Regular (>50bp)",-0.111,9.57615469921395e-08,-0.149,6.10355387630414e-14
"chr5:129792747:129792976:129792613:129793790:SE","SE","ENSMUSG00000034211","Mrps17",229,"Regular (>50bp)",-0.108,1.80701390240478e-07,-0.151,3.13897056497055e-14
"chr5:129792747:129793005:129792613:129793790:SE","SE","ENSMUSG00000034211","Mrps17",258,"Regular (>50bp)",-0.103,4.42357879944787e-07,-0.144,1.74233608451325e-13
"chr5:125097023:125097110:125096054:125100564:SE","SE","ENSMUSG00000029478","Ncor2",87,"Regular (>50bp)",-0.145,0.000460919086951993,-0.104,0.000172308444465244
"chr5:124074451:124074618:124072327:124082196:SE","SE","ENSMUSG00000061882","Ccdc62",167,"Regular (>50bp)",0.112,0.00109373295113084,0.102,0.0014564104625854
"chr10:13879944:13880019:13841964:13942326:SE","SE","ENSMUSG00000015501","Hivep2",75,"Regular (>50bp)",-0.278,1.69695378827837e-05,-0.138,0.0405585836356155
"chr5:104638509:104638630:104637280:104642758:SE","SE","ENSMUSG00000034462","Pkd2",121,"Regular (>50bp)",0.212,0.00312821758295085,0.236,0.000175165537319768
"chr5:100183493:100183598:100182843:100183962:SE","SE","ENSMUSG00000029328","Hnrnpdl",105,"Regular (>50bp)",-0.135,0.000274731490298617,-0.184,5.3213515628146e-10
"chr5:100124392:100124449:100115246:100126250:SE","SE","ENSMUSG00000000568","Hnrnpd",57,"Regular (>50bp)",0.202,0,0.258,0
"chr9:121824132:121824179:121824016:121824941:SE","SE","ENSMUSG00000066235","Pomgnt2",47,"Small (30-50bp)",0.398,0.00431860832987468,0.313,0.0164503412197845
"chr9:121824132:121824183:121824016:121824941:SE","SE","ENSMUSG00000066235","Pomgnt2",51,"Regular (>50bp)",0.281,0.0132100193355873,0.152,0.00426637764968789
"chr11:29656409:29658770:29655591:29683632:SE","SE","ENSMUSG00000020458","Rtn4",2361,"Regular (>50bp)",-0.197,1.92788115568587e-11,-0.205,0
"chr6:120943014:120943077:120939826:120950363:SE","SE","ENSMUSG00000051586","Mical3",63,"Regular (>50bp)",0.145,0.000509666070865956,0.288,2.49800546387648e-08
"chr6:120948711:120948801:120946453:120950363:SE","SE","ENSMUSG00000051586","Mical3",90,"Regular (>50bp)",-0.166,0.0297738924048113,-0.238,0.000568027681420668
"chr6:120996656:120996740:120986142:120998143:SE","SE","ENSMUSG00000051586","Mical3",84,"Regular (>50bp)",0.142,3.09343976434161e-05,0.104,0.000220706408463486
"chr13:47018294:47018307:47001862:47082691:SE","SE","ENSMUSG00000021375","Kif13a",13,"Microexon (0-30bp)",0.115,0.0476513745860557,0.138,0.0103601446742514
"chr1:133202530:133202617:133202112:133208076:SE","SE","ENSMUSG00000041757","Plekha6",87,"Regular (>50bp)",0.174,0.000611157526358838,0.225,1.05378792029971e-06
"chr1:133202530:133202617:133202112:133209520:SE","SE","ENSMUSG00000041757","Plekha6",87,"Regular (>50bp)",0.306,8.11253084908894e-12,0.432,0
"chr1:133203549:133203603:133202617:133208076:SE","SE","ENSMUSG00000041757","Plekha6",54,"Regular (>50bp)",0.158,0.0308872235256755,0.172,0.0122934561721616
"chr1:133207110:133207191:133202112:133208076:SE","SE","ENSMUSG00000041757","Plekha6",81,"Regular (>50bp)",0.104,0.00109266785888335,0.156,3.81143746070178e-07
"chr1:133208076:133208145:133202112:133209520:SE","SE","ENSMUSG00000041757","Plekha6",69,"Regular (>50bp)",0.141,9.20097835381683e-05,0.251,0
"chr14:70842736:70842802:70842488:70842980:SE","SE","ENSMUSG00000022099","Dmtn",66,"Regular (>50bp)",-0.117,0.0239082351189277,-0.148,0.00514530038287651
"chr5:24171131:24171429:24170356:24184485:SE","SE","ENSMUSG00000028995","Hycc1",298,"Regular (>50bp)",-0.161,7.39491230381861e-07,-0.178,2.31303144846181e-08
"chr5:21430560:21430725:21427437:21431241:SE","SE","ENSMUSG00000039934","Gsap",165,"Regular (>50bp)",-0.21,0.0476513745860557,-0.246,0.0360690709528379
"chr4:148240851:148240947:148240738:148241065:SE","SE","ENSMUSG00000029001","Fbxo44",96,"Regular (>50bp)",-0.149,9.97834579262941e-05,-0.211,1.13049494406356e-07
"chr5:38367961:38368008:38363306:38370651:SE","SE","ENSMUSG00000029127","Zbtb49",47,"Small (30-50bp)",0.149,0.030335738888993,0.177,0.00435737120175889
"chr11:58952249:58952513:58951933:58952856:SE","SE","ENSMUSG00000061462","Obscn",264,"Regular (>50bp)",0.356,0.00758220917511042,0.323,0.0476982066986529
"chr1:174904389:174904443:174887360:174905754:SE","SE","ENSMUSG00000026527","Rgs7",54,"Regular (>50bp)",0.194,0.000686295973082051,0.155,4.51726584513169e-06
"chr1:174904389:174904443:174894260:174905754:SE","SE","ENSMUSG00000026527","Rgs7",54,"Regular (>50bp)",0.247,0.0436764758913934,0.257,0.00190830839453806
"chr13:43819233:43819298:43769543:43821235:SE","SE","ENSMUSG00000044164","Rnf182",65,"Regular (>50bp)",0.115,0.00379761135967753,0.108,0.00485182002663262
"chr11:83084868:83085035:83082234:83103369:SE","SE","ENSMUSG00000018986","Slfn3",167,"Regular (>50bp)",-0.152,0.0274917979431201,-0.187,0.000871452460822902
"chr19:40288686:40288746:40287965:40300112:SE","SE","ENSMUSG00000025006","Sorbs1",60,"Regular (>50bp)",0.28,3.82068214758142e-08,0.274,6.43740968170826e-08
"chr6:34724820:34724904:34723574:34730377:SE","SE","ENSMUSG00000029761","Cald1",84,"Regular (>50bp)",-0.107,0.00460643952545561,-0.136,5.57240299317657e-05
"chr6:34724826:34724904:34723574:34730377:SE","SE","ENSMUSG00000029761","Cald1",78,"Regular (>50bp)",-0.101,0.0238396595809722,-0.172,2.09120420329674e-07
"chr4:119338188:119338249:119335218:119349493:SE","SE","ENSMUSG00000048899","Rimkla",61,"Regular (>50bp)",0.227,1.48762805021752e-05,0.217,1.1171220355266e-05
"chr4:110112615:110112702:110108718:110143666:SE","SE","ENSMUSG00000028546","Elavl4",87,"Regular (>50bp)",-0.208,1.34079673279972e-06,-0.258,3.13897056497055e-14
"chr4:102791742:102791802:102786109:102813295:SE","SE","ENSMUSG00000028524","Sgip1",60,"Regular (>50bp)",0.135,0.00938056998262256,0.128,0.00202226264674503
"chr14:16433030:16433144:16431648:16437386:SE","SE","ENSMUSG00000091568","Gm8206",114,"Regular (>50bp)",-0.572,2.26252336143412e-09,-0.492,1.01396963091344e-08
"chr8:95317800:95317916:95316035:95318196:SE","SE","ENSMUSG00000031774","Psme3ip1",116,"Regular (>50bp)",0.36,0.000184545359371775,0.416,3.40190633600836e-06
"chr7:132433088:132433305:132429611:132438828:SE","SE","ENSMUSG00000030960","Eef1akmt2",217,"Regular (>50bp)",-0.111,0.00020546106696315,-0.144,8.64525148203521e-05
"chr6:48817294:48817387:48815296:48818281:SE","SE","ENSMUSG00000029810","Tmem176b",93,"Regular (>50bp)",0.225,0.00013436132024623,0.242,8.42783586911536e-06
"chr11:60129835:60129898:60123783:60132643:SE","SE","ENSMUSG00000000538","Tom1l2",63,"Regular (>50bp)",-0.151,6.10806624409645e-06,-0.235,0
"chr11:120520811:120520842:120520707:120521313:SE","SE","ENSMUSG00000051510","Mafg",31,"Small (30-50bp)",0.201,0.00025643802318943,0.103,0.0154402121604477
"chr4:53059256:53059362:53051009:53060332:SE","SE","ENSMUSG00000015243","Abca1",106,"Regular (>50bp)",0.16,0.000571507494680922,0.12,0.0483734095950714
"chr12:77008036:77008063:77000050:77008763:SE","SE","ENSMUSG00000059436","Max",27,"Microexon (0-30bp)",0.148,3.18154548488872e-06,0.18,6.74755089948493e-13
"chr10:116363731:116363854:116337222:116417357:SE","SE","ENSMUSG00000020166","Cnot2",123,"Regular (>50bp)",-0.465,1.09345910391415e-05,-0.144,0.0174925678192676
"chr2:26268172:26268291:26268079:26268505:SE","SE","ENSMUSG00000036281","Snapc4",119,"Regular (>50bp)",-0.164,7.76640955183628e-05,-0.405,0
"chr5:7768000:7768090:7730281:7768669:SE","SE","ENSMUSG00000105068","Gm30835",90,"Regular (>50bp)",0.158,0.000250968645773305,0.138,0.000445420048231393
"chr3:148566062:148566074:148565169:148571235:SE","SE","ENSMUSG00000028184","Adgrl2",12,"Microexon (0-30bp)",0.142,8.24021668515075e-05,-0.116,0.00343523606591965
"chr14:51070337:51070488:51069296:51070910:SE","SE","ENSMUSG00000006281","Tep1",151,"Regular (>50bp)",-0.126,4.46019730764414e-05,-0.123,2.08945366409815e-05
"chr9:4303093:4303215:4302631:4309253:SE","SE","ENSMUSG00000025894","Aasdhppt",122,"Regular (>50bp)",-0.116,1.70612272794466e-09,-0.132,1.54957390202941e-12
"chr4:135182183:135182215:135179883:135191096:SE","SE","ENSMUSG00000028803","Nipal3",32,"Small (30-50bp)",0.158,4.5723219909902e-06,0.153,2.03845803510113e-05
"chr5:131494869:131494965:131488994:131501096:SE","SE","ENSMUSG00000029673","Auts2",96,"Regular (>50bp)",-0.256,0.000706955641110917,-0.218,0.011806652062461
"chr13:59665466:59665504:59662109:59672959:SE","SE","ENSMUSG00000021557","Agtpbp1",38,"Small (30-50bp)",0.119,5.21793667820254e-06,0.124,4.38670691185662e-07
"chr4:147947484:147947593:147947406:147949645:SE","SE","ENSMUSG00000029022","Miip",109,"Regular (>50bp)",-0.108,1.03483326864201e-07,-0.119,1.68367397776619e-09
