"GeneID","geneSymbol","n_neg_excl_microexons","microexon_coords","mean_dPSI","dPSI_values"
"ENSMUSG00000033335","Dnm2",1,"chr9:21401953-21401965",0.118,"0.118"
"ENSMUSG00000033382","Trappc8",1,"chr18:20988877-20988895",0.11,"0.11"
"ENSMUSG00000033392","Clasp2",1,"chr9:113687648-113687672",0.252,"0.252"
"ENSMUSG00000033419","Snap91",1,"chr9:86680882-86680897",0.195,"0.195"
"ENSMUSG00000033902","Mapkbp1",1,"chr2:119843781-119843799",0.12,"0.12"
"ENSMUSG00000034908","Sidt2",1,"chr9:45858838-45858850",0.156,"0.156"
"ENSMUSG00000034973","Dop1a",1,"chr9:86388923-86388953",0.195,"0.195"
"ENSMUSG00000035954","Dock4",1,"chr12:40844595-40844622",0.164,"0.164"
"ENSMUSG00000036104","Rab3gap1",1,"chr1:127869330-127869351",0.191,"0.191"
"ENSMUSG00000036529","Sbf1",1,"chr15:89191374-89191398",0.134,"0.134"
"ENSMUSG00000036578","Fxyd7",1,"chr7:30746797-30746827",0.198,"0.198"
"ENSMUSG00000036591","Arhgap21",1,"chr2:20888010-20888040",0.21,"0.21"
"ENSMUSG00000037533","Rapgef6",1,"chr11:54542574-54542589",0.211,"0.211"
"ENSMUSG00000037541","Shank2",1,"chr7:143961792-143961813",0.216,"0.216"
"ENSMUSG00000037697","Ddhd1",1,"chr14:45866310-45866331",0.202,"0.202"
"ENSMUSG00000039860","Srrm3",1,"chr5:135895980-135896000",0.114,"0.114"
"ENSMUSG00000040111","Gramd1b",1,"chr9:40211735-40211747",0.133,"0.133"
"ENSMUSG00000040537","Adam22",1,"chr5:8136593-8136623",0.13,"0.13"
"ENSMUSG00000040687","Madd",1,"chr2:90971153-90971162",0.143,"0.143"
"ENSMUSG00000040940","Arhgef1",1,"chr7:24617944-24617956",0.131,"0.131"
"ENSMUSG00000041609","Bicdl1",1,"chr5:115810202-115810214",0.126,"0.126"
"ENSMUSG00000041936","Agrn",1,"chr4:156253002-156253026",0.323,"0.323"
"ENSMUSG00000041977","Arhgef11",1,"chr3:87625535-87625565",0.146,"0.146"
"ENSMUSG00000043019","Edem3",1,"chr1:151688504-151688519",0.115,"0.115"
"ENSMUSG00000043831","Lysmd4",1,"chr7:66874123-66874149",0.106,"0.106"
"ENSMUSG00000045482","Trrap",1,"chr5:144747141-144747162",0.291,"0.291"
"ENSMUSG00000045983","Eif4g1",1,"chr16:20493535-20493556",0.166,"0.166"
"ENSMUSG00000048078","Tenm4",1,"chr7:96454311-96454338",0.102,"0.102"
"ENSMUSG00000056486","Chn1",1,"chr2:73540798-73540826",-0.173,"-0.173"
"ENSMUSG00000056917","Sipa1",1,"chr19:5711623-5711651",0.295,"0.295"
"ENSMUSG00000057541","Pus7",1,"chr5:23968331-23968349",0.11,"0.11"
"ENSMUSG00000061306","Slc38a10",1,"chr11:119999292-119999316",0.174,"0.174"
"ENSMUSG00000063919","Srrm4",1,"chr5:116592731-116592747",0.128,"0.128"
"ENSMUSG00000066392","Nrxn3",1,"chr12:88817048-88817078",-0.277,"-0.277"
"ENSMUSG00000069631","Strada",1,"chr11:106071780-106071809",0.157,"0.157"
"ENSMUSG00000071291","Zfp58",1,"chr13:67644303-67644330",-0.104,"-0.104"
"ENSMUSG00000118669","Arvcf",1,"chr16:18219530-18219548",0.166,"0.166"
