"gene_id","gene_symbol","DE_log2FC","DE_padj","DE_baseMean","GeneSymbol","splicing_n_events","splicing_event_types","splicing_max_abs_dPSI","splicing_best_dPSI","splicing_min_FDR"
"ENSMUSG00000035234","Abraxas1",0.735530693944377,2.62449385287167e-31,2631.01903799439,"Abraxas1",1,"MXE",0.122,0.122,0.00320432151164848
"ENSMUSG00000015656","Hspa8",-0.946410954176257,6.30895759959474e-31,63563.8838182417,"Hspa8",1,"RI",0.14,0.14,1.9447012063886e-06
"ENSMUSG00000041977","Arhgef11",-0.622383165221814,1.73205666529217e-30,6351.01946585806,"Arhgef11",1,"SE",0.106,-0.106,0.00114814519812022
"ENSMUSG00000031391","L1cam",-0.629444434672639,4.25754738416908e-30,30198.8943741606,"L1cam",1,"SE",0.179,-0.179,0
"ENSMUSG00000016921","Srsf6",0.561861037687266,5.3318425378263e-30,21926.843130454,"Srsf6",1,"RI",0.198,-0.198,0
"ENSMUSG00000040557","Mettl27",-1.07290258993431,2.3147587963531e-29,819.053619122687,"Mettl27",1,"SE",0.178,0.178,0.00156266238764758
"ENSMUSG00000010554","Mettl16",0.76714077379358,5.55399593340298e-29,3836.76047297571,"Mettl16",1,"SE",0.121,-0.121,0.0172411813590435
"ENSMUSG00000007050","Lsm2",0.79996149806146,1.03117922152883e-27,2325.33218845257,"Lsm2",1,"SE",0.523,0.523,0.00106208500290726
"ENSMUSG00000018411","Mapt",-0.66557120575869,6.42084074436504e-27,26708.1730323811,"Mapt",8,"SE,A3SS,MXE",0.205,-0.205,2.74854030387874e-12
"ENSMUSG00000097080","1700086O06Rik",0.749350319670437,1.33076249839956e-26,1632.3080488972,"1700086O06Rik",3,"SE",0.455,0.455,0.000304020570954701
"ENSMUSG00000006344","Ggt5",-1.28357405591134,3.19811361289441e-26,599.665931485371,"Ggt5",1,"SE",0.165,-0.165,0.000251059822237387
"ENSMUSG00000038766","Gabpb2",0.7885243793407,3.86737270983471e-26,3895.68668302706,"Gabpb2",1,"SE",0.129,0.129,0.0117785063594049
"ENSMUSG00000074874","Ctla2b",-0.99973216449051,9.22851166231823e-26,975.506587432362,"Ctla2b",1,"SE",0.105,-0.105,0.0449510589036202
"ENSMUSG00000039628","Hs3st6",-0.995142408341708,1.04060983917621e-25,1241.63989532114,"Hs3st6",1,"SE",0.111,0.111,3.11804907215085e-06
"ENSMUSG00000034883","Lrr1",0.994172185564657,1.1491181555666e-25,1590.28704069715,"Lrr1",1,"SE",0.117,-0.117,8.94819663314711e-14
"ENSMUSG00000047022","Mipol1",-0.812473677643906,1.42588055984825e-25,1600.02539348381,"Mipol1",1,"SE",0.52,0.52,2.69760103568285e-05
"ENSMUSG00000034664","Itga2b",-1.2257675625657,2.83637443363257e-25,859.723738705926,"Itga2b",1,"RI",0.101,0.101,0.00581263531818706
"ENSMUSG00000039720","Got1l1",-1.19206821713785,4.48376325704687e-25,767.401815906019,"Got1l1",1,"SE",0.154,-0.154,2.22908212355693e-10
"ENSMUSG00000039804","Ncoa5",0.589478999765446,4.77542867182456e-25,6890.35732078504,"Ncoa5",2,"SE",0.172,0.172,6.1620449883123e-09
"ENSMUSG00000024299","Adamts10",-0.870954506278499,1.24688908026304e-24,1882.05328321922,"Adamts10",3,"A3SS,A5SS,RI",0.164,0.164,0.0194223940154271
"ENSMUSG00000028035","Dnajb4",-0.963503853832343,1.27132399598894e-24,2438.38165301695,"Dnajb4",2,"SE",0.231,0.231,0.0234416716918533
"ENSMUSG00000030979","Uros",0.88750076786568,1.29552721178333e-23,1404.63861997208,"Uros",1,"RI",0.206,-0.206,0
"ENSMUSG00000037058","Paip2",-0.543912180688814,3.51624588535523e-23,14701.9305667562,"Paip2",5,"SE",0.46,0.46,4.65296209505786e-08
"ENSMUSG00000000881","Dlg3",-0.850403421355142,5.74500623387466e-23,1183.511861721,"Dlg3",1,"SE",0.134,0.134,7.81094895861366e-09
"ENSMUSG00000049643","2310022A10Rik",0.657281808175096,6.54528303058487e-23,3119.73839583165,"2310022A10Rik",1,"RI",0.137,-0.137,0.000285681015458883
"ENSMUSG00000000751","Rpa1",0.741869709165862,7.36892637426688e-23,8599.60783268238,"Rpa1",1,"SE",0.144,-0.144,0.000640439286395643
"ENSMUSG00000052142","Rasal3",-0.607706417842026,8.60819942313068e-23,3033.42105654528,"Rasal3",1,"RI",0.17,0.17,1.57362941196184e-09
"ENSMUSG00000020198","Ap3d1",0.616990085979151,2.19585693174604e-22,16008.8812568834,"Ap3d1",2,"SE,MXE",0.264,-0.264,0
"ENSMUSG00000055447","Cd47",-0.543450955650554,2.5394301778105e-22,13835.9190469332,"Cd47",2,"SE",0.186,-0.186,1.9594570408698e-08
"ENSMUSG00000020716","Nf1",-0.550816931083506,2.93110753140248e-22,5437.35241875772,"Nf1",1,"SE",0.123,-0.123,0.0178796765217739
"ENSMUSG00000105068","ENSMUSG00000105068",-1.04623598937742,4.81556993686584e-22,1597.39768963753,"Gm30835",1,"SE",0.138,0.138,0.000445420048231393
"ENSMUSG00000025792","Slc25a10",0.946042227388259,4.90544073445038e-22,1482.98464356538,"Slc25a10",1,"RI",0.111,-0.111,1.97143857784258e-07
"ENSMUSG00000036040","Adamtsl2",1.29499274320743,4.95890869871771e-22,398.367735828524,"Adamtsl2",1,"SE",0.116,-0.116,0.0305411283304523
"ENSMUSG00000034949","Zfr2",-0.774651356322882,1.7155883461075e-21,2338.59191998689,"Zfr2",1,"SE",0.22,0.22,0.0155913367752878
"ENSMUSG00000040183","Ankrd6",-0.525403801431714,1.98402022866831e-21,3918.70799869501,"Ankrd6",1,"SE",0.16,-0.16,0.000357949181969969
"ENSMUSG00000025507","Pidd1",0.695934579220122,4.49401637535013e-21,1403.4140168098,"Pidd1",1,"RI",0.128,0.128,0.00729565307701046
"ENSMUSG00000041653","Pnpla3",-0.948477256536343,2.00121729268267e-20,1188.18735197601,"Pnpla3",1,"SE",0.295,0.295,1.67971617245897e-09
"ENSMUSG00000004187","Kifc2",-1.2177196225516,2.65325552949929e-20,840.036479619167,"Kifc2",2,"SE",0.114,-0.114,5.4355347062181e-06
"ENSMUSG00000026571","Dcaf6",-0.59195817944336,3.00896821729309e-20,4747.36338606068,"Dcaf6",1,"SE",0.147,-0.147,0.00650082472271803
"ENSMUSG00000030134","Rasgef1a",-1.32714248878013,3.55330636168425e-20,360.321573760684,"Rasgef1a",2,"SE",0.265,-0.265,0.000964126867542643
"ENSMUSG00000091625","Lsm5",0.764643623165744,5.02318419632724e-20,2090.2594673025,"Lsm5",1,"RI",0.163,-0.163,0.0336314106940369
"ENSMUSG00000029068","Ccnl2",-0.886027331830964,1.10357118526594e-19,16895.23434135,"Ccnl2",2,"SE,RI",0.143,-0.143,1.05621804181134e-08
"ENSMUSG00000032502","Stac",0.599840435338705,2.01649438728036e-19,2889.73417101612,"Stac",1,"SE",0.108,-0.108,4.08732219436128e-05
"ENSMUSG00000020656","Grhl1",1.06907335746754,2.44393386134016e-19,596.451720525359,"Grhl1",1,"SE",0.111,0.111,0.00976118422289253
"ENSMUSG00000015222","Map2",-0.535190523364543,2.84618094983565e-19,8073.23997296343,"Map2",1,"SE",0.227,-0.227,1.48265020890512e-11
"ENSMUSG00000026975","Dph7",0.607392064286969,3.79235942679059e-19,1979.98226116103,"Dph7",1,"A3SS",0.462,-0.462,0.00405184762023976
"ENSMUSG00000041936","Agrn",-0.604772965375863,4.51124224600192e-19,26893.8171376362,"Agrn",1,"RI",0.154,-0.154,0.000233047696470748
"ENSMUSG00000029420","Rimbp2",-0.52662882026336,4.79043201988285e-19,7037.44232484594,"Rimbp2",1,"MXE",0.103,0.103,0.0437142086930944
"ENSMUSG00000033577","Myo6",-0.816607948062888,5.78292138572744e-19,2356.20024741891,"Myo6",1,"SE",0.134,-0.134,3.55702936240723e-07
"ENSMUSG00000037994","Slc9b2",-0.55782679480078,8.76539517560318e-19,2135.68451449234,"Slc9b2",4,"SE",0.207,0.207,8.22259994007547e-05
"ENSMUSG00000021495","Fam193b",-0.898623141220644,9.14804411551087e-19,10038.2854339952,"Fam193b",2,"SE",0.166,-0.166,3.52706147381082e-05
"ENSMUSG00000011148","Adss1",-1.0397626741378,1.54097070054321e-18,520.91034926436,"Adssl1",1,"MXE",0.145,0.145,0.0428160338128054
"ENSMUSG00000005682","Pan2",-0.60240076806957,1.79508671642378e-18,7193.50548207378,"Pan2",1,"RI",0.114,-0.114,8.27880971527687e-05
"ENSMUSG00000037062","Sh3glb1",-0.471527702959466,2.14118869213477e-18,11536.9155739594,"Sh3glb1",6,"SE,MXE",0.301,-0.301,0
"ENSMUSG00000022453","Naga",-0.724384633955673,2.59217213316016e-18,2510.15107559163,"Naga",1,"SE",0.193,-0.193,9.98763361577042e-13
"ENSMUSG00000028064","Sema4a",-0.62714467491924,3.34045771377614e-18,2984.16776051713,"Sema4a",2,"A3SS,RI",0.313,-0.313,0.00240925196503737
"ENSMUSG00000055692","Tmem191",-1.42971572574086,5.83951059650121e-18,607.114009147219,"Tmem191",2,"RI",0.168,0.168,1.98688756048781e-07
"ENSMUSG00000022702","Hira",0.526072076790513,6.0512081168282e-18,4823.69179580468,"Hira",2,"SE,A5SS",0.145,-0.145,2.08876066388664e-08
"ENSMUSG00000062604","Srpk2",-0.499628728832299,6.61234239448887e-18,10389.835459566,"Srpk2",1,"A3SS",0.343,0.343,0.000218620330303332
"ENSMUSG00000019775","Rgs17",-0.835444848144054,7.88752029659384e-18,1167.37217155994,"Rgs17",1,"SE",0.102,0.102,9.00811004318081e-08
"ENSMUSG00000034771","Tle2",-1.11612740025752,8.0565211878074e-18,837.644444558345,"Tle2",2,"A3SS,RI",0.284,-0.284,1.75630523044827e-10
"ENSMUSG00000058886","Deaf1",-0.582566024920397,9.47411638530996e-18,2214.22508981679,"Deaf1",1,"SE",0.378,-0.378,0
"ENSMUSG00000039361","Picalm",-0.406838968191727,1.11689887305268e-17,13535.5769994428,"Picalm",1,"SE",0.188,-0.188,1.78979631253235e-11
"ENSMUSG00000053819","Camk2d",-0.386430953027545,1.16202717144906e-17,11540.1225759282,"Camk2d",1,"SE",0.692,-0.692,4.10807233328966e-09
"ENSMUSG00000032340","Neo1",-0.64699705189391,2.23662460567913e-17,28283.4731279428,"Neo1",1,"SE",0.136,-0.136,8.72715876122299e-06
"ENSMUSG00000042632","Pla2g6",-0.517064522597062,2.57967511400866e-17,6443.8861599148,"Pla2g6",1,"SE",0.205,-0.205,9.75537972425887e-08
"ENSMUSG00000028560","Usp1",0.585045485691905,6.13928357496208e-17,4710.58507507189,"Usp1",2,"SE",0.19,-0.19,2.69084701850324e-08
"ENSMUSG00000068735","Trp53i11",-0.631717203226349,8.60500083230279e-17,1626.44312610097,"Trp53i11",1,"SE",0.103,0.103,0.00240823683291065
"ENSMUSG00000006342","Susd2",-0.855125659455277,1.09814569583543e-16,585.154041235029,"Susd2",1,"SE",0.103,-0.103,0.000225144159132019
"ENSMUSG00000020866","Cacna1g",-0.633836764085006,1.49689229007719e-16,4603.45994012806,"Cacna1g",1,"A5SS",0.282,-0.282,0.00328849067383597
"ENSMUSG00000002227","Mov10",-0.567471430335365,1.88095672515091e-16,4075.27666996297,"Mov10",1,"A3SS",0.127,-0.127,0.0360785948966784
"ENSMUSG00000027655","Dhx35",-0.593808316678049,2.09447365504107e-16,3491.53045643631,"Dhx35",1,"RI",0.209,-0.209,8.437694987188e-15
"ENSMUSG00000027012","Dync1i2",-0.41542960195762,2.29098723183219e-16,12832.8791856197,"Dync1i2",2,"SE,A3SS",0.335,-0.335,1.12744552548825e-08
"ENSMUSG00000034780","B3galt1",-0.52804104731256,3.51974943699542e-16,3752.8258946046,"B3galt1",1,"SE",0.122,-0.122,0.000446342757155352
"ENSMUSG00000035478","Mbd3",0.483786452534088,3.51986910583734e-16,4647.01011039816,"Mbd3",1,"RI",0.15,0.15,2.54673365729408e-12
"ENSMUSG00000028273","Pdlim5",-0.427548204851193,3.87030257654046e-16,7061.86705099724,"Pdlim5",1,"SE",0.337,-0.337,0.00250359733477747
"ENSMUSG00000054517","Trim65",1.1072128415007,4.16729326730968e-16,400.117336308696,"Trim65",1,"RI",0.151,-0.151,0.00137365475057299
"ENSMUSG00000061046","Haghl",-0.88585675345949,5.59080495167618e-16,804.551495899322,"Haghl",1,"RI",0.152,-0.152,0.000850285865848096
"ENSMUSG00000044308","Ubr3",-0.502000473993709,5.85597225599894e-16,16992.4752236794,"Ubr3",1,"A5SS",0.139,0.139,1.57061718471471e-07
"ENSMUSG00000025558","Dock9",-0.524193778761456,6.89031911545529e-16,2904.71217592616,"Dock9",1,"SE",0.128,0.128,0.0236630531751169
"ENSMUSG00000069601","Ank3",-0.367773614650063,1.09917360367495e-15,14482.6369117706,"Ank3",3,"SE,A3SS",0.283,-0.283,0
"ENSMUSG00000045411","2410002F23Rik",0.468471957411495,1.10773039047533e-15,10192.5795591905,"2410002F23Rik",7,"SE,MXE,RI",0.31,-0.31,0
"ENSMUSG00000062991","Nrg1",-0.645883711544877,1.17077848302311e-15,1019.18645213686,"Nrg1",2,"SE",0.229,-0.229,0.0401486478372949
"ENSMUSG00000090841","Myl6",0.445233472393587,1.73480357874486e-15,20927.3372033786,"Myl6",4,"SE,A3SS,RI",0.382,-0.382,0
"ENSMUSG00000039768","Dnajc11",0.421015193301808,1.99821512839352e-15,6859.04688997103,"Dnajc11",1,"RI",0.163,-0.163,0.0256917933081188
"ENSMUSG00000028809","Srrm1",-0.469785525781176,2.60892418331403e-15,22320.1907037468,"Srrm1",2,"MXE,RI",0.202,-0.202,0
"ENSMUSG00000053552","Ebf4",-0.792725073087424,2.89230659540912e-15,1445.96775104049,"Ebf4",1,"RI",0.152,-0.152,0.00163241311817916
"ENSMUSG00000037400","Atp11b",-0.732663584989002,3.30699710895751e-15,7582.8986550867,"Atp11b",2,"SE,RI",0.492,0.492,1.43476359846319e-05
"ENSMUSG00000031310","Zmym3",-0.600829373346172,4.16177977403447e-15,6359.5015229188,"Zmym3",3,"SE",0.201,-0.201,0
"ENSMUSG00000029673","Auts2",0.557887062386863,4.88016177237541e-15,6725.41775038955,"Auts2",2,"SE,A5SS",0.218,-0.218,0.011806652062461
"ENSMUSG00000075316","Scn9a",-1.15755556124856,5.90013895626157e-15,4754.5572326466,"Scn9a",1,"SE",0.129,0.129,0.00965468872599076
"ENSMUSG00000038412","Higd1a",0.605556470747923,6.23968372891761e-15,1867.12317497911,"Higd1a",1,"A3SS",0.207,-0.207,0.00766494233066988
"ENSMUSG00000018599","Mief2",0.601994345746738,7.30878680282802e-15,1306.21284373117,"Mief2",1,"RI",0.105,0.105,0.00397438436562768
"ENSMUSG00000030838","Ush1c",-0.833295197123304,9.85688890191275e-15,1033.51350166296,"Ush1c",1,"SE",0.211,0.211,0.00173573391004315
"ENSMUSG00000063160","Numbl",-0.5122278621867,1.28946856664013e-14,4220.96727600188,"Numbl",1,"SE",0.132,-0.132,0.0473911802836961
"ENSMUSG00000029804","Herc3",-0.425999550727664,1.29696938221951e-14,4264.74421053517,"Herc3",1,"SE",0.117,-0.117,0.00189975198822809
"ENSMUSG00000025006","Sorbs1",-0.547761981115015,1.38706677426988e-14,2373.15698430479,"Sorbs1",4,"SE,A3SS",0.274,0.274,6.43740968170826e-08
"ENSMUSG00000029687","Ezh2",0.462279252202465,1.52414936515078e-14,7529.46150237316,"Ezh2",1,"RI",0.101,-0.101,2.10443277349578e-09
"ENSMUSG00000043384","Gprasp1",-0.594971832991559,1.86239022529394e-14,20325.2616080657,"Gprasp1",1,"MXE",0.146,-0.146,1.89778631186539e-07
"ENSMUSG00000041225","Arhgap12",-0.605809107822295,2.55403547174777e-14,5878.2442292779,"Arhgap12",1,"SE",0.116,0.116,0.0490154190451444
"ENSMUSG00000018761","Mpdu1",0.586922070538183,3.58532624276532e-14,1882.56448060237,"Mpdu1",1,"SE",0.103,-0.103,0.0455683447353291
"ENSMUSG00000040621","Gemin8",-0.524507359983305,3.69120984256753e-14,1964.53707168072,"Gemin8",1,"SE",0.158,0.158,0.0180314590837754
"ENSMUSG00000026113","Inpp4a",-0.468119004609729,6.15534206379431e-14,5782.53257627294,"Inpp4a",3,"SE,A5SS",0.191,0.191,0.000369519441417414
"ENSMUSG00000032594","Ip6k1",-0.424758471646376,6.37364018947082e-14,7514.51850325066,"Ip6k1",2,"SE,RI",0.199,-0.199,0
"ENSMUSG00000023328","Ache",-0.509594453337888,6.40867332018712e-14,3570.87642700698,"Ache",1,"MXE",0.113,0.113,0.00427852233774356
"ENSMUSG00000018986","Slfn3",0.718148798882434,6.98336652877938e-14,1103.82761986426,"Slfn3",1,"SE",0.187,-0.187,0.000871452460822902
"ENSMUSG00000027366","Sppl2a",-0.478282381977015,7.25657474516404e-14,3432.40901756386,"Sppl2a",1,"SE",0.173,-0.173,1.47624350126566e-07
"ENSMUSG00000034300","Fam53c",0.492053218856558,7.34965608857262e-14,4270.3433844887,"Fam53c",2,"MXE",0.155,0.155,0.00159159290937892
"ENSMUSG00000020590","Snx13",-0.676907020723785,8.31326208716607e-14,2178.59853162165,"Snx13",2,"SE",0.29,0.29,8.97576932367017e-08
"ENSMUSG00000017478","Zc3h18",0.404892717091552,9.27283046200508e-14,12736.619598236,"Zc3h18",1,"SE",0.214,0.214,0
"ENSMUSG00000038685","Rtel1",0.517613427745563,1.10982022898156e-13,4964.9318586344,"Rtel1",3,"SE,RI",0.173,-0.173,5.2985879812659e-06
"ENSMUSG00000052917","Senp7",-0.469235638582934,1.65091988706913e-13,4322.29874259528,"Senp7",1,"MXE",0.103,-0.103,0.000466065381454937
"ENSMUSG00000016200","Syt14",-0.526140925060365,1.76081457218492e-13,6295.79262629761,"Syt14",1,"MXE",0.101,0.101,0.0111898506531015
"ENSMUSG00000029625","Cpsf4",0.427993350475548,1.76451962545506e-13,4875.88959065099,"Cpsf4",6,"A3SS,RI",0.231,-0.231,0
"ENSMUSG00000060206","Zfp462",-0.412196931811865,1.81660957043677e-13,8926.71623803336,"Zfp462",1,"A3SS",0.105,0.105,3.34966338150747e-05
"ENSMUSG00000029209","Gnpda2",-0.645192952152387,2.13677368144526e-13,1507.06108457595,"Gnpda2",1,"A3SS",0.142,0.142,0.0360824727952871
"ENSMUSG00000025007","Aldh18a1",0.481398228975925,2.20177240225374e-13,25221.3290568671,"Aldh18a1",1,"SE",0.233,0.233,0.0268752912050597
"ENSMUSG00000025188","Hps1",-0.512245498103209,2.74802857031577e-13,3674.76218335134,"Hps1",1,"RI",0.168,-0.168,1.95567447614796e-06
"ENSMUSG00000053091","Lins1",0.545669958023198,3.35859739384299e-13,1758.64454383191,"Lins1",1,"A3SS",0.134,-0.134,0.00122389992412573
"ENSMUSG00000004891","Nes",0.720782911870278,3.60655533121279e-13,4966.29773536134,"Nes",1,"RI",0.115,-0.115,0.0158286827789107
"ENSMUSG00000023393","Slc17a9",-1.46667066266656,3.62440842660177e-13,182.861337477662,"Slc17a9",1,"RI",0.244,-0.244,0.0184991941063348
"ENSMUSG00000095041","ENSMUSG00000095041",-0.522498564111656,3.81766772900166e-13,44492.413985492,"ENSMUSG00000095041",1,"SE",0.115,-0.115,2.23977840969747e-06
"ENSMUSG00000064043","Trerf1",-0.448501597725126,3.88612513581597e-13,4317.04935665417,"Trerf1",2,"SE,A5SS",0.118,-0.118,0.00361328962545285
"ENSMUSG00000037236","Matr3",-0.705836310924255,4.00584512273557e-13,20062.3387363737,"Matr3",1,"SE",0.11,0.11,7.9989984690331e-05
"ENSMUSG00000037519","Ppfia1",0.478614401911326,4.27822821837666e-13,6280.29423937668,"Ppfia1",2,"SE",0.245,-0.245,3.10346821548892e-05
"ENSMUSG00000020604","Arsg",-0.696720751705133,5.27943908835644e-13,2015.26693006142,"Arsg",1,"MXE",0.178,-0.178,0.000260291157947316
"ENSMUSG00000028559","Osbpl9",-0.494876215832691,6.75614679812402e-13,3119.07542875992,"Osbpl9",2,"SE",0.19,-0.19,0.0470514406833366
"ENSMUSG00000031712","Il15",-1.46213523771232,6.91666967472186e-13,158.302117591521,"Il15",1,"MXE",0.162,-0.162,1.13234664688182e-06
"ENSMUSG00000021809","Nudt13",-0.68195920020336,7.48970767268143e-13,976.627145127512,"Nudt13",7,"SE,RI",0.227,-0.227,9.93229412540958e-05
"ENSMUSG00000002625","Akap8l",-0.475507420998566,8.76137637062288e-13,6187.67922797415,"Akap8l",2,"A3SS,RI",0.102,-0.102,1.2129057885048e-08
"ENSMUSG00000024037","Wdr4",0.487543507762604,1.05381476343395e-12,3314.04784771596,"Wdr4",1,"SE",0.65,-0.65,0.0409051201170622
"ENSMUSG00000019139","Isyna1",-0.432434317613637,1.09533903451946e-12,10729.1191467707,"Isyna1",1,"SE",0.25,-0.25,0.0248640431989182
"ENSMUSG00000031708","Tecr",-0.32038540371135,1.16901000928299e-12,18931.8692690665,"Tecr",3,"SE,MXE",0.129,-0.129,0
"ENSMUSG00000007783","Cpt1c",-0.537652287378287,1.53843813369875e-12,3918.90711744152,"Cpt1c",1,"RI",0.125,0.125,0.00216913942381535
"ENSMUSG00000020859","Spag9",-0.41914682452216,1.84779909560533e-12,13715.4788170444,"Spag9",2,"SE,RI",0.168,0.168,0.0320554566746996
"ENSMUSG00000005936","Kctd20",0.4471728489408,2.16181219202406e-12,9132.11744388569,"Kctd20",1,"SE",0.186,0.186,0.000310698993278985
"ENSMUSG00000030406","Gipr",-0.7966845745891,2.18092750203527e-12,1036.59086345314,"Gipr",3,"SE,A3SS",0.344,-0.344,4.79766390103976e-08
"ENSMUSG00000005899","Smpd4",0.477176333201447,2.18092750203527e-12,2536.60622805031,"Smpd4",2,"A3SS,RI",0.183,-0.183,0.000815971492033321
"ENSMUSG00000023764","Sfi1",-0.535703515589065,2.31242809699084e-12,2735.39035627922,"Sfi1",3,"SE,A5SS",0.173,0.173,6.38691009313994e-05
"ENSMUSG00000040842","Szrd1",0.415456504000756,2.74000037923087e-12,12471.8933237389,"Szrd1",1,"SE",0.103,0.103,9.67694947276558e-05
"ENSMUSG00000022864","D16Ertd472e",0.60480970959937,2.7565214296971e-12,1186.84943964495,"D16Ertd472e",2,"A5SS",0.165,-0.165,0.0179052114251618
"ENSMUSG00000020886","Dlg4",-0.507755784375937,3.09059157134794e-12,22840.036677622,"Dlg4",1,"SE",0.182,-0.182,0
"ENSMUSG00000038777","Sema6c",-0.600372903071305,3.1787509042671e-12,1078.72852058348,"Sema6c",3,"A3SS,A5SS,MXE",0.2,-0.2,2.142720006416e-05
"ENSMUSG00000027297","Ltk",-0.640081259334035,3.40763620629994e-12,2954.0872143204,"Ltk",1,"SE",0.11,-0.11,0.00517042782755356
"ENSMUSG00000020718","Polg2",-0.562169982115386,3.48535298497909e-12,1428.13430255209,"Polg2",1,"SE",0.103,0.103,0.000967677863357076
"ENSMUSG00000032280","Tle3",0.438748293051736,4.19373269890322e-12,10823.5607530223,"Tle3",1,"A5SS",0.134,0.134,0.0371919100834469
"ENSMUSG00000026305","Lrrfip1",1.06783991935659,4.4557233608447e-12,380.363634208184,"Lrrfip1",2,"SE",0.273,0.273,0.00413963031152834
"ENSMUSG00000037818","Abhd18",-0.693744166779185,4.78402589621616e-12,1261.49166177415,"Abhd18",1,"SE",0.278,-0.278,0.0220842201347268
"ENSMUSG00000040097","Flywch1",0.447660693605182,5.06032611020652e-12,5645.92376812522,"Flywch1",2,"SE,MXE",0.289,0.289,0
"ENSMUSG00000025085","Ablim1",0.492961155945963,6.47249601075262e-12,7126.5762679233,"Ablim1",2,"A3SS,MXE",0.201,-0.201,0.00950123059115309
"ENSMUSG00000018669","Cdk5rap3",-0.395963686665914,6.52108773699905e-12,6544.30730803791,"Cdk5rap3",3,"SE,A3SS",0.421,-0.421,8.75270001301511e-05
"ENSMUSG00000014856","Tmem208",0.426474631585048,6.75157188419359e-12,4738.49021393804,"Tmem208",2,"SE,RI",0.143,-0.143,4.46844904194545e-05
"ENSMUSG00000046709","Mapk10",-0.392225660637265,7.29741702356874e-12,4913.14434224216,"Mapk10",1,"SE",0.502,-0.502,0.00646846149908309
"ENSMUSG00000024097","Srsf7",0.489717035932686,7.95479872895009e-12,16883.2393352999,"Srsf7",2,"SE,RI",0.117,-0.117,1.96779772844062e-08
"ENSMUSG00000053714","4732471J01Rik",-1.26729436587188,8.15171675133908e-12,189.507420599928,"4732471J01Rik",2,"SE,A5SS",0.369,0.369,0.00148989813982749
"ENSMUSG00000043411","Usp48",-0.53680704835429,8.25108432715748e-12,15893.646780966,"Usp48",1,"SE",0.138,-0.138,8.76828404888278e-07
"ENSMUSG00000033306","Lpp",-0.529520584603954,8.56437928977547e-12,1692.66047736479,"Lpp",1,"SE",0.164,0.164,0.00259210700976688
"ENSMUSG00000001988","Npas1",-0.578947737504236,1.37059283369659e-11,1860.60639380254,"Npas1",2,"SE,A5SS",0.117,0.117,0.000155889898031129
"ENSMUSG00000061613","U2af1",0.338475743907228,1.53667754959315e-11,12731.0142439253,"U2af1",3,"SE",0.241,0.241,2.90030240115313e-07
"ENSMUSG00000042594","Sh2b3",-0.56111106194698,1.7325032693219e-11,9837.1349938873,"Sh2b3",1,"SE",0.145,-0.145,0.000296875359253506
"ENSMUSG00000036333","Kidins220",-0.357648127197558,1.80819677189844e-11,16891.4414235555,"Kidins220",2,"SE",0.152,0.152,7.03298940818431e-07
