VastDB.ID,gene,Ptbp1.dPSI,Ptbp1.signif,Srrm4.dPSI,Srrm4.signif,Srrm3.Srrm4.dPSI,Srrm3.Srrm4.signif,Srsf11.dPSI,Srsf11.signif,Rbfox2.dPSI,Rbfox2.signif,Srrm3.dPSI,Srrm3.signif,Rnps1.dPSI,Rnps1.signif
MmuEX0046610,Tbrg4,-1,n.s.,-2.3,n.s.,-1,n.s.,-1,n.s.,-3,n.s.,-1,n.s.,-15,lower
MmuEX0046611,Tbrg4,0,n.s.,0.5,n.s.,1,n.s.,1,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0020200,Gcg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0013142,Cttnbp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0013143,Cttnbp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0029115,Mkrn2,1,n.s.,-0.1,n.s.,1,n.s.,-2,n.s.,-1,n.s.,-1,n.s.,-3,n.s.
MmuEX0036470,Pparg,1,n.s.,-0.8,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0003677,Acvrl1,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0003668,Acvr1b,-1,n.s.,-1.7,n.s.,0,n.s.,-2,n.s.,0,n.s.,-1,n.s.,0,n.s.
MmuEX0003669,Acvr1b,1,n.s.,-0.1,n.s.,1,n.s.,1,n.s.,1,n.s.,-2,n.s.,0,n.s.
MmuEX0021510,Gpa33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0024612,Itga5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0019892,Gabra2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0023099,Hnrnpd,7,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,0,n.s.,4,n.s.
MmuEX0023100,Hnrnpd,1,n.s.,-0.3,n.s.,1,n.s.,-6,n.s.,-4,n.s.,-1,n.s.,-13,lower
MmuEX0023101,Hnrnpd,-1,n.s.,-3.9,n.s.,-5,n.s.,-13,lower,-4,n.s.,2,n.s.,15,higher
MmuEX0021970,Grm6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0022972,Hk2,0,n.s.,0.4,n.s.,0,n.s.,0,n.s.,0,n.s.,1,n.s.,-1,n.s.
MmuEX0041886,Sez6,-3,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0026672,Loxl3,0,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0026673,Loxl3,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0004447,Aire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0004448,Aire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0023565,Icosl,-2,n.s.,NA,n.s.,4,n.s.,NA,n.s.,-20,lower,-12,lower,NA,NA
MmuEX0023566,Icosl,-5,n.s.,0.2,n.s.,-2,n.s.,-2,n.s.,-7,n.s.,-6,n.s.,0,n.s.
MmuEX0045712,Sult5a1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0045713,Sult5a1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0049900,Tubgcp3,1,n.s.,0.8,n.s.,0,n.s.,0,n.s.,-1,n.s.,1,n.s.,-2,n.s.
MmuEX0046681,Tcf7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0023908,Il12rb1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0043462,Slc5a5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0043463,Slc5a5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0050936,Usp32,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,1,n.s.,1,n.s.
MmuEX0050937,Usp32,-1,n.s.,-0.2,n.s.,0,n.s.,0,n.s.,1,n.s.,1,n.s.,-1,n.s.
MmuEX0050938,Usp32,0,n.s.,0.5,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0050013,Txnrd3,-5,n.s.,-0.3,n.s.,0,n.s.,0,n.s.,-1,n.s.,0,n.s.,0,n.s.
MmuEX0053997,Znf512b,2,n.s.,-4.1,n.s.,-1,n.s.,2,n.s.,-2,n.s.,-1,n.s.,1,n.s.
MmuEX0019413,Fmr1,-2,n.s.,-0.4,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0019414,Fmr1,-7,n.s.,-6.3,n.s.,-2,n.s.,14,higher,4,n.s.,1,n.s.,12,higher
MmuEX0019415,Fmr1,-1,n.s.,-1,n.s.,-1,n.s.,-2,n.s.,-1,n.s.,-1,n.s.,0,n.s.
MmuEX0038106,Pxmp4,1,n.s.,0.2,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0014808,Dlg3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0022920,Hip1r,-2,n.s.,1,n.s.,0,n.s.,NA,n.s.,-4,n.s.,0,n.s.,-1,n.s.
MmuEX0022921,Hip1r,-3,n.s.,-0.4,n.s.,3,n.s.,3,n.s.,-4,n.s.,-3,n.s.,-10,lower
MmuEX0017637,Expi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0024053,Ilf2,0,n.s.,0.4,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0001048,2500003M10Rik,-1,n.s.,0.7,n.s.,0,n.s.,NA,n.s.,-1,n.s.,0,n.s.,-1,n.s.
MmuEX0039950,Rmnd5b,-1,n.s.,0.4,n.s.,0,n.s.,0,n.s.,-1,n.s.,0,n.s.,0,n.s.
MmuEX0039951,Rmnd5b,0,n.s.,0.1,n.s.,0,n.s.,-1,n.s.,-2,n.s.,0,n.s.,-1,n.s.
MmuEX0000251,1300018I17Rik,0,n.s.,-0.7,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0000252,1300018I17Rik,0,n.s.,0.2,n.s.,1,n.s.,1,n.s.,1,n.s.,0,n.s.,0,n.s.
MmuEX0028810,Mfsd10,-1,n.s.,0.1,n.s.,-2,n.s.,0,n.s.,-1,n.s.,0,n.s.,-1,n.s.
MmuEX0042611,Slc13a2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0033874,Pcbp3,0,n.s.,0.4,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0026349,Lgals9,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0047360,Timp1,4,n.s.,-7.5,n.s.,-1,n.s.,1,n.s.,-2,n.s.,-1,n.s.,6,n.s.
MmuEX0011890,Cnnm3,0,n.s.,-2.7,n.s.,-2,n.s.,-1,n.s.,1,n.s.,-1,n.s.,-8,n.s.
MmuEX0011891,Cnnm3,14,higher,0.4,n.s.,NA,n.s.,NA,NA,NA,n.s.,-4,n.s.,-4,n.s.
MmuEX0026560,Lman2l,0,n.s.,0.5,n.s.,-1,n.s.,0,n.s.,-1,n.s.,0,n.s.,0,n.s.
MmuEX0028231,Mcm3ap,1,n.s.,-3,n.s.,-3,n.s.,-3,n.s.,-4,n.s.,-1,n.s.,-1,n.s.
MmuEX0034015,Pcnt,0,n.s.,1,n.s.,-2,n.s.,-1,n.s.,-3,n.s.,1,n.s.,-1,n.s.
MmuEX0034016,Pcnt,0,n.s.,1.8,n.s.,3,n.s.,-8,n.s.,-35,lower,4,n.s.,-15,n.s.
MmuEX0019716,Ftcd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0019717,Ftcd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0032951,Ocrl,0,n.s.,2.4,n.s.,0,n.s.,-2,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0032952,Ocrl,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0032953,Ocrl,-2,n.s.,-21.5,lower,-16,n.s.,-20,n.s.,-19,n.s.,-4,n.s.,-3,n.s.
MmuEX0004262,Agpat3,-1,n.s.,-2.3,n.s.,-3,n.s.,0,n.s.,-7,n.s.,0,n.s.,-4,n.s.
MmuEX0015622,Dpp9,-1,n.s.,-1,n.s.,0,n.s.,0,n.s.,1,n.s.,0,n.s.,-2,n.s.
MmuEX0015623,Dpp9,1,n.s.,0.8,n.s.,-1,n.s.,-1,n.s.,0,n.s.,1,n.s.,-2,n.s.
MmuEX0021780,Gramd1a,0,n.s.,-0.4,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.,-6,n.s.
MmuEX0021781,Gramd1a,0,n.s.,-0.2,n.s.,1,n.s.,1,n.s.,1,n.s.,1,n.s.,-1,n.s.
MmuEX0044451,Sp1,0,n.s.,0.2,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0038843,Rarg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0044954,Srr,-7,n.s.,2.6,n.s.,-1,n.s.,4,n.s.,NA,n.s.,-3,n.s.,-7,n.s.
MmuEX0009537,Ccdc132,2,n.s.,0.2,n.s.,1,n.s.,-6,n.s.,-3,n.s.,-1,n.s.,-6,n.s.
MmuEX0009538,Ccdc132,0,n.s.,0.1,n.s.,-2,n.s.,-1,n.s.,-3,n.s.,0,n.s.,-1,n.s.
MmuEX0044113,Snd1,0,n.s.,0.2,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0012176,Col18a1,5,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0042708,Slc19a1,0,n.s.,-0.1,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,0,n.s.,-1,n.s.
MmuEX0032136,Npepps,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0032137,Npepps,0,n.s.,0.5,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,0,n.s.,3,n.s.
MmuEX0029655,Mrpl10,0,n.s.,0.1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0046667,Tcf25,0,n.s.,-0.2,n.s.,0,n.s.,-1,n.s.,-1,n.s.,0,n.s.,-2,n.s.
MmuEX0046668,Tcf25,NA,n.s.,NA,n.s.,0,n.s.,3,n.s.,3,n.s.,NA,n.s.,NA,n.s.
MmuEX0014196,Def8,0,n.s.,0.9,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0024601,Itga3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0024602,Itga3,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0024603,Itga3,NA,n.s.,NA,NA,NA,NA,NA,n.s.,NA,NA,NA,n.s.,NA,NA
MmuEX0042015,Sgca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0024560,Itfg2,-1,n.s.,-0.1,n.s.,-1,n.s.,0,n.s.,0,n.s.,1,n.s.,1,n.s.
MmuEX0024561,Itfg2,1,n.s.,1.8,n.s.,-2,n.s.,-3,n.s.,-1,n.s.,-1,n.s.,-5,n.s.
MmuEX0032357,Nrip2,-11,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,n.s.
MmuEX0022104,Gtf2h4,0,n.s.,0.7,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0016689,Ell2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0031985,Nom1,1,n.s.,-0.2,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,0,n.s.,-27,lower
MmuEX0031986,Nom1,2,n.s.,0,n.s.,0,n.s.,0,n.s.,1,n.s.,0,n.s.,0,n.s.
MmuEX0017283,Ergic1,1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0017284,Ergic1,6,n.s.,0.1,n.s.,3,n.s.,NA,n.s.,-3,n.s.,-1,n.s.,-5,n.s.
MmuEX0048309,Tnk1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0048310,Tnk1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0003398,Acap1,2,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0012916,Csn3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0023651,Ifrd1,0,n.s.,0.5,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.,-1,n.s.
MmuEX0008285,Brpf1,-1,n.s.,1.2,n.s.,3,n.s.,1,n.s.,0,n.s.,0,n.s.,-4,n.s.
MmuEX0008286,Brpf1,2,n.s.,-0.9,n.s.,5,n.s.,6,n.s.,7,n.s.,-6,n.s.,-7,n.s.
MmuEX0023199,Hoxc6,-4,n.s.,3.5,n.s.,-1,n.s.,1,n.s.,0,n.s.,3,n.s.,-1,n.s.
MmuEX0022041,Gstt1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0023929,Il16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0046730,Tcirg1,0,n.s.,0,n.s.,0,n.s.,2,n.s.,-1,n.s.,0,n.s.,-2,n.s.
MmuEX0012039,Coasy,-3,n.s.,-11,lower,NA,n.s.,NA,NA,NA,n.s.,0,n.s.,-3,n.s.
MmuEX0012040,Coasy,-1,n.s.,-0.5,n.s.,1,n.s.,0,n.s.,-1,n.s.,-1,n.s.,-1,n.s.
MmuEX0039883,Rin2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0019525,Folh1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0019526,Folh1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0011342,Chordc1,-1,n.s.,1.7,n.s.,1,n.s.,1,n.s.,0,n.s.,0,n.s.,1,n.s.
MmuEX0013463,D10Wsu52e,0,n.s.,-0.1,n.s.,0,n.s.,-1,n.s.,-1,n.s.,0,n.s.,0,n.s.
MmuEX0013464,D10Wsu52e,0,n.s.,-0.1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0026880,Lrp3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052936,Zdhhc4,9,n.s.,-5.9,n.s.,-1,n.s.,3,n.s.,0,n.s.,-8,n.s.,-12,n.s.
MmuEX0032776,Nup214,-1,n.s.,-0.4,n.s.,0,n.s.,-2,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0032777,Nup214,0,n.s.,0.5,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0027237,Ltbp1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0049026,Trmt1,0,n.s.,-0.2,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0031618,Nfix,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,NA
MmuEX0042725,Slc1a5,0,n.s.,-0.2,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0051692,Vwf,NA,NA,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,n.s.
MmuEX0042339,Siae,-3,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0051635,Vsig2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0018351,Fam50a,0,n.s.,-0.1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0021876,Grik3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0021877,Grik3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0021841,Gria3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0032097,Npas1,2,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0005478,Ap4e1,20,higher,NA,n.s.,NA,n.s.,-1,n.s.,-1,n.s.,-3,n.s.,-3,n.s.
MmuEX0005479,Ap4e1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0036014,Pnck,-3,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0045073,Ssr4,-2,n.s.,-0.6,n.s.,-2,n.s.,-2,n.s.,2,n.s.,-1,n.s.,-3,n.s.
MmuEX0018502,Fam98a,0,n.s.,-0.3,n.s.,0,n.s.,0,n.s.,-1,n.s.,0,n.s.,0,n.s.
MmuEX0023698,Ift46,-2,n.s.,-1,n.s.,1,n.s.,1,n.s.,-3,n.s.,0,n.s.,-3,n.s.
MmuEX0010205,Cd3g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0010206,Cd3g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0048775,Trappc6a,0,n.s.,4,n.s.,4,n.s.,2,n.s.,1,n.s.,-1,n.s.,-8,n.s.
MmuEX0048776,Trappc6a,1,n.s.,0.8,n.s.,3,n.s.,5,n.s.,-6,n.s.,-2,n.s.,-8,n.s.
MmuEX0045771,Supt6h,1,n.s.,-0.1,n.s.,1,n.s.,-1,n.s.,-1,n.s.,-1,n.s.,-1,n.s.
MmuEX0044498,Spag5,-4,n.s.,0.5,n.s.,-1,n.s.,-2,n.s.,-4,n.s.,-1,n.s.,-3,n.s.
MmuEX0019558,Foxn1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0050583,Unc119,1,n.s.,-2.6,n.s.,-5,n.s.,-1,n.s.,-6,n.s.,-1,n.s.,-3,n.s.
MmuEX0041388,Sdf2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0041389,Sdf2,NA,n.s.,2.3,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0010052,Ccne1,0,n.s.,-0.7,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0010053,Ccne1,0,n.s.,-0.2,n.s.,0,n.s.,-1,n.s.,0,n.s.,0,n.s.,-2,n.s.
MmuEX0023345,Hsf2bp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0038831,Rapsn,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,n.s.
MmuEX0043285,Slc39a13,0,n.s.,0.3,n.s.,0,n.s.,1,n.s.,1,n.s.,0,n.s.,-2,n.s.
MmuEX0043286,Slc39a13,4,n.s.,-10.7,n.s.,-11,n.s.,-25,lower,-18,lower,-5,n.s.,-64,lower
MmuEX0010737,Celf2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0032256,Nr1h3,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,n.s.,NA,NA,NA,NA
MmuEX0032257,Nr1h3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,n.s.
MmuEX0013996,Ddb2,-2,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,1,n.s.,NA,n.s.
MmuEX0011681,Clgn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0051626,Vrk3,1,n.s.,0.7,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.,-3,n.s.
MmuEX0051627,Vrk3,0,n.s.,-0.1,n.s.,-1,n.s.,0,n.s.,-6,n.s.,1,n.s.,-8,n.s.
MmuEX0039947,Rmnd5a,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0029461,Mov10,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,NA
MmuEX0046869,Tead3,0,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0034424,Peg3,15,higher,-2.6,n.s.,-3,n.s.,-3,n.s.,0,n.s.,-5,n.s.,-4,n.s.
MmuEX0034425,Peg3,1,n.s.,-0.6,n.s.,1,n.s.,2,n.s.,1,n.s.,0,n.s.,-1,n.s.
MmuEX0053852,Zim1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0026605,Lmf1,0,n.s.,-0.1,n.s.,-1,n.s.,-1,n.s.,-5,n.s.,0,n.s.,-5,n.s.
MmuEX0030887,Narfl,0,n.s.,-0.2,n.s.,0,n.s.,0,n.s.,-3,n.s.,-1,n.s.,-1,n.s.
MmuEX0030888,Narfl,3,n.s.,-4.5,n.s.,NA,n.s.,5,n.s.,NA,n.s.,0,n.s.,-31,lower
MmuEX0013786,Dbf4,-1,n.s.,4.1,n.s.,1,n.s.,-1,n.s.,-2,n.s.,0,n.s.,-2,n.s.
