VastDB.ID,gene,length,chrom,start,end,strand,neural.trend,ASD.trend
MmuEX0046611,Tbrg4,65,chr11,6524287,6525967,-,NA,NA
MmuEX0020200,Gcg,43,chr2,62318626,62321622,-,NA,NA
MmuEX0013142,Cttnbp2,96,chr6,18355264,18358481,-,NA,NA
MmuEX0013143,Cttnbp2,100,chr6,18373982,18377438,-,NA,NA
MmuEX0029115,Mkrn2,305,chr6,115560719,115563344,+,NA,NA
MmuEX0036470,Pparg,451,chr6,115413304,115439965,+,NA,inconsistent
MmuEX0003677,Acvrl1,147,chr15,100966659,100967794,+,NA,NA
MmuEX0003668,Acvr1b,157,chr15,101032577,101034883,+,NA,NA
MmuEX0003669,Acvr1b,131,chr15,101035009,101041167,+,NA,NA
MmuEX0021510,Gpa33,155,chr1,168060736,168082698,+,NA,NA
MmuEX0024612,Itga5,204,chr15,103183766,103184477,-,NA,NA
MmuEX0019892,Gabra2,141,chr5,71485858,71486813,-,NA,NA
MmuEX0023099,Hnrnpd,71,chr5,100390353,100391533,-,NA,n.s.
MmuEX0023100,Hnrnpd,147,chr5,100391632,100393002,-,NA,NA
MmuEX0023101,Hnrnpd,57,chr5,100396407,100407410,-,NA,n.s.
MmuEX0021970,Grm6,146,chr11,50670903,50672995,+,NA,NA
MmuEX0022972,Hk2,163,chr6,82699332,82723911,-,NA,NA
MmuEX0041886,Sez6,39,chr11,77790444,77791038,+,NA,NA
MmuEX0026672,Loxl3,218,chr6,82984284,82987422,+,NA,NA
MmuEX0026673,Loxl3,57,chr6,82988604,82997981,+,NA,NA
MmuEX0004447,Aire,58,chr10,77500734,77502406,-,NA,NA
MmuEX0004448,Aire,53,chr10,77505822,77506133,-,NA,NA
MmuEX0023565,Icosl,354,chr10,77534025,77536451,+,NA,NA
MmuEX0023566,Icosl,150,chr10,77536746,77539888,+,NA,NA
MmuEX0045712,Sult5a1,95,chr8,125669423,125672209,-,NA,NA
MmuEX0045713,Sult5a1,116,chr8,125673334,125681338,-,NA,NA
MmuEX0049900,Tubgcp3,133,chr8,12648788,12650153,-,NA,NA
MmuEX0046681,Tcf7,93,chr11,52071306,52074032,-,NA,NA
MmuEX0023908,Il12rb1,259,chr8,73332518,73333729,+,NA,NA
MmuEX0043462,Slc5a5,182,chr8,73410054,73411852,-,NA,NA
MmuEX0043463,Slc5a5,66,chr8,73415229,73416203,-,NA,NA
MmuEX0050936,Usp32,93,chr11,84800086,84801835,-,NA,inconsistent
MmuEX0050937,Usp32,289,chr11,84802261,84807887,-,NA,NA
MmuEX0050938,Usp32,176,chr11,84852844,84855989,-,NA,inconsistent
MmuEX0050013,Txnrd3,77,chr6,89615787,89619811,+,NA,NA
MmuEX0053997,Znf512b,171,chr2,181321947,181322685,-,NA,NA
MmuEX0019413,Fmr1,72,chrX,65944770,65948663,+,NA,NA
MmuEX0019414,Fmr1,63,chrX,65958556,65961216,+,NA,n.s.
MmuEX0019415,Fmr1,196,chrX,65961304,65965405,+,NA,inconsistent
MmuEX0038106,Pxmp4,63,chr2,154418100,154429252,-,NA,NA
MmuEX0014808,Dlg3,54,chrX,97963768,97966953,+,NA,NA
MmuEX0022920,Hip1r,77,chr5,124441032,124441752,+,NA,NA
MmuEX0022921,Hip1r,101,chr5,124450784,124451214,+,NA,inconsistent
MmuEX0017637,Expi,130,chr11,83523502,83524657,+,NA,NA
MmuEX0024053,Ilf2,60,chr3,90280168,90281241,+,NA,NA
MmuEX0001048,2500003M10Rik,84,chr3,90307205,90310029,-,NA,NA
MmuEX0039950,Rmnd5b,166,chr11,51438149,51440237,-,NA,NA
MmuEX0039951,Rmnd5b,146,chr11,51441265,51442977,-,NA,NA
MmuEX0000251,1300018I17Rik,206,chr8,125769111,125769843,-,NA,NA
MmuEX0000252,1300018I17Rik,90,chr8,125774741,125776504,-,NA,NA
MmuEX0028810,Mfsd10,54,chr5,34977163,34977499,-,NA,n.s.
MmuEX0042611,Slc13a2,122,chr11,78212696,78213977,-,NA,NA
MmuEX0033874,Pcbp3,75,chr10,76244619,76251135,-,NA,NA
MmuEX0026349,Lgals9,93,chr11,78781536,78784818,-,NA,NA
MmuEX0047360,Timp1,80,chrX,20448289,20450175,+,NA,NA
MmuEX0011890,Cnnm3,170,chr1,36577073,36577663,+,NA,NA
MmuEX0011891,Cnnm3,99,chr1,36578685,36582010,+,Neural-high,inconsistent
MmuEX0026560,Lman2l,115,chr1,36481803,36485144,-,NA,NA
MmuEX0028231,Mcm3ap,140,chr10,75940656,75945368,+,NA,NA
MmuEX0034015,Pcnt,168,chr10,75844171,75847485,-,NA,NA
MmuEX0034016,Pcnt,21,chr10,75864281,75866502,-,NA,NA
MmuEX0019716,Ftcd,89,chr10,76040876,76042734,+,NA,NA
MmuEX0019717,Ftcd,138,chr10,76042915,76044247,+,NA,NA
MmuEX0032951,Ocrl,80,chrX,45266226,45273337,+,NA,NA
MmuEX0032952,Ocrl,166,chrX,45300291,45301301,+,NA,NA
MmuEX0032953,Ocrl,24,chrX,45301538,45313629,+,Neural-high,n.s.
MmuEX0004262,Agpat3,111,chr10,77747096,77750591,-,NA,NA
MmuEX0015622,Dpp9,119,chr17,56328889,56329412,-,NA,n.s.
MmuEX0015623,Dpp9,80,chr17,56334484,56338394,-,NA,NA
MmuEX0021780,Gramd1a,199,chr7,31923277,31924415,-,NA,NA
MmuEX0021781,Gramd1a,113,chr7,31924567,31926148,-,NA,inconsistent
MmuEX0044451,Sp1,200,chr15,102256228,102261155,+,NA,NA
MmuEX0038843,Rarg,67,chr15,102083176,102087670,-,NA,NA
MmuEX0044954,Srr,75,chr11,74722708,74723702,-,NA,NA
MmuEX0009537,Ccdc132,91,chr6,3505467,3515515,+,NA,NA
MmuEX0009538,Ccdc132,122,chr6,3544902,3550127,+,NA,NA
MmuEX0044113,Snd1,79,chr6,28470266,28476052,+,NA,NA
MmuEX0012176,Col18a1,33,chr10,76518573,76521443,-,NA,NA
MmuEX0042708,Slc19a1,754,chr10,76501325,76505526,+,NA,NA
MmuEX0032136,Npepps,165,chr11,97097536,97102242,-,NA,NA
MmuEX0032137,Npepps,116,chr11,97109638,97119587,-,NA,n.s.
MmuEX0029655,Mrpl10,170,chr11,96902967,96908343,+,NA,NA
MmuEX0046667,Tcf25,75,chr8,125905462,125907224,+,NA,NA
MmuEX0046668,Tcf25,114,chr8,125924598,125927046,+,Neural-low,NA
MmuEX0014196,Def8,98,chr8,125971813,125976644,+,NA,NA
MmuEX0024601,Itga3,114,chr11,94907078,94908234,-,Neural-low,n.s.
MmuEX0024602,Itga3,99,chr11,94908361,94913757,-,NA,NA
MmuEX0024603,Itga3,211,chr11,94923389,94924448,-,NA,NA
MmuEX0042015,Sgca,155,chr11,94833357,94833805,-,NA,NA
MmuEX0024560,Itfg2,118,chr6,128360685,128362716,-,NA,NA
MmuEX0024561,Itfg2,149,chr6,128363219,128364162,-,NA,NA
MmuEX0032357,Nrip2,150,chr6,128350320,128356507,+,NA,NA
MmuEX0022104,Gtf2h4,131,chr17,35805603,35806573,-,NA,NA
MmuEX0016689,Ell2,67,chr13,75901564,75906986,+,NA,NA
MmuEX0031985,Nom1,324,chr5,29764333,29767870,+,NA,NA
MmuEX0031986,Nom1,110,chr5,29773486,29777568,+,NA,NA
MmuEX0017283,Ergic1,179,chr17,26766625,26771361,+,NA,NA
MmuEX0017284,Ergic1,127,chr17,26778650,26792011,+,NA,NA
MmuEX0048309,Tnk1,311,chr11,69665396,69666314,-,NA,NA
MmuEX0048310,Tnk1,95,chr11,69666799,69668459,-,NA,NA
MmuEX0003398,Acap1,45,chr11,69703216,69703500,-,NA,NA
MmuEX0012916,Csn3,30,chr5,88356659,88358748,+,NA,NA
MmuEX0023651,Ifrd1,109,chr12,40933711,40939525,-,NA,inconsistent
MmuEX0008285,Brpf1,606,chr6,113257564,113264584,+,NA,NA
MmuEX0008286,Brpf1,285,chr6,113269356,113270427,+,NA,n.s.
MmuEX0023199,Hoxc6,226,chr15,102829203,102841140,+,NA,NA
MmuEX0022041,Gstt1,177,chr10,75246979,75256821,-,NA,n.s.
MmuEX0023929,Il16,74,chr7,90826612,90829134,-,NA,NA
MmuEX0046730,Tcirg1,158,chr19,3898639,3898979,-,NA,NA
MmuEX0012039,Coasy,708,chr11,100944005,100945629,+,NA,NA
MmuEX0012040,Coasy,85,chr11,100946661,100947103,+,NA,NA
MmuEX0039883,Rin2,152,chr2,145648102,145670446,+,NA,n.s.
MmuEX0019525,Folh1,64,chr7,93882670,93890680,-,NA,NA
MmuEX0019526,Folh1,99,chr7,93894708,93905447,-,NA,NA
MmuEX0011342,Chordc1,104,chr9,18106628,18109736,+,NA,NA
MmuEX0013463,D10Wsu52e,120,chr10,85401865,85405232,-,NA,NA
MmuEX0013464,D10Wsu52e,68,chr10,85414200,85418463,-,NA,NA
MmuEX0026880,Lrp3,63,chr7,35991195,35998158,-,NA,NA
MmuEX0052936,Zdhhc4,220,chr5,144090250,144090777,-,NA,NA
MmuEX0032776,Nup214,454,chr2,31846946,31851895,+,NA,inconsistent
MmuEX0032777,Nup214,162,chr2,31872858,31875777,+,NA,NA
MmuEX0027237,Ltbp1,72,chr17,75648337,75665827,+,NA,NA
MmuEX0049026,Trmt1,103,chr8,87215339,87219326,+,NA,NA
MmuEX0031618,Nfix,123,chr8,87245718,87250367,-,NA,n.s.
MmuEX0042725,Slc1a5,43,chr7,17367825,17371697,+,NA,NA
MmuEX0051692,Vwf,221,chr6,125599313,125606633,+,NA,NA
MmuEX0042339,Siae,256,chr9,37435424,37440542,+,NA,NA
MmuEX0051635,Vsig2,158,chr9,37347024,37347878,+,NA,NA
MmuEX0018351,Fam50a,85,chrX,71558665,71560202,+,NA,NA
MmuEX0021876,Grik3,54,chr4,125316707,125326922,+,NA,NA
MmuEX0021877,Grik3,204,chr4,125337047,125363237,+,NA,NA
MmuEX0021841,Gria3,127,chrX,38754435,38755977,+,NA,NA
MmuEX0032097,Npas1,90,chr7,17048766,17050709,-,NA,NA
MmuEX0005478,Ap4e1,205,chr2,126834637,126837526,+,NA,NA
MmuEX0005479,Ap4e1,80,chr2,126875299,126877915,+,NA,NA
MmuEX0036014,Pnck,145,chrX,70901726,70902250,-,NA,NA
MmuEX0045073,Ssr4,74,chrX,71034293,71035138,+,NA,NA
MmuEX0018502,Fam98a,185,chr17,75939532,75944087,-,NA,inconsistent
MmuEX0023698,Ift46,94,chr9,44591889,44592414,+,NA,NA
MmuEX0010205,Cd3g,132,chr9,44779390,44782245,-,NA,NA
MmuEX0010206,Cd3g,24,chr9,44782474,44788348,-,NA,NA
MmuEX0048775,Trappc6a,68,chr7,20094182,20099770,+,NA,NA
MmuEX0048776,Trappc6a,66,chr7,20099889,20100552,+,NA,NA
MmuEX0045771,Supt6h,151,chr11,78033593,78034622,-,NA,NA
MmuEX0044498,Spag5,112,chr11,78129544,78133487,+,NA,NA
MmuEX0019558,Foxn1,459,chr11,78182323,78185317,-,NA,NA
MmuEX0050583,Unc119,103,chr11,78160834,78161588,+,NA,NA
MmuEX0041388,Sdf2,125,chr11,78059420,78064517,+,NA,NA
MmuEX0041389,Sdf2,21,chr11,78064715,78068491,+,NA,NA
MmuEX0010052,Ccne1,112,chr7,38884169,38884486,-,NA,NA
MmuEX0010053,Ccne1,69,chr7,38888214,38891614,-,NA,NA
MmuEX0023345,Hsf2bp,104,chr17,32083757,32144620,-,NA,NA
MmuEX0038831,Rapsn,159,chr2,90877043,90883116,+,NA,NA
MmuEX0043285,Slc39a13,133,chr2,90903321,90903812,-,NA,n.s.
MmuEX0043286,Slc39a13,102,chr2,90904962,90905738,-,NA,n.s.
MmuEX0010737,Celf2,144,chr2,6468260,6474830,-,NA,NA
MmuEX0032256,Nr1h3,180,chr2,91030442,91030895,-,NA,NA
MmuEX0032257,Nr1h3,183,chr2,91032213,91033773,-,NA,n.s.
MmuEX0013996,Ddb2,46,chr2,91052170,91052606,-,NA,NA
MmuEX0011681,Clgn,82,chr8,85923990,85933384,+,NA,NA
MmuEX0051626,Vrk3,121,chr7,52023946,52026233,+,NA,NA
MmuEX0051627,Vrk3,160,chr7,52026293,52032591,+,NA,NA
MmuEX0039947,Rmnd5a,155,chr6,71343183,71346845,-,NA,NA
MmuEX0029461,Mov10,141,chr3,104608026,104620853,-,NA,NA
MmuEX0046869,Tead3,65,chr17,28473519,28478293,-,NA,NA
MmuEX0034424,Peg3,63,chr7,6665487,6668764,-,NA,NA
MmuEX0034425,Peg3,84,chr7,6668869,6670509,-,NA,NA
MmuEX0053852,Zim1,123,chr7,6642276,6649079,-,NA,NA
MmuEX0026605,Lmf1,154,chr17,25791552,25792329,+,NA,NA
MmuEX0030887,Narfl,96,chr17,25910833,25913893,+,NA,NA
MmuEX0030888,Narfl,138,chr17,25917898,25918632,+,NA,NA
MmuEX0013786,Dbf4,180,chr5,8410061,8421220,-,NA,NA
MmuEX0010193,Cd320,126,chr17,33980577,33984439,+,NA,n.s.
MmuEX0024363,Ipo4,130,chr14,56253032,56253841,-,NA,inconsistent
MmuEX0039339,Rec8,143,chr14,56237648,56237957,+,NA,NA
MmuEX0039340,Rec8,85,chr14,56238538,56241051,+,NA,NA
MmuEX0039341,Rec8,50,chr14,56241723,56242333,+,NA,NA
MmuEX0039342,Rec8,67,chr14,56242472,56242912,+,NA,NA
MmuEX0024518,Irf9,86,chr14,56223081,56223888,+,NA,NA
MmuEX0024519,Irf9,121,chr14,56225004,56225373,+,NA,inconsistent
MmuEX0024520,Irf9,116,chr14,56226693,56227757,+,NA,NA
MmuEX0028415,Mdp1,111,chr14,56278315,56279004,-,NA,NA
MmuEX0047783,Tmem161a,114,chr8,72704768,72705047,+,NA,inconsistent
MmuEX0042931,Slc25a42,167,chr8,72712849,72713889,-,NA,NA
MmuEX0031280,Ndufa11,123,chr17,56860551,56861407,+,NA,NA
MmuEX0032277,Nr2f6,66,chr8,73898654,73899647,-,NA,NA
MmuEX0032278,Nr2f6,95,chr8,73900173,73904889,-,NA,NA
MmuEX0050764,Use1,50,chr8,73891269,73891668,+,NA,n.s.
MmuEX0015997,Dyrk1b,147,chr7,28969547,28970314,+,NA,NA
MmuEX0008161,Braf,120,chr6,39594380,39598448,-,NA,NA
MmuEX0008162,Braf,36,chr6,39598486,39601603,-,Neural-high,NA
MmuEX0022987,Hltf,167,chr3,19959107,19964565,+,NA,NA
MmuEX0022988,Hltf,98,chr3,19964700,19967345,+,NA,NA
MmuEX0037355,Prpf6,119,chr2,181342994,181355273,+,NA,NA
MmuEX0039646,Rgs20,300,chr1,4914071,5060090,-,NA,NA
MmuEX0003231,Abhd3,49,chr18,10647890,10652185,-,NA,NA
MmuEX0046727,Tchp,179,chr5,115158848,115159315,+,NA,NA
MmuEX0049265,Tsc2,69,chr17,24737411,24739038,-,NA,n.s.
MmuEX0049266,Tsc2,129,chr17,24741938,24744381,-,NA,n.s.
MmuEX0049267,Tsc2,94,chr17,24744747,24745888,-,NA,NA
MmuEX0049268,Tsc2,117,chr17,24752545,24756359,-,NA,NA
MmuEX0038024,Puf60,191,chr15,75901748,75902169,-,NA,NA
MmuEX0038025,Puf60,51,chr15,75902999,75905971,-,NA,n.s.
MmuEX0036363,Pon1,201,chr6,5125824,5131438,-,NA,NA
MmuEX0047096,Tgfb1,148,chr7,26482015,26489143,+,NA,NA
MmuEX0004512,Akap8l,84,chr17,32473684,32475396,-,NA,n.s.
MmuEX0004513,Akap8l,75,chr17,32475769,32487431,-,NA,NA
MmuEX0034112,Pdcd2l,149,chr7,34969831,34974367,-,NA,NA
MmuEX0034113,Pdcd2l,167,chr7,34981146,34981554,-,NA,NA
MmuEX0022076,Gtf2f1,39,chr17,57149184,57150531,-,NA,NA
MmuEX0014241,Dennd1c,105,chr17,57210084,57210994,-,NA,NA
MmuEX0014242,Dennd1c,111,chr17,57211860,57213396,-,NA,NA
MmuEX0037154,Prkd1,188,chr12,51529222,51590889,-,NA,NA
MmuEX0037201,Prkra,170,chr2,76481362,76485848,-,NA,NA
MmuEX0035692,Plekha3,165,chr2,76524813,76528501,+,NA,NA
MmuEX0007705,Baz1b,1705,chr5,135686809,135697827,+,NA,NA
MmuEX0007706,Baz1b,148,chr5,135712293,135715896,+,NA,NA
MmuEX0034543,Pex6,109,chr17,46860685,46861339,+,NA,NA
MmuEX0034355,Pdxk-ps,112,chr17,32215851,32218536,-,NA,NA
MmuEX0034356,Pdxk-ps,79,chr17,32221038,32224703,-,NA,NA
MmuEX0020343,Ggct,58,chr6,54936963,54942563,-,NA,n.s.
MmuEX0024826,Jag2,61,chr12,114155151,114158441,-,NA,NA
MmuEX0008382,Btbd6,91,chr12,114215194,114215463,+,NA,NA
MmuEX0032610,Nudt14,202,chr12,114173262,114177005,-,NA,NA
MmuEX0048514,Top3a,60,chr11,60576044,60590423,-,NA,inconsistent
MmuEX0006664,Atg4d,120,chr9,21077157,21077697,+,NA,NA
MmuEX0038184,Qtrt1,110,chr9,21223811,21224068,+,NA,NA
MmuEX0035830,Plin4,87,chr17,56241754,56242532,-,NA,NA
MmuEX0022543,Hdgfrp2,104,chr17,56236950,56237906,+,NA,NA
MmuEX0022544,Hdgfrp2,211,chr17,56238499,56239281,+,NA,NA
MmuEX0001570,4930455C21Rik,79,chr16,38502761,38508922,-,NA,n.s.
MmuEX0035473,Pla1a,109,chr16,38397590,38405622,-,NA,NA
MmuEX0035474,Pla1a,102,chr16,38409771,38414854,-,NA,NA
MmuEX0025104,Kcnn1,111,chr8,73372202,73374498,-,NA,NA
MmuEX0027696,Map2k7,48,chr8,4239034,4243303,+,NA,n.s.
MmuEX0027697,Map2k7,143,chr8,4244776,4245542,+,NA,NA
MmuEX0047353,Timm44,171,chr8,4268381,4274136,-,NA,NA
MmuEX0005423,Ap2a2,194,chr7,148783515,148788131,+,NA,NA
MmuEX0005424,Ap2a2,54,chr7,148797383,148798527,+,NA,NA
MmuEX0028540,Med25,72,chr7,52135841,52136292,-,NA,NA
MmuEX0011774,Clptm1,198,chr7,20241180,20250282,-,NA,NA
MmuEX0039395,Relb,69,chr7,20197050,20197853,-,NA,NA
MmuEX0039396,Relb,158,chr7,20201787,20204862,-,NA,NA
MmuEX0005588,Apoc2,151,chr7,20257198,20258895,-,NA,NA
MmuEX0037110,Prkar2b,36,chr12,32678649,32745646,-,NA,NA
MmuEX0025699,Klf4,121,chr4,55543856,55544738,-,NA,NA
MmuEX0005400,Ap1m1,76,chr8,74779722,74780633,+,NA,NA
MmuEX0038397,Rab8a,66,chr8,74699829,74701518,+,NA,NA
MmuEX0013329,Cyp2c29,177,chr19,39382259,39396040,+,NA,NA
MmuEX0045294,Stard3nl,283,chr13,19465083,19487572,-,NA,NA
MmuEX0045388,Stk11,91,chr10,79588314,79588977,+,NA,NA
MmuEX0045389,Stk11,1310,chr10,79590846,79592649,+,NA,NA
MmuEX0036842,Ppp5c,66,chr7,17594062,17595223,-,NA,n.s.
MmuEX0010540,Cdk12,57,chr11,98085946,98092297,+,NA,NA
MmuEX0010541,Cdk12,391,chr11,98106984,98124783,+,NA,NA
MmuEX0026522,Lipe,91,chr7,26202529,26316309,-,NA,NA
MmuEX0046501,Tbc1d8,111,chr1,39463716,39535284,-,NA,NA
MmuEX0013525,D1Bwg0212e,153,chr1,39594426,39596717,+,NA,NA
MmuEX0043032,Slc2a3,161,chr6,122687317,122690405,-,NA,NA
MmuEX0019540,Foxj2,141,chr6,122783025,122783698,+,NA,NA
MmuEX0024508,Irf3,116,chr7,52256393,52257533,+,NA,n.s.
MmuEX0042180,Sh3gl1,125,chr17,56157324,56157997,-,NA,NA
MmuEX0042181,Sh3gl1,222,chr17,56159615,56175837,-,NA,NA
MmuEX0009999,Ccdc94,130,chr17,56104713,56106950,+,NA,NA
MmuEX0038717,Ranbp2,112,chr10,57914800,57917320,+,NA,NA
MmuEX0038718,Ranbp2,335,chr10,57955433,57956410,+,NA,NA
MmuEX0013422,Cyth2,72,chr7,53063458,53063742,-,NA,NA
MmuEX0045710,Sult2b1,82,chr7,52997567,53014761,-,NA,NA
MmuEX0009118,Car11,75,chr7,52955710,52956593,+,NA,NA
MmuEX0009119,Car11,166,chr7,52958984,52959858,+,NA,NA
MmuEX0014826,Dlgap1,30,chr17,71012150,71110414,+,Neural-high,n.s.
MmuEX0035542,Plag1,359,chr4,3832095,3836052,-,NA,NA
MmuEX0035543,Plag1,92,chr4,3836150,3842767,-,NA,NA
MmuEX0022442,Hck,100,chr2,152954042,152955579,+,NA,NA
MmuEX0025362,Keap1,177,chr9,21035313,21036140,-,NA,inconsistent
MmuEX0006961,Atp8b3,107,chr10,79988147,79988728,-,NA,NA
MmuEX0017810,Fam108a,195,chr10,80047068,80049259,-,NA,NA
MmuEX0008842,Cacnb3,20,chr15,98471182,98471607,+,Neural-high,n.s.
MmuEX0008843,Cacnb3,110,chr15,98471890,98472369,+,NA,NA
MmuEX0009864,Ccdc65,170,chr15,98539654,98549142,+,NA,NA
MmuEX0035659,Pld3,143,chr7,28326288,28326932,-,NA,NA
MmuEX0035660,Pld3,93,chr7,28327008,28327657,-,NA,NA
MmuEX0021889,Grik5,101,chr7,25843411,25843959,-,NA,NA
MmuEX0021890,Grik5,54,chr7,25845651,25847896,-,NA,NA
MmuEX0045185,St8sia6,90,chr2,13618542,13714380,-,NA,NA
MmuEX0045762,Supt5h,159,chr7,29101197,29101802,-,NA,NA
MmuEX0045763,Supt5h,85,chr7,29102520,29103757,-,NA,NA
MmuEX0033457,Paf1,30,chr7,29178274,29180061,+,NA,inconsistent
MmuEX0034513,Pex19,45,chr1,174063438,174064317,+,NA,NA
MmuEX0012721,Crhr2,42,chr6,55041413,55042945,-,NA,NA
MmuEX0012722,Crhr2,107,chr6,55052863,55054717,-,NA,NA
MmuEX0012723,Crhr2,91,chr6,55067534,55082763,-,NA,NA
MmuEX0024098,Impdh1,17,chr6,29151220,29152446,-,Neural-high,inconsistent
MmuEX0024099,Impdh1,91,chr6,29154375,29155050,-,NA,NA
MmuEX0015911,Dusp3,227,chr11,101836254,101845925,-,NA,NA
MmuEX0015912,Dusp3,134,chr11,101846066,101848180,-,NA,NA
MmuEX0042822,Slc25a1,100,chr16,17927386,17927637,-,NA,NA
MmuEX0014381,Dgcr6,73,chr16,18053215,18065145,+,NA,NA
MmuEX0014034,Ddr1,111,chr17,35822496,35824089,-,NA,n.s.
MmuEX0014035,Ddr1,103,chr17,35827126,35828391,-,NA,inconsistent
MmuEX0017237,Ercc1,73,chr7,19936142,19939674,+,NA,NA
MmuEX0017238,Ercc1,72,chr7,19939775,19940641,+,NA,n.s.
MmuEX0006312,As3mt,135,chr19,46794947,46814950,+,NA,NA
MmuEX0023160,Homer3,157,chr8,72809215,72809829,+,NA,NA
MmuEX0012787,Crtc1,87,chr8,72911621,72915100,-,NA,NA
MmuEX0040151,Rnf215,144,chr11,4035567,4036562,+,NA,NA
MmuEX0040152,Rnf215,60,chr11,4036801,4039741,+,NA,NA
MmuEX0041427,Sec14l2,170,chr11,3998439,4003676,-,NA,NA
MmuEX0041428,Sec14l2,61,chr11,4008584,4009151,-,NA,NA
MmuEX0012521,Cp,248,chr3,19857430,19866238,+,NA,NA
MmuEX0012522,Cp,217,chr3,19885667,19887932,+,NA,NA
MmuEX0012778,Crot,109,chr5,8978292,8987767,-,NA,NA
MmuEX0046220,Taf6l,75,chr19,8853224,8856490,-,NA,NA
MmuEX0027608,Man1a,95,chr10,53654819,53734220,-,NA,NA
MmuEX0024720,Itpkc,72,chr7,27993464,27997978,-,NA,NA
MmuEX0003972,Adck4,67,chr7,28018841,28022396,+,NA,NA
MmuEX0003973,Adck4,138,chr7,28028416,28035554,+,NA,NA
MmuEX0003974,Adck4,213,chr7,28035663,28037279,+,NA,NA
MmuEX0008227,Brd8,210,chr18,34767710,34769458,-,NA,n.s.
MmuEX0008228,Brd8,219,chr18,34769604,34770785,-,NA,n.s.
MmuEX0025507,Kif20a,144,chr18,34788608,34789078,+,NA,NA
MmuEX0018639,Farsa,85,chr8,87388452,87391447,+,NA,NA
MmuEX0020190,Gcdh,104,chr8,87413287,87414609,-,NA,NA
MmuEX0020191,Gcdh,27,chr8,87417064,87417453,-,NA,inconsistent
MmuEX0027998,Mast2,166,chr4,115984998,115986297,-,NA,NA
MmuEX0027999,Mast2,62,chr4,115989154,115990313,-,NA,NA
MmuEX0028000,Mast2,49,chr4,116025670,116064207,-,NA,NA
MmuEX0028001,Mast2,148,chr4,116103154,116136335,-,NA,NA
MmuEX0015258,Dnase2a,2330,chr8,87437428,87444292,+,NA,NA
MmuEX0008936,Calr,204,chr8,87368865,87370148,-,NA,NA
MmuEX0045885,Syce2,154,chr8,87396732,87409833,+,NA,NA
MmuEX0031577,Nfat5,62,chr8,109848665,109862708,+,NA,n.s.
MmuEX0031936,Nob1,119,chr8,109945513,109948865,-,NA,NA
